index,component,module,type,input_shape,output_shape,parameters,conv_macs,details
1,backbone,backbone.backbone.conv_stem,Conv2d,1x3x256x256,1x32x128x128,864,14155776,"k=3x3, s=2, d=1, g=1"
2,backbone,backbone.backbone.bn1,BatchNorm2d,1x32x128x128,1x32x128x128,64,0,features=32
3,backbone,backbone.backbone.act1,ReLU,1x32x128x128,1x32x128x128,0,0,-
4,backbone,backbone.backbone.blocks.0.0.conv,Conv2d,1x32x128x128,1x16x64x64,4608,18874368,"k=3x3, s=2, d=1, g=1"
5,backbone,backbone.backbone.blocks.0.0.bn1.act,ReLU,1x16x64x64,1x16x64x64,0,0,-
6,backbone,backbone.backbone.blocks.0.0.bn1,BatchNormAct2d,1x16x64x64,1x16x64x64,32,0,features=16
7,backbone,backbone.backbone.blocks.0.1.conv,Conv2d,1x16x64x64,1x16x64x64,256,1048576,"k=1x1, s=1, d=1, g=1"
8,backbone,backbone.backbone.blocks.0.1.bn1.act,ReLU,1x16x64x64,1x16x64x64,0,0,-
9,backbone,backbone.backbone.blocks.0.1.bn1,BatchNormAct2d,1x16x64x64,1x16x64x64,32,0,features=16
10,backbone,backbone.backbone.blocks.1.0.conv,Conv2d,1x16x64x64,1x48x32x32,6912,7077888,"k=3x3, s=2, d=1, g=1"
11,backbone,backbone.backbone.blocks.1.0.bn1.act,ReLU,1x48x32x32,1x48x32x32,0,0,-
12,backbone,backbone.backbone.blocks.1.0.bn1,BatchNormAct2d,1x48x32x32,1x48x32x32,96,0,features=48
13,backbone,backbone.backbone.blocks.1.1.conv,Conv2d,1x48x32x32,1x32x32x32,1536,1572864,"k=1x1, s=1, d=1, g=1"
14,backbone,backbone.backbone.blocks.1.1.bn1.act,ReLU,1x32x32x32,1x32x32x32,0,0,-
15,backbone,backbone.backbone.blocks.1.1.bn1,BatchNormAct2d,1x32x32x32,1x32x32x32,64,0,features=32
16,backbone,backbone.backbone.blocks.2.0.dw_start.conv,Conv2d,1x32x32x32,1x32x32x32,800,819200,"k=5x5, s=1, d=1, g=32"
17,backbone,backbone.backbone.blocks.2.0.dw_start.bn,BatchNormAct2d,1x32x32x32,1x32x32x32,64,0,features=32
18,backbone,backbone.backbone.blocks.2.0.pw_exp.conv,Conv2d,1x32x32x32,1x96x32x32,3072,3145728,"k=1x1, s=1, d=1, g=1"
19,backbone,backbone.backbone.blocks.2.0.pw_exp.bn.act,ReLU,1x96x32x32,1x96x32x32,0,0,-
20,backbone,backbone.backbone.blocks.2.0.pw_exp.bn,BatchNormAct2d,1x96x32x32,1x96x32x32,192,0,features=96
21,backbone,backbone.backbone.blocks.2.0.dw_mid.conv,Conv2d,1x96x32x32,1x96x16x16,2400,614400,"k=5x5, s=2, d=1, g=96"
22,backbone,backbone.backbone.blocks.2.0.dw_mid.bn.act,ReLU,1x96x16x16,1x96x16x16,0,0,-
23,backbone,backbone.backbone.blocks.2.0.dw_mid.bn,BatchNormAct2d,1x96x16x16,1x96x16x16,192,0,features=96
24,backbone,backbone.backbone.blocks.2.0.pw_proj.conv,Conv2d,1x96x16x16,1x48x16x16,4608,1179648,"k=1x1, s=1, d=1, g=1"
25,backbone,backbone.backbone.blocks.2.0.pw_proj.bn,BatchNormAct2d,1x48x16x16,1x48x16x16,96,0,features=48
26,backbone,backbone.backbone.blocks.2.1.pw_exp.conv,Conv2d,1x48x16x16,1x96x16x16,4608,1179648,"k=1x1, s=1, d=1, g=1"
27,backbone,backbone.backbone.blocks.2.1.pw_exp.bn.act,ReLU,1x96x16x16,1x96x16x16,0,0,-
28,backbone,backbone.backbone.blocks.2.1.pw_exp.bn,BatchNormAct2d,1x96x16x16,1x96x16x16,192,0,features=96
