epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,grad_root_magnitude,grad_exact_regression,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,lr,lr_backbone,lr_task
1,23.601388931274414,20.76799201965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833395004272461,30.8048095703125,3.1746103763580322,40.93162388271756,40.93162388271756,34.921730041503906,73.16519165039062,92.97664642333984,33.00660334693061,21.129268725713093,0.0,256.0,256.0,0,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,23.684656143188477,20.87882423400879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8058297634124756,nan,nan,38.8606800503201,38.8606800503201,30.813068389892578,77.71810150146484,85.47169494628906,31.911572562323677,19.709883636898464,0.0,256.0,256.0,0,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,24.21225929260254,21.402759552001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.809500217437744,nan,nan,43.007311291164825,43.007311291164825,34.926055908203125,77.01551818847656,79.80146026611328,31.048532168070476,26.486741463343304,0.0,256.0,256.0,0,1.2e-05,1.2000000000000002e-06,1.2e-05
4,24.45732307434082,21.615320205688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84200119972229,nan,nan,48.26396709018283,48.26396709018283,40.6047477722168,97.64030456542969,110.54100799560547,37.21671491199069,25.506179915534126,0.0,256.0,256.0,0,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,25.43534278869629,22.43779754638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9975483417510986,nan,nan,46.25852839152018,46.25852839152018,44.707298278808594,73.29974365234375,113.25416564941406,37.033186700608994,24.404201825459797,0.0,256.0,256.0,0,2e-05,2.0000000000000003e-06,2e-05
6,22.273601531982422,19.566448211669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7071521282196045,nan,nan,42.39326890309652,42.39326890309652,36.554847717285156,77.74402618408203,82.13909149169922,35.929868857065834,19.648331748114693,0.0,256.0,256.0,0,2.4e-05,2.4000000000000003e-06,2.4e-05
7,24.00211524963379,21.178936004638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8231775760650635,nan,nan,46.09230295817057,46.09230295817057,41.92464828491211,91.41536712646484,92.85237884521484,37.078955756293404,24.310184955596924,0.0,256.0,256.0,0,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,23.157360076904297,20.34760856628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8097546100616455,nan,nan,44.35821035173204,44.35821035173204,39.40718460083008,66.66678619384766,69.83421325683594,36.602270656161835,21.509699291653103,0.0,256.0,256.0,0,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,26.283414840698242,23.23865509033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0447638034820557,nan,nan,56.08919281429715,56.08919281429715,53.908226013183594,96.2301254272461,105.747314453125,45.425878842671715,28.044332928127712,0.0,256.0,256.0,0,3.6e-05,3.6000000000000003e-06,3.6e-05
10,22.297515869140625,19.604700088500977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.692814350128174,nan,nan,44.51128525204129,44.51128525204129,39.73128890991211,78.11772918701172,79.13258361816406,36.99507575564914,20.375165277057224,0.0,256.0,256.0,0,4e-05,4.000000000000001e-06,4e-05
