epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,grad_root_magnitude,grad_flat_16,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,amp_skip_fraction,overflow_gt_mean,overflow_gt_max,lr,lr_backbone,lr_task
1,237.98960876464844,20.76748275756836,0.0,0.0,0.0,0.0,0.0,0.0,217.2221221923828,0.0,0.0,0.0,30.78261947631836,55.27831268310547,70.68011283874512,70.68011283874512,62.14630889892578,112.97466278076172,145.22560119628906,62.670752631293404,31.340701315138077,0.0,256.0,256.0,0,0.0,nan,nan,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,239.10015869140625,20.877906799316406,0.0,0.0,0.0,0.0,0.0,0.0,218.2222442626953,0.0,0.0,0.0,nan,nan,70.63289006551106,70.63289006551106,68.23574829101562,102.4205322265625,115.99453735351562,62.49828126695421,31.126493983798557,0.0,256.0,256.0,0,0.0,nan,nan,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,242.802001953125,21.400922775268555,0.0,0.0,0.0,0.0,0.0,0.0,221.4010772705078,0.0,0.0,0.0,nan,nan,69.65839682685004,69.65839682685004,62.58214569091797,101.80445861816406,106.7919692993164,59.64385647243924,33.61640029483371,0.0,256.0,256.0,0,0.0,nan,nan,1.2e-05,1.2000000000000002e-06,1.2e-05
4,241.17843627929688,21.61143684387207,0.0,0.0,0.0,0.0,0.0,0.0,219.56700134277344,0.0,0.0,0.0,nan,nan,79.53447723388672,79.53447723388672,69.20213317871094,155.19850158691406,165.9097900390625,71.2910083134969,32.618464363945854,0.0,256.0,256.0,0,0.0,nan,nan,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,244.1046905517578,22.42582893371582,0.0,0.0,0.0,0.0,0.0,0.0,221.6788787841797,0.0,0.0,0.0,nan,nan,90.57178094651964,90.57178094651964,87.68262481689453,149.45668029785156,210.36251831054688,82.69795841640897,34.15771770477295,0.0,256.0,256.0,0,0.0,nan,nan,2e-05,2.0000000000000003e-06,2e-05
6,232.1327667236328,19.563562393188477,0.0,0.0,0.0,0.0,0.0,0.0,212.56922912597656,0.0,0.0,0.0,nan,nan,86.70018853081598,86.70018853081598,66.73835754394531,150.46417236328125,208.34877014160156,81.81007893880208,26.947260432773167,0.0,256.0,256.0,0,0.0,nan,nan,2.4e-05,2.4000000000000003e-06,2.4e-05
7,239.79034423828125,21.17013931274414,0.0,0.0,0.0,0.0,0.0,0.0,218.62020874023438,0.0,0.0,0.0,nan,nan,89.13598717583551,89.13598717583551,87.57868957519531,152.23211669921875,158.42996215820312,81.53762605455186,32.91841083102756,0.0,256.0,256.0,0,0.0,nan,nan,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,233.3028106689453,20.34276008605957,0.0,0.0,0.0,0.0,0.0,0.0,212.96006774902344,0.0,0.0,0.0,nan,nan,104.74061330159505,104.74061330159505,97.47694396972656,169.82884216308594,272.5567321777344,98.07221624586317,30.88964292738173,0.0,256.0,256.0,0,0.0,nan,nan,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,244.9532928466797,23.224729537963867,0.0,0.0,0.0,0.0,0.0,0.0,221.7285614013672,0.0,0.0,0.0,nan,nan,108.28577020433214,108.28577020433214,94.37799072265625,197.37506103515625,292.6911315917969,98.29639604356554,39.36439588334825,0.0,256.0,256.0,0,0.0,nan,nan,3.6e-05,3.6000000000000003e-06,3.6e-05
10,234.85626220703125,19.61019515991211,0.0,0.0,0.0,0.0,0.0,0.0,215.24606323242188,0.0,0.0,0.0,nan,nan,89.25053766038683,89.25053766038683,78.36140441894531,161.81568908691406,165.4440155029297,82.10327593485515,31.382967207166885,0.0,256.0,256.0,0,0.0,nan,nan,4e-05,4.000000000000001e-06,4e-05
11,234.5319061279297,20.4185733795166,0.0,0.0,0.0,0.0,0.0,0.0,214.11331176757812,0.0,0.0,0.0,nan,nan,117.66841104295519,117.66841104295519,106.46675109863281,223.25473022460938,232.18115234375,108.42105314466689,40.82015037536621,0.0,256.0,256.0,0,0.0,nan,nan,4.4000000000000006e-05,4.4e-06,4.4000000000000006e-05
12,233.59765625,19.939348220825195,0.0,0.0,0.0,0.0,0.0,0.0,213.65830993652344,0.0,0.0,0.0,nan,nan,144.73205439249674,144.73205439249674,137.21688842773438,247.28636169433594,276.9729309082031,136.47842280069986,45.040758768717446,0.0,256.0,256.0,0,0.0,nan,nan,4.8e-05,4.800000000000001e-06,4.8e-05
13,234.800048828125,20.234176635742188,0.0,0.0,0.0,0.0,0.0,0.0,214.56588745117188,0.0,0.0,0.0,nan,nan,148.34285714891223,148.34285714891223,115.98362731933594,292.03656005859375,373.8350524902344,134.58233218722873,53.00740623474121,0.0,256.0,256.0,0,0.0,nan,nan,5.2000000000000004e-05,5.2e-06,5.2000000000000004e-05
14,226.23681640625,21.540964126586914,0.0,0.0,0.0,0.0,0.0,0.0,204.69586181640625,0.0,0.0,0.0,nan,nan,140.06802474127875,140.06802474127875,119.72346496582031,280.5465393066406,302.8128662109375,122.09862179226346,58.70596186319987,0.0,256.0,256.0,0,0.0,nan,nan,5.6000000000000006e-05,5.600000000000001e-06,5.6000000000000006e-05
15,235.0015411376953,20.807937622070312,0.0,0.0,0.0,0.0,0.0,0.0,214.193603515625,0.0,0.0,0.0,nan,nan,130.7271465725369,130.7271465725369,113.25826263427734,210.5685577392578,324.8923645019531,109.40296067131891,66.16864967346191,0.0,256.0,256.0,0,0.0,nan,nan,6e-05,6e-06,6e-05
16,235.129638671875,19.95201873779297,0.0,0.0,0.0,0.0,0.0,0.0,215.17762756347656,0.0,0.0,0.0,nan,nan,154.11057620578342,154.11057620578342,137.43312072753906,299.5043640136719,318.16046142578125,127.57001135084364,77.73931503295898,0.0,256.0,256.0,0,0.0,nan,nan,6.400000000000001e-05,6.4000000000000006e-06,6.400000000000001e-05
17,231.7967071533203,18.982240676879883,0.0,0.0,0.0,0.0,0.0,0.0,212.81446838378906,0.0,0.0,0.0,nan,nan,214.0017378065321,197.39605543348523,204.67901611328125,352.0948486328125,798.9022827148438,194.28790346781412,78.37033335367839,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,6.800000000000001e-05,6.800000000000001e-06,6.800000000000001e-05
18,232.14913940429688,18.33880043029785,0.0,0.0,0.0,0.0,0.0,0.0,213.81033325195312,0.0,0.0,0.0,nan,nan,211.67504374186197,209.0437774658203,197.23046875,327.1737976074219,547.36279296875,189.93138037787543,85.82560263739691,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,7.2e-05,7.2000000000000005e-06,7.2e-05
19,234.8123321533203,19.102693557739258,0.0,0.0,0.0,0.0,0.0,0.0,215.70962524414062,0.0,0.0,0.0,nan,nan,229.0790875752767,229.0790875752767,208.56289672851562,356.6720275878906,469.0039367675781,205.01567967732748,95.1583023071289,0.0,256.0,256.0,0,0.0,nan,nan,7.6e-05,7.600000000000001e-06,7.6e-05
20,228.1123046875,21.054304122924805,0.0,0.0,0.0,0.0,0.0,0.0,207.0579833984375,0.0,0.0,0.0,nan,nan,218.43644756740994,208.6111742655436,194.4960479736328,374.8586730957031,676.8549194335938,190.50230746799045,95.98326831393771,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,8e-05,8.000000000000001e-06,8e-05
21,226.0106964111328,16.15277862548828,0.0,0.0,0.0,0.0,0.0,0.0,209.85792541503906,0.0,0.0,0.0,nan,nan,198.6498646206326,198.6498646206326,208.10658264160156,257.1756286621094,269.9626770019531,175.1707017686632,88.82370185852051,0.0,256.0,256.0,0,0.0,nan,nan,8.4e-05,8.400000000000001e-06,8.4e-05
22,222.4997100830078,17.938438415527344,0.0,0.0,0.0,0.0,0.0,0.0,204.56126403808594,0.0,0.0,0.0,nan,nan,285.59901173909503,272.8160900539822,217.4181365966797,506.3287353515625,730.0925903320312,263.6317384507921,93.4671442243788,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,8.800000000000001e-05,8.8e-06,8.800000000000001e-05
23,225.3360137939453,17.095726013183594,0.0,0.0,0.0,0.0,0.0,0.0,208.2402801513672,0.0,0.0,0.0,nan,nan,341.88031599256726,341.4168997870551,322.3065185546875,456.7582702636719,508.34149169921875,326.53050740559894,93.14493645562067,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,9.200000000000001e-05,9.200000000000002e-06,9.200000000000001e-05
24,223.52940368652344,16.831533432006836,0.0,0.0,0.0,0.0,0.0,0.0,206.69789123535156,0.0,0.0,0.0,nan,nan,360.94005584716797,336.1530041164822,308.60748291015625,596.043212890625,773.669677734375,346.23541937934027,90.47869788275824,0.2222222222222222,256.0,256.0,0,0.0,nan,nan,9.6e-05,9.600000000000001e-06,9.6e-05
25,216.19578552246094,14.731106758117676,0.0,0.0,0.0,0.0,0.0,0.0,201.4646759033203,0.0,0.0,0.0,nan,nan,338.3526799819049,293.2286565444049,253.51268005371094,617.760009765625,1267.1083984375,323.22819698558135,80.1483253030216,0.058823529411764705,256.0,128.0,1,0.05555555555555555,140.8125,567.0,0.0001,1e-05,0.0001
26,208.3072052001953,14.192265510559082,0.0,0.0,0.0,0.0,0.0,0.0,194.11492919921875,0.0,0.0,0.0,nan,nan,400.16000196668836,353.1829477945964,334.8955078125,825.8651123046875,939.8984985351562,389.8900366889106,78.49422878689236,0.2222222222222222,128.0,128.0,0,0.0,nan,nan,0.0001,1e-05,0.0001
27,219.3374786376953,13.205841064453125,0.0,0.0,0.0,0.0,0.0,0.0,206.13162231445312,0.0,0.0,0.0,nan,nan,385.2726058959961,334.234252081977,325.89056396484375,851.9920654296875,892.9321899414062,376.0766542222765,72.1492691040039,0.16666666666666666,128.0,128.0,0,0.0,nan,nan,9.999989793001318e-05,9.99998979300132e-06,9.999989793001318e-05
28,215.48883056640625,13.118260383605957,0.0,0.0,0.0,0.0,0.0,0.0,202.37054443359375,0.0,0.0,0.0,nan,nan,441.13090176052515,373.20953199598523,351.06475830078125,838.3690795898438,1015.9030151367188,432.51593526204425,73.13191074795193,0.2777777777777778,128.0,128.0,0,0.0,nan,nan,9.999959172051576e-05,9.999959172051577e-06,9.999959172051576e-05
29,219.53268432617188,13.191315650939941,0.0,0.0,0.0,0.0,0.0,0.0,206.3413848876953,0.0,0.0,0.0,nan,nan,440.5090162489149,381.40368313259546,410.2452697753906,737.6661376953125,985.5726318359375,433.63139004177515,68.47491645812988,0.3888888888888889,128.0,128.0,0,0.0,nan,nan,9.999908137289683e-05,9.999908137289683e-06,9.999908137289683e-05
30,208.641845703125,13.375823974609375,0.0,0.0,0.0,0.0,0.0,0.0,195.26602172851562,0.0,0.0,0.0,nan,nan,499.6049796210395,411.04178110758465,480.8326416015625,953.4253540039062,1000.557861328125,493.52914089626734,71.07620090908475,0.4444444444444444,128.0,128.0,0,0.0,nan,nan,9.999836688947156e-05,9.999836688947157e-06,9.999836688947156e-05
31,218.4832305908203,12.209169387817383,0.0,0.0,0.0,0.0,0.0,0.0,206.27407836914062,0.0,0.0,0.0,nan,nan,607.8641594780815,452.31110297309027,504.00762939453125,1033.564453125,1846.5081787109375,602.507689581977,65.84376419915094,0.5,128.0,128.0,0,0.0,nan,nan,9.999744827348116e-05,9.999744827348117e-06,9.999744827348116e-05
32,213.01988220214844,12.40424919128418,0.0,0.0,0.0,0.0,0.0,0.0,200.61563110351562,0.0,0.0,0.0,nan,nan,662.903784857856,417.13700018988715,471.79669189453125,1538.2940673828125,1621.651611328125,657.3481021457249,65.48540475633409,0.4444444444444444,128.0,128.0,0,0.0,nan,nan,9.999632552909291e-05,9.99963255290929e-06,9.999632552909291e-05
33,217.30967712402344,12.086868286132812,0.0,0.0,0.0,0.0,0.0,0.0,205.2228546142578,0.0,0.0,0.0,nan,nan,461.7131042480469,400.4011705186632,434.11968994140625,918.1183471679688,1122.3533935546875,455.8603744506836,65.39201354980469,0.2222222222222222,128.0,128.0,0,0.0,nan,nan,9.999499866140001e-05,9.999499866140002e-06,9.999499866140001e-05
34,213.7098388671875,10.540620803833008,0.0,0.0,0.0,0.0,0.0,0.0,203.1692352294922,0.0,0.0,0.0,nan,nan,528.3161765204536,421.0746790568034,480.4673767089844,890.2728881835938,1027.5323486328125,522.6766442192925,60.54567866855197,0.4444444444444444,128.0,128.0,0,0.0,nan,nan,9.999346767642179e-05,9.999346767642179e-06,9.999346767642179e-05
35,212.42335510253906,10.824111938476562,0.0,0.0,0.0,0.0,0.0,0.0,201.5992889404297,0.0,0.0,0.0,nan,nan,543.1606648763021,411.42588297526044,444.2922058105469,1044.583251953125,1185.28076171875,539.1781378851997,59.8273671468099,0.3888888888888889,128.0,128.0,0,0.0,nan,nan,9.999173258110344e-05,9.999173258110345e-06,9.999173258110344e-05
36,210.83123779296875,9.760974884033203,0.0,0.0,0.0,0.0,0.0,0.0,201.0702362060547,0.0,0.0,0.0,nan,nan,719.6137924194336,439.8374014960395,644.4554443359375,1491.3564453125,1855.30859375,716.7689692179362,56.20651054382324,0.6666666666666666,128.0,128.0,0,0.0,nan,nan,9.998979338331614e-05,9.998979338331613e-06,9.998979338331614e-05
