epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,grad_root_magnitude,grad_multinomial_tree,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,amp_skip_fraction,overflow_gt_mean,overflow_gt_max,lr,lr_backbone,lr_task
1,196.70651245117188,20.767696380615234,54.64613723754883,45.74168014526367,75.5510025024414,0.0,0.0,0.0,0.0,175.9388427734375,0.0,0.0,30.787738800048828,134.182373046875,126.47247589959039,126.47247589959039,101.78219604492188,266.20050048828125,302.3221435546875,117.40912522210016,45.01150756412082,0.0,256.0,256.0,0,0.0,nan,nan,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,197.27374267578125,20.8785343170166,55.3571662902832,45.54769515991211,75.49034118652344,0.0,0.0,0.0,0.0,176.39520263671875,0.0,0.0,nan,nan,170.21920182969836,170.21920182969836,135.24566650390625,326.7159423828125,400.5696105957031,162.06903627183704,47.624923176235626,0.0,256.0,256.0,0,0.0,nan,nan,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,194.29031372070312,21.403051376342773,51.478851318359375,45.09482955932617,76.3135986328125,0.0,0.0,0.0,0.0,172.88726806640625,0.0,0.0,nan,nan,134.8499615987142,134.8499615987142,101.05023193359375,294.02166748046875,426.83331298828125,126.09610388014052,45.55610285864936,0.0,256.0,256.0,0,0.0,nan,nan,1.2e-05,1.2000000000000002e-06,1.2e-05
4,193.31507873535156,21.615097045898438,52.76751708984375,43.62002182006836,75.31244659423828,0.0,0.0,0.0,0.0,171.69998168945312,0.0,0.0,nan,nan,161.61452272203235,161.61452272203235,132.712158203125,316.6616516113281,339.1199035644531,154.66967137654623,44.66794194115533,0.0,256.0,256.0,0,0.0,nan,nan,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,201.46189880371094,22.432941436767578,57.36579132080078,45.68870544433594,75.97444915771484,0.0,0.0,0.0,0.0,179.02894592285156,0.0,0.0,nan,nan,246.4227034250895,217.83905474344888,184.51132202148438,579.8348999023438,1010.7067260742188,239.77125930786133,50.68679565853543,0.1111111111111111,256.0,256.0,0,0.0,nan,nan,2e-05,2.0000000000000003e-06,2e-05
6,188.0191192626953,19.568283081054688,51.574134826660156,44.01096725463867,72.8657455444336,0.0,0.0,0.0,0.0,168.4508514404297,0.0,0.0,nan,nan,146.42147742377387,146.42147742377387,133.26419067382812,262.35418701171875,439.2028503417969,140.06005393134222,40.07039165496826,0.0,256.0,256.0,0,0.0,nan,nan,2.4e-05,2.4000000000000003e-06,2.4e-05
7,193.53187561035156,21.183917999267578,52.841407775878906,44.564292907714844,74.94229125976562,0.0,0.0,0.0,0.0,172.34799194335938,0.0,0.0,nan,nan,159.99070951673718,159.99070951673718,118.05118560791016,307.9744873046875,351.7177734375,151.49683125813803,48.68950313991971,0.0,256.0,256.0,0,0.0,nan,nan,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,194.4767608642578,20.359018325805664,54.464637756347656,46.29059982299805,73.36250305175781,0.0,0.0,0.0,0.0,174.11773681640625,0.0,0.0,nan,nan,230.0764480166965,208.02349662780762,215.76092529296875,449.48541259765625,896.953125,222.3767261505127,51.36255645751953,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,200.57928466796875,23.263935089111328,56.47454833984375,44.66774368286133,76.17306518554688,0.0,0.0,0.0,0.0,177.31536865234375,0.0,0.0,nan,nan,266.69319491916235,263.6089358859592,254.03182983398438,481.3725891113281,555.5166625976562,257.60468037923175,63.8218732410007,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,3.6e-05,3.6000000000000003e-06,3.6e-05
10,186.57037353515625,19.642343521118164,49.879638671875,43.12357711791992,73.9248046875,0.0,0.0,0.0,0.0,166.9280242919922,0.0,0.0,nan,nan,189.1205677456326,189.1205677456326,158.40464782714844,364.82440185546875,416.977783203125,179.96891360812717,50.35974142286513,0.0,256.0,256.0,0,0.0,nan,nan,4e-05,4.000000000000001e-06,4e-05
