epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,grad_root_magnitude,grad_flat_16,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,amp_skip_fraction,overflow_gt_mean,overflow_gt_max,lr,lr_backbone,lr_task
1,714.3257446289062,20.485624313354492,0.0,0.0,0.0,0.0,0.0,0.0,693.8401489257812,0.0,0.0,0.0,31.790504455566406,175.8972625732422,217.69581688774957,217.69581688774957,181.2985076904297,382.33489990234375,394.5955505371094,204.43182033962674,67.47246996561687,0.0,256.0,256.0,0,0.0,nan,nan,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,718.1491088867188,18.305213928222656,0.0,0.0,0.0,0.0,0.0,0.0,699.8438110351562,0.0,0.0,0.0,nan,nan,193.52048661973743,193.52048661973743,186.31890869140625,315.0699157714844,325.4761047363281,178.7017856174045,67.53744316101074,0.0,256.0,256.0,0,0.0,nan,nan,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,728.1189575195312,20.335193634033203,0.0,0.0,0.0,0.0,0.0,0.0,707.7838134765625,0.0,0.0,0.0,nan,nan,182.30423143174914,182.30423143174914,183.4246826171875,243.44937133789062,265.4945373535156,167.57190365261502,67.61321788363986,0.0,256.0,256.0,0,0.0,nan,nan,1.2e-05,1.2000000000000002e-06,1.2e-05
4,694.1262817382812,19.466516494750977,0.0,0.0,0.0,0.0,0.0,0.0,674.6597900390625,0.0,0.0,0.0,nan,nan,183.2814712524414,183.2814712524414,163.25308227539062,329.6318359375,340.32110595703125,172.4235407511393,57.14929623074002,0.0,256.0,256.0,0,0.0,nan,nan,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,734.7374877929688,19.452457427978516,0.0,0.0,0.0,0.0,0.0,0.0,715.2849731445312,0.0,0.0,0.0,nan,nan,206.6320309109158,206.6320309109158,194.47789001464844,301.0334777832031,387.55517578125,196.17940521240234,57.29902542961968,0.0,256.0,256.0,0,0.0,nan,nan,2e-05,2.0000000000000003e-06,2e-05
6,716.7431030273438,20.022268295288086,0.0,0.0,0.0,0.0,0.0,0.0,696.720947265625,0.0,0.0,0.0,nan,nan,225.04838434855142,225.04838434855142,191.86215209960938,430.2886962890625,452.3637390136719,214.69445037841797,58.963716400994194,0.0,256.0,256.0,0,0.0,nan,nan,2.4e-05,2.4000000000000003e-06,2.4e-05
7,723.9480590820312,19.51446533203125,0.0,0.0,0.0,0.0,0.0,0.0,704.43359375,0.0,0.0,0.0,nan,nan,214.94980748494467,214.94980748494467,203.1444091796875,311.0940246582031,358.2699279785156,203.94941160413953,62.38562626308865,0.0,256.0,256.0,0,0.0,nan,nan,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,688.0057373046875,18.182580947875977,0.0,0.0,0.0,0.0,0.0,0.0,669.8230590820312,0.0,0.0,0.0,nan,nan,255.9663569132487,255.9663569132487,259.033447265625,381.8336181640625,432.53192138671875,244.69026777479382,68.73412174648709,0.0,256.0,256.0,0,0.0,nan,nan,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,715.2239990234375,19.59346580505371,0.0,0.0,0.0,0.0,0.0,0.0,695.6304931640625,0.0,0.0,0.0,nan,nan,270.71795230441626,270.71795230441626,266.3797912597656,369.100830078125,379.4056396484375,256.62658437093097,83.10115665859647,0.0,256.0,256.0,0,0.0,nan,nan,3.6e-05,3.6000000000000003e-06,3.6e-05
10,724.1322021484375,18.818950653076172,0.0,0.0,0.0,0.0,0.0,0.0,705.3132934570312,0.0,0.0,0.0,nan,nan,284.51669057210285,284.51669057210285,276.847900390625,376.16571044921875,379.9665222167969,261.2467981974284,108.58000988430447,0.0,256.0,256.0,0,0.0,nan,nan,4e-05,4.000000000000001e-06,4e-05
11,729.0490112304688,19.489200592041016,0.0,0.0,0.0,0.0,0.0,0.0,709.5598754882812,0.0,0.0,0.0,nan,nan,375.6746054755317,371.5438512166341,354.38360595703125,486.63433837890625,574.3535766601562,342.8053699069553,149.73299492730035,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,4.4000000000000006e-05,4.4e-06,4.4000000000000006e-05
12,718.6522216796875,20.40072250366211,0.0,0.0,0.0,0.0,0.0,0.0,698.2515258789062,0.0,0.0,0.0,nan,nan,387.5063883463542,382.1078050401476,361.6325378417969,545.0676879882812,553.6151733398438,328.5296274820964,198.3784874810113,0.1111111111111111,256.0,256.0,0,0.0,nan,nan,4.8e-05,4.800000000000001e-06,4.8e-05
13,706.3441772460938,19.760446548461914,0.0,0.0,0.0,0.0,0.0,0.0,686.5838012695312,0.0,0.0,0.0,nan,nan,395.8338801066081,387.066040886773,394.47637939453125,487.3106689453125,657.8211059570312,324.4658677842882,218.45645650227866,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,5.2000000000000004e-05,5.2e-06,5.2000000000000004e-05
14,706.7947387695312,20.232938766479492,0.0,0.0,0.0,0.0,0.0,0.0,686.5618286132812,0.0,0.0,0.0,nan,nan,429.40139940049914,408.0696495903863,393.28472900390625,657.283203125,724.4554443359375,341.98692491319446,254.3978042602539,0.16666666666666666,256.0,256.0,0,0.0,nan,nan,5.6000000000000006e-05,5.600000000000001e-06,5.6000000000000006e-05
15,703.7978515625,19.603296279907227,0.0,0.0,0.0,0.0,0.0,0.0,684.1945190429688,0.0,0.0,0.0,nan,nan,489.6947496202257,444.6935289171007,461.544677734375,665.2745361328125,1116.92431640625,395.5611640082465,269.039427863227,0.2222222222222222,256.0,256.0,0,0.0,nan,nan,6e-05,6e-06,6e-05
16,698.6319580078125,19.522706985473633,0.0,0.0,0.0,0.0,0.0,0.0,679.1091918945312,0.0,0.0,0.0,nan,nan,461.03993733723956,425.0044216579861,424.8373718261719,666.8856201171875,808.708251953125,359.11444685194226,278.6411836412218,0.2777777777777778,256.0,256.0,0,0.0,nan,nan,6.400000000000001e-05,6.4000000000000006e-06,6.400000000000001e-05
