epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,21.746739026662464,18.710803689183415,2.039456270836495,2.039456270836495,2.039456270836495,0.0,0.0,0.24698132115441399,4.6736677659524455,0.7056003116272591,50.000762939453125,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999900149188,0.0017330111215858657,0.985838770866394,1.0137290954589844,0.9999999900149188,0.0017330111215858657,0.0,0.0,0.009379625546972494,0.009379625546972494,0.0,1.0000000193312362,0.9999999822797002,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,24.104016690640837,19.87587696797139,3.2109745096515967,3.2109745096515967,3.2109745096515967,0.0,0.0,0.24840875050506075,4.775315478041366,0.7058768320727993,49.8285595661885,49.71218490600586,49.80937194824219,49.9067497253418,0.9999998881195576,0.0017774635250118306,0.9864258766174316,1.0150138139724731,0.9999998881195576,0.0017774635250118306,0.0,0.0,0.009949450683150743,0.009949450683150743,0.0,0.99999991623131,0.9999999855015729,0.9999999806687638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,22.188154813405628,19.173990468721133,2.0107694509867073,2.0107694509867073,2.0107694509867073,0.0,0.0,0.24674888680110107,4.708539234625326,0.7067535906224638,49.61825757413297,49.518367767333984,49.61518478393555,49.71218490600586,0.9999999772320584,0.0022136855541581182,0.9743499755859375,1.0156325101852417,0.9999999772320584,0.0022136855541581182,0.0,0.0,0.011425428117650587,0.011425428117650587,0.0,1.0000000016109363,0.9999999935562546,0.9999999855015729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,21.255852415754987,18.393101331349964,1.8602541362917102,1.8602541362917102,1.8602541362917102,0.0,0.0,0.24615738681844762,4.704788878157332,0.7102071256250948,49.2953232430123,49.133018493652344,49.3253173828125,49.518367767333984,0.9999999719711703,0.0037987653229601764,0.9367645382881165,1.0240346193313599,0.9999999719711703,0.0037987653229601764,0.0,0.0,0.02012268461387705,0.02012268461387705,0.0,0.9999999983890636,0.9999999903343819,0.9999999903343819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,21.717224765468288,18.75282248935184,1.9596285046757878,1.9596285046757878,1.9596285046757878,0.0,0.0,0.24750590928502986,4.714486354106182,0.7139983306059966,48.80944762358794,48.46584701538086,48.845970153808594,49.133018493652344,0.9999999534949702,0.007995696941245072,0.879218578338623,1.0480700731277466,0.9999999534949702,0.007995696941245072,0.0,0.0,0.05117572597353845,0.05117572597353845,0.0,0.999999995167191,0.9999999935562546,0.9999999903343819,298.8312039637304,393.2964322674545,1.10696460183832,91.41871848473183,298.8312057448899,390.78655992277163,461.9934655896958,510.00673966710025,348.29244341169084,270.68697428148846,370.2307029392408,0.12924625613145307,0.6775784586654547,-0.550084648774249,-0.550084648774249,0.8183998555663627,0.4755952870745435,0.22760061867237402,0.899019442705918,0.8146701274004688,0.9179804012852671,0.9522545372825558,0.31467012740046885,0.1179804012852671,0.0022545372825558685,0.0,0.0,0.27472527472527475,0.7252747252747253,1.0,0.8638662278324694,0.8750574163028172,0.8754841667282712
6,1e-05,0.0001,0.05,19.845393954096615,17.083127614614124,1.7937396184818164,1.7937396184818164,1.7937396184818164,0.0,0.0,0.2467758087693034,4.534164351385993,0.7212910748816825,48.03678584743191,47.43569564819336,48.18269729614258,48.65553665161133,0.9999999428140041,0.020075238854403876,0.7140614986419678,1.0780836343765259,0.9999999428140041,0.020075238854403876,0.0,0.0,0.15188309953019424,0.12728360234885602,0.16196336035694253,0.9999999790578276,0.9999999919453183,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,20.856658652022077,17.92350405615729,2.0184521127391504,2.0184521127391504,2.0184521127391504,0.0,0.0,0.24628965556621552,4.265649634438592,0.7325395329578502,47.14215005410684,45.88654327392578,47.52843475341797,48.18269729614258,0.9999999448531162,0.04343089441730057,0.4999690353870392,1.168091058731079,0.9999999448531162,0.04343089441730057,0.0,0.0,0.3381799209762264,0.2354644500725978,0.30373024692630807,0.9999999838906366,0.999999995167191,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,19.155270112527383,16.494817823977083,1.8047680661485002,1.8047680661485002,1.8047680661485002,0.0,0.0,0.24488091831271713,3.972320588859352,0.7533146771224769,46.249922159555794,43.61454391479492,47.158565521240234,48.27689743041992,1.000000506878517,0.08608330924609464,0.25,1.270344614982605,1.000000506878517,0.08608330924609464,3.440700500654382e-05,0.0,0.6336412405645525,0.3753884410535967,0.40756943042542726,1.0000006830370105,1.0000001755920616,0.9999999871125093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,17.43877109321388,14.430252242732692,2.2945741930523433,2.2945741930523433,2.2945741930523433,0.0,0.0,0.24249564191779574,3.2666035020673596,0.7938775323532723,45.52519927153716,41.05216979980469,46.974708557128906,48.845970153808594,1.0001793709635103,0.1434393287213622,0.25,1.5890127420425415,1.0001793709635103,0.1434393287213622,0.003183621746265866,0.0,1.508030714215459,0.7886680364608765,0.47702123768004634,1.0001822532834233,1.0001866817474365,1.0001335997839231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,15.766790183814797,13.442233317607158,1.6653537009213422,1.6653537009213422,1.6653537009213422,0.0,0.0,0.24135248524111672,2.9943253285176046,0.840545649464066,45.44185473467853,39.095821380615234,47.250762939453125,50.00431823730469,1.001145565978346,0.18704087175159928,0.25,1.8276258707046509,1.001145565978346,0.18704087175159928,0.013514162702287221,0.0,4.399894714355469,1.970531958180505,0.5521411110699352,1.0011234315665993,1.0012369316977423,1.0012195819133036,298.2238839118035,376.107901685638,1.0872516148027755,231.71344606168978,298.223883665786,334.4833353114683,379.1532404471301,430.7968703783461,304.727536882673,279.62513318912005,349.3915637472401,0.5786225528287355,0.7146498780855531,-0.5379049367059976,-0.5379049367059976,0.832334262019247,0.4567548312795084,0.138801474745823,0.7493317062285344,0.8597089724246779,0.9459942836649524,0.9787653775069949,0.3597089724246779,0.14599428366495237,0.028765377506994927,0.0,0.0,0.24725274725274726,0.7527472527472527,1.0,0.7466643758855023,0.772335933132486,0.779181495308876
