epoch,lr,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,1.0,latent,0.0,0.0,0.31228037494601624,0.2506211002667745,0.6046597424781683,0.0059664952092465355,0.0,0.0,0.06617036998046166,0.1606811136007309,0.0,0.0,0.0,0.0,166.5938544995857,0.3855227870811371,0.0,0.0,0.0,0.0,,,,
1,4e-05,1.0,latent,0.0,0.0,0.3160018333882997,0.2508821559674812,0.6394866894591938,0.005855054068943542,0.0,0.0,0.07134460552002896,0.17224760353565216,0.0,0.0,0.0,0.0,168.67992470481178,0.6179715929028334,0.0,0.0,0.0,0.0,,,,
2,6e-05,1.0,latent,0.0,0.0,0.3131352012807673,0.2500613553054405,0.6190483642346931,0.00584503160225171,0.0,0.0,0.06685857405660278,0.1472567766904831,0.0,0.0,0.0,0.0,171.7254717277758,1.079861288857932,0.0,0.0,0.0,0.0,,,,
3,8e-05,1.0,latent,0.0,0.0,0.3141027842507218,0.25173248034535034,0.6125202937559648,0.005591360908566099,0.0,0.0,0.0748529193471327,0.18756221234798431,0.0,0.0,0.0,0.0,175.46460192131275,1.3743970994293573,0.0,0.0,0.0,0.0,,,,
4,0.0001,1.0,latent,0.0,0.0,0.3063753093733932,0.24901106005365198,0.5627510800506129,0.005445709670752738,0.0,0.0,0.07479679180930059,0.24121636152267456,0.0,0.0,0.0,0.0,181.58921259099787,2.2100110837880886,0.0,0.0,0.0,0.0,352.8680775960286,449.39577502880775,0.8307672980564494,-169.67138671875
5,0.0001,1.0,latent,0.0,0.0,0.31034616538972565,0.2493857384631128,0.597935570008827,0.005834365198318141,0.0,0.0,0.09896069457472274,0.2697099447250366,0.0,0.0,0.0,0.0,188.5392950809363,1.9833948850354115,0.0,0.0,0.0,0.0,,,,
6,9.997266286704631e-05,1.0,latent,0.0,0.0,0.3095048729217414,0.2488549780665022,0.5954773100939664,0.005510831287017826,0.0,0.0,0.07992740853153395,0.22329215705394745,0.0,0.0,0.0,0.0,194.1867814497514,2.2546393997356953,0.0,0.0,0.0,0.0,,,,
7,9.989068136093873e-05,1.0,latent,0.0,0.0,0.30842308203379315,0.24890544920256644,0.584017456480951,0.005579433248688777,0.0,0.0,0.0808214545249939,0.26652488112449646,0.0,0.0,0.0,0.0,201.5608700838956,2.8281303855207365,0.0,0.0,0.0,0.0,,,,
8,9.975414512725057e-05,1.0,latent,0.0,0.0,0.30596114198366803,0.2484734785376173,0.5649475825555397,0.004964540945366025,0.0,0.0,0.11195369194628614,0.32440513372421265,0.0,0.0,0.0,0.0,205.99483513109612,1.7269002143735053,0.0,0.0,0.0,0.0,,,,
9,9.956320346634876e-05,1.0,latent,0.0,0.0,0.30435372843886865,0.24571164313590887,0.5774484367081614,0.004486202639809838,0.0,0.0,0.12740280614657837,0.32694998383522034,0.0,0.0,0.0,0.0,214.4610614198627,4.477890255818716,0.0,0.0,0.0,0.0,341.549245707194,434.1516201195081,0.9612957693407473,-90.4581782023112
10,9.931806517013612e-05,1.0,latent,0.0,0.0,0.3013876929427638,0.24375355830698303,0.5669543725071531,0.0046934917830213,0.0,0.0,0.18505582484331998,0.5311790704727173,0.0,0.0,0.0,0.0,231.93517927689985,11.368111265924815,0.0,0.0,0.0,0.0,,,,
11,9.901899829374047e-05,1.0,latent,0.0,0.0,0.3033918756427187,0.2404355646082849,0.6206705795996117,0.00444625155068934,0.0,0.0,0.2573687463547244,0.5504727363586426,0.0,0.0,0.0,0.0,245.45195330995503,14.69361828859709,0.0,0.0,0.0,0.0,,,,
12,9.86663298624003e-05,1.0,latent,0.0,0.0,0.2957219634995316,0.23846772538893152,0.5637227233612176,0.0044098213794782305,0.0,0.0,0.27858614086201694,0.7119483947753906,0.0,0.0,0.0,0.0,250.56218280214253,31.56566114073123,0.0,0.0,0.0,0.0,,,,
13,9.826044551386744e-05,1.0,latent,0.0,0.0,0.2919429531603148,0.2364430996504697,0.5468591334241809,0.004069709386605995,0.0,0.0,0.4515139171571443,0.9310859441757202,0.0,0.0,0.0,0.0,254.85535916415128,50.532775152288586,0.0,0.0,0.0,0.0,,,,
14,9.780178907671789e-05,1.0,latent,0.0,0.0,0.2902896015933066,0.23571169782768597,0.5374923998659308,0.0041433098253257795,0.0,0.0,0.4438171544761369,0.9094401001930237,0.0,0.0,0.0,0.0,267.1260898474491,63.38382948840784,0.0,0.0,0.0,0.0,289.93835194905597,387.33209747887315,0.8377071598140616,-63.935201517740886
15,9.729086208503174e-05,1.0,latent,0.0,0.0,0.2832187766378576,0.23410311476750809,0.48283894405220495,0.004158832072844785,0.0,0.0,0.5101480994260672,0.9377645254135132,0.0,0.0,0.0,0.0,272.44999463630444,87.68840550272027,0.0,0.0,0.0,0.0,,,,
16,9.672822322997305e-05,1.0,latent,0.0,0.0,0.2779453387766173,0.23112565008076755,0.4611362729108695,0.0035302946238185873,0.0,0.0,0.5948902115677343,1.1576277017593384,0.0,0.0,0.0,0.0,272.94898663145125,93.63881518459353,0.0,0.0,0.0,0.0,,,,
17,9.611448774886924e-05,1.0,latent,0.0,0.0,0.2785644829273224,0.23086349801583725,0.4695472473447973,0.0037313056086669817,0.0,0.0,0.6127030619166114,1.2797422409057617,0.0,0.0,0.0,0.0,288.5028594045928,114.94312183194016,0.0,0.0,0.0,0.0,,,,
18,9.545032675245813e-05,1.0,latent,0.0,0.0,0.27048305986505566,0.22898712393009302,0.4085177928209305,0.003220799999932448,0.0,0.0,0.6950462812727148,1.818722128868103,0.0,0.0,0.0,0.0,277.4861251368667,125.41770437061642,0.0,0.0,0.0,0.0,,,,
19,9.473646649103818e-05,1.0,latent,0.0,0.0,0.2760660603190913,0.22932050580328162,0.4601619257168336,0.0036468249181229057,0.0,0.0,0.8466696504390601,2.4079833030700684,0.0,0.0,0.0,0.0,284.4301503499349,135.94871226989045,0.0,0.0,0.0,0.0,239.25016454060872,320.28364936517454,0.7714327160410687,66.23191909790039
20,9.397368756032445e-05,1.0,latent,0.0,0.0,0.26888808472590014,0.22600041781411026,0.422603912877314,0.003136382328882588,0.0,0.0,0.7636450339447368,1.3354517221450806,0.0,0.0,0.0,0.0,302.4304296320135,160.09938894348343,0.0,0.0,0.0,0.0,,,,
21,9.316282404787871e-05,1.0,latent,0.0,0.0,0.2637702149875236,0.2261796575604063,0.36948909587932355,0.0032082532433736505,0.0,0.0,0.82853174570835,1.9947830438613892,0.0,0.0,0.0,0.0,295.9120959657611,160.45737914988572,0.0,0.0,0.0,0.0,,,,
