epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,27.344601192989863,19.090172020164697,3.788689278267525,3.788689278267525,3.788689278267525,0.0,0.0,0.2463281219070022,5.860785819388725,0.17327222308597048,4.100383449245143,0.0779243482125772,0.00027731214524120897,0.0,0.6587500185579866,11.363804997624579,1.358357300629487,11.363804997624579,0.0,0.0,0.0,0.0,0.0,2.1267380714416504,49.98189163208008,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007400553673505783,0.9055544137954712,1.0170472860336304,0.3325594365596771,0.002664324129000306,0.0,0.0,0.0,0.0,0.0,,0.3323947787284851,0.332764208316803,,0.3348488211631775,,0.3323950171470642,0.332767128944397,,0.33483782410621643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,27.95505832981419,19.644847972972972,3.782829490867821,3.782829490867821,3.782829490867821,0.0,0.0,0.24645970318768476,6.085052490234375,0.1732444376558871,4.088493965767525,0.08043284673948546,0.0002749370209671356,0.0,0.6572579564274968,11.455330513619089,1.4143927290632918,11.455330513619089,0.0,0.0,0.0,0.0,0.0,2.1334898471832275,49.882850646972656,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.0059849717654287815,0.9574291110038757,1.0138784646987915,0.3313237428665161,0.0027403919957578182,0.0,0.0,0.0,0.0,0.0,,0.3309479057788849,0.33158475160598755,,0.3374958336353302,,0.3309497535228729,0.33159899711608887,,0.3374512493610382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.044268633868242,17.8898364917652,3.80593170990815,3.80593170990815,3.80593170990815,0.0,0.0,0.24607797571130702,5.666381423537795,0.1731899493449443,3.898715045001056,0.07580591536856987,0.00027440609158696353,0.0,0.645587818042652,11.181359368401605,1.2687218124802049,11.181359368401605,0.0,0.0,0.0,0.0,0.0,2.1416478157043457,49.65532684326172,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005319258663803339,0.9560749530792236,1.0135858058929443,0.329715758562088,0.0034377758856862783,0.0,0.0,0.0,0.0,0.0,,0.3290509283542633,0.33012640476226807,,0.3408694267272949,,0.32905909419059753,0.33015555143356323,,0.34078535437583923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,27.99662822001689,19.734099516997468,3.76957537676837,3.76957537676837,3.76957537676837,0.0,0.0,0.2468207849038614,6.072306452570735,0.17313183964909734,4.054901947846284,0.08145231169623297,0.00026665099367902085,0.0,0.6544109550682274,11.32759630357897,1.3895383267789274,11.32759630357897,0.0,0.0,0.0,0.0,0.0,2.149946451187134,49.505428314208984,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005112959071993828,0.92629075050354,1.011279582977295,0.32736343145370483,0.0047189765609800816,0.0,0.0,0.0,0.0,0.0,,0.3261719346046448,0.328540176153183,,0.3453284204006195,,0.3261876404285431,0.3285803198814392,,0.3452320098876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.36186259501689,18.21212356154983,3.8043711894267314,3.8043711894267314,3.8043711894267314,0.0,0.0,0.2463201058877481,5.672638764252534,0.1730397198651288,3.843234087969806,0.07731139337694323,0.00026397548011831333,0.0,0.6411580266179265,11.212865881017736,1.2997021030735325,11.212865881017736,0.0,0.0,0.0,0.0,0.0,2.1620121002197266,49.170780181884766,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003812328213825822,0.9755771160125732,1.0133757591247559,0.3247920572757721,0.006108200643211603,0.0,0.0,0.0,0.0,0.0,,0.32304105162620544,0.3267153799533844,,0.35030147433280945,,0.3230650722980499,0.3267691731452942,,0.3501657545566559,250.56721222007667,374.0464648519105,0.6744906049426217,-114.53722551366785,250.56721221692706,323.23853861781623,388.48815246083103,425.89583354842875,196.45395169939314,146.06621711198673,551.858977276346,0.03720539756919589,0.25069346297012574,0.27720553044493634,0.2957469855243873,0.0,0.3342347030902738,0.28840165003813667,0.16602623658349527,1.3907179856562226,0.7361950826279726,0.7827305705177531,0.8315745117437984,0.23619508262797262,-0.017269429482246967,-0.11842548825620158,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333532425728473,2.2754240055660624,2.2324938849433438,-8.000395774841309,0.0003352736821398139
6,6e-06,6e-05,0.05,27.43847491290118,19.209429766680742,3.7694718644425675,3.7694718644425675,3.770317283836571,0.0,0.0,0.2484050956932274,5.896182498416385,0.1729173402528505,4.00689037426098,0.08209945704485919,0.00023791042936814797,0.0,0.6464306083885399,11.38187057907517,1.3267427392908044,11.38187057907517,0.0,0.0,0.0,0.0,0.0,2.1955437660217285,48.611663818359375,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.0046458253636956215,0.9749563336372375,1.0250029563903809,0.3320307433605194,0.006420100573450327,0.0,0.0,1.6399879455566406,0.9824338555335999,0.40095056296273895,,0.33413898944854736,0.3200141489505768,,0.34586238861083984,,0.334120512008667,0.32013028860092163,,0.345749169588089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.54329537056588,19.336137101456927,3.799984906170819,3.799984906170819,3.8017404917124153,0.0,0.0,0.24754993335620776,5.790448575406461,0.17277382515572212,3.931612994219806,0.08123399115897514,0.00022643570460983224,0.0,0.654751494124129,11.30249765756968,1.2915051434491132,11.30249765756968,0.0,0.0,0.0,0.0,0.0,2.231172561645508,47.70559310913086,47.06654739379883,47.807735443115234,48.27689743041992,1.0,0.010052279569208622,0.9682623744010925,1.0728334188461304,0.34324222803115845,0.016912948340177536,0.0,0.0,1.5615074634552002,0.647288978099823,0.5854717359675343,,0.35089147090911865,0.31185972690582275,,0.3373259902000427,,0.3508182764053345,0.3118595778942108,,0.3373221755027771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,28.563159839527028,20.23908955342061,3.7502928037901184,3.7502928037901184,3.7529214395059123,0.0,0.0,0.2500465238416517,6.08715160472973,0.17267388266486092,4.176460059913429,0.08572704727585251,0.00022943330475607435,0.0,0.6829609226536106,11.572877626161318,1.357256812018317,11.572877626161318,0.0,0.0,0.0,0.0,0.0,2.3412702083587646,45.693634033203125,44.648826599121094,45.7970085144043,46.60914993286133,1.0,0.02419717237353325,0.9434806704521179,1.2308123111724854,0.36412474513053894,0.03855203464627266,0.0,0.0,1.5209391117095947,0.4979606866836548,0.6725965669171808,,0.3821132183074951,0.29659226536750793,,0.3214285969734192,,0.3815826177597046,0.2968519926071167,,0.3215653598308563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,27.20801441089527,19.10852875580659,3.79043909021326,3.79043909021326,3.7920581714527026,0.0,0.0,0.2478303136052312,5.607905207453547,0.17245595519607132,3.6675423287056588,0.08022458488876755,0.00024267311233120995,0.0,0.7088193635682802,11.246205097920186,1.2535577722497888,11.246205097920186,0.0,0.0,0.0,0.0,0.0,2.4561586380004883,43.17371368408203,41.13242721557617,43.44450378417969,44.91121292114258,1.0,0.05976155400276184,0.8765954375267029,1.5061357021331787,0.37764376401901245,0.05889051780104637,0.0,0.0,1.178048849105835,0.34804707765579224,0.7045563281013622,,0.4020479619503021,0.28806933760643005,,0.3103339970111847,,0.40079230070114136,0.28857162594795227,,0.31063607335090637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,27.00330414643159,19.005755450274492,3.750572410789696,3.750572410789696,3.7474790006070524,0.0,0.0,0.24714047199970968,5.460375399202914,0.17227239866514463,3.4059792595940666,0.0787934161521293,0.00026121871495569075,0.0,0.7268688098804371,11.344758729676943,1.267353985760663,11.344758729676943,0.0,0.0,0.0,0.0,0.0,2.7198619842529297,39.07144546508789,33.375179290771484,40.101200103759766,42.93836212158203,1.0,0.15258117020130157,0.7721513509750366,2.3166167736053467,0.3881992697715759,0.10094292461872101,0.0,0.0,0.8548787832260132,0.2462073266506195,0.711997383159377,,0.4167836904525757,0.28556886315345764,,0.2988574206829071,,0.4128798842430115,0.2870860993862152,,0.3000340163707733,250.57114441840204,373.66532333159415,0.6770688067904326,-112.77311796670432,250.57114457598743,323.523532553329,389.0007779466097,426.53780998238864,197.70786121913366,146.7439298407976,549.7831805685292,0.03609161820242704,0.26673838295430075,0.17551572037693,0.313300929205852,0.0,0.37389147869736783,0.2774730278775653,0.1474843450818397,1.3865305637010625,0.7196328459931846,0.7637316331391301,0.8324722435967902,0.21963284599318456,-0.03626836686086998,-0.11752775640320978,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3356256825583324,2.2770287967645206,2.233935913869313,-7.999795436859131,0.00033547496423125267
