epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,26.2082239099451,19.090178618559968,3.7886872162690035,3.7886872162690035,3.7886872162690035,0.0,0.0,0.2463281219070022,5.860786644188133,0.17327219731098897,4.100376850849873,0.07792436754381335,0.00027731186836152464,0.0,0.6587486267089844,11.363805822423986,1.3583565789300043,11.363805822423986,0.0,0.0,0.0,0.0,0.0,2.126734733581543,49.981468200683594,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007398395799100399,0.9055331945419312,1.017039179801941,0.332557737827301,0.002664314117282629,0.0,0.0,0.0,0.0,0.0,,0.33239296078681946,0.33276158571243286,,0.3348534107208252,,0.33239316940307617,0.33276456594467163,,0.3348422646522522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.809520824535472,19.644847972972972,3.782829490867821,3.782829490867821,3.782829490867821,0.0,0.0,0.24645972896266627,6.085033932247677,0.173244334555961,4.0884733457823055,0.08043281452075855,0.0002749290669689307,0.0,0.6572384189915013,11.455332163217905,1.4143870585673564,11.455332163217905,0.0,0.0,0.0,0.0,0.0,2.1334946155548096,49.88277053833008,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.005984227638691664,0.957391619682312,1.0138626098632812,0.3313070237636566,0.0027483166195452213,0.0,0.0,0.0,0.0,0.0,,0.3309272229671478,0.3315749168395996,,0.3375265896320343,,0.33092907071113586,0.3315892815589905,,0.33748167753219604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.926116118559968,17.889813397381758,3.8059374835040116,3.8059374835040116,3.8059374835040116,0.0,0.0,0.24607800148628853,5.6663847227354305,0.17318975603258288,3.8987179317989864,0.07580583804362528,0.00027440312142307694,0.0,0.6455374537287532,11.18136349239865,1.2687233589790963,11.18136349239865,0.0,0.0,0.0,0.0,0.0,2.1416101455688477,49.655731201171875,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005329492501914501,0.9597219824790955,1.0136016607284546,0.3296831548213959,0.0034602538216859102,0.0,0.0,0.0,0.0,0.0,,0.32901325821876526,0.3300924301147461,,0.34094181656837463,,0.32902151346206665,0.33012181520462036,,0.340856671333313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.86400047508446,19.73423148490287,3.769580737964527,3.769580737964527,3.769580737964527,0.0,0.0,0.24682135195345492,6.072317587362753,0.17313106639965162,4.054903597445102,0.08145248567735827,0.0002665886957500432,0.0,0.6543166701858109,11.327597953177786,1.3894816218195736,11.327597953177786,0.0,0.0,0.0,0.0,0.0,2.1498992443084717,49.506141662597656,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.0051448591984808445,0.926283061504364,1.0112711191177368,0.3273126780986786,0.004759392701089382,0.0,0.0,0.0,0.0,0.0,,0.3261129558086395,0.3284887373447418,,0.34544217586517334,,0.32612818479537964,0.32852935791015625,,0.3453424572944641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.239757640941722,18.211368045291387,3.8043786126214103,3.8043786126214103,3.8043786126214103,0.0,0.0,0.24632046673748945,5.672524529534417,0.1730387275283401,3.843033249313767,0.07731140626443399,0.0002639294174071905,0.0,0.64092594868428,11.212868355415964,1.2996240564294763,11.212868355415964,0.0,0.0,0.0,0.0,0.0,2.162520170211792,49.161380767822266,48.94146728515625,49.22907257080078,49.3253173828125,1.0,0.003806268097832799,0.9753730297088623,1.0108314752578735,0.3245711028575897,0.00624672370031476,0.0,0.0,0.0,0.0,0.0,,0.3227616846561432,0.3266114592552185,,0.350689172744751,,0.322787880897522,0.32666781544685364,,0.3505443334579468,250.58193615504675,373.7822422945981,0.6764291731918045,-113.24055244110443,250.58193467384982,323.45342852868436,388.8924674773715,426.40799712228556,197.49354553222656,146.5424270925596,550.4235753598421,0.037220533432911866,0.2502557380112931,0.2770116121710888,0.29587168753935744,0.0,0.3344318942515913,0.2893231152521306,0.16874235411063584,1.3907295536353732,0.7362500458026455,0.7826756073430802,0.8315195485691254,0.23625004580264553,-0.017324392656919874,-0.1184804514308746,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3336331379282607,2.2755004459030026,2.23256525855798,-8.000396728515625,0.0003352733619976789
6,6e-06,6e-05,0.05,26.29864501953125,19.20781151024071,3.769677651895059,3.769677651895059,3.770717311549831,0.0,0.0,0.24840612669248838,5.8957061767578125,0.17291459521731814,4.006240019927153,0.08210524352821144,0.00024062581360340118,0.0,0.6460356325716585,11.382010794974661,1.3266890242293075,11.382010794974661,0.0,0.0,0.0,0.0,0.0,2.1962318420410156,48.59818649291992,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.004704071208834648,0.9743815064430237,1.0283963680267334,0.33181604743003845,0.006428919266909361,0.0,0.0,1.6395797729492188,0.9819242358207703,0.4011122532607735,,0.3338717818260193,0.3198918104171753,,0.3462528586387634,,0.3338544964790344,0.3200080394744873,,0.3461374342441559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.41556858372044,19.33820899757179,3.8004067910684123,3.8004067910684123,3.8025360107421875,0.0,0.0,0.24755493370262352,5.790474556587838,0.1727761577915501,3.931735064532306,0.08124628582516231,0.00023001915699726828,0.0,0.6541650617444837,11.302744272592905,1.2914243131070524,11.302744272592905,0.0,0.0,0.0,0.0,0.0,2.2295007705688477,47.732608795166016,47.158565521240234,47.807735443115234,48.27689743041992,1.0,0.009884660132229328,0.9657011032104492,1.0659915208816528,0.34247758984565735,0.016243549063801765,0.0,0.0,1.5568969249725342,0.6450222134590149,0.5857001172570278,,0.3498014509677887,0.3121452033519745,,0.33812204003334045,,0.34973037242889404,0.3121500015258789,,0.33811962604522705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.431224926097972,20.26130470069679,3.750948106920397,3.750948106920397,3.75412317224451,0.0,0.0,0.2500621950304186,6.092490118903083,0.17267876702385979,4.183730254302153,0.08574842117928169,0.00023243236481337935,0.0,0.6812430716849662,11.573164656355575,1.3573675413389463,11.573164656355575,0.0,0.0,0.0,0.0,0.0,2.3328704833984375,45.88007354736328,44.91121292114258,45.976253509521484,46.70027160644531,1.0,0.02256828173995018,0.947749137878418,1.22761869430542,0.3627527058124542,0.03707127273082733,0.0,0.0,1.534878134727478,0.49968504905700684,0.6744464347029562,,0.38010174036026,0.29739153385162354,,0.32262763381004333,,0.3796216547489166,0.29763004183769226,,0.3227483034133911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.14112812763936,19.158546241554053,3.7915022566511825,3.7915022566511825,3.7938314901815877,0.0,0.0,0.24785335643871412,5.622507043786951,0.17246743795034047,3.686444669156461,0.08025873029554212,0.0002447872145755871,0.0,0.7067257649189717,11.24650779930321,1.255326760781778,11.24650779930321,0.0,0.0,0.0,0.0,0.0,2.4449589252471924,43.4013671875,41.45503616333008,43.61454391479492,45.08699035644531,1.0,0.05576401576399803,0.8807558417320251,1.4507594108581543,0.37666913866996765,0.05672775208950043,0.0,0.0,1.2050564289093018,0.3532896935939789,0.7068272612646515,,0.40063685178756714,0.2885546386241913,,0.31121736764907837,,0.39948570728302,0.28901612758636475,,0.31149816513061523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.903338458086992,19.035303064294762,3.75148175213788,3.75148175213788,3.749032922693201,0.0,0.0,0.24714436402191986,5.47018102697424,0.17234982670964422,3.416360597352724,0.07881023432757403,0.0002635016634657576,0.0,0.726185721320075,11.3450647302576,1.2689297650311444,11.3450647302576,0.0,0.0,0.0,0.0,0.0,2.7273600101470947,39.06201934814453,33.375179290771484,40.022953033447266,42.93836212158203,0.9999998807907104,0.1539902538061142,0.7724531888961792,2.2751102447509766,0.38827750086784363,0.10127146542072296,0.0,0.0,0.8541063666343689,0.2471431940793991,0.7106411991128527,,0.4168357253074646,0.2858446538448334,,0.2985418736934662,,0.412913054227829,0.28735485672950745,,0.29973211884498596,250.60123445699503,373.43260735831507,0.6789759492618304,-111.52736506619296,250.60123515839862,323.7628413032789,389.4117991188002,427.0523435643989,198.71640941074915,147.21685424331548,548.4225132154381,0.036032802753364145,0.26306666333867296,0.176304093091019,0.3099859695712597,0.0,0.3697967602610149,0.2750133748670631,0.14142802746260646,1.3865739139075473,0.7195595617602872,0.7634934593822139,0.8324905646550145,0.21955956176028724,-0.03650654061778613,-0.11750943534498548,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3357247648003336,2.277025757255135,2.233933463201418,-7.999776840209961,0.0003354811924509704
