epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,26.09100341796875,19.09014892578125,3.7886909278663428,3.7886909278663428,3.7886909278663428,0.0,0.0,0.013834771272298452,5.8607816953916805,0.17327223597346125,4.100383449245143,0.05470739828573691,0.0002773136554940327,0.0,0.6381739539069098,11.363805822423986,1.358356372730152,11.363805822423986,0.0,0.0,0.0,0.0,0.0,2.126725196838379,49.98225402832031,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007401647977530956,0.9055399894714355,1.0170552730560303,0.3326365649700165,0.00264456938020885,0.0,0.0,0.0,0.0,0.0,,0.33251187205314636,0.33269861340522766,,0.33479729294776917,,0.3325120210647583,0.3327012062072754,,0.3347867727279663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.69247024123733,19.645016232052363,3.78283031566723,3.78283031566723,3.78283031566723,0.0,0.0,0.014108103674811285,6.085073110219595,0.17324432166847023,4.088521184148015,0.05628189525088748,0.0002749049532655123,0.0,0.6362127871126741,11.455332988017314,1.4143678819811023,11.455332988017314,0.0,0.0,0.0,0.0,0.0,2.1334595680236816,49.88277816772461,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.00598797295242548,0.9574254751205444,1.0138823986053467,0.3313659131526947,0.002728384220972657,0.0,0.0,0.0,0.0,0.0,,0.33103716373443604,0.33141809701919556,,0.3375735282897949,,0.3310391306877136,0.3314315676689148,,0.3375293016433716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.809336069467907,17.88970287426098,3.8059329471072636,3.8059329471072636,3.8059329471072636,0.0,0.0,0.01330498666376681,5.666359978753167,0.1731892018704801,3.8987063846072636,0.054188560795139624,0.0002743529810293301,0.0,0.6288564011857316,11.18136266759924,1.2686738710145693,11.18136266759924,0.0,0.0,0.0,0.0,0.0,2.1416845321655273,49.65347671508789,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005310778506100178,0.959685206413269,1.0135747194290161,0.32966291904449463,0.0034810369834303856,0.0,0.0,0.0,0.0,0.0,,0.32903844118118286,0.3298197388648987,,0.3411899507045746,,0.32904717326164246,0.3298478126525879,,0.34110504388809204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.74587600295608,19.73401538745777,3.7695803255648226,3.7695803255648226,3.7695803255648226,0.0,0.0,0.013881641465264398,6.07220830144109,0.17312998385042758,4.054793486724028,0.05669930818918589,0.0002666229784891412,0.0,0.6294236569791227,11.327597953177786,1.3895049224028717,11.327597953177786,0.0,0.0,0.0,0.0,0.0,2.150068759918213,49.50318908691406,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005110459867864847,0.9262073636054993,1.0111885070800781,0.32725104689598083,0.004825262352824211,0.0,0.0,0.0,0.0,0.0,,0.3261794447898865,0.32771173119544983,,0.3461519181728363,,0.3261958956718445,0.32775095105171204,,0.34605318307876587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.122820879961992,18.21183983055321,3.80441985259185,3.80441985259185,3.80441985259185,0.0,0.0,0.013456533889512758,5.672516693940034,0.1730388306282662,3.843052219700169,0.054323563704619535,0.00026397930609213337,0.0,0.618533417985246,11.212873304212415,1.2996927209802576,11.212873304212415,0.0,0.0,0.0,0.0,0.0,2.162290334701538,49.16154861450195,48.94146728515625,49.22907257080078,49.3253173828125,1.0,0.0038090969901531935,0.9754047989845276,1.0109672546386719,0.32444292306900024,0.006398579105734825,0.0,0.0,0.0,0.0,0.0,,0.32287999987602234,0.3250982165336609,,0.3520871698856354,,0.32290494441986084,0.32515519857406616,,0.351939857006073,250.48977015568659,375.64348589697613,0.6635378885915629,-121.84971023391891,250.48976999715197,322.3089052192724,386.73934497886967,423.5869417540433,190.95423780168807,143.1981210043264,560.4326281340226,0.03722601991686356,0.2506090713922768,0.27722166104243406,0.29612625097586964,0.0,0.3348265814401396,0.28997784571208535,0.16855031528580097,1.3907240440957853,0.7362317247444212,0.7827122494595288,0.8315745117437984,0.23623172474442122,-0.01728775054047127,-0.11842548825620158,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.33363794199713,2.2755156987971,2.2325794975181203,-8.000393867492676,0.00033527432242408395
6,6e-06,6e-05,0.05,26.295712032833613,19.323496225717907,3.770012520455025,3.770012520455025,3.770012520455025,0.0,0.0,0.013764871133340371,5.895841443860853,0.17291173419436892,4.00507622796136,0.05666481482016074,0.00023633327234435725,0.0,0.6252923913904138,11.38211471970017,1.3210145073968012,11.38211471970017,0.0,0.0,0.0,0.0,0.0,2.2000536918640137,48.56449508666992,48.27689743041992,48.56059646606445,48.845970153808594,1.0,0.004942336119711399,0.9759414196014404,1.0300058126449585,0.3339812755584717,0.008467339910566807,0.0,0.0,1.636329174041748,0.8461737036705017,0.4828829571128131,,0.33733823895454407,0.31712406873703003,,0.34554940462112427,,0.33730077743530273,0.31725186109542847,,0.3454473614692688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.493825551625843,19.53643633868243,3.80095775707348,3.80095775707348,3.80095775707348,0.0,0.0,0.013729660897641568,5.788200997017525,0.17276579624897725,3.9247820055162586,0.05475965061703244,0.00022580081949362884,0.0,0.6398589675490921,11.3028844884924,1.2872616535908468,11.3028844884924,0.0,0.0,0.0,0.0,0.0,2.244776964187622,47.559112548828125,46.883052825927734,47.62135314941406,48.18269729614258,0.9999998807907104,0.011878525838255882,0.9682143926620483,1.0816060304641724,0.34765541553497314,0.02183494344353676,0.0,0.0,1.5465521812438965,0.5173301696777344,0.6654945265011076,,0.3576810956001282,0.3076344132423401,,0.33479875326156616,,0.3575705289840698,0.3076402544975281,,0.3347892463207245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.55097260346284,20.506324561866553,3.751651248416385,3.751651248416385,3.751651248416385,0.0,0.0,0.014300731388298241,6.080924781593117,0.17269642288620407,4.1596098203916805,0.05910434594025483,0.00022941724573438232,0.0,0.6709799895415435,11.573308996252111,1.357355478647593,11.573308996252111,0.0,0.0,0.0,0.0,0.0,2.373335123062134,45.20809555053711,44.04254913330078,45.35194778442383,46.15619659423828,1.0,0.027827946469187737,0.9399402737617493,1.2806016206741333,0.368569016456604,0.043324146419763565,0.0,0.0,1.484647274017334,0.38601264357566833,0.7399970684409437,,0.3887075185775757,0.29359710216522217,,0.31786733865737915,,0.38806629180908203,0.29388803243637085,,0.3180456757545471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.09771893475507,19.255341400971282,3.791006139806799,3.791006139806799,3.791006139806799,0.0,0.0,0.013690289613362905,5.581133868243243,0.17252141076165275,3.6187521444784627,0.054955469595419394,0.00024342776049633284,0.0,0.7024131465602566,11.246580381651182,1.2529117481128589,11.246580381651182,0.0,0.0,0.0,0.0,0.0,2.522552251815796,42.14240264892578,39.711490631103516,42.4381103515625,44.21493148803711,1.0,0.07550845295190811,0.8687034845352173,1.6741398572921753,0.3827906847000122,0.06750881671905518,0.0,0.0,1.0931010246276855,0.2644149959087372,0.7581056188298808,,0.40914884209632874,0.287324458360672,,0.3042130172252655,,0.40747418999671936,0.28792041540145874,,0.3046053946018219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.72100665118243,19.018653663429053,3.7488522916226774,3.7488522916226774,3.7488522916226774,0.0,0.0,0.013899318269781163,5.368796271246833,0.17206640501280088,3.2884537980363175,0.054264532553183066,0.00026761400639205366,0.0,0.7245142137682116,11.344947608741554,1.2654980839909733,11.344947608741554,0.0,0.0,0.0,0.0,0.0,2.8735170364379883,37.297576904296875,30.26997184753418,38.56494903564453,41.86185073852539,1.0,0.1894155740737915,0.7391864657402039,2.5733823776245117,0.3933006525039673,0.11838667839765549,0.0,0.0,0.7683694362640381,0.233601912856102,0.6959770888442414,,0.4227650463581085,0.29014313220977783,,0.2891196608543396,,0.41778862476348877,0.2916497588157654,,0.29056161642074585,250.49763822031545,375.16987359316045,0.6664893948275463,-119.83633504595075,250.4976380143371,322.61765655712287,387.2868342599672,424.29548068473383,192.4015551975795,143.97137173201688,558.0750503540039,0.035974789133613926,0.26654539887685547,0.15505975322816148,0.3146182969783243,0.0,0.3792874541411767,0.27320450402941004,0.13603073613855718,1.3863470261828899,0.7185885456743981,0.7609101901725843,0.8324722435967902,0.21858854567439812,-0.03908980982741572,-0.11752775640320978,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3355851147201037,2.276965978708896,2.233880775315421,-7.999775409698486,0.0003354816872160882
