epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.63079009184966,17.71712184596706,3.7476179793074325,3.7476179793074325,3.7476179793074325,0.0,0.0,0.013920874209017367,5.753170528927365,0.1732762826455606,3.928774859454181,0.05581904746390678,0.00027669498042480364,0.0,0.640677632512273,11.453930829022381,1.2721979295885242,11.453930829022381,0.0,0.0,0.0,0.0,0.0,2.1275296211242676,49.99114227294922,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007862572558224201,0.9401473999023438,1.0145879983901978,0.33275675773620605,0.0027359905652701855,0.0,0.0,0.0,0.0,0.0,,0.3326846659183502,0.33264869451522827,,0.33466747403144836,,0.33268144726753235,0.3326457142829895,,0.33467286825180054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.34872848923142,18.43866131756757,3.807959066854941,3.807959066854941,3.807959066854941,0.0,0.0,0.013522223846332447,5.666713817699535,0.1732454944301296,3.820070421373522,0.0568952109362628,0.0002741543324412526,0.0,0.6330566921749631,11.205309893633869,1.3223732613228463,11.205309893633869,0.0,0.0,0.0,0.0,0.0,2.1314659118652344,49.89750289916992,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.006405804306268692,0.9542059302330017,1.0179550647735596,0.3317019045352936,0.0025502382777631283,0.0,0.0,0.0,0.0,0.0,,0.3315249979496002,0.3312542736530304,,0.3372268080711365,,0.3315257430076599,0.3312596380710602,,0.3372145891189575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.5662561365076,19.55501412056588,3.786186424461571,3.786186424461571,3.786186424461571,0.0,0.0,0.013648028309280807,6.014575442752323,0.173190129769815,4.065949311127534,0.05661484357473012,0.00027199711247875884,0.0,0.6320601798392631,11.24856237463049,1.395275219066723,11.24856237463049,0.0,0.0,0.0,0.0,0.0,2.139349937438965,49.67217254638672,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005735769402235746,0.9571574330329895,1.0135273933410645,0.33014583587646484,0.0031521206256002188,0.0,0.0,0.0,0.0,0.0,,0.32986244559288025,0.3289499282836914,,0.34119540452957153,,0.32986587285995483,0.3289647102355957,,0.34116941690444946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.022667137352197,19.023907635663008,3.771369315482475,3.771369315482475,3.771369315482475,0.0,0.0,0.013878169897440317,5.92628643963788,0.1731206533071157,4.12539631611592,0.05723585953583588,0.00026786339947500746,0.0,0.6297063569764834,11.326611493084881,1.3623892294394004,11.326611493084881,0.0,0.0,0.0,0.0,0.0,2.149872303009033,49.488651275634766,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.004187264014035463,0.9718587398529053,1.0107463598251343,0.32811376452445984,0.004119028337299824,0.0,0.0,0.0,0.0,0.0,,0.3276181221008301,0.32631486654281616,,0.34609454870224,,0.3276277482509613,0.32634609937667847,,0.34602615237236023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.89081470386402,18.909435375316722,3.749270464922931,3.749270464922931,3.749270464922931,0.0,0.0,0.01397905478606353,5.956456777211782,0.1730383924535803,4.040416408229518,0.05535664429535737,0.00026504589697799166,0.0,0.6263794254612278,11.49405319626267,1.3473364340292442,11.49405319626267,0.0,0.0,0.0,0.0,0.0,2.162914276123047,49.15070724487305,48.94146728515625,49.133018493652344,49.3253173828125,1.0,0.004113021772354841,0.9578860998153687,1.0123692750930786,0.32476699352264404,0.0061562154442071915,0.0,0.0,0.0,0.0,0.0,,0.32363325357437134,0.3234765827655792,,0.3529272973537445,,0.3236469626426697,0.3235076069831848,,0.3528454303741455,250.52070064335078,374.363794430289,0.6719669097245701,-116.12936518742488,250.52070096365156,323.01322732478025,388.0968032567658,425.4060170377184,195.21638652256556,145.40026976711067,553.7308263364046,0.03738113147613389,0.2541905650556695,0.2835325685719429,0.3005790282525847,0.0,0.3421694382025759,0.29412057283006565,0.1823495552232469,1.3906884305986706,0.7363782932102159,0.7828038547506504,0.8314645853944523,0.23637829321021586,-0.017196145249349648,-0.11853541460554762,0.0,0.0,0.5274725274725275,0.4725274725274725,1.0,2.3339710441919475,2.275764960181582,2.2328082529398112,-8.000264167785645,0.00033531777444295585
6,6e-06,6e-05,0.05,25.365001781566722,18.44719139305321,3.7618758742873735,3.7618758742873735,3.7618758742873735,0.0,0.0,0.013657742255442851,5.714927467139992,0.17288045625428897,4.003631591796875,0.055452024614488754,0.0002469156138800286,0.0,0.6224620922191723,11.29218271616343,1.2599457405708931,11.29218271616343,0.0,0.0,0.0,0.0,0.0,2.1961450576782227,48.5681037902832,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.005064957309514284,0.9757044315338135,1.0311754941940308,0.33211493492126465,0.008412930183112621,0.0,0.0,1.6811209917068481,1.0858469009399414,0.3540935445476312,,0.33504045009613037,0.3159371614456177,,0.34902486205101013,,0.3350151777267456,0.3160023093223572,,0.3489825129508972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.23241362700591,20.239424421980573,3.7797934042440877,3.7797934042440877,3.7797934042440877,0.0,0.0,0.01369370157654221,5.983727944863809,0.17268921877886798,4.009944194072002,0.05741320429621516,0.00023551730791459213,0.0,0.6327355359051678,11.299657873205236,1.3608459266456399,11.299657873205236,0.0,0.0,0.0,0.0,0.0,2.220719575881958,47.771785736083984,47.250762939453125,47.807735443115234,48.27689743041992,1.0,0.007854570634663105,0.9677998423576355,1.0485680103302002,0.339408278465271,0.014902257360517979,0.0,0.0,1.5808595418930054,0.740805447101593,0.5313907229136162,,0.3461261987686157,0.3096623420715332,,0.3442439138889313,,0.34605175256729126,0.3097449541091919,,0.34420329332351685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.203631426836992,20.210371687605573,3.785881248680321,3.785881248680321,3.785881248680321,0.0,0.0,0.013643828598228661,5.9300871153135555,0.17253003249297272,4.062600625527872,0.05578720891797865,0.0002292583419664486,0.0,0.6506293013289168,11.243044466585726,1.3205922100995038,11.243044466585726,0.0,0.0,0.0,0.0,0.0,2.2735283374786377,46.44329833984375,45.618465423583984,46.51820755004883,47.158565521240234,1.0,0.01612330786883831,0.9345324635505676,1.1385884284973145,0.3550855219364166,0.03017110377550125,0.0,0.0,1.4642364978790283,0.5553536415100098,0.620721350468692,,0.36953502893447876,0.2983536124229431,,0.3322010338306427,,0.36938124895095825,0.2984004616737366,,0.33221834897994995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.887066815350508,19.016733530405407,3.7587837013038428,3.7587837013038428,3.7587837013038428,0.0,0.0,0.013747959523587613,5.667721310177365,0.17257981686978727,3.805435593063767,0.05682233861974768,0.0002326096433240014,0.0,0.6780141881994299,11.30442356418919,1.261454711089263,11.30442356418919,0.0,0.0,0.0,0.0,0.0,2.372908353805542,44.523475646972656,42.93836212158203,44.73611831665039,45.88654327392578,1.0,0.03779352456331253,0.8966730237007141,1.2749444246292114,0.3686685860157013,0.047494567930698395,0.0,0.0,1.2522319555282593,0.42121484875679016,0.6636287335607093,,0.3896646797657013,0.28938984870910645,,0.32092297077178955,,0.3889104127883911,0.2898635268211365,,0.3212260603904724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.948380753800677,19.160477921769427,3.768171980574324,3.768171980574324,3.768171980574324,0.0,0.0,0.013699961675179971,5.489194715345228,0.17266990043021538,3.502765552417652,0.05491794122231973,0.0002429777303257504,0.0,0.6972148998363598,11.348629513302365,1.2688551206846495,11.348629513302365,0.0,0.0,0.0,0.0,0.0,2.522829294204712,41.89683532714844,38.56494903564453,42.521080017089844,44.47475814819336,1.0,0.12367723137140274,0.8190728425979614,2.016387462615967,0.3791889250278473,0.08781715482473373,0.0,0.0,0.9783059358596802,0.3005096912384033,0.6928264664219457,,0.40452539920806885,0.2859651744365692,,0.3103522062301636,,0.40117600560188293,0.2874659299850464,,0.3113580346107483,250.53228160313196,374.0436611434986,0.6741574864496485,-114.6579467857277,250.53228151470495,323.2756557480188,388.5219394628873,425.93626388748174,196.28838239397322,145.9759328088095,551.9991574494735,0.03600630757378822,0.25599589730151606,0.2198481150344662,0.28923944785229516,0.0,0.3478723047687897,0.22151257708390407,0.1251761377427883,1.3870289086590204,0.721758088747206,0.766901176211938,0.8324356014803415,0.22175808874720604,-0.03309882378806206,-0.1175643985196585,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3354183383040374,2.2771574769701277,2.234086966449088,-8.000149726867676,0.0003353561623953283
