epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,26.09105125633446,19.090200063344593,3.78868969066723,3.78868969066723,3.78868969066723,0.0,0.0,0.013834771272298452,5.860783757390203,0.17327222308597048,4.100377675649282,0.05470744983569996,0.00027731498955069363,0.0,0.6381737992570207,11.363804997624579,1.3583597750277132,11.363804997624579,0.0,0.0,0.0,0.0,0.0,2.126721143722534,49.9821662902832,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0074034929275512695,0.9055257439613342,1.017051339149475,0.33263590931892395,0.002645281609147787,0.0,0.0,0.0,0.0,0.0,,0.3325110971927643,0.33269795775413513,,0.334798663854599,,0.332511305809021,0.33270061016082764,,0.33478811383247375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.69224094700169,19.644793536211992,3.7828323776657515,3.7828323776657515,3.7828323776657515,0.0,0.0,0.014108094009193214,6.085053315033784,0.17324447631835938,4.088503450960727,0.056281908138378245,0.0002749455035538287,0.0,0.6362154677107528,11.455331338418496,1.4143996367583405,11.455331338418496,0.0,0.0,0.0,0.0,0.0,2.1334586143493652,49.88362121582031,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.0059854513965547085,0.9574328660964966,1.0139143466949463,0.33137431740760803,0.0027226959355175495,0.0,0.0,0.0,0.0,0.0,,0.331046462059021,0.33142924308776855,,0.33755290508270264,,0.33104845881462097,0.331442654132843,,0.337508887052536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.809472986169762,17.889815046980573,3.8059477934966215,3.8059477934966215,3.8059477934966215,0.0,0.0,0.013304982636425947,5.666383897936022,0.17318969159512906,3.8987418509818412,0.05418870255753801,0.0002743982382722803,0.0,0.6288814544677734,11.18136349239865,1.2687163481841217,11.18136349239865,0.0,0.0,0.0,0.0,0.0,2.1416735649108887,49.655181884765625,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005316754337400198,0.9596806168556213,1.013577938079834,0.3296625316143036,0.00348092638887465,0.0,0.0,0.0,0.0,0.0,,0.32903459668159485,0.32983729243278503,,0.34117627143859863,,0.32904329895973206,0.3298652470111847,,0.34109148383140564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.745826514991553,19.733959301097972,3.769588161159206,3.769588161159206,3.769588161159206,0.0,0.0,0.013881641465264398,6.07223180822424,0.17313092463725321,4.05480585871516,0.05669979791383486,0.0002666287929625125,0.0,0.6294289150753537,11.327598777977196,1.389516881994299,11.327598777977196,0.0,0.0,0.0,0.0,0.0,2.1500449180603027,49.504371643066406,49.421749114990234,49.518367767333984,49.61518478393555,0.9999998807907104,0.0051162163726985455,0.9262179136276245,1.0112000703811646,0.3272368013858795,0.004835623316466808,0.0,0.0,0.0,0.0,0.0,,0.32616040110588074,0.32771044969558716,,0.346172571182251,,0.32617658376693726,0.32774949073791504,,0.3460739254951477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.12268726245777,18.211714461043073,3.804397170608108,3.804397170608108,3.804397170608108,0.0,0.0,0.013456533889512758,5.672538138724662,0.1730391399280445,3.843105006862331,0.05432353148589263,0.0002639435886128529,0.0,0.6185233141924884,11.212871654613599,1.2996677707981419,11.212871654613599,0.0,0.0,0.0,0.0,0.0,2.162182092666626,49.16693115234375,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.0038129715248942375,0.9754980802536011,1.0110650062561035,0.32445716857910156,0.0063878269866108894,0.0,0.0,0.0,0.0,0.0,,0.32289639115333557,0.3251132667064667,,0.352055162191391,,0.32292044162750244,0.3251691460609436,,0.35191047191619873,250.52044556167098,374.36402428158397,0.6719709657855453,-116.12636821872586,250.520445207707,323.0304924679688,388.1192671514182,425.4259000481983,195.21348898751395,145.40179076675298,553.7259926173998,0.03720659616169979,0.25003563711771865,0.2764675579392274,0.2953729302012285,0.0,0.3339438642982891,0.28875257825961403,0.16817510541724634,1.3907349276183443,0.7362500458026455,0.7826939284013045,0.831556190685574,0.23625004580264553,-0.01730607159869557,-0.118443809314426,0.0,0.0,0.521978021978022,0.47802197802197804,1.0,2.3336370331900462,2.275510943852938,2.2325749154929277,-8.000398635864258,0.00033527272171340883
6,6e-06,6e-05,0.05,26.12798247466216,19.1558557458826,3.7695300128008866,3.7695300128008866,3.7695300128008866,0.0,0.0,0.013760107594567377,5.89641962824641,0.1729192476014833,4.007562585779138,0.05663456787934174,0.00024304984489808212,0.0,0.6217686936662004,11.381966255806589,1.3300942085884713,11.381966255806589,0.0,0.0,0.0,0.0,0.0,2.1936323642730713,48.61815643310547,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004575665574520826,0.9760521650314331,1.02597177028656,0.33004772663116455,0.0065721855498850346,0.0,0.0,1.6397783756256104,1.0620527267456055,0.35231934843608986,,0.33166658878326416,0.3189091086387634,,0.3494453430175781,,0.33166247606277466,0.3190264403820038,,0.34931108355522156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.191930822423988,19.233179040857262,3.80010986328125,3.80010986328125,3.80010986328125,0.0,0.0,0.013723563503574681,5.79152741303315,0.17278519192257444,3.935628117741765,0.054718668396408494,0.00023274954307723688,0.0,0.62812547425966,11.302676639041385,1.2946931993639148,11.302676639041385,0.0,0.0,0.0,0.0,0.0,2.2226130962371826,47.81646728515625,47.250762939453125,47.90120315551758,48.371280670166016,1.0,0.00897542480379343,0.970060408115387,1.0515769720077515,0.3384271562099457,0.013505212031304836,0.0,0.0,1.5654349327087402,0.7347539663314819,0.5306390888696312,,0.3442527651786804,0.31248289346694946,,0.3433050215244293,,0.34419727325439453,0.31250208616256714,,0.34330061078071594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.165477855785472,20.111248944256758,3.7506148879592485,3.7506148879592485,3.7506148879592485,0.0,0.0,0.014294893354982944,6.100650271853885,0.17267626685065193,4.197668951910895,0.05905469688209328,0.00023544987512601388,0.0,0.6532732473837363,11.573130014780405,1.3588017644108952,11.573130014780405,0.0,0.0,0.0,0.0,0.0,2.3135671615600586,46.14516830444336,45.26345443725586,46.24643325805664,46.883052825927734,1.0,0.020244015380740166,0.9529018998146057,1.1930487155914307,0.3575689196586609,0.032848507165908813,0.0,0.0,1.564021348953247,0.5858947038650513,0.6253921314711125,,0.3728988468647003,0.2983477711677551,,0.3288491666316986,,0.3725059926509857,0.2985711991786957,,0.3289228081703186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.97026268211571,19.09495090793919,3.7917117557010136,3.7917117557010136,3.7917117557010136,0.0,0.0,0.013688316216339936,5.64431061615815,0.17243596669789907,3.7225758320576436,0.054962377290467955,0.00024646915797446226,0.0,0.6792316436767578,11.24654079127956,1.2582779961663324,11.24654079127956,0.0,0.0,0.0,0.0,0.0,2.4015345573425293,44.010799407958984,42.27266311645508,44.21493148803711,45.440608978271484,1.0,0.046222858130931854,0.8894765377044678,1.3420987129211426,0.37040114402770996,0.049544282257556915,0.0,0.0,1.2677477598190308,0.42368876934051514,0.6657941092311643,,0.39196714758872986,0.28953370451927185,,0.3187732696533203,,0.3911092281341553,0.28991639614105225,,0.3189743757247925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.84077907252956,19.06188799883868,3.7528736011402026,3.7528736011402026,3.7528736011402026,0.0,0.0,0.013902714123597016,5.531928397513725,0.1724806734033533,3.494316719673775,0.05430908460874815,0.0002615817797345084,0.0,0.6970952523721231,11.345190924567145,1.2725185703586888,11.345190924567145,0.0,0.0,0.0,0.0,0.0,2.642451047897339,40.1514778137207,35.182430267333984,41.05216979980469,43.61454391479492,1.0,0.1339869201183319,0.7916772365570068,2.047529935836792,0.3818409740924835,0.08877156674861908,0.0,0.0,0.9247936010360718,0.29150742292404175,0.6847865052294285,,0.4083441495895386,0.2848012447357178,,0.30764544010162354,,0.40523847937583923,0.2861671447753906,,0.30859440565109253,250.5278666988834,373.9982665780244,0.6744187133394084,-114.45702584235222,250.5278660735668,323.30808735848615,388.6030993757972,426.04142578985216,196.40268489292689,146.0448323331138,551.7710776951002,0.03594737622358105,0.2573009469236605,0.18923484778694472,0.29929585544321524,0.0,0.3585774322164691,0.26395536900727085,0.12021774027838993,1.3867382735175882,0.7203290462057088,0.765197317797076,0.8324905646550145,0.2203290462057088,-0.03480268220292404,-0.11750943534498548,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.336103021116047,2.277378959315164,2.2342566746276815,-7.999776840209961,0.0003354811924509704
