epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.63079174144848,17.717120196368242,3.747617566907728,3.747617566907728,3.747617566907728,0.0,0.0,0.013920870987144677,5.7531721785261825,0.17327623109559756,3.9287744470544763,0.05581909257012445,0.00027669331914669757,0.0,0.6406704670674092,11.453930829022381,1.2721974140888936,11.453930829022381,0.0,0.0,0.0,0.0,0.0,2.127544641494751,49.990787506103516,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.00786186195909977,0.9401320815086365,1.0146002769470215,0.3327479362487793,0.002737906528636813,0.0,0.0,0.0,0.0,0.0,,0.33267343044281006,0.3326447904109955,,0.3346826136112213,,0.3326701819896698,0.3326418101787567,,0.3346880078315735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.348743335620778,18.438669565561657,3.807963190851985,3.807963190851985,3.807963190851985,0.0,0.0,0.013522228679141483,5.666703507706925,0.17324532689274968,3.820071658572635,0.056895326923679664,0.00027414670566449295,0.0,0.6330173080031937,11.205310718433276,1.3223714055241764,11.205310718433276,0.0,0.0,0.0,0.0,0.0,2.1314857006073,49.89703369140625,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.006401581224054098,0.9541875123977661,1.0179353952407837,0.33166924118995667,0.00255935313180089,0.0,0.0,0.0,0.0,0.0,,0.3314818739891052,0.3312487304210663,,0.33727550506591797,,0.3314826488494873,0.33125418424606323,,0.33726316690444946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.56615386138091,19.55495143581081,3.786187661660684,3.786187661660684,3.786187661660684,0.0,0.0,0.013648026698344463,6.014534202781883,0.17318918898298935,4.065830127612965,0.056614772693530935,0.00027199240552412495,0.0,0.6319393982758393,11.24856237463049,1.3952748066670186,11.24856237463049,0.0,0.0,0.0,0.0,0.0,2.1395623683929443,49.670013427734375,49.61518478393555,49.71218490600586,49.71218490600586,0.9999998807907104,0.005707523785531521,0.9570220708847046,1.0133641958236694,0.3300635516643524,0.003173829521983862,0.0,0.0,0.0,0.0,0.0,,0.32975050806999207,0.3289525508880615,,0.34130463004112244,,0.329754114151001,0.32896721363067627,,0.34127867221832275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.022503827069258,19.023833403716218,3.7713775634765625,3.7713775634765625,3.7713775634765625,0.0,0.0,0.013878166675567627,5.92616436932538,0.17311918413316882,4.125082479940878,0.05723579509838207,0.0002678853988244727,0.0,0.6294877335831925,11.326609843486064,1.3623986115326752,11.326609843486064,0.0,0.0,0.0,0.0,0.0,2.1504316329956055,49.48326110839844,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.00415765680372715,0.9715234041213989,1.0137786865234375,0.32796284556388855,0.0041751740500330925,0.0,0.0,0.0,0.0,0.0,,0.3274135887622833,0.3263157606124878,,0.34629860520362854,,0.32742369174957275,0.3263470530509949,,0.3462292551994324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.89056396484375,18.90934959617821,3.7492943841057853,3.7492943841057853,3.7492943841057853,0.0,0.0,0.013979074117299673,5.956161086623733,0.17303506748096362,4.03984935863598,0.05535647675797746,0.00026503026586126635,0.0,0.6260351232580237,11.49405319626267,1.3473396301269531,11.49405319626267,0.0,0.0,0.0,0.0,0.0,2.163994550704956,49.13753128051758,48.94146728515625,49.133018493652344,49.3253173828125,1.0000001192092896,0.004020198713988066,0.9608784914016724,1.0139541625976562,0.3245154023170471,0.00626750010997057,0.0,0.0,0.0,0.0,0.0,,0.32329684495925903,0.3234533369541168,,0.3532918095588684,,0.32331275939941406,0.32348671555519104,,0.3532005548477173,250.51824632581773,374.3608331292161,0.6719658543776255,-116.12767087496243,250.51824762276374,323.01835310384456,388.1026182740772,425.41132726646566,195.21863010951452,145.39922031136447,553.7237173992654,0.03737923145388195,0.25433159479184353,0.28344721297038417,0.3008954700688802,0.0,0.3424017518330175,0.2937694784213205,0.1835404672595967,1.3907121582366138,0.7363599721519914,0.7828038547506504,0.8314645853944523,0.23635997215199145,-0.017196145249349648,-0.11853541460554762,0.0,0.0,0.521978021978022,0.47802197802197804,1.0,2.3340580519084093,2.2758560812735293,2.2328916909275476,-8.000271797180176,0.0003353152424097061
6,6e-06,6e-05,0.05,25.36229149070946,18.444834116342907,3.7619171142578125,3.7619171142578125,3.7619171142578125,0.0,0.0,0.013657890461586617,5.714413204708615,0.17287179586049672,4.002305726747255,0.05545272053898992,0.0002463269425002304,0.0,0.6219527270342853,11.29217529296875,1.2593202333192568,11.29217529296875,0.0,0.0,0.0,0.0,0.0,2.1979658603668213,48.535400390625,48.18269729614258,48.56059646606445,48.845970153808594,1.0,0.00519130052998662,0.9781733751296997,1.032371163368225,0.33185067772865295,0.008369308896362782,0.0,0.0,1.6733031272888184,1.0816898345947266,0.3535601428371544,,0.3346920311450958,0.315887451171875,,0.3494250178337097,,0.3346675634384155,0.31594860553741455,,0.34938380122184753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.231945140941722,20.2396240234375,3.77976824786212,3.77976824786212,3.77976824786212,0.0,0.0,0.013693801454595617,5.982426823796453,0.17267724629994985,4.0081411825644,0.057413288064905116,0.00023517943918704987,0.0,0.6323130324080184,11.299684266786318,1.3602776398529877,11.299684266786318,0.0,0.0,0.0,0.0,0.0,2.223524332046509,47.70341491699219,47.158565521240234,47.807735443115234,48.18269729614258,1.0,0.0081563089042902,0.9699974656105042,1.0509425401687622,0.33938318490982056,0.015024356544017792,0.0,0.0,1.571938157081604,0.73807293176651,0.5304694854301483,,0.3461377024650574,0.3094271123409271,,0.34446683526039124,,0.34606245160102844,0.30951038002967834,,0.344427227973938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.192650047508447,20.201264252533782,3.78580041833826,3.78580041833826,3.78580041833826,0.0,0.0,0.013643696501448348,5.926650176177153,0.1725273003449311,4.057062922297297,0.05578521780065588,0.00022937327220633224,0.0,0.6505352226463524,11.243081582559121,1.3203971450393264,11.243081582559121,0.0,0.0,0.0,0.0,0.0,2.282848358154297,46.233306884765625,45.35194778442383,46.336849212646484,47.06654739379883,1.0,0.017078924924135208,0.9322730898857117,1.1461156606674194,0.35609957575798035,0.03130510449409485,0.0,0.0,1.4553513526916504,0.5557934045791626,0.6181036259380038,,0.37108755111694336,0.29742324352264404,,0.3315836787223816,,0.3709184527397156,0.29747700691223145,,0.331604540348053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.81168509818412,18.95027779244088,3.758270263671875,3.758270263671875,3.758270263671875,0.0,0.0,0.01374641463563249,5.649943996120143,0.17259776914441907,3.780383960620777,0.056809296479096286,0.00023542029934154975,0.0,0.6810220254434122,11.304434286581504,1.261390376735378,11.304434286581504,0.0,0.0,0.0,0.0,0.0,2.403661012649536,43.99103927612305,42.190181732177734,44.21493148803711,45.52945327758789,1.0,0.04408879950642586,0.8751099109649658,1.3089663982391357,0.3715968430042267,0.05178603529930115,0.0,0.0,1.236565351486206,0.42293810844421387,0.6579735086901052,,0.39401566982269287,0.287363737821579,,0.31869831681251526,,0.3931152820587158,0.28785982728004456,,0.3190248906612396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.737430057010137,18.980254302153718,3.7654975684913428,3.7654975684913428,3.7654975684913428,0.0,0.0,0.013695547709593902,5.4207780167863175,0.17259535918364655,3.429650590226457,0.05488578048912254,0.0002510239798072222,0.0,0.7030538095010294,11.348506618190456,1.265824807656778,11.348506618190456,0.0,0.0,0.0,0.0,0.0,2.5684163570404053,41.06297302246094,37.30549621582031,41.78017044067383,44.04254913330078,1.0,0.14293090999126434,0.8026998043060303,2.3555476665496826,0.38149338960647583,0.09852800518274307,0.0,0.0,0.93108731508255,0.2935396134853363,0.6847346014382001,,0.4078112244606018,0.28500762581825256,,0.3083893656730652,,0.4037342667579651,0.28672194480895996,,0.30954378843307495,250.52423835586717,374.03594037171445,0.6741429026011174,-114.6416580912831,250.52423841617798,323.27641164713987,388.55279629221354,425.9779504409522,196.29061889648438,145.9727782315986,551.975840361222,0.036021238501459926,0.25610521958930554,0.2157969716002127,0.29494631041583746,0.0,0.3529688360011986,0.2441157032965815,0.12885544034688104,1.3869778820679899,0.7213183833498222,0.7670843867941812,0.8323439961892198,0.22131838334982223,-0.03291561320581882,-0.11765600381078012,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3353872138720293,2.2770683280714263,2.2339989149963464,-8.000042915344238,0.00033539196010679007
