epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.086084314294762,18.07303928684544,3.7212883201805322,3.7212883201805322,3.7212883201805322,0.0,0.0,0.3327070700155722,6.019113901499155,0.173279079231056,4.160384719436233,0.07815290786124565,0.00027743550772602494,0.0,0.6611368333971178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12644624710083,49.99571228027344,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998807907104,0.006948054768145084,0.9387821555137634,1.0187472105026245,0.3327467143535614,0.002456249436363578,0.0,0.0,0.0,0.0,0.0,,0.332632452249527,0.33284640312194824,,0.33452993631362915,,0.3326312303543091,0.3328484296798706,,0.3345203399658203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.078814532305742,18.05799659522804,3.7164314888619088,3.7164314888619088,3.7164314888619088,0.0,0.0,0.33322689984295817,6.070049388988598,0.1732524923376135,4.163717733847128,0.08130822310576567,0.0002758999078257664,0.0,0.6599378843565245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132999897003174,49.88352966308594,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006182933691889048,0.9497643709182739,1.0170499086380005,0.3315422832965851,0.002682100050151348,0.0,0.0,0.0,0.0,0.0,,0.3312528729438782,0.3315408527851105,,0.33722561597824097,,0.3312505781650543,0.3315460681915283,,0.33720332384109497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.92592971389358,17.93105666701858,3.713708001214105,3.713708001214105,3.713708001214105,0.0,0.0,0.33249246751939926,6.0236065838788,0.17320549165880358,4.10035581846495,0.0798179072302741,0.000275986671850488,0.0,0.657119235476932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143073797225952,49.6428337097168,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.004874783102422953,0.9609217047691345,1.012730360031128,0.32973527908325195,0.0032665259204804897,0.0,0.0,0.0,0.0,0.0,,0.3291376531124115,0.32982686161994934,,0.34103628993034363,,0.3291460871696472,0.32985442876815796,,0.3409994840621948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.180030616554053,18.189205685177363,3.7128827894056164,3.7128827894056164,3.7128827894056164,0.0,0.0,0.3336921382594753,6.021942963471284,0.1731391855188318,4.0806868269636825,0.0809962491731386,0.00027422674906414906,0.0,0.6544371424494563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156907558441162,49.33761978149414,49.22907257080078,49.3253173828125,49.421749114990234,0.9999998807907104,0.004293948877602816,0.9587193131446838,1.0133414268493652,0.32674357295036316,0.005037075374275446,0.0,0.0,0.0,0.0,0.0,,0.3255317509174347,0.3275076746940613,,0.34700191020965576,,0.3255348205566406,0.32753825187683105,,0.34692689776420593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.01569263355152,18.015519425675677,3.7133743698532515,3.7133743698532515,3.7133743698532515,0.0,0.0,0.3324329530870592,6.041234196843328,0.17304838025892103,4.11644476813239,0.07876989003774282,0.00027563412849967544,0.0,0.6463028160301415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183051586151123,49.04604721069336,48.845970153808594,49.037147521972656,49.22907257080078,1.0,0.003613947192206979,0.9517781734466553,1.0261486768722534,0.32365599274635315,0.006758891046047211,0.0,0.0,0.0,0.0,0.0,,0.32166069746017456,0.32591432332992554,,0.3524183928966522,,0.3216867446899414,0.3259667158126831,,0.3523465394973755,250.5536456474891,374.1724917288789,0.6735253909806642,-115.15134348188128,250.55364533559072,323.096597584615,388.2462406956315,425.61392674212385,195.94498988560267,145.8194615859394,552.5747398708178,0.03745244029485564,0.25726904936733913,0.28263520062070546,0.30394275526280407,0.0,0.34235709444729573,0.29167925721658694,0.15750618631538055,1.389931906014498,0.7359752299292807,0.7823641493532666,0.8319775750247335,0.23597522992928066,-0.017635850646733453,-0.1180224249752665,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3343290981355604,2.2757463664798947,2.232771668787841,-7.9999799728393555,0.00033541308948770165
6,6e-06,6e-05,0.05,25.280284984691722,19.26956424197635,3.722760587125211,3.722760587125211,3.723341658308699,0.0,0.0,0.3336134730158625,6.0721159239073055,0.1729519302780564,4.079597266944679,0.08154783377776274,0.00024902521053681503,0.0,0.6541583602492874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2127184867858887,48.43671798706055,48.08868408203125,48.46584701538086,48.75066375732422,0.9999998807907104,0.005677996203303337,0.9791765213012695,1.038735270500183,0.33323705196380615,0.007841146551072598,0.0,0.0,1.7963802814483643,1.0553876161575317,0.41249209476592213,,0.33614689111709595,0.3180581033229828,,0.34586793184280396,,0.33610737323760986,0.3181980848312378,,0.34569454193115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.82631374049831,18.83636639569257,3.7261682458826013,3.7261682458826013,3.7277027851826436,0.0,0.0,0.3345735653026684,5.995997660868877,0.17288077844155803,4.028098029059333,0.08226356635222563,0.0002380183621032818,0.0,0.6642735970986856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2657485008239746,47.3125,46.51820755004883,47.43569564819336,47.99485397338867,1.0,0.014096241444349289,0.9691375494003296,1.1499792337417603,0.3475430905818939,0.02214001677930355,0.0,0.0,1.7171510457992554,0.7003917694091797,0.592119883033831,,0.3574892282485962,0.3078443109989166,,0.33476895093917847,,0.3573545515537262,0.30788034200668335,,0.33476513624191284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,24.76196783942145,18.7939172693201,3.711872822529561,3.711872822529561,3.714551358609586,0.0,0.0,0.33419591027337153,5.979157731339738,0.17280546394554344,4.00163104083087,0.08212664965036753,0.00024289819034370216,0.0,0.6908639443887247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4078595638275146,44.776466369628906,43.27513122558594,44.99901580810547,45.976253509521484,0.9999998807907104,0.030822670087218285,0.9369115233421326,1.278167963027954,0.36910903453826904,0.045227862894535065,0.0,0.0,1.6205867528915405,0.5319812893867493,0.6717353832261316,,0.3897171914577484,0.2921065390110016,,0.31852054595947266,,0.38904330134391785,0.29237088561058044,,0.3185858428478241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.004201528188343,19.0826416015625,3.7115136223870353,3.7115136223870353,3.7142494820259713,0.0,0.0,0.3331078967532596,5.941465223157728,0.172901540189176,3.8068505364495353,0.0801796139897527,0.0002665875630604254,0.0,0.7281805502401816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.660034418106079,40.09730529785156,36.942955017089844,40.25815200805664,43.022308349609375,1.0,0.06235479936003685,0.8503804206848145,1.5620355606079102,0.39095863699913025,0.07178337126970291,0.0,0.0,1.2572351694107056,0.3854886293411255,0.6933838324600697,,0.4219993054866791,0.2780459523200989,,0.30065903067588806,,0.4202640652656555,0.2786940336227417,,0.3010419011116028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.95045429951436,18.16882489178632,3.682109111064189,3.682109111064189,3.681264928869299,0.0,0.0,0.3341416539372625,5.668241346204603,0.1724372554469753,3.5222176216744088,0.07870782388223184,0.00028796531763431186,0.0,0.7542934417724609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.921259641647339,35.34865188598633,29.858943939208984,35.806339263916016,39.94485855102539,1.0,0.1125279888510704,0.7762463092803955,1.9403096437454224,0.4016782343387604,0.09397333860397339,0.0,0.0,0.7558947801589966,0.24480044841766357,0.676144808982314,,0.4366827607154846,0.2771899104118347,,0.2867911159992218,,0.4335159361362457,0.2784368693828583,,0.288047194480896,250.55746388697364,373.6302991304132,0.6772589560865069,-112.62332031753037,250.55746437499946,323.52195014195786,388.9149560098897,426.4709243513129,197.81152125767298,146.7874108247979,549.5913430918818,0.03652049768525906,0.2882229028958203,0.11370419928313776,0.3460752265879875,0.0,0.4132855940284703,0.2933673488134545,0.1473734533511192,1.3854249797512808,0.7171778241911253,0.7574108680517386,0.8328753068777253,0.2171778241911253,-0.042589131948261416,-0.11712469312227469,0.0,0.0,0.5439560439560439,0.45604395604395603,1.0,2.3415391386210263,2.2800955589000997,2.2365949782696397,-7.998891830444336,0.00033577822614461184
11,1e-05,0.0001,0.3,22.24390143317145,16.692867794552363,3.676097972972973,3.676097972972973,3.6690183072476774,0.0,0.0,0.3331180520959803,5.0860014219541805,0.17062728469436234,2.9809192966770484,0.0790836102253682,0.0003317980901212306,0.0,0.7667935345623944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1972105503082275,31.99892807006836,22.538713455200195,33.50580596923828,39.63400650024414,1.0,0.15754413604736328,0.6422135829925537,2.2316837310791016,0.40360429883003235,0.11231683939695358,0.0,0.0,0.7796103954315186,0.36294955015182495,0.5344475236878666,,0.43804672360420227,0.283279150724411,,0.2806246876716614,,0.434126615524292,0.28438347578048706,,0.28148993849754333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,21.525740339949323,16.059233794341218,3.6899146002692147,3.6899146002692147,3.67775788178315,0.0,0.0,0.33350447061899546,4.806732177734375,0.16892928046149178,2.7657664530986064,0.0798183518487054,0.00036866104582677017,0.0,0.7696559493606155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1004583835601807,32.21175765991211,22.58277702331543,33.11545181274414,40.66114044189453,1.0000001192092896,0.1995442807674408,0.6406617760658264,2.410099983215332,0.40194401144981384,0.13101010024547577,0.0,0.0,1.0232974290847778,0.4615558385848999,0.5489524106420275,,0.4347972869873047,0.2879943251609802,,0.28085607290267944,,0.4294170141220093,0.288968563079834,,0.28161442279815674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,20.55657299144848,15.14976707664696,3.6824600632126265,3.6824600632126265,3.6663443075644,0.0,0.0,0.33317519523002004,4.60100947199641,0.16661199363502296,2.7065807033229516,0.08122119388064823,0.0004062237771781715,0.0,0.7782284504658467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0592398643493652,32.48946762084961,18.68524932861328,34.84052658081055,42.27266311645508,1.0,0.16789236664772034,0.6075289845466614,2.276073455810547,0.3982691168785095,0.11251448839902878,0.0,0.0,0.7601768374443054,0.365046888589859,0.5197868829874677,,0.42953452467918396,0.2899536192417145,,0.2824520766735077,,0.4259353280067444,0.2906695008277893,,0.2833952009677887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
