epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,28.876435150971282,19.0898998363598,3.7886843294710726,3.7886843294710726,3.7886843294710726,0.0,0.0,0.3332925487209011,5.860736743823902,0.17327674659522804,4.10047046558277,0.07792232487652753,0.00027786955438755656,0.0,0.6589768383954022,37.496849266258444,1.3587537198453337,36.13809121621622,0.0,0.0,0.0,0.0,0.0,2.126457691192627,49.99724578857422,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.007448752876371145,0.902279257774353,1.0172446966171265,0.33270585536956787,0.002636419842019677,0.0,0.0,0.0,0.0,0.0,,0.33257579803466797,0.33285367488861084,,0.33457767963409424,,0.3325757384300232,0.3328559994697571,,0.3345682621002197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,29.51374775654561,19.64475559543919,3.7827577333192566,3.7827577333192566,3.7827577333192566,0.0,0.0,0.33263714249069626,6.085134557775549,0.17324996638942408,4.088736044394003,0.08043053987863902,0.0002752946236649075,0.0,0.6575709678031303,37.946866422086146,1.4147820343842377,36.53207479940878,0.0,0.0,0.0,0.0,0.0,2.1329994201660156,49.893367767333984,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006048761308193207,0.9577017426490784,1.0142229795455933,0.3314915895462036,0.002679560799151659,0.0,0.0,0.0,0.0,0.0,,0.3311493396759033,0.3317195773124695,,0.3371574878692627,,0.3311508893966675,0.3317326605319977,,0.33711645007133484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,27.52703857421875,17.890669539168073,3.8057469548405827,3.8057469548405827,3.8057469548405827,0.0,0.0,0.3318375252388619,5.666849909601985,0.17319918967582085,3.8992664234058276,0.07580342808285274,0.00027459834677142064,0.0,0.6459398011903505,36.63921294341216,1.2690086364746094,35.37021286423142,0.0,0.0,0.0,0.0,0.0,2.141136884689331,49.670562744140625,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.0053572566248476505,0.9600887894630432,1.0139039754867554,0.32985877990722656,0.0033646156080067158,0.0,0.0,0.0,0.0,0.0,,0.3292200267314911,0.3302539587020874,,0.34057220816612244,,0.32922762632369995,0.3302820324897766,,0.3404903709888458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,29.541127797719593,19.734744510135137,3.7692000930373735,3.7692000930373735,3.7692000930373735,0.0,0.0,0.3323562725170239,6.072551417995143,0.17314167280454892,4.055301150760135,0.08144792350562843,0.00026693099455253497,0.0,0.6546699420825856,37.546271246832774,1.389931343697213,36.15633247994088,0.0,0.0,0.0,0.0,0.0,2.149718761444092,49.516441345214844,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005122988950461149,0.9264839291572571,1.0114904642105103,0.32749640941619873,0.004640939179807901,0.0,0.0,0.0,0.0,0.0,,0.32633519172668457,0.3286280930042267,,0.345073938369751,,0.326349675655365,0.3286669850349426,,0.34498336911201477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,27.83961940456081,18.21241719013936,3.8037864066459037,3.8037864066459037,3.8037864066459037,0.0,0.0,0.3322962941350164,5.672781866949958,0.17304392118711728,3.8432493467588684,0.07730548446242874,0.00026442591302298213,0.0,0.641303758363466,36.659997888513516,1.3001122345795502,35.359886375633444,0.0,0.0,0.0,0.0,0.0,2.16218638420105,49.17558288574219,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.0038331218529492617,0.9755223393440247,1.0110454559326172,0.3248381018638611,0.006091055925935507,0.0,0.0,0.0,0.0,0.0,,0.32311221957206726,0.3266710937023163,,0.3502691984176636,,0.3231354355812073,0.3267251253128052,,0.35013943910598755,250.55616447951766,374.19241110433603,0.6734037139951469,-115.25465332282768,250.5561639917605,323.12862590610564,388.28502003481714,425.62992053548084,195.91441345214844,145.7895928612051,552.6731209132982,0.03721204771708953,0.25152677138162693,0.27950774783149007,0.2970646846566533,0.0,0.33496883769343283,0.28844016017187163,0.16605368855471425,1.3906958738593942,0.7360851562786267,0.7826572862848559,0.8316294749184713,0.2360851562786267,-0.017342713715144176,-0.11837052508152868,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3336111212169732,2.2754142644641164,2.2324812749584955,-8.000377655029297,0.00033527976484037936
6,6e-06,6e-05,0.05,29.00071262668919,19.207984718116553,3.768505199535473,3.768505199535473,3.7691992682379647,0.0,0.0,0.3352479934692383,5.896282299144848,0.17291955690126162,4.007018218169341,0.08208370853114773,0.00023617328622856657,0.0,0.6463690577326594,37.85256545608108,1.3270995681350295,36.525466506545605,0.0,0.0,0.0,0.0,0.0,2.1951253414154053,48.63401412963867,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004578895401209593,0.9753390550613403,1.0252357721328735,0.3319498598575592,0.006359396036714315,0.0,0.0,1.6450378894805908,0.9845185875892639,0.4015222422018992,,0.33401575684547424,0.3200852572917938,,0.3459128439426422,,0.333997517824173,0.32019519805908203,,0.345807284116745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,29.04971560916385,19.33623607738598,3.7984264476879224,3.7984264476879224,3.7999568629909204,0.0,0.0,0.33324996845142263,5.7913348223712,0.17277040997067014,3.932631209089949,0.08120997531993969,0.00022401751295940295,0.0,0.654628341262405,37.129905906883444,1.2918379500105575,35.83806548247466,0.0,0.0,0.0,0.0,0.0,2.2299959659576416,47.75373077392578,47.158565521240234,47.807735443115234,48.27689743041992,1.0,0.00964326411485672,0.9691047668457031,1.0695347785949707,0.34301578998565674,0.016634590923786163,0.0,0.0,1.5679938793182373,0.6480379700660706,0.5867088649938882,,0.35054925084114075,0.3120442032814026,,0.3374854028224945,,0.3504846692085266,0.312027245759964,,0.3374880850315094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,30.18878998627534,20.249053130278718,3.747943775073902,3.747943775073902,3.75051178803315,0.0,0.0,0.33716634801916173,6.09380732355891,0.17265027278178446,4.182706265836148,0.08570538340388117,0.00022719742579234612,0.0,0.6828186447555954,38.73612687394426,1.3576708613215267,37.37844766152872,0.0,0.0,0.0,0.0,0.0,2.3360211849212646,45.818790435791016,44.823577880859375,45.976253509521484,46.70027160644531,1.0,0.02248956821858883,0.9489203691482544,1.2030493021011353,0.36373618245124817,0.03791028633713722,0.0,0.0,1.5375604629516602,0.4983869791030884,0.6758586142711207,,0.3815403878688812,0.2968294024467468,,0.3217816948890686,,0.3810451626777649,0.2970505952835083,,0.3219042420387268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,28.76047165329392,19.14718215529983,3.7878298372835726,3.7878298372835726,3.790114944045608,0.0,0.0,0.33390452410723714,5.634014645138302,0.17238597612123233,3.6960317250844597,0.08022658889358109,0.00024061992361738876,0.0,0.7089419493804107,36.9966480152027,1.2545143333641258,35.74213471283784,0.0,0.0,0.0,0.0,0.0,2.4350321292877197,43.42015838623047,41.45503616333008,43.61454391479492,44.99901580810547,1.0,0.04939146712422371,0.8815675377845764,1.3502657413482666,0.37703514099121094,0.0556705966591835,0.0,0.0,1.2012039422988892,0.3500273823738098,0.7086028691315147,,0.40120723843574524,0.28817129135131836,,0.3110138475894928,,0.40015119314193726,0.28858548402786255,,0.3112632632255554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,28.560814110008447,19.034509607263512,3.747910783097551,3.747910783097551,3.7461807663376265,0.0,0.0,0.3325590958466401,5.52293602195946,0.17222418656220306,3.4642494820259713,0.07880342328870618,0.00025967440593081554,0.0,0.728404070879962,37.2159522804054,1.2671794375857792,35.94877335831926,0.0,0.0,0.0,0.0,0.0,2.6894447803497314,39.24347686767578,33.90076446533203,40.101200103759766,43.022308349609375,1.0,0.12684893608093262,0.7764818668365479,1.9278124570846558,0.3886140286922455,0.09111115336418152,0.0,0.0,0.8748827576637268,0.24193665385246277,0.7234639136122346,,0.4175579249858856,0.2845571041107178,,0.29877179861068726,,0.4142574071884155,0.28590404987335205,,0.29983851313591003,250.56159067677928,373.79320507593405,0.6760920513420441,-113.41875348772321,250.56159133487637,323.43433106795067,388.7989893272891,426.279796374112,197.19180188860213,146.49638632840887,550.5181098606275,0.03588994428997235,0.2597526545539628,0.17157645973521435,0.30272756651006355,0.0,0.36548185498381475,0.25942933122071726,0.11138146301209524,1.386596637794468,0.7195045985856143,0.7635117804404382,0.8324722435967902,0.21950459858561433,-0.03648821955956183,-0.11752775640320978,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.335870718562996,2.2770317688093082,2.23392633160392,-7.999805927276611,0.0003354714426677674
11,1e-05,0.0001,0.3,26.27292777396537,17.0270336254223,3.737837507918074,3.737837507918074,3.7290917473870353,0.0,0.0,0.3325059478347366,4.93975830078125,0.17023305635194522,2.941411404996305,0.07909379778681574,0.00030271293645774995,0.0,0.7429963189202387,36.718063766891895,1.1738679215714738,35.544189453125,0.0,0.0,0.0,0.0,0.0,2.9141623973846436,35.782920837402344,26.765382766723633,37.524723052978516,42.10786056518555,1.0,0.1733373999595642,0.6130163669586182,2.378567695617676,0.3902406096458435,0.10864810645580292,0.0,0.0,0.7786573171615601,0.30357474088668823,0.6101304974654198,,0.4185813367366791,0.2904212176799774,,0.2927706837654114,,0.41482752561569214,0.29146313667297363,,0.2937093675136566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,26.23757522170608,17.01644485061233,3.76527569745038,3.76527569745038,3.7523275839315877,0.0,0.0,0.3341974825472445,4.709207483240076,0.16790397747142896,2.75984171274546,0.08226456513275972,0.0003416541007322234,0.0,0.7469386538943729,36.996275205869935,1.2032781033902555,35.79299844277872,0.0,0.0,0.0,0.0,0.0,2.9085471630096436,35.12109375,23.945520401000977,37.16005325317383,43.19069290161133,0.9999998807907104,0.2331220805644989,0.5800418853759766,2.870291233062744,0.39155858755111694,0.13715188205242157,0.0,0.0,0.9953616261482239,0.42215797305107117,0.5758747755981848,,0.4195248782634735,0.294430136680603,,0.28907519578933716,,0.4134531319141388,0.2957519292831421,,0.2907949388027191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,23.63251392261402,14.63421630859375,3.7168814169394,3.7168814169394,3.697346867741765,0.0,0.0,0.33231902766872096,4.27018943992821,0.16443172661033836,2.5238612406962626,0.07843184471130371,0.00041084593111598815,0.0,0.759807638219885,36.62734902871622,1.0848972217456714,35.54244087837838,0.0,0.0,0.0,0.0,0.0,2.723384380340576,35.996620178222656,22.141666412353516,38.715885162353516,44.128658294677734,1.0,0.20413215458393097,0.5384308099746704,2.627053737640381,0.3871009349822998,0.11786013841629028,0.0,0.0,0.9369398951530457,0.3569064736366272,0.6190721779668398,,0.41267135739326477,0.29885733127593994,,0.2908092439174652,,0.4087623953819275,0.29949378967285156,,0.29174381494522095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,23.42732692409206,14.464378563133446,3.7000274658203125,3.7000274658203125,3.679820292704814,0.0,0.0,0.33236848985826645,4.0686311464051945,0.16182947158813477,2.5207713359111064,0.07432889938354492,0.00044005268530265704,0.0,0.7671292794717325,36.87086610536318,1.057853904930321,35.81301467483108,0.0,0.0,0.0,0.0,0.0,2.769021511077881,35.60161209106445,20.763633728027344,39.019535064697266,45.88654327392578,1.0,0.21822544932365417,0.3999269902706146,2.3483407497406006,0.39262768626213074,0.12925048172473907,0.0,0.0,0.9699985980987549,0.38811951875686646,0.5998762065042157,,0.4195224344730377,0.30194297432899475,,0.28157129883766174,,0.4147232174873352,0.30264538526535034,,0.2826313376426697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
