epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.12677661792652,19.08989818676098,3.7887086610536316,3.7887086610536316,3.7887086610536316,0.0,0.0,0.3332926775958087,5.860743342219172,0.1732767208202465,4.100480363175675,0.07792244086394438,0.00027789877777969514,0.0,0.6589760651459565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126474618911743,49.997135162353516,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998807907104,0.007453051395714283,0.9022898077964783,1.0172607898712158,0.33270564675331116,0.002637935569509864,0.0,0.0,0.0,0.0,0.0,,0.3325752913951874,0.3328550159931183,,0.334576815366745,,0.3325752019882202,0.3328573405742645,,0.33456742763519287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.7188060863598,19.644384435705238,3.782860833245355,3.782860833245355,3.782860833245355,0.0,0.0,0.33263755489040064,6.08513744457348,0.17325012103931323,4.08874882878484,0.0804311584781956,0.00027543381863349194,0.0,0.6575773084485853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133023500442505,49.89323806762695,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006048217881470919,0.9576713442802429,1.0142347812652588,0.33149272203445435,0.0026785414665937424,0.0,0.0,0.0,0.0,0.0,,0.3311517834663391,0.3317149579524994,,0.33715975284576416,,0.33115339279174805,0.33172810077667236,,0.3371184468269348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.86376953125,17.89108688766892,3.8059741870777026,3.8059741870777026,3.8059741870777026,0.0,0.0,0.33183873666299357,5.6668367128114445,0.17319987271283124,3.8993002401815877,0.07580440753215067,0.0002748666431855511,0.0,0.6459734117662584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1410014629364014,49.67287826538086,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005382215138524771,0.9565537571907043,1.0139950513839722,0.3299013376235962,0.0033457318786531687,0.0,0.0,0.0,0.0,0.0,,0.32927408814430237,0.33027276396751404,,0.34049808979034424,,0.3292818069458008,0.3303007483482361,,0.34041744470596313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.787513526710303,19.73521629539696,3.7696644551045186,3.7696644551045186,3.7696644551045186,0.0,0.0,0.3323633606369431,6.072627299540752,0.17314266514133764,4.0555419921875,0.08145171242791253,0.0002669490672446586,0.0,0.6547743307577597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1492128372192383,49.52230453491211,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005214669741690159,0.9267284274101257,1.0117573738098145,0.32756876945495605,0.004615798592567444,0.0,0.0,0.0,0.0,0.0,,0.32643038034439087,0.32864058017730713,,0.3449731171131134,,0.32644495368003845,0.32868093252182007,,0.34487414360046387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.174720557960303,18.2127025707348,3.8045340873099662,3.8045340873099662,3.8045340873099662,0.0,0.0,0.3323098260003167,5.672818570523648,0.1730490761834222,3.8434926625844597,0.07731150936436008,0.00026412172293340837,0.0,0.6413597931733003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16231107711792,49.18293762207031,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003847908927127719,0.9757753610610962,1.0110197067260742,0.3248829245567322,0.006047921720892191,0.0,0.0,0.0,0.0,0.0,,0.3231402039527893,0.3268372714519501,,0.3500874936580658,,0.32316964864730835,0.32689645886421204,,0.349933922290802,252.8406945322896,368.16387417560475,0.7347220468673297,-77.3718224619771,252.84069478025935,330.4053051358288,398.36531720782443,438.1770030011645,223.52099391392298,162.94367942514344,509.40488699208134,0.0373250712655591,0.2525331422009328,0.28236641342755553,0.2999617632661077,0.0,0.33963792992043784,0.2943623021125122,0.1714174336322697,1.3907880410863298,0.7363782932102159,0.7827672126342018,0.831446264336228,0.23637829321021586,-0.017232787365798252,-0.11855373566377192,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.3338055931604824,2.2756355368829038,2.232687458887205,-8.000387191772461,0.0003352765634190291
6,6e-06,6e-05,0.05,25.113990577491553,19.10487984322213,3.769354330526816,3.769354330526816,3.7697193042652026,0.0,0.0,0.3350927249805347,5.898309243691934,0.17294247085983688,4.010004816828547,0.08201986390191156,0.00024304861152494277,0.0,0.6440425563502956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190518379211426,48.687374114990234,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.004441130440682173,0.9745973944664001,1.0242112874984741,0.3287462592124939,0.005390876438468695,0.0,0.0,1.646733283996582,1.1614594459533691,0.29468878947139815,,0.3293585479259491,0.3217349052429199,,0.348932683467865,,0.3293650448322296,0.3218391239643097,,0.3487958312034607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.143348487647803,19.139996502850508,3.799566732870566,3.799566732870566,3.800441432643581,0.0,0.0,0.3330594913379566,5.794367609797297,0.17281929222313133,3.9410256050728463,0.08112667057965253,0.0002303117433109799,0.0,0.6459080464131123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214437961578369,47.930931091308594,47.43569564819336,47.99485397338867,48.371280670166016,1.0,0.007816549390554428,0.967567503452301,1.051527738571167,0.3346291184425354,0.009379014372825623,0.0,0.0,1.5710655450820923,0.8358063697814941,0.46800031838402956,,0.3382386267185211,0.31700122356414795,,0.3447830379009247,,0.3382069170475006,0.3170109987258911,,0.34478211402893066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.043425688872468,19.968700512035472,3.7497872017525338,3.7497872017525338,3.7512908110747465,0.0,0.0,0.33701440450307485,6.105609790698902,0.17270641069154483,4.208858180690456,0.0856235478375409,0.00023097419054121584,0.0,0.6682914527686866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284219980239868,46.44063186645508,45.618465423583984,46.51820755004883,47.158565521240234,1.0,0.01826339215040207,0.9541051387786865,1.1691266298294067,0.3520478904247284,0.026753468438982964,0.0,0.0,1.5794355869293213,0.6782597303390503,0.5705682865752714,,0.36435645818710327,0.3038801848888397,,0.3318272829055786,,0.3640597462654114,0.30406635999679565,,0.33187389373779297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.9277904613598,18.99812110694679,3.7914453454919763,3.7914453454919763,3.7928627632759713,0.0,0.0,0.3338189511685758,5.653773127375422,0.17247433275789828,3.7438379236169763,0.08019559447829788,0.0002411950027217736,0.0,0.6881696340200063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.372680425643921,44.45329666137695,42.85457992553711,44.648826599121094,45.7970085144043,1.0,0.042850393801927567,0.895165741443634,1.351456880569458,0.363707959651947,0.04229164496064186,0.0,0.0,1.2719110250473022,0.49172529578208923,0.6133964671280352,,0.3817566931247711,0.2954998314380646,,0.32293254137039185,,0.38109099864959717,0.29582440853118896,,0.32308465242385864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.79520560599662,18.96826171875,3.7529734018686653,3.7529734018686653,3.7511147164009713,0.0,0.0,0.33252076844911316,5.555502401815878,0.1725057266853951,3.5234993599556588,0.07879664446856524,0.00025989628724149753,0.0,0.7045629862192515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6074366569519043,40.66505432128906,36.08717346191406,41.45503616333008,43.95661163330078,1.0,0.12733815610408783,0.7975834012031555,2.0118625164031982,0.37596333026885986,0.08195870369672775,0.0,0.0,0.972135066986084,0.34627145528793335,0.6438031431563509,,0.39967435598373413,0.2885277569293976,,0.3124273717403412,,0.3969171643257141,0.2898116707801819,,0.3132711946964264,252.97952073484987,368.08951969780117,0.7360950026875286,-76.59786765130012,252.97951968192828,330.69506398725605,398.76547003194645,438.6214474843518,223.91533497401647,163.41480660253717,508.57294298254925,0.03611252889541093,0.25938103350733815,0.2112373015172627,0.30152616817957045,0.0,0.3578605579784447,0.2663665319955937,0.1241910787591885,1.3867926846172933,0.7209886043017845,0.7664614708145543,0.8325088857132388,0.22098860430178446,-0.03353852918544575,-0.11749111428676118,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.3358754243824507,2.2771693215920377,2.2340634717391086,-7.999818801879883,0.0003354671353008598
