epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.12677826752534,19.089901485958613,3.788709073453336,3.788709073453336,3.788709073453336,0.0,0.0,0.3332927033707902,5.86073839342272,0.17327673370773727,4.100480363175675,0.07792244086394438,0.00027789845055825,0.0,0.6589766837455131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1264593601226807,49.99721908569336,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998807907104,0.007459342014044523,0.9022897481918335,1.0172487497329712,0.3327070474624634,0.0026396773755550385,0.0,0.0,0.0,0.0,0.0,,0.33257684111595154,0.3328567445278168,,0.33457350730895996,,0.3325767517089844,0.33285900950431824,,0.334564208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.718969396642738,19.644542797191722,3.7828591836465373,3.7828591836465373,3.7828591836465373,0.0,0.0,0.33263804461504964,6.085156414959882,0.17325012103931323,4.08876862397065,0.08043134534681165,0.0002753971446607564,0.0,0.6575878246410473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1329691410064697,49.89333724975586,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006048191338777542,0.9577016830444336,1.0142468214035034,0.33150970935821533,0.0026709928642958403,0.0,0.0,0.0,0.0,0.0,,0.33117300271987915,0.33172398805618286,,0.33712926506996155,,0.3311746418476105,0.3317370116710663,,0.33708834648132324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.863757984058278,17.89105389569257,3.8059745994774072,3.8059745994774072,3.8059745994774072,0.0,0.0,0.3318395356874208,5.666869704787795,0.1731999887002481,3.8993555017419763,0.07580481993185507,0.0002748114182739644,0.0,0.6460282609269425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409528255462646,49.67333221435547,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005376710090786219,0.9565687775611877,1.0140271186828613,0.3299356997013092,0.0033252271823585033,0.0,0.0,0.0,0.0,0.0,,0.3293159306049347,0.33029705286026,,0.34043198823928833,,0.32932355999946594,0.330324649810791,,0.34035181999206543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.78757786106419,19.735300424936657,3.7696318755278715,3.7696318755278715,3.7696318755278715,0.0,0.0,0.33236217498779297,6.07262523754223,0.17314289711617134,4.055573334565034,0.08145134513442581,0.00026700638133931806,0.0,0.654849387503959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149174213409424,49.525630950927734,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005197765305638313,0.9268122315406799,1.0118489265441895,0.3276330530643463,0.004570835269987583,0.0,0.0,0.0,0.0,0.0,,0.32650184631347656,0.3287232220172882,,0.3448137938976288,,0.32651659846305847,0.3287620544433594,,0.34472137689590454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.175405141469593,18.21327003272804,3.8045056317303634,3.8045056317303634,3.8045056317303634,0.0,0.0,0.33230704230231206,5.673110549514358,0.17305276200578018,3.843855574324324,0.07731071033993282,0.0002642731761207452,0.0,0.6416168728390256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1618471145629883,49.18903732299805,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003825977211818099,0.9759319424629211,1.0112645626068115,0.3250235617160797,0.005958484951406717,0.0,0.0,0.0,0.0,0.0,,0.32332977652549744,0.3268416225910187,,0.3498947024345398,,0.32335811853408813,0.3269002437591553,,0.3497416377067566,250.49896036923587,375.7289582324693,0.6630725002250402,-122.20751892341362,250.49895848258615,322.2592853460249,386.60215066323445,423.39320752272545,190.68836430140905,143.08754750924518,560.8195349651834,0.0372972173553868,0.25206922807021787,0.28170287417250306,0.2988706563702952,0.0,0.33788226912858205,0.29409087488228575,0.17095386343767532,1.3907630748713273,0.7363416510937671,0.7827122494595288,0.8314645853944523,0.23634165109376715,-0.01728775054047127,-0.11853541460554762,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.333818468091252,2.275635065285714,2.2326859704085757,-8.000380516052246,0.0003352788044139743
6,6e-06,6e-05,0.05,25.329560150971282,19.32076778927365,3.7696520831133866,3.7696520831133866,3.7703651222022803,0.0,0.0,0.33540099375956767,5.896709545238598,0.17293285679172826,4.006357553842905,0.0821520895571322,0.00023057384768853317,0.0,0.6484372938001478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1983840465545654,48.6230583190918,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004819281864911318,0.9771257638931274,1.0275691747665405,0.3343546986579895,0.007654230110347271,0.0,0.0,1.6436951160430908,0.8499147891998291,0.48292430822216553,,0.33745861053466797,0.3191213011741638,,0.34342899918556213,,0.3374202847480774,0.3192395269870758,,0.3433401882648468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.540307947107262,19.538707836254222,3.8001791464315877,3.8001791464315877,3.801799877269848,0.0,0.0,0.33343245532061605,5.790826333535684,0.17278846534522804,3.9277686041754647,0.08129806131929965,0.00021813890418490847,0.0,0.6604798806680215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2431411743164062,47.63030242919922,46.974708557128906,47.714454650878906,48.18269729614258,1.0,0.011532912962138653,0.969548225402832,1.0909441709518433,0.34808167815208435,0.021328311413526535,0.0,0.0,1.5529667139053345,0.5192195177078247,0.665659596526629,,0.3578934073448181,0.3095255494117737,,0.3326946794986725,,0.35779064893722534,0.3095282316207886,,0.33268117904663086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.57078098606419,20.50714276288007,3.750796756228885,3.750796756228885,3.753231976483319,0.0,0.0,0.33732787982837575,6.084817834802576,0.17272349950429555,4.162377434807855,0.0857892809687434,0.00022240028389402337,0.0,0.6907715153049778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3731813430786133,45.3635368347168,44.21493148803711,45.52945327758789,46.336849212646484,1.0,0.027850477024912834,0.9410521984100342,1.2856221199035645,0.36914363503456116,0.04319186881184578,0.0,0.0,1.4923937320709229,0.3870466351509094,0.740653805471413,,0.38918450474739075,0.2951603829860687,,0.3158174455165863,,0.3885476589202881,0.295444518327713,,0.3160077929496765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.182729360219593,19.287450841955238,3.790778907569679,3.790778907569679,3.791567003404772,0.0,0.0,0.33400695388381546,5.592302889437289,0.17255271447671428,3.628594888223184,0.08024445095577755,0.00023731654761610803,0.0,0.718118616052576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5178325176239014,42.275978088378906,39.866920471191406,42.604209899902344,44.30137252807617,1.0,0.07287260890007019,0.8751130104064941,1.6372720003128052,0.3829270005226135,0.06594386696815491,0.0,0.0,1.105371117591858,0.2664310932159424,0.758966840208034,,0.4090496599674225,0.2888185679912567,,0.30273398756980896,,0.407476544380188,0.28938525915145874,,0.3031381666660309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.820642419763512,19.07583865603885,3.7486283585831925,3.7486283585831925,3.742938892261402,0.0,0.0,0.3325499457281989,5.382893742741765,0.1721627261187579,3.29868069210568,0.07874736270389042,0.00026365359489982193,0.0,0.7390698097847603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8702471256256104,37.38081741333008,30.388446807861328,38.640342712402344,41.86185073852539,1.0,0.1873595267534256,0.7427677512168884,2.553223133087158,0.3939290940761566,0.11711937934160233,0.0,0.0,0.7608939409255981,0.22897927463054657,0.6990654514188901,,0.42338278889656067,0.29137906432151794,,0.28717032074928284,,0.41854697465896606,0.2928429841995239,,0.28861004114151,250.50238938384004,375.2412222463461,0.6660659174537222,-120.15037347982218,250.50239012137843,322.575533948895,387.16029168832006,424.1108633891003,192.1546461922782,143.87143846260486,558.4116691921068,0.03598423131069024,0.26662758136580783,0.15167553813050919,0.3153744707146776,0.0,0.37993048690504444,0.2760080735292972,0.13940680167851666,1.3863761230468024,0.7185885456743981,0.7611483639295006,0.8324356014803415,0.21858854567439812,-0.03885163607049946,-0.1175643985196585,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.335746345611719,2.277020873276742,2.233919765268053,-7.999772071838379,0.000335482822265476
