epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.12679641311233,19.089914682749157,3.7887107230521537,3.7887107230521537,3.7887107230521537,0.0,0.0,0.3332927033707902,5.860741692620355,0.1732767208202465,4.100482837573902,0.07792242797645363,0.00027790048939956203,0.0,0.658976580645587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1264538764953613,49.99721908569336,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.0074612051248550415,0.9023077487945557,1.0172606706619263,0.3327070474624634,0.0026402801740914583,0.0,0.0,0.0,0.0,0.0,,0.3325769603252411,0.3328563868999481,,0.33457374572753906,,0.3325768709182739,0.332858681678772,,0.3345645070075989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.71884567673142,19.64442402607686,3.782860008445946,3.782860008445946,3.782860008445946,0.0,0.0,0.3326377868652344,6.085130433778505,0.17325004371436867,4.088759551177153,0.08043128090935785,0.00027541743239035477,0.0,0.657583288244299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133018732070923,49.8929328918457,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.0060483356937766075,0.9576903581619263,1.0142267942428589,0.33149558305740356,0.0026774429716169834,0.0,0.0,0.0,0.0,0.0,,0.3311556875705719,0.33171460032463074,,0.33715617656707764,,0.33115729689598083,0.33172768354415894,,0.33711498975753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.86363921294341,17.89097801414696,3.8059708878800675,3.8059708878800675,3.8059708878800675,0.0,0.0,0.33183925216262405,5.66675175847234,0.17319970517545133,3.8993080757759713,0.07580458151327597,0.00027482684802364657,0.0,0.6459998568973025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409053802490234,49.673526763916016,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.0053859129548072815,0.9566026329994202,1.0140550136566162,0.3299314081668854,0.0033303231466561556,0.0,0.0,0.0,0.0,0.0,,0.32931244373321533,0.33028504252433777,,0.3404475152492523,,0.3293199837207794,0.3303127884864807,,0.34036725759506226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.787066485430742,19.73479399809966,3.769622802734375,3.769622802734375,3.769622802734375,0.0,0.0,0.3323623554126636,6.072654930320946,0.17314307754104202,4.055588180954392,0.08145125492199047,0.0002669855901921118,0.0,0.6548476348052154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149245500564575,49.524593353271484,49.421749114990234,49.518367767333984,49.61518478393555,0.9999998807907104,0.005183733534067869,0.9267906546592712,1.0118253231048584,0.3276470899581909,0.004560317378491163,0.0,0.0,0.0,0.0,0.0,,0.3265262842178345,0.328694611787796,,0.344818651676178,,0.32654109597206116,0.3287339508533478,,0.34472495317459106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.175548656566722,18.21342014622044,3.8044957341374577,3.8044957341374577,3.8044957341374577,0.0,0.0,0.33230657835264465,5.673117147909628,0.17305265890585408,3.843865884316934,0.07731048480884449,0.00026430134233590717,0.0,0.6416799184438344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161569356918335,49.19369888305664,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003828340442851186,0.976168155670166,1.0114907026290894,0.3250993490219116,0.005908788647502661,0.0,0.0,0.0,0.0,0.0,,0.3234286606311798,0.3268609642982483,,0.34977519512176514,,0.32345712184906006,0.32691970467567444,,0.3496232032775879,250.88566949865321,378.66021916999847,0.6478946789914739,-133.50887030297582,250.88566961707957,321.04974225731735,384.0878057238163,419.7932953270907,182.61009270804269,139.38555621361547,573.9605314835259,0.037328604329384396,0.25306516837967746,0.2833630400461798,0.30050959164868224,0.0,0.3394605072641242,0.2955769263185054,0.17133597894208155,1.390757795071968,0.7363782932102159,0.7826939284013045,0.8314096222197794,0.23637829321021586,-0.01730607159869557,-0.11859037778022052,0.0,0.0,0.5054945054945055,0.4945054945054945,1.0,2.3338169363828807,2.2756353439865533,2.2326866653594344,-8.000380516052246,0.0003352788044139743
6,6e-06,6e-05,0.05,25.80372578388936,19.793590648754222,3.7692487562024914,3.7692487562024914,3.7695316623997046,0.0,0.0,0.33578609775852514,5.89899712639886,0.1729403444238611,4.013541144293708,0.08232947297998376,0.00021279646033370818,0.0,0.639845255258921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173363447189331,48.72704315185547,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.004385033156722784,0.9756202101707458,1.02114737033844,0.3213410973548889,0.008356195874512196,0.0,0.0,1.6961950063705444,0.5337762236595154,0.6853096361828879,,0.3183315396308899,0.32690727710723877,,0.35480719804763794,,0.3183909058570862,0.32697880268096924,,0.3546302914619446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.0441333667652,21.03877052100929,3.799153508366765,3.799153508366765,3.7998059246991134,0.0,0.0,0.33407417503563136,5.79376880542652,0.17279164855544632,3.9517574825802364,0.08164135185447899,0.0001902781124856021,0.0,0.6387909038646801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1904821395874023,47.99245071411133,47.43569564819336,48.08868408203125,48.46584701538086,1.0,0.006725463084876537,0.9602124691009521,1.0290504693984985,0.3252990245819092,0.007313945330679417,0.0,0.0,1.7366955280303955,0.15646642446517944,0.9099056674357712,,0.32183560729026794,0.3365423083305359,,0.34159764647483826,,0.3218332827091217,0.336575448513031,,0.3415912389755249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,29.00673366237331,22.92239792282517,3.7488654884132178,3.7488654884132178,3.749410680822424,0.0,0.0,0.33798114673511404,6.119898615656672,0.17268322609566353,4.245701557881123,0.08621722298699457,0.00019544710380000037,0.0,0.6591141159470016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2108583450317383,47.01567840576172,46.42744064331055,47.06654739379883,47.52843475341797,1.0,0.012463605962693691,0.9499456882476807,1.0707765817642212,0.33496829867362976,0.004475312773138285,0.0,0.0,1.9695857763290405,0.08498106896877289,0.9568533292684706,,0.3354683518409729,0.33374109864234924,,0.3307960331439972,,0.3354453444480896,0.3337586224079132,,0.3307960629463196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,27.479053394214528,21.52038079339105,3.7901363888302364,3.7901363888302364,3.790279903927365,0.0,0.0,0.33452554651208827,5.702197925464527,0.17232335580361857,3.8516524031355575,0.08068609237670898,0.00022172311169875634,0.0,0.6578049530854096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22660756111145,45.837764739990234,44.823577880859375,45.88654327392578,46.70027160644531,1.0000001192092896,0.02620885521173477,0.8734045028686523,1.1245108842849731,0.3320145905017853,0.00871489942073822,0.0,0.0,2.161642074584961,0.07952198386192322,0.9632122335159526,,0.3315615952014923,0.3332580626010895,,0.3351888060569763,,0.33156949281692505,0.3332662880420685,,0.33516421914100647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,27.315880027977197,21.399465200063343,3.754374736064189,3.754374736064189,3.754381746859164,0.0,0.0,0.33305309914253856,5.738183098870355,0.17225925342456713,3.790780969568201,0.07927197379034918,0.0002495960861041739,0.0,0.6563392329860378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.285353183746338,44.005699157714844,42.02569580078125,44.30137252807617,45.52945327758789,1.0,0.06340587139129639,0.8079679012298584,1.395043969154358,0.3319450318813324,0.021085426211357117,0.0,0.0,2.19034743309021,0.07652901858091354,0.9650607855974045,,0.33154940605163574,0.3328314423561096,,0.33563464879989624,,0.33155542612075806,0.3328341245651245,,0.3356104791164398,250.85832981486897,378.17131740140235,0.6504790077315133,-131.67506991375933,250.8583298602914,321.343684160377,384.64026743755323,420.50638644805383,183.8953797476632,140.04356197978174,571.8114972321883,0.03635301930843701,0.2396915368116133,0.22475777943770836,0.27259381754116474,0.0,0.31338388996462113,0.26394835973823116,0.12941528696313917,1.388219141888387,0.7288300172217947,0.7772159319922318,0.8323806383056686,0.22883001722179475,-0.02278406800776822,-0.1176193616943314,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.340969395506513,2.2798080149587694,2.2363635154215844,-7.997778415679932,0.0003361521812621504
