epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.0878246410473,19.08990478515625,3.788711135451858,3.788711135451858,3.788711135451858,0.0,0.0,0.3332927033707902,5.860740455421242,0.1732767208202465,4.100484074773015,0.0,0.0002779006655957248,0.0,0.6589762713458087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126464366912842,49.99715805053711,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.007455602288246155,0.902289867401123,1.0172568559646606,0.33270618319511414,0.002638623584061861,0.0,0.0,0.0,0.0,0.0,,0.3325759470462799,0.33285558223724365,,0.3345755934715271,,0.33257585763931274,0.3328578770160675,,0.33456626534461975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.678661449535472,19.64446196684966,3.782857946447424,3.782857946447424,3.782857946447424,0.0,0.0,0.3326377095402898,6.085144455368455,0.17325004371436867,4.088753365181588,0.0,0.0002754158969666507,0.0,0.6575765351991396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132991075515747,49.893287658691406,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006046046037226915,0.9576941132545471,1.0142388343811035,0.33149462938308716,0.002677398268133402,0.0,0.0,0.0,0.0,0.0,,0.3311542868614197,0.331714928150177,,0.33715730905532837,,0.3311559557914734,0.33172807097435,,0.33711597323417664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.82586010082348,17.89106544288429,3.805971300279772,3.805971300279772,3.805971300279772,0.0,0.0,0.3318392263876425,5.666862281593117,0.17319991137530352,3.8993406553526184,0.0,0.00027482294653718536,0.0,0.6459932585020323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1408822536468506,49.674842834472656,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005386194214224815,0.9566099643707275,1.0140705108642578,0.32991546392440796,0.0033385020215064287,0.0,0.0,0.0,0.0,0.0,,0.32928749918937683,0.33030205965042114,,0.340455561876297,,0.32929515838623047,0.3303297162055969,,0.3403751254081726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.746360985008447,19.734813793285472,3.7696174415382178,3.7696174415382178,3.7696174415382178,0.0,0.0,0.3323614017383472,6.072654517921242,0.1731429100036621,4.0556137497360645,0.0,0.000267052897126288,0.0,0.6548275303196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1492137908935547,49.52643585205078,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005201325751841068,0.926785945892334,1.0118201971054077,0.3276091516017914,0.004584915470331907,0.0,0.0,0.0,0.0,0.0,,0.3264678120613098,0.32873111963272095,,0.3448416292667389,,0.3264828324317932,0.3287707567214966,,0.3447464108467102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.137101456925677,18.213543866131758,3.804576976879223,3.804576976879223,3.804576976879223,0.0,0.0,0.3323046452290303,5.673148902686867,0.17305383166751345,3.8438811431059965,0.0,0.0002644607243505684,0.0,0.6415917164570576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1618783473968506,49.192989349365234,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003823766950517893,0.9760645031929016,1.011311411857605,0.32502278685569763,0.005948272533714771,0.0,0.0,0.0,0.0,0.0,,0.32331034541130066,0.3269369900226593,,0.34981784224510193,,0.3233392536640167,0.326995849609375,,0.3496648967266083,250.55400037241506,374.1904572136711,0.6733905694548258,-115.26233172154689,250.55399983066675,323.12788151497045,388.2979025379619,425.641486410897,195.9092025756836,145.78411282679832,552.6807194585385,0.03733195099338063,0.25266181143525446,0.28262600563341445,0.2999190852224571,0.0,0.339493636326152,0.29472008296523294,0.17271936516873687,1.3907709548465466,0.7363416510937671,0.7827122494595288,0.8313913011615551,0.23634165109376715,-0.01728775054047127,-0.11860869883844483,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333871588274673,2.2756849199860962,2.2327319901068132,-8.00036907196045,0.0003352826461195946
6,6e-06,6e-05,0.05,25.175853832347972,19.207720782305742,3.7695959967535897,3.7695959967535897,3.7701502619562923,0.0,0.0,0.33525765908731,5.897848593222128,0.1729433214342272,4.008368002401816,0.0,0.00023613573127501719,0.0,0.6467019673940297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1944565773010254,48.66449737548828,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004578710068017244,0.9758039712905884,1.0256341695785522,0.33199068903923035,0.00617695739492774,0.0,0.0,1.650862216949463,0.9872770309448242,0.40196279204380914,,0.33399564027786255,0.32047614455223083,,0.3455415666103363,,0.33397775888442993,0.32058581709861755,,0.3454364538192749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.306724754539697,19.344241580447637,3.799930057010135,3.799930057010135,3.8011994233002535,0.0,0.0,0.3332692223626214,5.7939956252639355,0.1728058634577571,3.93543140308277,0.0,0.000223259290529264,0.0,0.6544128108668972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2281229496002197,47.79970932006836,47.250762939453125,47.90120315551758,48.371280670166016,1.0,0.009525076486170292,0.9710217118263245,1.0755804777145386,0.34278371930122375,0.016232889145612717,0.0,0.0,1.5692074298858643,0.6481577157974243,0.5869521750578457,,0.35013213753700256,0.31257855892181396,,0.3373625576496124,,0.35007143020629883,0.31257134675979614,,0.33735722303390503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.295712032833613,20.26879222972973,3.7504940548458614,3.7504940548458614,3.7525733741554053,0.0,0.0,0.3371960665728595,6.096461940456081,0.17271001918895826,4.185480478647593,0.0,0.00022601343792032552,0.0,0.6826435295311181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3380956649780273,45.81513214111328,44.823577880859375,45.976253509521484,46.70027160644531,1.0,0.023523593321442604,0.9477883577346802,1.2382495403289795,0.36390894651412964,0.03814820572733879,0.0,0.0,1.5408127307891846,0.5007781982421875,0.6749908744681157,,0.3817233443260193,0.2971016764640808,,0.3212968111038208,,0.38121986389160156,0.2973491847515106,,0.3214309811592102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.04145606788429,19.16984599345439,3.791263064822635,3.791263064822635,3.7925122235272384,0.0,0.0,0.33392756694072,5.622537561365076,0.17250178311322187,3.6806999412742822,0.0,0.00023941363434533815,0.0,0.7090123150799725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.454324960708618,43.19580841064453,41.13242721557617,43.44450378417969,44.91121292114258,1.0,0.05873696133494377,0.8851942420005798,1.504051685333252,0.3779337704181671,0.05867122486233711,0.0,0.0,1.1899809837341309,0.350985586643219,0.7050494155445788,,0.40243637561798096,0.28810614347457886,,0.3098583519458771,,0.4012129306793213,0.2886101007461548,,0.3101769685745239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.7521692224451,19.01483814136402,3.7503002269847974,3.7503002269847974,3.746202211122255,0.0,0.0,0.33253538286363754,5.448019904059333,0.17238347594802444,3.386987222207559,0.0,0.000262040166637382,0.0,0.7296623539280247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7587521076202393,38.600372314453125,32.474937438964844,39.711490631103516,42.68750762939453,1.0,0.16466280817985535,0.7601881623268127,2.3516459465026855,0.3904133439064026,0.1077088788151741,0.0,0.0,0.8229930400848389,0.24875369668006897,0.6977450785556752,,0.4198358952999115,0.2852221131324768,,0.29639285802841187,,0.41545814275741577,0.28685128688812256,,0.29769057035446167,250.55685764354664,373.7881147844917,0.6760908673924148,-113.40977876264971,250.55685894255998,323.42952888004885,388.8093626159811,426.28666135250177,197.20702362060547,146.49504881866218,550.5008180037788,0.035991817273040426,0.2627552450126965,0.16842788692888994,0.30841444900040593,0.0,0.3694529934578216,0.271398676097076,0.1328970490461487,1.3865600057546656,0.7194496354109413,0.7632736066835221,0.8324172804221172,0.2194496354109413,-0.03672639331647798,-0.1175827195778828,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3358841109406816,2.2771054470277097,2.233996080500739,-7.999743461608887,0.00033549239742569625
