epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.12679146431588,19.089914682749157,3.7887074238545186,3.7887074238545186,3.7887074238545186,0.0,0.0,0.3332927033707902,5.860740043021537,0.1732767208202465,4.100481187975085,0.07792246019518054,0.00027789978461491093,0.0,0.6589769930452913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126469850540161,49.99722671508789,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.0074576884508132935,0.9022828340530396,1.0172487497329712,0.3327071964740753,0.0026390892453491688,0.0,0.0,0.0,0.0,0.0,,0.33257681131362915,0.33285802602767944,,0.33457228541374207,,0.332576721906662,0.3328602910041809,,0.3345629572868347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.71875659839527,19.64434979413007,3.7828587712468327,3.7828587712468327,3.7828587712468327,0.0,0.0,0.33263745179047455,6.085094142604518,0.17325018547676704,4.088733569995777,0.08043110048448718,0.00027543912968925526,0.0,0.6575925672376478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1329898834228516,49.89327621459961,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.0060453470796346664,0.9577092528343201,1.0142507553100586,0.3315158486366272,0.0026667090132832527,0.0,0.0,0.0,0.0,0.0,,0.3311789333820343,0.3317364454269409,,0.33711081743240356,,0.33118051290512085,0.3317493200302124,,0.33707013726234436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.86368045291385,17.89098461254223,3.8059745994774072,3.8059745994774072,3.8059745994774072,0.0,0.0,0.3318391232877164,5.666843311206715,0.17319955052556218,3.899331994958826,0.07580459440076673,0.00027483006989633714,0.0,0.6460365089210304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409530639648438,49.67287063598633,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.0053771864622831345,0.9565763473510742,1.0140111446380615,0.3299171030521393,0.0033342682290822268,0.0,0.0,0.0,0.0,0.0,,0.3292869031429291,0.33031705021858215,,0.34044110774993896,,0.32929450273513794,0.330344557762146,,0.34036093950271606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.7871654613598,19.734914418813343,3.7696170291385136,3.7696170291385136,3.7696170291385136,0.0,0.0,0.332362716262405,6.072630598738387,0.17314254915392077,4.055516011006123,0.08145134513442581,0.0002669444609735463,0.0,0.6548229423729149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149329900741577,49.52301788330078,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.0051776207983493805,0.9267218112945557,1.0117502212524414,0.32761290669441223,0.0045782420784235,0.0,0.0,0.0,0.0,0.0,,0.32647591829299927,0.32871556282043457,,0.3448486924171448,,0.32649120688438416,0.32875514030456543,,0.3447536528110504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.17565753008868,18.2135570629223,3.804518416121199,3.804518416121199,3.804518416121199,0.0,0.0,0.3323065268026816,5.673042915962838,0.17305116395692569,3.8437075228304476,0.07731031727146458,0.00026429132432550996,0.0,0.641579499115815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161881685256958,49.18649673461914,49.037147521972656,49.22907257080078,49.3253173828125,1.0000001192092896,0.003834367962554097,0.97596275806427,1.0112780332565308,0.32499679923057556,0.005974918138235807,0.0,0.0,0.0,0.0,0.0,,0.32330557703971863,0.32677972316741943,,0.3499792516231537,,0.3233344554901123,0.3268384337425232,,0.3498271405696869,250.78558829590514,370.8578689456079,0.6989371207936546,-98.0036670768654,250.78558844817127,325.89685360859755,392.89210368748286,431.4109120736044,208.41535295758928,152.60042994891026,532.5785681683084,0.03735474390934042,0.25353547393243864,0.2840834151292613,0.3012866817831054,0.0,0.3403925109991321,0.29635540335944743,0.17311516542114355,1.3907569919262044,0.7363782932102159,0.7827122494595288,0.8313729801033307,0.23637829321021586,-0.01728775054047127,-0.11862701989666924,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.333853847705401,2.275759892476784,2.232844795499529,-8.000377655029297,0.00033527976484037936
6,6e-06,6e-05,0.05,25.09943286792652,19.08977611644848,3.769761781434755,3.769761781434755,3.7705078125,0.0,0.0,0.33506581589982315,5.898165316195102,0.17294211001009555,4.010602796399915,0.082018620259053,0.00024802622863569776,0.0,0.6453735763962204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188314437866211,48.681007385253906,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.004474256187677383,0.9724690914154053,1.0216753482818604,0.32828083634376526,0.0037722683046013117,0.0,0.0,1.6522183418273926,1.1946823596954346,0.2769222266506934,,0.32738885283470154,0.3286760747432709,,0.3439595699310303,,0.32740575075149536,0.3287298381328583,,0.34386444091796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.109840186866553,19.10465549778294,3.8002022408150338,3.8002022408150338,3.8017541009026603,0.0,0.0,0.3330137149707691,5.795804822767103,0.17281938243556666,3.945173933699324,0.08112405441902779,0.0002387253869626973,0.0,0.647982932425834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2038283348083496,47.982120513916016,47.43569564819336,47.99485397338867,48.46584701538086,1.0,0.006684937980026007,0.9651204943656921,1.0390305519104004,0.3320288360118866,0.0025326295290142298,0.0,0.0,1.5920815467834473,0.891089916229248,0.44029882261398207,,0.3319561779499054,0.3313148617744446,,0.33673322200775146,,0.3319427967071533,0.33132338523864746,,0.3367338478565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.987755027977197,19.90545654296875,3.7508458317937077,3.7508458317937077,3.753108668971706,0.0,0.0,0.3369505598738387,6.114294516073691,0.17270431003055056,4.232552193306588,0.08561879235344964,0.00024029172050791817,0.0,0.6698592417948955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2360804080963135,46.764286041259766,46.066139221191406,46.883052825927734,47.343135833740234,1.0,0.013374608010053635,0.9541996717453003,1.098229169845581,0.3417243957519531,0.008072938770055771,0.0,0.0,1.6611287593841553,0.76889967918396,0.5371221677788416,,0.34305182099342346,0.341866135597229,,0.31503981351852417,,0.3429676294326782,0.3418154716491699,,0.31521689891815186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.97349754539696,19.023508432749157,3.79287018647065,3.79287018647065,3.7951981828019425,0.0,0.0,0.3337943102862384,5.67594744708087,0.17238289601094015,3.816548115498311,0.08023325172630516,0.000247317341131133,0.0,0.6865362734407991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2604527473449707,45.25328826904297,44.04254913330078,45.440608978271484,46.336849212646484,1.0,0.030642934143543243,0.8833937644958496,1.2106183767318726,0.3473290801048279,0.015574862249195576,0.0,0.0,1.4203985929489136,0.6098018884658813,0.5706825594639169,,0.34979110956192017,0.3462759256362915,,0.3038793206214905,,0.34964239597320557,0.34619295597076416,,0.3041646480560303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.976932010135137,19.10035004486909,3.7554098593222127,3.7554098593222127,3.75559832598712,0.0,0.0,0.3325779373581345,5.636458113386825,0.17224494830982104,3.679673890809755,0.07889277226216085,0.0002576144210792877,0.0,0.6989645055822424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3968329429626465,42.523197174072266,39.479488372802734,43.022308349609375,44.73611831665039,1.0000001192092896,0.09355347603559494,0.8098548054695129,1.6254521608352661,0.3522264063358307,0.04089176654815674,0.0,0.0,1.188688039779663,0.4822744131088257,0.5942800827724146,,0.35516709089279175,0.35275503993034363,,0.29212576150894165,,0.35456129908561707,0.3520295023918152,,0.293409138917923,250.8775998838655,370.6452530861356,0.7011279141510044,-96.646517596402,250.87759918795777,326.20353070146354,393.34482503806754,431.9713665580179,209.37952641078405,153.20707735165146,531.0946416440217,0.036184070073061174,0.2437089571585483,0.27941512298353527,0.28063063333733496,0.0,0.3264608889328453,0.2647316252925294,0.12684856947676426,1.387527008687862,0.7251291634604815,0.7726723095525998,0.8324905646550145,0.2251291634604815,-0.027327690447400244,-0.11750943534498548,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.335931883080975,2.2774001641587898,2.2343308535905986,-7.999902248382568,0.00033543913741596043
