epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.126793113914697,19.089916332347972,3.788707836254223,3.788707836254223,3.788707836254223,0.0,0.0,0.3332926518208272,5.86074870341533,0.17327674659522804,4.100484899572424,0.07792241508896286,0.00027789829953296766,0.0,0.6589761682458826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126469373703003,49.997169494628906,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.007458113133907318,0.9022898077964783,1.017256736755371,0.33270660042762756,0.002639433369040489,0.0,0.0,0.0,0.0,0.0,,0.33257657289505005,0.33285486698150635,,0.33457568287849426,,0.3325765132904053,0.3328571319580078,,0.3345663249492645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.718896814294762,19.644480112436657,3.782857946447424,3.782857946447424,3.782857946447424,0.0,0.0,0.3326376837653083,6.085140743771115,0.17324997927691485,4.08875542718011,0.08043120358441327,0.00027542208900322785,0.0,0.6575904021391997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132986068725586,49.8928337097168,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006048949435353279,0.9576979875564575,1.014266848564148,0.33151575922966003,0.002668611705303192,0.0,0.0,0.0,0.0,0.0,,0.33118122816085815,0.3317238390445709,,0.33712121844291687,,0.3311828374862671,0.33173683285713196,,0.33708032965660095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.8635814769848,17.890926876583613,3.8059696506809546,3.8059696506809546,3.8059696506809546,0.0,0.0,0.3318394325874947,5.6667327880859375,0.17319904791342244,3.89928168219489,0.07580462661949364,0.00027481657830444545,0.0,0.6460327457737278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409807205200195,49.670875549316406,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005388196557760239,0.9565695524215698,1.0140074491500854,0.32993292808532715,0.003329894971102476,0.0,0.0,0.0,0.0,0.0,,0.32931479811668396,0.33028340339660645,,0.34044647216796875,,0.32932254672050476,0.3303111493587494,,0.34036630392074585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.78749703072213,19.73524928737331,3.7696223903346704,3.7696223903346704,3.7696223903346704,0.0,0.0,0.3323630255621833,6.072620288745777,0.17314138927975217,4.055511474609375,0.08145146756558805,0.0002669339395455412,0.0,0.6548468615557697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149219512939453,49.52238464355469,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.0052032312378287315,0.9267730116844177,1.0118061304092407,0.3276457190513611,0.004567012190818787,0.0,0.0,0.0,0.0,0.0,,0.3265262246131897,0.32868504524230957,,0.34482860565185547,,0.32654106616973877,0.328724205493927,,0.34473466873168945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.17518409522804,18.21308197846284,3.804490785341005,3.804490785341005,3.804490785341005,0.0,0.0,0.33230905275087097,5.67305528795397,0.17305111240696264,3.843838665936444,0.07731117428960027,0.0002641341070065627,0.0,0.6416643503549937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16163969039917,49.18815231323242,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.003841966390609741,0.9760711193084717,1.011405110359192,0.32508260011672974,0.0059265680611133575,0.0,0.0,0.0,0.0,0.0,,0.32341331243515015,0.32682305574417114,,0.34982946515083313,,0.3234415054321289,0.3268812894821167,,0.3496771454811096,250.57479638319748,373.77159345170674,0.6764330010266528,-113.2279462499933,250.57479700799723,323.45009135708546,388.8915770084619,426.4081414367821,197.5102811540876,146.53996480897416,550.3996850718622,0.037304795033334795,0.2521193335645804,0.2820103312968444,0.2991246948920539,0.0,0.3380845828530739,0.2932274253334535,0.1708242214161694,1.3907610471028333,0.7363599721519914,0.7826939284013045,0.8314279432780037,0.23635997215199145,-0.01730607159869557,-0.11857205672199622,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3337671760019365,2.2755942819537696,2.232651106603853,-8.000387191772461,0.0003352765634190291
6,6e-06,6e-05,0.05,25.21885887352196,19.20948585304054,3.76993127771326,3.76993127771326,3.7709482553842903,0.0,0.0,0.3352646183323216,5.897402376741977,0.17293536985242688,4.008018699852196,0.08210581057780497,0.000240647913636388,0.0,0.6467881589322477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194915294647217,48.645355224609375,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004616073332726955,0.9753944873809814,1.025438904762268,0.3321808874607086,0.006347985938191414,0.0,0.0,1.64437997341156,0.9847303628921509,0.40115400405348417,,0.3343013823032379,0.32022625207901,,0.345486581325531,,0.3342830538749695,0.32033824920654297,,0.34537869691848755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.342321447423988,19.33911792652027,3.800635260504645,3.800635260504645,3.8027599437816724,0.0,0.0,0.3332749701835014,5.792512223527238,0.172797357713854,3.9337521114864864,0.08124613761901855,0.00023007818271179458,0.0,0.6548453150568782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.229393720626831,47.777408599853516,47.158565521240234,47.807735443115234,48.27689743041992,1.0,0.009772634133696556,0.9697316288948059,1.074425458908081,0.34316548705101013,0.01663888432085514,0.0,0.0,1.56660795211792,0.6494591236114502,0.5854360864609189,,0.3507210314273834,0.3122056722640991,,0.33714717626571655,,0.35065439343452454,0.3122033476829529,,0.33714228868484497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.323938318201012,20.254404428842907,3.7513316386454814,3.7513316386454814,3.7544382456186653,0.0,0.0,0.337195551073229,6.093366468274915,0.1727066555538693,4.183126913534628,0.08574349171406515,0.00023308595189371626,0.0,0.6826480143779033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351168632507324,45.87691116333008,44.91121292114258,45.976253509521484,46.70027160644531,0.9999998807907104,0.02333700843155384,0.9466413259506226,1.2263253927230835,0.36360424757003784,0.037802256643772125,0.0,0.0,1.5392755270004272,0.5030599236488342,0.6731839655573927,,0.3812786042690277,0.2972699701786041,,0.32156622409820557,,0.3807747960090637,0.2975236475467682,,0.3217015862464905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.059329471072637,19.148059741870778,3.7918952735694678,3.7918952735694678,3.7940018112595015,0.0,0.0,0.33392895878972234,5.618102202544341,0.17250999244483742,3.6798681310705237,0.0802478854720657,0.00024513409447831074,0.0,0.708058279913825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.450629472732544,43.351314544677734,41.374149322509766,43.61454391479492,45.08699035644531,1.0,0.05856262147426605,0.880608081817627,1.5039386749267578,0.3774906396865845,0.05821346491575241,0.0,0.0,1.2027665376663208,0.35457390546798706,0.7052013883293158,,0.401765912771225,0.2884657084941864,,0.31018608808517456,,0.4005432426929474,0.2889643907546997,,0.3104923963546753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.81327201224662,19.02880199535473,3.751698261982686,3.751698261982686,3.7488390948321366,0.0,0.0,0.33253326931515254,5.462905058989653,0.17239664696358345,3.4042678008208402,0.07879098686012062,0.00026509742177016025,0.0,0.7279006339408256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7356982231140137,39.08944320678711,33.43390655517578,40.101200103759766,42.93836212158203,1.0,0.15570242702960968,0.7664194703102112,2.2810492515563965,0.3892250061035156,0.10279855877161026,0.0,0.0,0.8628275990486145,0.25067073106765747,0.7094776159871842,,0.4181686043739319,0.2855815291404724,,0.2974896728992462,,0.41411131620407104,0.28714558482170105,,0.2987430989742279,250.59751579787704,373.41245954934465,0.6790650974197662,-111.45439137469282,250.5975167465033,323.7765074822288,389.43935708387346,427.07969020788556,198.76544570922852,147.2418204610662,548.3303242559018,0.03591741250459871,0.26040211320115697,0.1694403514230642,0.3049884178666921,0.0,0.36667339166163077,0.26652182493392645,0.13075628422326066,1.3866627426147569,0.7195595617602872,0.763218643508849,0.8324539225385659,0.21955956176028724,-0.036781356491150996,-0.11754607746143408,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3361597699778422,2.2773178056046204,2.234193782884996,-7.9997148513793945,0.000335502001689747
