epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.126807960304053,19.08992458034206,3.788709898252745,3.788709898252745,3.788709898252745,0.0,0.0,0.3332926775958087,5.86075818860853,0.1732767208202465,4.100485311972128,0.07792249241390743,0.00027789935670994426,0.0,0.6589763228957718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1264524459838867,49.997196197509766,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.0074595860205590725,0.9022897481918335,1.0172648429870605,0.33270660042762756,0.0026399220805615187,0.0,0.0,0.0,0.0,0.0,,0.3325763940811157,0.33285585045814514,,0.3345748782157898,,0.33257633447647095,0.332858145236969,,0.33456552028656006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.718903412690032,19.64448341163429,3.782861245645059,3.782861245645059,3.782861245645059,0.0,0.0,0.33263783841519745,6.085137856973184,0.17325010815182249,4.088748416385135,0.08043128735310323,0.0002754086980948577,0.0,0.6575844738934491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1330208778381348,49.89308166503906,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006049963645637035,0.9576750993728638,1.014266848564148,0.3315007984638214,0.0026755412109196186,0.0,0.0,0.0,0.0,0.0,,0.3311617076396942,0.3317198157310486,,0.33714500069618225,,0.3311633765697479,0.33173292875289917,,0.3371036946773529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.863794275232262,17.891096785261823,3.8059737746779985,3.8059737746779985,3.8059737746779985,0.0,0.0,0.3318389944128088,5.666854445998733,0.17320018201260953,3.899335294156461,0.07580454929454906,0.0002748436873426309,0.0,0.6460158889358109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409385204315186,49.67301940917969,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005388842895627022,0.956572413444519,1.0140190124511719,0.3299368619918823,0.003328662132844329,0.0,0.0,0.0,0.0,0.0,,0.3293203115463257,0.3302825093269348,,0.340442031621933,,0.32932788133621216,0.33031022548675537,,0.34036189317703247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.7870433910473,19.73477420291385,3.7696190911370353,3.7696190911370353,3.7696190911370353,0.0,0.0,0.332361685263144,6.072683798300253,0.1731429486661344,4.055542816986909,0.08145099072842985,0.0002670213831840335,0.0,0.6548645947430585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149216651916504,49.525054931640625,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005206228233873844,0.9267790913581848,1.011812686920166,0.32766932249069214,0.004553510341793299,0.0,0.0,0.0,0.0,0.0,,0.3265552818775177,0.3286994695663452,,0.34478798508644104,,0.32656973600387573,0.3287391662597656,,0.34469109773635864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.174849226668073,18.212697621938343,3.804518003721495,3.804518003721495,3.804518003721495,0.0,0.0,0.3323051607286608,5.673175296267948,0.17305383166751345,3.8437937143686653,0.07731009174037624,0.0002643708139657974,0.0,0.6416834238413218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1622629165649414,49.18844985961914,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.0037990077398717403,0.9759232997894287,1.0111137628555298,0.3250880837440491,0.005906023550778627,0.0,0.0,0.0,0.0,0.0,,0.323416531085968,0.32684531807899475,,0.34980201721191406,,0.3234442174434662,0.3269035518169403,,0.3496522307395935,250.55390177716265,373.65028981152216,0.6770440290485011,-112.7665827195723,250.55390223024085,323.49138892333457,388.9571478883592,426.50339414597477,197.8436121259417,146.69199939106787,549.8399329807447,0.03730090049048076,0.2514987781266281,0.28125494867082956,0.2984261169710129,0.0,0.3377157168038409,0.2914064452773526,0.1717899025534893,1.3907621617378843,0.7363782932102159,0.7827122494595288,0.8314645853944523,0.23637829321021586,-0.01728775054047127,-0.11853541460554762,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3338496459054423,2.275651175569702,2.2327017060347965,-8.000370025634766,0.00033528232597745955
6,6e-06,6e-05,0.05,25.21255905563767,19.20293529613598,3.7699411753061653,3.7699411753061653,3.770898355020059,0.0,0.0,0.3352532257904878,5.8980712890625,0.1729432827717549,4.008679364178632,0.08210102931873219,0.00024113318303952346,0.0,0.646448547775681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193842887878418,48.667640686035156,48.371280670166016,48.75066375732422,48.94146728515625,1.0,0.004558942746371031,0.9761537313461304,1.0259969234466553,0.33168667554855347,0.00607405137270689,0.0,0.0,1.6482625007629395,0.9935513734817505,0.3972128996310597,,0.33357155323028564,0.3205394148826599,,0.34590625762939453,,0.3335566520690918,0.32065001130104065,,0.34579333662986755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.33906513935811,19.33471844647382,3.8007721772065035,3.8007721772065035,3.802769016575169,0.0,0.0,0.33326803671347127,5.794855478647593,0.17280933019277211,3.936730874551309,0.08124528704462824,0.0002302858928168142,0.0,0.6536698212494721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2255654335021973,47.85276412963867,47.250762939453125,47.90120315551758,48.371280670166016,1.0,0.009180891327559948,0.9727256894111633,1.0587577819824219,0.34171509742736816,0.015172082930803299,0.0,0.0,1.566676378250122,0.6559164524078369,0.5813325192657504,,0.3485802412033081,0.3131273090839386,,0.33834487199783325,,0.34851229190826416,0.313154399394989,,0.33833327889442444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.36715450802365,20.29155669341216,3.7517399143528296,3.7517399143528296,3.7548506453230575,0.0,0.0,0.337213438910407,6.10658140440245,0.17270397495579076,4.198766759923987,0.0857595817462818,0.00023189937142101494,0.0,0.6799234441808752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32118821144104,46.117313385009766,45.17513656616211,46.24643325805664,46.883052825927734,1.0,0.02085109055042267,0.9537972807884216,1.2069165706634521,0.3614206314086914,0.03541828319430351,0.0,0.0,1.5535469055175781,0.511288046836853,0.6708898553233493,,0.37803953886032104,0.29873597621917725,,0.3233245611190796,,0.3775980472564697,0.2989659905433655,,0.3234359622001648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.207732329497468,19.276111499683278,3.7936929238809123,3.7936929238809123,3.7963644491659627,0.0,0.0,0.3339528006476325,5.661984830289273,0.17251625576534788,3.729403521563556,0.08030582118678738,0.00024303363485110772,0.0,0.7046756228885135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4144818782806396,43.9555549621582,42.190181732177734,44.128658294677734,45.440608978271484,1.0,0.04311525076627731,0.8978291153907776,1.322535753250122,0.37517163157463074,0.051899854093790054,0.0,0.0,1.273949384689331,0.3748798966407776,0.7057340729967879,,0.3984130322933197,0.2896120846271515,,0.3122323751449585,,0.3974962830543518,0.29001384973526,,0.3124898672103882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.214154217694258,19.37702735694679,3.755783493454392,3.755783493454392,3.7549034324852197,0.0,0.0,0.33269415674982844,5.579741194441512,0.17274268897804054,3.530796360325169,0.07893080324740023,0.00025186722947133556,0.0,0.7222433863459407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6361427307128906,40.295928955078125,35.806339263916016,41.05216979980469,43.44450378417969,1.0,0.12095483392477036,0.8051435947418213,1.9599405527114868,0.3864256739616394,0.08648479729890823,0.0,0.0,0.9308797121047974,0.26140254735946655,0.7191876200971086,,0.41440072655677795,0.2856428325176239,,0.30055171251296997,,0.41136792302131653,0.28697669506073,,0.3016553521156311,250.57715680049017,373.2962461535551,0.6796797398546724,-110.99641902630145,250.57715722146332,323.8263100699423,389.4943432674766,427.1674850610517,199.12362616402763,147.38898036276646,547.7825801683509,0.03587984577131201,0.2593223634201354,0.1781527430077476,0.30296259205718423,0.0,0.3661577939681752,0.26296688166895205,0.12098476293023341,1.386679478259162,0.7193946722362684,0.7632552856252978,0.8324539225385659,0.2193946722362684,-0.03674471437470228,-0.11754607746143408,0.0,0.0,0.5439560439560439,0.45604395604395603,1.0,2.336265957944996,2.2774667831567617,2.2343359157279297,-7.999880313873291,0.00033544652978889644
