epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,166.26872624577703,19.08995097392314,3.7886525746938347,3.7886525746938347,3.7886525746938347,0.0,0.0,0.33329211054621516,5.860757776208826,0.173276695045265,4.100485311972128,0.07792220888911067,0.0002778723483552804,0.0,0.6589712194494299,705.7096706081081,1.3587487710488808,704.3510346283783,0.0,0.0,0.0,0.0,0.0,2.1264584064483643,49.996437072753906,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.007441152352839708,0.9022723436355591,1.0172532796859741,0.33270272612571716,0.0026350414846092463,0.0,0.0,0.0,0.0,0.0,,0.3325731158256531,0.3328457176685333,,0.3345884084701538,,0.3325730860233307,0.33284807205200195,,0.33457884192466736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,168.00646642736487,19.6452075855152,3.782604320629223,3.782604320629223,3.782604320629223,0.0,0.0,0.3326348485173406,6.08516095135663,0.17324915447750608,4.088792543153505,0.08042970219173946,0.0002752957815254057,0.0,0.6575134895943306,711.4353357263514,1.4147785289867505,710.0207453547297,0.0,0.0,0.0,0.0,0.0,2.1328959465026855,49.892578125,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.006046341732144356,0.9577775597572327,1.0143074989318848,0.3314245045185089,0.002708851359784603,0.0,0.0,0.0,0.0,0.0,,0.3310617506504059,0.3317023813724518,,0.3372630476951599,,0.3310634195804596,0.3317158818244934,,0.3372206687927246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,162.72406830658784,17.891286489125843,3.8054215714738175,3.8054215714738175,3.8054215714738175,0.0,0.0,0.33183157121812973,5.666817330025338,0.17319683126501134,3.8993307577597127,0.07580210067130425,0.0002747526190973617,0.0,0.6457008155616554,694.3034206081081,1.2690546190416492,693.0342588682432,0.0,0.0,0.0,0.0,0.0,2.1412065029144287,49.66396713256836,49.61518478393555,49.71218490600586,49.71218490600586,1.0,0.005364208482205868,0.9565190672874451,1.0139110088348389,0.32969367504119873,0.0034602482337504625,0.0,0.0,0.0,0.0,0.0,,0.32901811599731445,0.3301413655281067,,0.3408883213996887,,0.32902616262435913,0.3301708996295929,,0.340802937746048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,166.48494246199326,19.7377649255701,3.7685600486961572,3.7685600486961572,3.7685600486961572,0.0,0.0,0.3323463491491369,6.072457803262247,0.17313306396071976,4.055307749155405,0.08144553287609203,0.00026736926992197295,0.0,0.6542373863426415,703.48046875,1.3899695937697951,702.0905299831081,0.0,0.0,0.0,0.0,0.0,2.1497485637664795,49.50627899169922,49.421749114990234,49.518367767333984,49.61518478393555,0.9999998807907104,0.005114626605063677,0.9300620555877686,1.0115400552749634,0.3271997570991516,0.004822953138500452,0.0,0.0,0.0,0.0,0.0,,0.325996071100235,0.3283040225505829,,0.3457367420196533,,0.32601213455200195,0.3283454477787018,,0.3456423878669739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,163.42999102618242,18.215960528399492,3.8027611809807853,3.8027611809807853,3.8027611809807853,0.0,0.0,0.3322807775961386,5.6726226806640625,0.1730338818318135,3.8430761388830237,0.07730125092171333,0.000265237145327233,0.0,0.6405161264780406,696.269847972973,1.3001574954471073,694.9695945945946,0.0,0.0,0.0,0.0,0.0,2.1623406410217285,49.16124725341797,48.94146728515625,49.22907257080078,49.3253173828125,1.0,0.003913837485015392,0.9767061471939087,1.0133755207061768,0.32432544231414795,0.0064231026917696,0.0,0.0,0.0,0.0,0.0,,0.32247433066368103,0.3263792097568512,,0.3511996269226074,,0.32249897718429565,0.32643556594848633,,0.35106542706489563,250.5538653908195,374.19477170548487,0.6733608756012193,-115.2762282864078,250.55386620421976,323.11560235868444,388.26910006982683,425.6126662039198,195.892760685512,145.7788621177969,552.6974122420601,0.03722402166600255,0.25237045309516,0.2793215860547255,0.297930521857435,0.0,0.3360298615408837,0.2912187033582643,0.16592694279434975,1.3906710243274842,0.7360851562786267,0.7826023231101829,0.8315745117437984,0.2360851562786267,-0.017397676889817193,-0.11842548825620158,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3331396664891924,2.275091286216463,2.232192723633169,-8.000382423400879,0.00033527816412970424
6,6e-06,6e-05,0.05,166.57047086148648,19.213306323902028,3.7671521161053634,3.7671521161053634,3.7679430987383866,0.0,0.0,0.335225079510663,5.896205180400127,0.1729118501817858,4.0067901611328125,0.08207841821618982,0.00023739520661734246,0.0,0.6455420932254275,706.7557538006756,1.3274292816986908,705.4283150337837,0.0,0.0,0.0,0.0,0.0,2.1959095001220703,48.60080337524414,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.004750119987875223,0.9715423583984375,1.0288848876953125,0.33153972029685974,0.006422907579690218,0.0,0.0,1.6476831436157227,0.9850374460220337,0.4021681596739288,,0.33351877331733704,0.31978222727775574,,0.3467145264148712,,0.33350223302841187,0.31989365816116333,,0.3466041088104248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,165.6928051097973,19.340226456925677,3.7961231953388936,3.7961231953388936,3.7978874412742822,0.0,0.0,0.3332075428318333,5.79042878022065,0.17276635041108002,3.9309044915276603,0.08119728114153887,0.00022622361477162386,0.0,0.6539719040329391,701.7749683277027,1.2924742827544342,700.482421875,0.0,0.0,0.0,0.0,0.0,2.232409715652466,47.67446517944336,47.06654739379883,47.714454650878906,48.27689743041992,1.0,0.010291717015206814,0.9644621014595032,1.0643253326416016,0.34254854917526245,0.01640215888619423,0.0,0.0,1.5719566345214844,0.6481152176856995,0.5877015921097654,,0.34994110465049744,0.3119206428527832,,0.33820226788520813,,0.3498746156692505,0.31191393733024597,,0.3382114768028259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,170.0324509079392,20.25873627533784,3.7437426592852616,3.7437426592852616,3.7468529778557853,0.0,0.0,0.3370922191722973,6.092941696579392,0.17263351904379354,4.179394696209882,0.0856778235048861,0.0002312454067774721,0.0,0.6819600285710515,718.5635557432432,1.3586271131360852,717.205078125,0.0,0.0,0.0,0.0,0.0,2.339677333831787,45.56740951538086,44.561710357666016,45.70764923095703,46.42744064331055,1.0,0.02291085012257099,0.9359750747680664,1.2253104448318481,0.3629148304462433,0.03714742138981819,0.0,0.0,1.5396541357040405,0.4966821074485779,0.6774067006799166,,0.380387544631958,0.29703909158706665,,0.32272809743881226,,0.3799293041229248,0.2972375154495239,,0.32283318042755127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,164.65053578969594,19.115466968433278,3.7801695127744934,3.7801695127744934,3.7832406533731,0.0,0.0,0.33378564989244613,5.628517769478463,0.1722344836673221,3.6848053803315035,0.08016340152637379,0.00024814025272388717,0.0,0.7084783605627112,698.1626900337837,1.2530354680241764,696.9097339527027,0.0,0.0,0.0,0.0,0.0,2.450242757797241,42.83913803100586,40.88414764404297,43.022308349609375,44.561710357666016,1.0,0.0521540530025959,0.8753260374069214,1.398597240447998,0.37693360447883606,0.05638629570603371,0.0,0.0,1.184078335762024,0.3463449776172638,0.7074982565284665,,0.40109360218048096,0.28803256154060364,,0.31132078170776367,,0.40002673864364624,0.2884400486946106,,0.3115331828594208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,165.51500475084458,18.87854663745777,3.73758264490076,3.73758264490076,3.7365508208403715,0.0,0.0,0.3323337967331345,5.514736278637035,0.1716343132225243,3.4382656200512036,0.07869292594291069,0.0002771479555883923,0.0,0.7304867924870672,704.2449852195946,1.264273978568412,702.9806798986486,0.0,0.0,0.0,0.0,0.0,2.7224645614624023,38.362239837646484,32.602046966552734,39.3255729675293,42.355308532714844,1.0,0.12987102568149567,0.7708815932273865,1.8772425651550293,0.38853833079338074,0.09262362122535706,0.0,0.0,0.8494634032249451,0.23889659345149994,0.7187676449102562,,0.4174317717552185,0.28462740778923035,,0.29901695251464844,,0.41404473781585693,0.2859281003475189,,0.30002719163894653,250.55711289290542,373.8202784038134,0.6758964077825587,-113.54924019614418,250.5571108872076,323.3883935516023,388.72902575980027,426.2017440614817,197.11914988926478,146.43858251645582,550.6735511448072,0.03598546316807996,0.2589420094552657,0.17837630381563252,0.30086902154877043,0.0,0.36286994157101304,0.2531135931450156,0.1061875326817483,1.3865331551415616,0.7201458356234656,0.7648858598072624,0.8324539225385659,0.22014583562346557,-0.03511414019273762,-0.11754607746143408,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3338531160747613,2.2755714055601057,2.2326180974205774,-7.999700546264648,0.00033550680382177234
11,1e-05,0.0001,0.3,161.7431640625,16.69919235641892,3.7235363109691724,3.7235363109691724,3.716001355970228,0.0,0.0,0.3321422370704445,4.9366653029983105,0.1689392038293787,2.911369529930321,0.07889014321404535,0.00034021480462035616,0.0,0.7473408982560441,697.455078125,1.1631285177694786,696.2918602195946,0.0,0.0,0.0,0.0,0.0,2.9629266262054443,34.74755859375,25.440135955810547,36.370208740234375,41.374149322509766,0.9999998807907104,0.17299224436283112,0.5902482867240906,2.1966943740844727,0.3912220001220703,0.10938043147325516,0.0,0.0,0.7633907794952393,0.32762426137924194,0.5708302088795597,,0.41982173919677734,0.2908361256122589,,0.2912727892398834,,0.41584762930870056,0.2918683886528015,,0.29228395223617554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
