epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,27.34461109058277,19.090173669763512,3.788686803869299,3.788686803869299,3.788686803869299,0.0,0.0,0.2463281219070022,5.860808088972762,0.1732721844234982,4.100391284839527,0.0779243482125772,0.00027730962815316945,0.0,0.6587493999584301,11.363805822423986,1.3583546200314083,11.363805822423986,0.0,0.0,0.0,0.0,0.0,2.126723289489746,49.98153305053711,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007403034716844559,0.9055545330047607,1.0170553922653198,0.3325579762458801,0.002665697829797864,0.0,0.0,0.0,0.0,0.0,,0.33239319920539856,0.33276206254959106,,0.3348526656627655,,0.33239346742630005,0.33276498317718506,,0.3348415195941925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,27.955107817778718,19.64490240973395,3.782825366870777,3.782825366870777,3.782825366870777,0.0,0.0,0.24645970318768476,6.085062800226985,0.17324441188090556,4.088493140968117,0.08043276941454089,0.00027492554304567546,0.0,0.6572432131380648,11.455330513619089,1.4143850996687606,11.455330513619089,0.0,0.0,0.0,0.0,0.0,2.133483648300171,49.88346862792969,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.00598288606852293,0.9574176669120789,1.0138622522354126,0.3313142955303192,0.0027438760735094547,0.0,0.0,0.0,0.0,0.0,,0.33093541860580444,0.33158332109451294,,0.3375098407268524,,0.3309372365474701,0.3315976560115814,,0.3374650776386261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.044295027449323,17.88986618454392,3.8059350091057853,3.8059350091057853,3.8059350091057853,0.0,0.0,0.24607820768614072,5.66636863914696,0.17319006533236117,3.8987166945998735,0.0758060055810052,0.0002743841929210199,0.0,0.6455421447753906,11.181360193201014,1.2687106776881862,11.181360193201014,0.0,0.0,0.0,0.0,0.0,2.141685724258423,49.65521240234375,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005303758196532726,0.9596883058547974,1.0135577917099,0.3296670913696289,0.0034610081929713488,0.0,0.0,0.0,0.0,0.0,,0.3289867341518402,0.3301171362400055,,0.3409435451030731,,0.3289950489997864,0.33014655113220215,,0.3408583998680115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,27.996423669763512,19.733909813133447,3.769590223157728,3.769590223157728,3.769590223157728,0.0,0.0,0.2468207075789168,6.072281708588472,0.17313223916131096,4.054826891100085,0.08145225370252454,0.00026666775748536393,0.0,0.6543007412472287,11.32759630357897,1.3895572971653294,11.32759630357897,0.0,0.0,0.0,0.0,0.0,2.150064706802368,49.50529861450195,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005113212391734123,0.926220715045929,1.0112030506134033,0.32728809118270874,0.004763181786984205,0.0,0.0,0.0,0.0,0.0,,0.3260692059993744,0.3285435736179352,,0.34542950987815857,,0.3260849714279175,0.32858455181121826,,0.34533047676086426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.361907134184968,18.21213675834037,3.8044784133498735,3.8044784133498735,3.8044784133498735,0.0,0.0,0.24631907488848712,5.672546799118455,0.1730423489132443,3.8429994325380066,0.0773112000645818,0.0002640734955265715,0.0,0.6409369803763725,11.212868355415964,1.29987840394716,11.212868355415964,0.0,0.0,0.0,0.0,0.0,2.1629743576049805,49.16139221191406,48.94146728515625,49.22907257080078,49.3253173828125,1.0,0.0037859142757952213,0.9753033518791199,1.0105892419815063,0.32460927963256836,0.006202586926519871,0.0,0.0,0.0,0.0,0.0,,0.32279831171035767,0.326688677072525,,0.3505791127681732,,0.32282841205596924,0.32674896717071533,,0.35042262077331543,250.57228593511897,373.7669238769238,0.6764369428254704,-113.22113039205362,250.57228612433607,323.44958770201606,388.89154070715534,426.4066972608778,197.51714651925224,146.54013549449832,550.3882290384043,0.037297597434171,0.2516504681663375,0.2795404170922736,0.2985469344813573,0.0,0.3378683878179988,0.29213166293708587,0.17197950206360196,1.3907372131976048,0.7363599721519914,0.7827305705177531,0.8314829064526768,0.23635997215199145,-0.017269429482246967,-0.1185170935473232,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333760991528794,2.275607678261432,2.232664120393795,-8.000383377075195,0.0003352778439875692
6,6e-06,6e-05,0.05,27.43930466110642,19.2095666833826,3.769955609295819,3.769955609295819,3.7709668133709884,0.0,0.0,0.248406255567396,5.896794087177998,0.17292999576877904,4.0072310164168075,0.0821057010341335,0.00024068028338857599,0.0,0.6458459802576013,11.382051210145693,1.32699677750871,11.382051210145693,0.0,0.0,0.0,0.0,0.0,2.1953113079071045,48.62308120727539,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.0046683913096785545,0.9751697778701782,1.0251582860946655,0.3314673900604248,0.006168622989207506,0.0,0.0,1.643210530281067,0.9830021262168884,0.40177956013417926,,0.3333274722099304,0.32026535272598267,,0.34642493724823,,0.3333134651184082,0.32037633657455444,,0.34631019830703735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.55130252322635,19.342743744721282,3.8006480448954814,3.8006480448954814,3.802771078573691,0.0,0.0,0.24755666062638565,5.79216209617821,0.17279313061688398,3.933526528848184,0.08124793542397989,0.0002298811450600624,0.0,0.6537080713220544,11.302758294182855,1.291731344686972,11.302758294182855,0.0,0.0,0.0,0.0,0.0,2.229721784591675,47.73549270629883,47.158565521240234,47.807735443115234,48.27689743041992,1.0,0.00974848959594965,0.9695630669593811,1.0778802633285522,0.3425072431564331,0.01620146445930004,0.0,0.0,1.5626380443572998,0.646827220916748,0.586067148913693,,0.34982767701148987,0.3122171461582184,,0.33802443742752075,,0.3497646450996399,0.31221437454223633,,0.3380209803581238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,28.594858530405407,20.26692818306588,3.751415355785473,3.751415355785473,3.75454010834565,0.0,0.0,0.25005974640717377,6.093693501240498,0.17270112682033228,4.183572305215372,0.08574831163561022,0.00023257561229370736,0.0,0.681482727463181,11.573218268317145,1.358232034219278,11.573218268317145,0.0,0.0,0.0,0.0,0.0,2.3341634273529053,45.83083724975586,44.823577880859375,45.976253509521484,46.70027160644531,1.0,0.023122470825910568,0.9471672177314758,1.2335864305496216,0.36268824338912964,0.03701024129986763,0.0,0.0,1.5354721546173096,0.4999442398548126,0.6744035778496972,,0.37998348474502563,0.2975529730319977,,0.32258129119873047,,0.37951499223709106,0.2977859377861023,,0.32269901037216187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,27.283145389041387,19.175616290118242,3.792259422508446,3.792259422508446,3.794527208482897,0.0,0.0,0.24786199105752482,5.621966387774493,0.17250883257066882,3.6845686629011825,0.08026269319895152,0.00024401711148990167,0.0,0.7066246238914696,11.246604300834036,1.2560978451290645,11.246604300834036,0.0,0.0,0.0,0.0,0.0,2.44537615776062,43.30549240112305,41.293418884277344,43.529441833496094,44.99901580810547,1.0,0.05655970796942711,0.883262038230896,1.4895883798599243,0.37646692991256714,0.05651642754673958,0.0,0.0,1.196643352508545,0.35160714387893677,0.7061721496702786,,0.4003064036369324,0.28886178135871887,,0.31119051575660706,,0.3991839289665222,0.2893274128437042,,0.31148868799209595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,27.06473850559544,19.06589157516892,3.7518801302523226,3.7518801302523226,3.749142208614865,0.0,0.0,0.24715547303895694,5.459049946552998,0.1724431965802167,3.4068863327438765,0.07881167772653941,0.00026250811847480565,0.0,0.7261669055835621,11.345138962204391,1.2695945533546242,11.345138962204391,0.0,0.0,0.0,0.0,0.0,2.7332472801208496,38.95936965942383,33.11545181274414,40.022953033447266,42.93836212158203,1.0,0.16031229496002197,0.7659375071525574,2.300635576248169,0.38829177618026733,0.10388025641441345,0.0,0.0,0.8414963483810425,0.24685285985469818,0.7066501116378946,,0.41673892736434937,0.2864241600036621,,0.2981400787830353,,0.4125995337963104,0.28798961639404297,,0.2994108200073242,250.5942215343098,373.42181139181025,0.6789689697312358,-111.518340750055,250.59422093228397,323.7565657557524,389.3988022803819,427.03876766521546,198.7307870047433,147.21223925804907,548.4055205635402,0.03603726973549241,0.26368463049724106,0.1753891383169548,0.31032937090360885,0.0,0.3706911609904173,0.2747712987495783,0.1393807005076489,1.3865234809139653,0.7194679564691656,0.7634018540910923,0.8324722435967902,0.21946795646916561,-0.03659814590890775,-0.11752775640320978,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.335618392124281,2.276983861084823,2.233897940143124,-7.9997878074646,0.00033547752536833286
