epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.956594106313343,19.090160472972972,3.78868969066723,3.78868969066723,3.78868969066723,0.0,0.0,0.01586423854570131,5.860787468987542,0.17327222308597048,4.100387160842483,0.07792429666261415,0.0002773138820319562,0.0,0.6587508433573955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126720666885376,49.982364654541016,49.9067497253418,50.00431823730469,50.00431823730469,1.0000001192092896,0.007408723700791597,0.9055505990982056,1.017067313194275,0.33256104588508606,0.0026661884039640427,0.0,0.0,0.0,0.0,0.0,,0.3323960304260254,0.332768976688385,,0.33484283089637756,,0.3323962688446045,0.33277183771133423,,0.3348318934440613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.5488941089527,19.64482322899071,3.782834027264569,3.782834027264569,3.782834027264569,0.0,0.0,0.016267140169401426,6.085080945813978,0.1732444376558871,4.08851417335304,0.08043280163326778,0.0002749445470603737,0.0,0.657252956081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133504867553711,49.883094787597656,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.005987987853586674,0.9574216604232788,1.0138742923736572,0.33130207657814026,0.0027500460855662823,0.0,0.0,0.0,0.0,0.0,,0.33091679215431213,0.3315941393375397,,0.3375178575515747,,0.330918550491333,0.3316084146499634,,0.3374730348587036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.692534575591218,17.88985958614865,3.8059395455025338,3.8059395455025338,3.8059395455025338,0.0,0.0,0.015105303880330679,5.666358741554054,0.17318962715767525,3.8986968994140625,0.07580598624976906,0.00027441054683279345,0.0,0.6455319378827069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141676425933838,49.65473175048828,49.61518478393555,49.61518478393555,49.71218490600586,0.9999998807907104,0.005315017886459827,0.959707498550415,1.013577938079834,0.3296704590320587,0.0034609658177942038,0.0,0.0,0.0,0.0,0.0,,0.32899102568626404,0.33011868596076965,,0.34093761444091797,,0.32899925112724304,0.3301481008529663,,0.34085267782211304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.615495011613177,19.733923009923988,3.769588161159206,3.769588161159206,3.769588161159206,0.0,0.0,0.01596153265721089,6.072296142578125,0.1731313756994299,4.054834726694468,0.08145204750267235,0.0002666948161817886,0.0,0.6543220313819679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1499993801116943,49.50533676147461,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005141319241374731,0.9262498021125793,1.0112348794937134,0.32732072472572327,0.004751201253384352,0.0,0.0,0.0,0.0,0.0,,0.3261147737503052,0.32853564620018005,,0.3453936278820038,,0.32613009214401245,0.32857662439346313,,0.3452932834625244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.00307155299831,18.211448875633447,3.804456143765836,3.804456143765836,3.804456143765836,0.0,0.0,0.015262387894295357,5.672504734348607,0.17303956521523967,3.8429107666015625,0.07731080699611355,0.0002641209929778769,0.0,0.6409418776228621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162958860397339,49.15931701660156,48.94146728515625,49.133018493652344,49.3253173828125,1.0,0.0037763582076877356,0.975281298160553,1.0106538534164429,0.3245977461338043,0.006214983761310577,0.0,0.0,0.0,0.0,0.0,,0.3227851688861847,0.3266754150390625,,0.35060715675354004,,0.3228147029876709,0.32673555612564087,,0.35044968128204346,250.5748805999756,373.77059122700575,0.6764381216171702,-113.22469399001572,250.57488062580444,323.451795012291,388.89215478175515,426.4070346215149,197.51227842058455,146.5415362572485,550.3953074579654,0.037264720311149836,0.25086971245918366,0.27828174079535795,0.29726948090819605,0.0,0.33653281615991826,0.2901040603107037,0.16988350630871057,1.3907416946321618,0.7363416510937671,0.7827122494595288,0.8315195485691254,0.23634165109376715,-0.01728775054047127,-0.1184804514308746,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333724862271613,2.275566413834855,2.232625914798988,-8.000380516052246,0.0003352788044139743
6,6e-06,6e-05,0.05,25.0458423511402,19.208784773543073,3.7699271537162162,3.7699271537162162,3.770945780986064,0.0,0.0,0.015903741926760286,5.8968002731735645,0.1729280239826924,4.007260709195523,0.08210532085315601,0.00024075118975864875,0.0,0.6459730509165171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.195507049560547,48.6252326965332,48.371280670166016,48.65553665161133,48.845970153808594,1.0000001192092896,0.0046888985671103,0.9749695658683777,1.0250602960586548,0.3316813111305237,0.006279720459133387,0.0,0.0,1.644805669784546,0.9841344952583313,0.4016712652825159,,0.3336428105831146,0.32013219594955444,,0.3462437391281128,,0.3336256742477417,0.32024791836738586,,0.34612637758255005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.171893145586992,19.339731577280407,3.8007973335884713,3.8007973335884713,3.802898510082348,0.0,0.0,0.01569151072888761,5.792020643079603,0.17279162278046478,3.93330548260663,0.08124752946802087,0.0002301834473336065,0.0,0.6540177835000528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2296621799468994,47.7498893737793,47.158565521240234,47.807735443115234,48.27689743041992,1.0,0.009847251698374748,0.9699003100395203,1.0628929138183594,0.3424934446811676,0.01615355908870697,0.0,0.0,1.564429521560669,0.6472312211990356,0.5862829150952353,,0.34980666637420654,0.3122316598892212,,0.3380216360092163,,0.349734902381897,0.3122507929801941,,0.33801430463790894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.175167599239863,20.27649090741132,3.7516693940033785,3.7516693940033785,3.7548621925147803,0.0,0.0,0.01660525315516704,6.098163501636402,0.17269544343690615,4.188522751266892,0.08575288025108543,0.00023271702229976654,0.0,0.6809316583581873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.331960678100586,45.89399719238281,44.91121292114258,45.976253509521484,46.70027160644531,1.0,0.0226051714271307,0.9509268999099731,1.2401620149612427,0.36251333355903625,0.03679334372282028,0.0,0.0,1.5442817211151123,0.5010433197021484,0.6755492777960556,,0.3797244727611542,0.297666996717453,,0.32272869348526,,0.37926018238067627,0.29789817333221436,,0.32284170389175415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.9383825353674,19.19341876055743,3.7924862423458614,3.7924862423458614,3.7948958938186235,0.0,0.0,0.015570406978194779,5.628245998073268,0.17250242748775999,3.691548115498311,0.08027449814048973,0.00024327532564466064,0.0,0.706989133680189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441671133041382,43.3041877746582,41.293418884277344,43.529441833496094,44.99901580810547,1.0,0.05490488559007645,0.8807554841041565,1.4508525133132935,0.3769863247871399,0.05668916180729866,0.0,0.0,1.184145450592041,0.3505237102508545,0.7039859334209306,,0.40110665559768677,0.2883618175983429,,0.3108830153942108,,0.39996689558029175,0.28884080052375793,,0.31119227409362793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.713111671241553,19.09203276763091,3.7520389041385136,3.7520389041385136,3.7495711043074325,0.0,0.0,0.015987579886977736,5.475378500448691,0.17254715996819572,3.4236448133313977,0.07882220036274679,0.0002609186528905018,0.0,0.7271510974780934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713799238204956,39.14164733886719,33.571311950683594,40.17959976196289,42.93836212158203,1.0000001192092896,0.15040120482444763,0.7731934189796448,2.222019910812378,0.3889019191265106,0.10046972334384918,0.0,0.0,0.8525223731994629,0.2454865723848343,0.712046768387393,,0.41773781180381775,0.2855760455131531,,0.29782089591026306,,0.41380763053894043,0.2871001958847046,,0.299092173576355,250.59705373743077,373.41405689296704,0.679058615852754,-111.46357135982304,250.59705295184995,323.78148582152164,389.4258804154113,427.07411052171057,198.77046748570032,147.23537084298542,548.3458188927692,0.03592301452020488,0.2612596571601413,0.17402882637506137,0.30507806791081904,0.0,0.36763810773830985,0.2630883622522957,0.11636494649838834,1.3865729463619747,0.7191564984793521,0.7624858011798762,0.8325088857132388,0.21915649847935215,-0.037514198820123856,-0.11749111428676118,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.336166590124696,2.277400649838395,2.2342745517636393,-7.99979305267334,0.00033547577913850546
