epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,27.22834076752534,19.090160472972972,3.788688865867821,3.788688865867821,3.788688865867821,0.0,0.0,0.013834768050425762,5.860783757390203,0.17327221019847974,4.10038221204603,0.07792433532508644,0.00027731146562743833,0.0,0.6587502247578388,11.36380334802576,1.3583555479307432,11.36380334802576,0.0,0.0,0.0,0.0,0.0,2.1267220973968506,49.982215881347656,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007403350900858641,0.9055434465408325,1.0170551538467407,0.3325604498386383,0.0026647644117474556,0.0,0.0,0.0,0.0,0.0,,0.33239564299583435,0.3327668607234955,,0.3348454535007477,,0.3323958218097687,0.3327697515487671,,0.3348344564437866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,27.839108028927363,19.64506077122044,3.7828270164695947,3.7828270164695947,3.7828270164695947,0.0,0.0,0.014108102063874941,6.085081770613387,0.1732444376558871,4.088520359348607,0.08043296272690231,0.00027489750268491536,0.0,0.6572563068286793,11.455332163217905,1.414366747881915,11.455332163217905,0.0,0.0,0.0,0.0,0.0,2.133450508117676,49.88312530517578,49.80937194824219,49.9067497253418,49.9067497253418,1.0,0.00598766328766942,0.957436740398407,1.0138663053512573,0.3313157260417938,0.0027442818973213434,0.0,0.0,0.0,0.0,0.0,,0.3309358060359955,0.3315911889076233,,0.337501585483551,,0.33093756437301636,0.3316054344177246,,0.33745697140693665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.927813555743242,17.889780405405407,3.805927998310811,3.805927998310811,3.805927998310811,0.0,0.0,0.013304982636425947,5.666358741554054,0.17318997511992584,3.89871545740076,0.07580609579344054,0.000274352276244679,0.0,0.645563589560019,11.181361018000421,1.2686787167110958,11.181361018000421,0.0,0.0,0.0,0.0,0.0,2.141688823699951,49.654144287109375,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005312531255185604,0.9596999287605286,1.013558268547058,0.32968610525131226,0.0034527797251939774,0.0,0.0,0.0,0.0,0.0,,0.3290121853351593,0.3301186263561249,,0.340916246175766,,0.3290203809738159,0.330147922039032,,0.3408316969871521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,27.88010715793919,19.734099516997468,3.769569190772804,3.769569190772804,3.769569190772804,0.0,0.0,0.013881636632455362,6.072223147830448,0.1731313112619761,4.0547819395323055,0.08145238257743218,0.0002666042261832469,0.0,0.6543448680155987,11.327593829180744,1.3894952310098183,11.327593829180744,0.0,0.0,0.0,0.0,0.0,2.150028705596924,49.50459671020508,49.421749114990234,49.518367767333984,49.61518478393555,1.0000001192092896,0.005118496250361204,0.9262358546257019,1.0112196207046509,0.3273376524448395,0.004735460504889488,0.0,0.0,0.0,0.0,0.0,,0.3261358141899109,0.3285457193851471,,0.3453611135482788,,0.3261512219905853,0.32858631014823914,,0.34526246786117554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.24495387721706,18.211712811444258,3.804391809411951,3.804391809411951,3.804391809411951,0.0,0.0,0.01345650408719037,5.672492362357475,0.17304066065195445,3.842972214157517,0.07731101319596574,0.00026402081287390475,0.0,0.641035389255833,11.212866705817145,1.2997378787478886,11.212866705817145,0.0,0.0,0.0,0.0,0.0,2.1627326011657715,49.158180236816406,48.94146728515625,49.133018493652344,49.3253173828125,1.0,0.003777839709073305,0.9753007292747498,1.0130887031555176,0.32464516162872314,0.006190395448356867,0.0,0.0,0.0,0.0,0.0,,0.32285237312316895,0.32666105031967163,,0.3505493402481079,,0.32287776470184326,0.3267171382904053,,0.3504050672054291,250.58164806156367,373.78074615770606,0.6764364822994731,-113.23564621642396,250.58164761853814,323.4541593566844,388.89364685657085,426.4091989702881,197.49883379255022,146.5439954062765,550.4172326792841,0.03722612650318175,0.2503255381052824,0.2771209357521945,0.2958925366927704,0.0,0.3345658765912337,0.2892878450337251,0.16802286249205933,1.3907226643578399,0.7362500458026455,0.7826939284013045,0.8315378696273497,0.23625004580264553,-0.01730607159869557,-0.1184621303726503,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333645748240607,2.2755143272352742,2.2325783296600803,-8.000391006469727,0.000335275282850489
6,6e-06,6e-05,0.05,27.318756928315032,19.20706589157517,3.7697118810705237,3.7697118810705237,3.7707494787267737,0.0,0.0,0.013761723363721693,5.89578205830342,0.17291596129133896,4.005840817013302,0.08210440584131189,0.00024073457697758804,0.0,0.6461756938212627,11.382014918971706,1.3268331579259924,11.382014918971706,0.0,0.0,0.0,0.0,0.0,2.196718692779541,48.58393096923828,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.004739221651107073,0.9741960167884827,1.028150200843811,0.3319033086299896,0.006443273276090622,0.0,0.0,1.6406035423278809,0.982603132724762,0.4010721619371068,,0.33398622274398804,0.31991106271743774,,0.34611776471138,,0.3339684009552002,0.3200265169143677,,0.3460051119327545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.421538481841218,19.33105963629645,3.800438958245355,3.800438958245355,3.8025694151182434,0.0,0.0,0.013725712492659286,5.7900101945206925,0.1727740055805928,3.930782833614865,0.08124285775261957,0.00023046276859334998,0.0,0.6545402423755543,11.302738498997044,1.291730210587785,11.302738498997044,0.0,0.0,0.0,0.0,0.0,2.2317984104156494,47.68700408935547,47.06654739379883,47.714454650878906,48.27689743041992,1.0,0.010138389654457569,0.9679622054100037,1.0725244283676147,0.34302255511283875,0.016765201464295387,0.0,0.0,1.5650193691253662,0.6485403180122375,0.585602369653301,,0.35059744119644165,0.3118433952331543,,0.3376321494579315,,0.35052311420440674,0.3118467926979065,,0.33763009309768677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,28.44962455130912,20.2412670238598,3.751082136824324,3.751082136824324,3.754215549778294,0.0,0.0,0.014296947298823175,6.090388530009502,0.1726818084716797,4.179972468195735,0.08573928394833126,0.0002336227460890203,0.0,0.6822130357896959,11.573177028346706,1.3581316148912586,11.573177028346706,0.0,0.0,0.0,0.0,0.0,2.3365981578826904,45.78984069824219,44.73611831665039,45.88654327392578,46.60914993286133,1.0,0.023266300559043884,0.9456959366798401,1.231751561164856,0.3633573651313782,0.037739984691143036,0.0,0.0,1.5388274192810059,0.5019931793212891,0.6737820154284502,,0.38098978996276855,0.2970292270183563,,0.32211393117904663,,0.38049060106277466,0.2972714900970459,,0.32223787903785706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,27.1425500818201,19.15279079127956,3.7916210277660474,3.7916210277660474,3.7939374769056164,0.0,0.0,0.01368922961724771,5.6213655214051945,0.17246687090074694,3.6848940462679476,0.08025500581071184,0.0002452070900314563,0.0,0.7070769232672613,11.246553163270693,1.2555906965925887,11.246553163270693,0.0,0.0,0.0,0.0,0.0,2.4434974193573,43.37932586669922,41.45503616333008,43.61454391479492,44.99901580810547,1.0,0.05557321012020111,0.8809986710548401,1.4714962244033813,0.3766055703163147,0.056732308119535446,0.0,0.0,1.208258867263794,0.35368144512176514,0.7072800749042238,,0.40054500102996826,0.2885853350162506,,0.31127500534057617,,0.39939191937446594,0.2890510559082031,,0.31155702471733093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,26.91862693992821,19.03270989495355,3.7515316525021114,3.7515316525021114,3.7490052919130066,0.0,0.0,0.013901560693173795,5.470062255859375,0.17234995558455185,3.41615645949905,0.07881173572024784,0.0002635193334237949,0.0,0.7264302743447794,11.345086999841639,1.2689139907424514,11.345086999841639,0.0,0.0,0.0,0.0,0.0,2.7338356971740723,38.9576301574707,33.18019485473633,39.94485855102539,42.93836212158203,1.0,0.15639370679855347,0.7679522037506104,2.3040931224823,0.38855597376823425,0.10297062247991562,0.0,0.0,0.8500009179115295,0.24809207022190094,0.7081272914016746,,0.417226642370224,0.2857523560523987,,0.2983177602291107,,0.41313278675079346,0.2873196601867676,,0.29954761266708374,250.5980256677984,373.42728550221625,0.6789831233301488,-111.51336185748761,250.5980256783602,323.76140407473326,389.42349472062955,427.0612076009583,198.72372709001814,147.21855447458665,548.4039359714674,0.0360075579776389,0.26336539540232307,0.17368262426741846,0.3095716607060352,0.0,0.3699517408350659,0.2728715231056995,0.1397989933262472,1.3865929595609325,0.7195595617602872,0.7635301014986625,0.8324722435967902,0.21955956176028724,-0.03646989850133753,-0.11752775640320978,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.335813658250557,2.277125060885817,2.234024633418073,-7.999767303466797,0.0003354844229761511
