epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.35044458750132,18.51379377777512,3.7279557666263066,3.7279557666263066,3.7279557666263066,0.0,0.0,0.2515257113688701,5.98059183842427,0.17327257588103012,4.161838570156613,0.0,0.0,0.0,2.126815396386224,49.971259761501,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999403953552,0.0050932313315570354,0.9856384992599487,1.0773990154266357,0.9999999403953552,0.0050932313315570354,0.0,0.0,0.0,0.0,0.0,1.000000009665618,1.0000000032218728,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,24.25545426961538,18.43999348460017,3.747079527055895,3.747079527055895,3.747079527055895,0.0,0.0,0.2513433803577681,5.91090795156118,0.1732213094427779,4.030208922721244,0.0,0.0,0.0,2.1353740563263766,49.811365076013516,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.004349607042968273,0.9873993396759033,1.0532718896865845,1.0,0.004349607042968273,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,0.9999999983890636,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.415218198621595,18.58820139395224,3.7764533017132735,3.7764533017132735,3.7764533017132735,0.0,0.0,0.25039843651088506,5.848415452080804,0.1731341871860865,4.004836643064344,0.0,0.0,0.0,2.1505836924991093,49.576095993454395,49.421749114990234,49.61518478393555,49.71218490600586,1.0,0.0033339543733745813,0.9875941872596741,1.0508705377578735,1.0,0.0033339543733745813,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000032218728,0.9999999838906366,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.124555098043906,18.29399267402855,3.7399864583402067,3.7399864583402067,3.7399864583402067,0.0,0.0,0.2508961812064454,5.97065537040298,0.17301390179105708,4.082096370490822,0.0,0.0,0.0,2.1800313189223006,49.10775004206477,48.845970153808594,49.133018493652344,49.3253173828125,0.9999999403953552,0.0028854524716734886,0.976542592048645,1.029980182647705,0.9999999403953552,0.0028854524716734886,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000032218728,0.9999999903343819,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.828652974721546,18.034645054791426,3.7481988120723413,3.7481988120723413,3.7481988120723413,0.0,0.0,0.25064141806718465,5.841405617224203,0.17288197375632622,3.987896184663515,0.0,0.0,0.0,2.2164533653774776,48.35578341097445,47.90120315551758,48.371280670166016,48.75066375732422,1.0,0.004975794814527035,0.939337968826294,1.0270488262176514,1.0,0.004975794814527035,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,0.9999999967781273,1.0,0.0,0.0,0.0,256.54411217406556,395.1656620354266,0.5953767571472985,-181.60479738424112,256.54411252083435,319.34505347603863,375.7860772575129,407.43386109755886,150.11564908708846,128.9466175996056,630.5675043852433,0.032733193340167166,0.2932647539480417,-0.3528213840729556,-0.3528213840729556,0.4171765955695771,0.3354422762201256,0.18956030506798394,1.3580178241200775,0.7471697870617,0.7932932042746234,0.8325293949997964,0.2471697870617,-0.006706795725376691,-0.11747060500020357,0.0,0.0,0.4725274725274725,0.5274725274725275,0.4258241758241758,2.33531983933606,2.1155473429423113,2.1155084407591556
6,1e-05,1e-05,0.05,24.354401201815218,18.51563886694006,3.7248539795746676,3.7248539795746676,3.7248539795746676,0.0,0.0,0.2511351845554403,6.058227068669087,0.17271339611427203,4.111039329219508,0.0,0.0,0.0,2.2726546751486287,47.00221417401288,46.066139221191406,47.06654739379883,47.90120315551758,0.9999999403953552,0.01086451206356287,0.874660074710846,1.0481263399124146,0.9999999403953552,0.01086451206356287,0.0,0.0,4.860847924206708,2.627946325250574,0.45936462810046547,1.0,1.0000000016109363,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,23.788323557054674,18.068506215069746,3.739399226936134,3.739399226936134,3.739399226936134,0.0,0.0,0.25125355575535746,5.721765015576337,0.17258895289253545,3.779964408359012,0.0,0.0,0.0,2.3409874503676957,45.315722800589896,43.78524398803711,45.52945327758789,46.60914993286133,1.0,0.02420244924724102,0.6170057058334351,1.090448021888733,1.0,0.02420244924724102,0.0,0.0,4.049451254509591,1.1485828290114533,0.7163608704432837,1.0000000032218728,1.0000000016109363,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,23.28136683799125,17.648653958294844,3.7442165516518258,3.7442165516518258,3.7442165516518258,0.0,0.0,0.2517207611251522,5.5097221168311865,0.17228134741654266,3.5319674884950794,0.0,0.0,0.0,2.466486151153977,42.73744304760082,39.789127349853516,43.27513122558594,45.08699035644531,1.0,0.06230000779032707,0.3603525757789612,1.197635531425476,1.0,0.06230000779032707,0.0,0.0,3.159746859524701,0.47084013835803884,0.850988019201999,1.0000000064437453,1.0000000064437453,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,22.343076628607673,16.912213570362812,3.7315584453376562,3.7315584453376562,3.7315584453376562,0.0,0.0,0.2517696925111719,5.055606178335242,0.17053716005505742,3.0409367084503174,0.0,0.0,0.0,2.712407447196342,39.21364768775734,33.31005859375,40.336856842041016,43.529441833496094,1.0000509023666382,0.12915879487991333,0.25,1.350530982017517,1.0000509023666382,0.12915879487991333,0.0008562205930626983,0.0,2.400620885797449,0.2778025325891134,0.8842788820872765,1.0000641152665422,1.0000057510427527,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,20.442934912604255,15.218656372379613,3.7024278898496887,3.7024278898496887,3.7024278898496887,0.0,0.0,0.25086589036761103,4.5763834038296265,0.1670579503516893,2.635758876800537,0.0,0.0,0.0,2.999895482449918,36.57246790705501,27.08088493347168,38.41459655761719,42.77096176147461,1.0007188320159912,0.19670678675174713,0.25,1.523552417755127,1.0007188320159912,0.19670678675174713,0.009470401575664733,0.0,2.600458860397339,0.5049290785918364,0.8058307761443743,1.000891527614078,1.000138236058725,1.0,0.0,0.0,0.0,255.96261563143887,393.99393644627173,0.5975974200004358,-178.8240961766505,255.96261642596522,319.2088023167934,376.1616731951693,408.05125621151626,151.9449075971331,129.20799920725267,627.2554303044858,0.03288105857652,0.3611290226646458,-0.41328909832550986,-0.41328909832550986,0.4879355134796099,0.3452862703442044,0.2159653326078467,1.355650027464356,0.7299045774127257,0.7688493360276518,0.832741540432991,0.22990457741272574,-0.031150663972348225,-0.11725845956700898,0.0,0.0,0.4725274725274725,0.5274725274725275,0.47619047619047616,2.335089832544327,2.1161560321247186,2.1160335661945764
