epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.350493018691605,18.51382871576258,3.7279587371929273,3.7279587371929273,3.7279587371929273,0.0,0.0,0.2515257472122038,5.980633149275908,0.17327258635211634,4.161849904704738,0.0,0.0,0.0,2.126818508715243,49.97120573713973,49.9067497253418,50.00431823730469,50.00431823730469,1.0000001192092896,0.005092439241707325,0.9863824844360352,1.0774086713790894,1.0000001192092896,0.005092439241707325,0.0,0.0,0.0,0.0,0.0,1.0000000128874909,1.0000000080546818,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,24.25562487421809,18.440172259872025,3.747083393303124,3.747083393303124,3.747083393303124,0.0,0.0,0.2513438056449632,5.910889367799501,0.17322111733861872,4.0301665035454,0.0,0.0,0.0,2.1354179704511487,49.81050965592668,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.00434712041169405,0.9875125885009766,1.0532442331314087,1.0000001192092896,0.00434712041169405,0.0,0.0,0.0,0.0,0.0,1.000000009665618,1.0000000016109363,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.415238767056852,18.588305782627415,3.77645104640239,3.77645104640239,3.77645104640239,0.0,0.0,0.2504008299595601,5.848291764388213,0.17313163063010653,4.004551401009431,0.0,0.0,0.0,2.1508581058399097,49.56939686955632,49.421749114990234,49.61518478393555,49.71218490600586,1.0000001192092896,0.003320681396871805,0.9876763820648193,1.050985336303711,1.0000001192092896,0.003320681396871805,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0,0.9999999903343819,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.124034572292018,18.294168601164948,3.7399383364497005,3.7399383364497005,3.7399383364497005,0.0,0.0,0.2508993438772253,5.969410335695422,0.1730073388363864,4.0801014320270435,0.0,0.0,0.0,2.1819341827083276,49.07683264242636,48.75066375732422,49.133018493652344,49.3253173828125,1.0000001192092896,0.0029583752620965242,0.9744178056716919,1.027703881263733,1.0000001192092896,0.0029583752620965242,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.000000004832809,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.837656536617793,18.044228089822305,3.7481087285119132,3.7481087285119132,3.7481087285119132,0.0,0.0,0.2506666852010263,5.840331322438008,0.17287267261260264,3.9864987328245833,0.0,0.0,0.0,2.217296194385838,48.31665503012167,47.807735443115234,48.371280670166016,48.75066375732422,1.0,0.005144575610756874,0.9341931343078613,1.0273605585098267,1.0,0.005144575610756874,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.0000000032218728,0.9999999935562546,0.0,0.0,0.0,283.4701752191061,435.1877044733626,0.5703906190828218,-261.4213928704733,283.4701754281887,329.9277288186885,372.4061307476578,396.7715699663415,97.35291372026715,136.36468346174374,724.3273332015327,0.03272852528305116,0.29283067350911984,-0.3524711461148676,-0.3524711461148676,0.4167373292813791,0.3337083860461365,0.1875500690566001,1.3580039246100102,0.7471483582300642,0.7932974900409505,0.83253153788296,0.2471483582300642,-0.00670250995904953,-0.11746846211703998,0.0,0.0,0.43956043956043955,0.5604395604395604,1.0,2.3353210373239204,2.120887209425916,2.120895739931327
6,1e-05,1e-05,0.05,24.941242991267025,19.10448708405366,3.7246374310673893,3.7246374310673893,3.7247309813628324,0.0,0.0,0.251768064659995,6.0523701487360775,0.17269714216928225,4.107163429260254,0.0,0.0,0.0,2.2712627939275793,46.934550311114336,45.88654327392578,47.06654739379883,47.807735443115234,1.0,0.01125944871455431,0.8797786831855774,1.0478261709213257,1.0,0.01125944871455431,0.0,0.0,4.955141080392374,2.0860435447177372,0.5790142983068096,1.0,1.0000000016109363,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,25.33585669543292,19.62152117651862,3.7378520192326725,3.7378520192326725,3.7373457663768046,0.0,0.0,0.25218372449681564,5.708179216127138,0.17256107281994176,3.7727287911080025,0.0,0.0,0.0,2.3354889573277653,45.18576410654429,43.61454391479492,45.440608978271484,46.51820755004883,1.0,0.02557663805782795,0.6037882566452026,1.0963928699493408,1.0,0.02557663805782795,0.0,0.0,4.579895264393574,0.6415313901127996,0.8599244408271977,1.0,1.0000000080546818,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,25.808282439773148,20.201515842128444,3.7370495796203613,3.7370495796203613,3.731957970438777,0.0,0.0,0.2526710347549335,5.458348396662119,0.1720868038970071,3.4883550437721045,0.0,0.0,0.0,2.479489700214283,42.35325777208483,39.019535064697266,43.022308349609375,44.99901580810547,0.9999999403953552,0.06874798983335495,0.3633233606815338,1.2174674272537231,0.9999999403953552,0.06874798983335495,0.0,0.0,4.0782389576370655,0.1269429942240586,0.968873085774844,1.0000000064437453,0.9999999983890636,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,24.500344869252796,19.138343424410433,3.706904211559811,3.706904211559811,3.6861316964433,0.0,0.0,0.2523872497919443,4.932891884365597,0.16945208850744609,2.9423833988808297,0.0,0.0,0.0,2.784610902940905,38.30894439284866,31.230844497680664,39.711490631103516,43.27513122558594,1.0001624822616577,0.1505775898694992,0.25,1.4665584564208984,1.0001624822616577,0.1505775898694992,0.0024264142685195317,0.0,3.478420979267842,0.2084047812465075,0.9400863833076428,1.0002025462485649,1.0000281011736072,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.37086834778657,16.261068266791266,3.6555162378259607,3.6555162378259607,3.614763304993913,0.0,0.0,0.2508300192452766,4.361224245380711,0.1644097163870528,2.514453420767913,0.0,0.0,0.0,3.121628323116818,35.40344784710858,23.712814331054688,37.7452392578125,42.604209899902344,1.0017391443252563,0.23069138824939728,0.25,1.6584922075271606,1.0017391443252563,0.23069138824939728,0.01886147280884123,0.0,4.250844420613469,0.9208759375520654,0.783366351145082,1.0021025747866243,1.0005649328231812,1.0,0.0,0.0,0.0,282.1231429236276,433.68444626445734,0.5692060627391059,-258.89967577798024,282.1231425947262,329.32197531363767,372.33877226885085,396.94345492314244,98.99890790666852,135.446751276652,721.3214943927268,0.032812842529922476,0.3527430601324474,-0.40666761840274435,-0.40666761840274435,0.4798622657419616,0.339676617026821,0.21226605737026938,1.3556772114004965,0.7304317266709667,0.7702079239533622,0.8326451106906299,0.23043172667096667,-0.029792076046637805,-0.1173548893093701,0.0,0.0,0.43956043956043955,0.5604395604395604,1.0,2.3407847743767958,2.120654325236331,2.1206523032633813
