epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.350438633480586,18.513780800071924,3.727958215249551,3.727958215249551,3.727958215249551,0.0,0.0,0.2515256759282705,5.980613238102681,0.17327257588103012,4.161842913241,0.0,0.0,0.0,2.126816987991333,49.97125213210647,49.9067497253418,50.00431823730469,50.00431823730469,1.0000001192092896,0.00509296590462327,0.9863707423210144,1.077392816543579,1.0000001192092896,0.00509296590462327,0.0,0.0,0.0,0.0,0.0,1.0000000161093634,1.0000000064437453,0.9999999903343819,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,24.255470147003997,18.440016334121292,3.7470786571502686,3.7470786571502686,3.7470786571502686,0.0,0.0,0.25134336102653193,5.910904697469763,0.1732211181440869,4.030182090965477,0.0,0.0,0.0,2.1354082403956234,49.81110959439664,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.0043458398431539536,0.9874427914619446,1.0532718896865845,1.0,0.0043458398431539536,0.0,0.0,0.0,0.0,0.0,1.0,1.000000004832809,0.9999999887234455,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.414651664527685,18.587764585340345,3.7764427533020846,3.7764427533020846,3.7764427533020846,0.0,0.0,0.25039927943332774,5.848158069559045,0.17313171762066917,4.004500195786759,0.0,0.0,0.0,2.150865651465751,49.56795048069309,49.421749114990234,49.61518478393555,49.71218490600586,1.0000001192092896,0.0033181023318320513,0.9876441359519958,1.0509074926376343,1.0000001192092896,0.0033181023318320513,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000016109363,0.9999999903343819,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.12281778696421,18.292801057970202,3.739976979590751,3.739976979590751,3.739976979590751,0.0,0.0,0.25089414578837316,5.969798274942346,0.17300350561335281,4.080280274958224,0.0,0.0,0.0,2.182203692358893,49.08375910166148,48.845970153808594,49.133018493652344,49.3253173828125,0.9999998211860657,0.002902593230828643,0.9768686890602112,1.0278352499008179,0.9999998211860657,0.002902593230828643,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000064437453,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.823472564284867,18.02983264665346,3.748183572614515,3.748183572614515,3.748183572614515,0.0,0.0,0.25063452446782913,5.840686463020943,0.17287031178538864,3.9868697121336654,0.0,0.0,0.0,2.217378313476975,48.329256315489076,47.807735443115234,48.371280670166016,48.75066375732422,0.9999999403953552,0.005034346133470535,0.9368047118186951,1.0273897647857666,0.9999999403953552,0.005034346133470535,0.0,0.0,0.0,0.0,0.0,1.000000009665618,1.000000004832809,1.0,0.0,0.0,0.0,256.539666060563,395.1532925988228,0.5953989991672278,-181.58049824473622,256.53966551319854,319.34647496750426,375.79171564777823,407.44121406541586,150.1347601754325,128.95008436099502,630.5372830266538,0.03275166630356302,0.2931493334346309,-0.35321465722603845,-0.35321465722603845,0.41753835070999495,0.3368621679564912,0.19430990298735254,1.358007747331698,0.7471269293984284,0.7933382048210585,0.8325293949997964,0.2471269293984284,-0.006661795178941499,-0.11747060500020357,0.0,0.0,0.4725274725274725,0.5274725274725275,0.4267399267399268,2.3355291331862356,2.115572542279631,2.115530047770385
6,1e-05,1e-05,0.05,24.70613399711815,18.867869609111064,3.724884825783807,3.724884825783807,3.7251128441578634,0.0,0.0,0.2516022678968069,6.055247229498786,0.1727020716344988,4.110797914298805,0.0,0.0,0.0,2.2697974153467126,46.99725846986513,46.066139221191406,47.06654739379883,47.807735443115234,0.9999999403953552,0.010800616815686226,0.883569598197937,1.0489609241485596,0.9999999403953552,0.010800616815686226,0.0,0.0,4.969613771180849,2.686693726359187,0.4593757482846013,1.0000000032218728,1.0000000080546818,0.9999999935562546,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.674546087110365,18.95697189021755,3.7386646657376676,3.7386646657376676,3.7386544846199654,0.0,0.0,0.2519570758213868,5.7138911840077995,0.17255795485264547,3.7794327671463424,0.0,0.0,0.0,2.3329522351960876,45.28527017541834,43.69981002807617,45.52945327758789,46.60914993286133,1.0000001192092896,0.02488665096461773,0.6130350232124329,1.0936442613601685,1.0000001192092896,0.02488665096461773,0.0,0.0,4.399332677995837,1.2472595330831167,0.7164889258496997,1.0000000064437453,0.9999999983890636,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.696571221222747,19.07988857578587,3.740181910025107,3.740181910025107,3.7367952449901685,0.0,0.0,0.25240453111158834,5.476410002321811,0.17213780130888964,3.5045189986357816,0.0,0.0,0.0,2.4745009009902543,42.493170867095124,39.3255729675293,43.10641860961914,44.99901580810547,1.0,0.06665941327810287,0.3620777130126953,1.2047245502471924,1.0,0.06665941327810287,0.0,0.0,3.776713332614383,0.5600517367994463,0.8517092277131456,1.0,1.0,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,23.578660372141247,18.18374914736361,3.715746576721604,3.715746576721604,3.700551941588118,0.0,0.0,0.252226528283712,4.995697891390002,0.16997026793054631,2.9998565557840706,0.0,0.0,0.0,2.729155211835294,38.89496870298643,32.41157531738281,40.17959976196289,43.44450378417969,1.000080943107605,0.1384885311126709,0.25,1.4033277034759521,1.000080943107605,0.1384885311126709,0.0013458802932487142,0.0,3.0283313764108195,0.3382045771624591,0.8883198253015165,1.00010123446181,1.0000120723569714,0.9999999967781273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,20.88419470915923,15.738545211585793,3.667173482276298,3.667173482276298,3.633923942978318,0.0,0.0,0.2507406436913722,4.438933037422799,0.16549499977279353,2.5572741965989807,0.0,0.0,0.0,3.050664489333694,36.01742182551204,25.14375114440918,38.19016647338867,42.77096176147461,1.0012774467468262,0.21680857241153717,0.25,1.5975998640060425,1.0012774467468262,0.21680857241153717,0.01463234489550279,0.0,3.5103076084240064,0.7072457042900292,0.7985231543261944,1.0015559711971798,1.0003663526998985,0.9999999967781273,0.0,0.0,0.0,255.97950723669032,394.01458697837984,0.5975721170326501,-178.87791455447018,255.97950685026422,319.21668340454016,376.15068823589985,408.02331776274906,151.90739168439592,129.2104501946028,627.3210978300675,0.03285093729781068,0.35566523324591587,-0.40632281324021335,-0.40632281324021335,0.48141551946148453,0.33778871114402526,0.2070828232998605,1.3556286152805657,0.7300395790520313,0.7691943402169884,0.8326686824054292,0.23003957905203132,-0.03080565978301164,-0.11733131759457072,0.0,0.0,0.4725274725274725,0.5274725274725275,0.47802197802197804,2.339247717634662,2.116150527210026,2.1159874859092
