epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.93921877886798,17.92906902931832,3.7626672564326107,3.7626672564326107,3.7626672564326107,0.0,0.0,0.3322587424033397,5.790790274336532,0.17326583089055242,4.004121187570933,0.014931015544445128,0.00026016337623995905,1.9510424072678025,0.0,0.0,0.0,2.1268039974006445,49.977310077564134,49.9067497253418,50.00431823730469,50.00431823730469,1.0000001192092896,0.005074481014162302,0.9858505725860596,1.0615167617797852,1.0000001192092896,0.005074481014162302,0.0,0.0,0.0,0.0,0.0,1.000000009665618,1.0000000016109363,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.629610113195472,19.52443218231201,3.7789037420942977,3.7789037420942977,3.7789037420942977,0.0,0.0,0.33405415754060486,6.0290249876073885,0.17319522999428413,4.156614728876062,0.014990260849732,0.00025826210086863185,1.9455634162232682,0.0,0.0,0.0,2.1352381577362887,49.80538837329762,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.004363438114523888,0.9867889285087585,1.0750612020492554,1.0000001192092896,0.004363438114523888,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000016109363,0.9999999967781273,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.308972049403835,19.233555767987227,3.7941039124050655,3.7941039124050655,3.7941039124050655,0.0,0.0,0.332601379703831,5.912604712151192,0.17310166278400937,4.055150805292903,0.014906356815953512,0.0002549329585383168,1.9334379015742122,0.0,0.0,0.0,2.1491876872810156,49.540103706153666,49.3253173828125,49.61518478393555,49.71218490600586,1.0000001192092896,0.0033620684407651424,0.9880980849266052,1.0401198863983154,1.0000001192092896,0.0033620684407651424,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999935562546,0.9999999935562546,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.8663691443366,18.830335217553216,3.792552728910704,3.792552728910704,3.792552728910704,0.0,0.0,0.33165297314927383,5.826265341526753,0.17292729302032575,3.95616449536504,0.014754058793187141,0.00025879446184262633,1.9294614824088845,0.0,0.0,0.0,2.1791409672917545,49.00076665105046,48.65553665161133,49.037147521972656,49.3253173828125,1.0,0.002907511545345187,0.9732464551925659,1.030674695968628,1.0,0.002907511545345187,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000032218728,0.9999999935562546,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,24.859212050566803,18.806069606059307,3.7669850942250847,3.7669850942250847,3.7669850942250847,0.0,0.0,0.33334735196989934,5.945143493446144,0.1727696451786402,4.05053558865109,0.015051418286118959,0.0002605955028352705,1.9103685327478357,0.0,0.0,0.0,2.216384894139058,48.11900092460014,47.52843475341797,48.18269729614258,48.65553665161133,0.9999997615814209,0.005427955184131861,0.9381968975067139,1.0323814153671265,0.9999997615814209,0.005427955184131861,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,0.9999999967781273,0.9999999935562546,0.3333333432674408,0.3333333432674408,0.3333333432674408,256.24618926415076,394.57219900742695,0.5964198332265656,-180.204498563494,256.246189675902,319.3182244564348,375.9652682399299,407.72668746440473,150.9662824358259,129.06855759140132,628.9173595594323,0.03281237984288034,0.29372131870102086,-0.35494636643507005,-0.35494636643507005,0.4171235658441722,0.3375754331312221,0.19499235017571825,1.3579438740746337,0.7466319233876412,0.792731768885765,0.8326215389758305,0.24663192338764117,-0.007268231114235024,-0.11737846102416949,0.0,0.0,0.46703296703296704,0.532967032967033,0.7060439560439562,2.3077073211853323,2.150440437125636,2.1156840278552127
6,1e-05,1e-05,0.05,25.343596922384727,19.301716366329707,3.7540862818022034,3.7540862818022034,3.7542609910707214,0.0,0.0,0.3342300677621687,5.9557100824407625,0.17266531369170626,4.0522823462615145,0.014913804854291517,0.0002361958401239905,1.8866682922517932,0.0,0.0,0.0,2.2563482877370475,46.855271416741445,45.88654327392578,46.974708557128906,47.714454650878906,1.0000001192092896,0.011011393740773201,0.814535915851593,1.054005742073059,1.0000001192092896,0.011011393740773201,0.0,0.0,4.204199584754738,2.2734298512742326,0.4592478769280744,1.0000000032218728,1.0000000080546818,0.9999999967781273,0.33520493555713343,0.3374369442462921,0.327358122612979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.914718086655075,18.968111051095498,3.7886601525384025,3.7886601525384025,3.7887145248619287,0.0,0.0,0.3361719468155423,5.646638425620827,0.17246565625474258,3.713868569683384,0.01428431209579513,0.0002317526755300728,1.8669470194223765,0.0,0.0,0.0,2.3072960054552234,45.15263902818835,43.61454391479492,45.35194778442383,46.42744064331055,1.0,0.02419598400592804,0.7454960346221924,1.1086690425872803,1.0,0.02419598400592804,0.0,0.0,3.6659804034877466,1.0420594956423785,0.7157487545075303,1.0000000064437453,1.000000004832809,1.0,0.33783321847786774,0.3469647161058477,0.3152020718600299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,25.529629166061813,19.679981824514027,3.7626819546158248,3.7626819546158248,3.759306372822942,0.0,0.0,0.3348474526727522,5.499625186662416,0.17190872616059072,3.5133983541179346,0.014403416724825228,0.0002635230917508739,1.8503545877095815,0.0,0.0,0.0,2.4300495804967106,42.663697629361536,39.556671142578125,43.19069290161133,45.08699035644531,1.0000001192092896,0.06085279583930969,0.37729284167289734,1.218779444694519,1.0000001192092896,0.06085279583930969,0.0,0.0,3.2663075215107686,0.4924896923271385,0.8492212723132245,1.000000009665618,1.0000000016109363,1.0,0.3445737176650279,0.3599038695966875,0.29552241354375275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,22.29619314863875,16.734986176361907,3.7409964767662256,3.7409964767662256,3.7262144346494934,0.0,0.0,0.3339417278766632,4.78335579021557,0.16953428492352768,2.908693677670247,0.013874964687872577,0.0003522671523151567,1.8180660621539966,0.0,0.0,0.0,2.612069239487519,39.491397857666016,33.63694763183594,40.57390213012695,43.870845794677734,1.000015377998352,0.12603235244750977,0.25,1.4029062986373901,1.000015377998352,0.12603235244750977,0.0004595688806215122,0.0,2.592166803978585,0.29320300269771266,0.8868888366876351,1.0000199884981722,0.9999999983890636,0.9999999967781273,0.35178190630835454,0.37336499465478434,0.27485309500952027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.165265186412913,15.802995991062474,3.7013157122843974,3.7013157122843974,3.6664454872543746,0.0,0.0,0.33254090595889735,4.367399325241914,0.16530621373975599,2.5393217318766825,0.014172223597966336,0.0008056605198559024,1.7928250351467647,0.0,0.0,0.0,2.952533199980452,36.46497076910895,26.453556060791016,38.48969650268555,43.10641860961914,1.001329779624939,0.21296541392803192,0.25,1.6523370742797852,1.001329779624939,0.21296541392803192,0.014257577415472152,0.0,3.2211605407096244,0.6784446811353838,0.7893788053836267,1.0016249837102116,1.000358270632254,0.9999999967781273,0.36681433142842473,0.374849931613819,0.2583357321249472,255.7738114136916,393.6100306591412,0.5982165491723852,-177.93603883470809,255.77381070867028,319.2481340017941,376.30103778323405,408.23716576132415,152.37372289385115,129.29977591462838,626.1857940010402,0.032731199058775126,0.3476314174075682,-0.3949746452493665,-0.3949746452493665,0.47163951078431626,0.3188512975082015,0.19337088389146836,1.3556943410436864,0.7311710213624023,0.7721493760995669,0.8326365391579755,0.2311710213624023,-0.027850623900433136,-0.11736346084202443,0.0,0.0,0.46703296703296704,0.532967032967033,0.7912087912087912,2.31143892793865,2.151937199162913,2.1160878378611345
