epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.019746084471006,17.929046927271663,3.7626665476206185,3.7626665476206185,3.7626665476206185,0.0,0.0,0.3322586747440132,5.790778727144809,0.17326588364871773,4.004131233369982,0.07729155217876306,0.0002601645120759369,1.951043786229314,0.9873956683519725,0.0,0.0,0.0,2.1267892798861943,49.97771701297245,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999403953552,0.006976039614528418,0.9213041067123413,1.0192999839782715,0.9999999403953552,0.006976039614528418,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3327904327495678,0.3327810385742703,0.33442852948163004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.71153094317462,19.524445585302406,3.778895423219011,3.778895423219011,3.778895423219011,0.0,0.0,0.33405381924397237,6.029020502760604,0.17319567541818362,4.156641863487862,0.08084297764140207,0.0002582829069610484,1.9455760137454883,0.9796926894703427,0.0,0.0,0.0,2.1352000300948686,49.80564612311286,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.0060257879085838795,0.9051916003227234,1.0181617736816406,1.0,0.0060257879085838795,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000032218728,0.9999999935562546,0.3306909412951083,0.33069220024186213,0.3386168632958386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.390360394039668,19.23338776665765,3.794087255323255,3.794087255323255,3.794087255323255,0.0,0.0,0.3326003197077158,5.9125506297962085,0.17310178642337387,4.05517907400389,0.08189101275560018,0.0002550097470285019,1.9335000450546678,0.9616707643947086,0.0,0.0,0.0,2.1491375678294413,49.54021237347577,49.3253173828125,49.61518478393555,49.71218490600586,0.9999998211860657,0.004689139313995838,0.9476301670074463,1.0164040327072144,0.9999998211860657,0.004689139313995838,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000032218728,0.9999999967781273,0.3271816509800988,0.32715532989115326,0.3456630142959389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.945093309557116,18.829328923612028,3.792539151939186,3.792539151939186,3.792539151939186,0.0,0.0,0.33164708276052735,5.826117625107637,0.17293216408909978,3.956454425244718,0.08050423739729701,0.0002592695165878615,1.930238076158472,0.9360667966507576,0.0,0.0,0.0,2.178716092496305,49.005632245862806,48.65553665161133,49.037147521972656,49.3253173828125,1.0,0.003987311385571957,0.9596343636512756,1.0352520942687988,1.0,0.003987311385571957,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999967781273,0.32166581459947535,0.32161651753090525,0.3567176694805558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,24.930773322646683,18.799488660451527,3.7669178215233057,3.7669178215233057,3.7669178215233057,0.0,0.0,0.3333390073196308,5.945277574900034,0.1727711292537483,4.050875908619648,0.08094835029663267,0.00026142410147381395,1.9114657414926064,0.9022953510284424,0.0,0.0,0.0,2.2162399356429643,48.1186199703732,47.52843475341797,48.18269729614258,48.65553665161133,0.9999999403953552,0.007091137580573559,0.9582861661911011,1.0818227529525757,0.9999999403953552,0.007091137580573559,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,0.9999999967781273,0.9999999871125093,0.3147353900445474,0.31469015334103556,0.37057445983628967,250.45585619748294,373.9717985082146,0.6740168299651363,-114.45067131126319,250.455856747672,323.18871796114024,388.5540614252052,426.0249814746476,196.2766331263951,145.92998670237932,551.8274154663086,0.03280092929398973,0.2931423562894691,0.3604284556226095,0.3604284556226095,0.4174636923665364,0.34070966814854103,0.2044034959797242,1.3580174917125993,0.7468419259376721,0.7930146294633578,0.8325486809482686,0.24684192593767207,-0.006985370536642277,-0.11745131905173134,0.0,0.0,0.5054945054945055,0.4945054945054945,1.0,2.308159493155532,2.1780720071478203,2.1623592566657854
6,1e-05,1e-05,0.05,25.15762945123621,19.0389340117171,3.7542676023534827,3.7542676023534827,3.7546262225589238,0.0,0.0,0.3339517116546631,5.955614205953237,0.1726551825130308,4.0508450559667635,0.08167598950299057,0.0002484448711117226,1.8824546852627315,0.8781818811957901,0.0,0.0,0.0,2.257731205708272,46.85727052430849,45.88654327392578,46.974708557128906,47.714454650878906,0.9999998211860657,0.01472518127411604,0.9339892864227295,1.2878533601760864,0.9999998211860657,0.01472518127411604,0.0,0.0,4.115115133491722,3.1353941930306926,0.23807862202623845,1.0000000032218728,1.0000000016109363,1.0,0.31082743164655324,0.3068986696165961,0.38227390437512787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.393840892894847,18.37746881794285,3.788682222366333,3.788682222366333,3.7889740982571163,0.0,0.0,0.33574970670648524,5.639608273635039,0.1724623179919011,3.695055330121839,0.07996470823481276,0.0002498464706838383,1.8529671333931588,0.859606912007203,0.0,0.0,0.0,2.3243036914516138,45.107447134481895,43.44450378417969,45.35194778442383,46.51820755004883,1.0000001192092896,0.03450082987546921,0.8749405145645142,1.4684419631958008,1.0000001192092896,0.03450082987546921,0.0,0.0,3.3470758167473047,2.056371827383299,0.3856213781910427,1.000000009665618,1.0,0.9999999967781273,0.3104292267077678,0.2989575677626842,0.3906132087514207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.52338035686596,18.62035625045364,3.7636731186428585,3.7636731186428585,3.7620367681657947,0.0,0.0,0.33436716811077016,5.455249283764814,0.17188516339740237,3.4548234842919014,0.07695869225505236,0.0002856164355762303,1.8226968017784324,0.86643624789006,0.0,0.0,0.0,2.46533236632476,42.35491231969885,39.019535064697266,42.93836212158203,44.99901580810547,1.0000001192092896,0.09409426897764206,0.7619463205337524,2.5120794773101807,1.0000001192092896,0.09409426897764206,0.0,0.0,2.7564984463356637,1.402549553561855,0.4911843482348678,1.0,1.000000004832809,0.9999999967781273,0.317910933011287,0.2938959002494812,0.38819316996110453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,21.594139795045596,15.971273448016193,3.748813803131516,3.748813803131516,3.7425534338564486,0.0,0.0,0.33360853871783697,4.739910151507403,0.16961844064093926,2.8513743812973433,0.07770430085224074,0.0003475676930975169,1.7895968830263294,0.8732611102026862,0.0,0.0,0.0,2.6622424125671387,39.20519462791649,32.92198181152344,40.336856842041016,43.95661163330078,1.0,0.1931241750717163,0.6241906881332397,3.3292899131774902,1.0,0.1931241750717163,0.0,0.0,2.2409874748539282,1.1186959099125218,0.5008022479083957,1.0000000032218728,1.0000000016109363,0.9999999935562546,0.32119834342518366,0.29527740945687164,0.3835242374523266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.44606824823328,15.963271991626636,3.7214403732402905,3.7214403732402905,3.7073633155307255,0.0,0.0,0.33313025816066844,4.436100624703072,0.16615525089405678,2.592922954945951,0.0793092084696164,0.00047619600632429327,1.7718606124053131,0.8815163261181599,0.0,0.0,0.0,2.8429593202230095,37.30090620711043,27.831594467163086,39.095821380615234,43.78524398803711,1.0000001192092896,0.27352356910705566,0.5465418696403503,3.5240838527679443,1.0000001192092896,0.27352356910705566,0.0,0.0,3.7908991285272546,2.012316294618555,0.4691717646941638,1.0000000064437453,1.0000000064437453,0.9999999935562546,0.323511228368089,0.29801060782896505,0.37847815735920054,250.42380729088416,373.58264308245185,0.6762127112540137,-112.86132975987026,250.4238083616902,323.34198876076516,388.9219086075873,426.5040921660445,197.34891510009766,146.51433592803718,549.8987214461616,0.03269560042563631,0.3505928203573866,0.3996287168519789,0.3996287168519789,0.47672863647991626,0.3280121868119192,0.2005808461621665,1.3557981593614254,0.730583871375581,0.7703922119054303,0.8326301105084848,0.230583871375581,-0.029607788094569765,-0.11736988949151517,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3107731614139055,2.180041124860009,2.1637205756627598
