epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.942517873403187,19.776899028468776,3.7662398686280123,3.7662398686280123,3.7662398686280123,0.0,0.0,0.3337111465028814,6.063538815524127,0.17326589693894257,4.156843636486982,0.08102745180194443,0.00023166569951934288,1.9468317998422158,0.6646158550236676,0.0,0.0,0.0,2.127433628649325,49.98081650605073,49.9067497253418,50.00431823730469,50.00431823730469,1.0000004768371582,0.0009517216240055859,0.9892152547836304,1.0039761066436768,1.0000004768371582,0.0009517216240055859,0.0,0.0,0.0,0.0,0.0,1.0000006057120658,1.0000000869905628,1.0,0.33278807111688563,0.3329139214915198,0.33429800739159454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.125510009559424,19.034709737107562,3.76297343743814,3.76297343743814,3.76297343743814,0.0,0.0,0.33296035431526805,5.898177153355366,0.1732112112882975,3.9773350857399605,0.07788429801931253,0.00023196040254677773,1.9432812349216357,0.6556490111995388,0.0,0.0,0.0,2.135176014255833,49.79265810992267,49.71218490600586,49.80937194824219,49.9067497253418,1.0000016689300537,0.0008260169997811317,0.9917241334915161,1.0031635761260986,1.0000016689300537,0.0008260169997811317,0.0,0.0,0.0,0.0,0.0,1.000002010448559,1.000000238418579,1.0000000386624723,0.33077013250943776,0.3312661704179403,0.3379636986835583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.870509534268766,19.758170359843486,3.7718094426232414,3.7718094426232414,3.7718094426232414,0.0,0.0,0.33175542467349284,5.892758040814786,0.1731195026958311,4.042722154308009,0.07991272925927832,0.00023468474053614145,1.9508555773142222,0.6541949913308427,0.0,0.0,0.0,2.1483652333955505,49.53188715754329,49.3253173828125,49.518367767333984,49.71218490600586,1.0000017881393433,0.0006549177342094481,0.9933527708053589,1.0033711194992065,1.0000017881393433,0.0006549177342094481,0.0,0.0,0.0,0.0,0.0,1.0000022327577747,1.0000002094217249,1.0000000644374538,0.32751738219647797,0.3282866751825487,0.34419593859363246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.235757466909046,18.172657734638936,3.77510354325578,3.77510354325578,3.77510354325578,0.0,0.0,0.33378923825315526,5.766232819170566,0.17300640086869937,3.900857551677807,0.08011203591485282,0.00024286367870691056,1.9670521761920001,0.6387542969471699,0.0,0.0,0.0,2.1747466680165886,49.011247686437656,48.65553665161133,49.037147521972656,49.3253173828125,0.9999995827674866,0.0005543095758184791,0.9918452501296997,1.0061074495315552,0.9999995827674866,0.0005543095758184791,0.0,0.0,0.0,0.0,0.0,0.999999552159696,0.9999998711250924,1.0000001256530349,0.322640509218783,0.3245816230773926,0.3527778677038244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,25.38494844694395,19.31531679308092,3.7872322121182003,3.7872322121182003,3.7872322121182003,0.0,0.0,0.3313307552724271,5.74883027334471,0.1728006045560579,3.9058530717282682,0.07718189790643551,0.0002452235856106052,1.9683386602917232,0.6294557387764389,0.0,0.0,0.0,2.2172941968247697,47.998101414860905,47.343135833740234,48.08868408203125,48.65553665161133,0.9999907612800598,0.0008832376333884895,0.9938085079193115,1.0103771686553955,0.9999907612800598,0.0008832376333884895,0.0,0.0,0.0,0.0,0.0,0.9999886187347206,0.9999986854759423,1.0000000708811991,0.31411461975123434,0.3187530830099776,0.36713230207159714,256.19214770558114,394.45301231481795,0.5966046756729867,-179.95916762718787,256.1921483959934,319.36484863675184,376.05811484236403,407.8299538240073,151.0852497645787,129.09518607087838,628.610763715661,0.032797642404691914,0.2994087392543955,0.350302841052024,0.350302841052024,0.4099530083951609,0.3275175037012355,0.2046070066272342,1.3578115703503855,0.747553363147981,0.7937689243369384,0.8323258210992562,0.24755336314798104,-0.0062310756630616915,-0.11767417890074372,0.0,0.0,0.44505494505494503,0.554945054945055,0.8076923076923075,2.2726825655816674,2.139955003837963,2.115891859426603
6,1e-05,1e-05,0.05,25.136918480331833,19.09801014049633,3.8111481408815124,3.8111481408815124,3.811277202657751,0.0,0.0,0.3336454992358749,5.634165055042988,0.17278867476695292,3.745644537178246,0.07814268938995697,0.00022169630471113565,1.9593385232461464,0.612498757001516,0.0,0.0,0.0,2.2631174100411906,46.3634147644043,45.35194778442383,46.42744064331055,47.343135833740234,0.9999678730964661,0.0016671600751578808,0.9890265464782715,1.022876501083374,0.9999678730964661,0.0016671600751578808,0.0,0.0,3.461858826714593,1.8692597054146431,0.46004161377411623,0.999959908627175,0.9999957664592846,1.0000002480841972,0.3047974061321568,0.31546551230791453,0.37973707914352417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,26.628371883083034,20.590716026924753,3.739957049086287,3.739957049086287,3.7397917863484977,0.0,0.0,0.33479292167199626,5.854917726001224,0.1731057505349855,3.8651785786087447,0.08134341723210103,0.00021621192226538787,1.9460320279404923,0.619347730198422,0.0,0.0,0.0,2.3093946688884013,44.67353944520693,43.022308349609375,44.91121292114258,46.066139221191406,0.9999127388000488,0.00384099711664021,0.9785072207450867,1.068648099899292,0.9999127388000488,0.00384099711664021,0.0,0.0,3.3013349417093636,0.9306852833644764,0.7180881977147746,0.9998933189624065,0.999976718747938,0.9999980411014041,0.29782706740740184,0.3204496833118233,0.3817232557245203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,25.26487909780966,19.413709047678356,3.766055899697381,3.766055899697381,3.761352590612463,0.0,0.0,0.33414100070257446,5.275956488944389,0.1727637962715046,3.3759382705430725,0.08057304652961525,0.0002680330948646155,1.9715507352674329,0.6296818320815628,0.0,0.0,0.0,2.4772670397887357,41.51401396055479,37.89297103881836,42.190181732177734,44.21493148803711,0.9999157190322876,0.016847044229507446,0.9660255312919617,1.514824628829956,0.9999157190322876,0.016847044229507446,0.0,0.0,2.8653290787258663,0.425974960262711,0.8513347163418555,0.9998781697170155,1.000050705832404,1.0000306754498869,0.2983034639745145,0.3433621791568962,0.35833436170139826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,23.414056674854177,17.807209427292282,3.7079255903089368,3.7079255903089368,3.6885215913927234,0.0,0.0,0.33582549401231715,4.772796224903416,0.17005234352640203,2.9452239597165906,0.0809889419658764,0.00044630466711808095,1.9438625187487215,0.6528950945751087,0.0,0.0,0.0,2.674939374665956,38.4971824852196,31.414377212524414,40.022953033447266,43.022308349609375,1.0022791624069214,0.0522850938141346,0.8208507299423218,2.0776102542877197,1.0022791624069214,0.0522850938141346,0.0,0.0,2.450371829239098,0.34083097246853084,0.8609064271791079,1.0024952308551685,1.0017534687712386,1.0004532917125806,0.3029987022683427,0.36581723996110865,0.33118406582523036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.503201098055452,16.108223360937995,3.6907667211584143,3.6907667211584143,3.655678381790986,0.0,0.0,0.3307728106911118,4.256120649543968,0.16547593353567897,2.5019447706841134,0.07905022226072647,0.0017205909275248446,1.9297859990918957,0.6878308863253206,0.0,0.0,0.0,3.0779685200871647,35.33002791533599,23.11831283569336,37.9670524597168,42.355308532714844,1.0137455463409424,0.10706028342247009,0.6029512882232666,2.2763173580169678,1.0137455463409424,0.10706028342247009,0.0,0.0,9.648564757527533,2.017430879779764,0.790908707100108,1.0153010696978182,1.0095613582714185,1.002449892662667,0.31194882376773936,0.38614362236615773,0.30190755467157104,255.70689367985986,393.49478066922944,0.598412418241018,-177.64123527820294,255.70689360219527,319.28102166160073,376.4027835220516,408.3888213862006,152.56300599234444,129.3200814890307,625.8352846891984,0.03260140164873924,0.35274493467160234,0.38231705474279026,0.38231705474279026,0.4739223184357272,0.3401186141825337,0.22541323482086195,1.355792660954817,0.7304167264888216,0.7698222049839176,0.832634396274812,0.2304167264888216,-0.03017779501608242,-0.117365603725188,0.0,0.0,0.45054945054945056,0.5494505494505495,0.8910256410256409,2.2779453648970676,2.1419032353621263,2.1164518850190297
