epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.230786529747217,18.15486059962092,3.763680039225398,3.763680039225398,3.763680039225398,0.0,0.0,0.33295968174934387,5.790797671756229,0.17326518409960978,4.004289826831302,0.07753139482559385,0.00023259323269657388,1.9538334092578373,0.6585944214382687,0.0,0.0,0.0,2.1265381477974556,49.97585430660763,49.9067497253418,50.00431823730469,50.00431823730469,1.0000007152557373,0.0010025475639849901,0.9912603497505188,1.0033801794052124,1.0000007152557373,0.0010025475639849901,0.0,0.0,0.0,0.0,0.0,1.0000007055901192,1.0000001224311623,1.0000000161093634,0.3327008018622527,0.3328181835445198,0.3344810137877593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.91616646019188,19.74325332126102,3.779810106432116,3.779810106432116,3.779810106432116,0.0,0.0,0.3346990330799206,6.028919915895204,0.17318219751925082,4.156463184872189,0.08108860727500271,0.0002348120363643141,1.9590044150481354,0.656591908351795,0.0,0.0,0.0,2.135207498395765,49.78857339395059,49.71218490600586,49.80937194824219,49.9067497253418,1.0000019073486328,0.0008696134318597615,0.98930823802948,1.0038095712661743,1.0000019073486328,0.0008696134318597615,0.0,0.0,0.0,0.0,0.0,1.0000023680764276,1.0000002094217249,1.0000000547718357,0.33029026115262833,0.33087595250155477,0.3388337935950305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.547981159107106,19.40351847055796,3.7951767251298234,3.7951767251298234,3.7951767251298234,0.0,0.0,0.3331815060731527,5.912935579145277,0.17308845109230764,4.055869482659005,0.08212177666860658,0.0002361729770986917,1.9607235837627102,0.6498489895382443,0.0,0.0,0.0,2.1481369186092065,49.53792427681588,49.3253173828125,49.518367767333984,49.71218490600586,1.000002384185791,0.0007082350784912705,0.992202639579773,1.0042839050292969,1.000002384185791,0.0007082350784912705,0.0,0.0,0.0,0.0,0.0,1.000003009229093,1.0000002319748338,1.0000000676593266,0.3267773889206551,0.3277901145252022,0.3454324973596109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,25.036509616954906,18.930924931088008,3.7937811065364526,3.7937811065364526,3.7937811065364526,0.0,0.0,0.33214024192578084,5.82710329261986,0.17291974336714358,3.958136755066949,0.0806936866326912,0.0002478385049963018,1.9785578959697,0.6416373977790008,0.0,0.0,0.0,2.1759088554897823,49.021400554760085,48.65553665161133,49.037147521972656,49.3253173828125,0.9999991655349731,0.0006163219804875553,0.9952774047851562,1.0053995847702026,0.9999991655349731,0.0006163219804875553,0.0,0.0,0.0,0.0,0.0,0.9999990946537739,0.999999724529885,1.000000051549963,0.3214861613673133,0.3230841933070002,0.3554296445202183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,25.056936882637643,18.936631511997533,3.7678670947616166,3.7678670947616166,3.7678670947616166,0.0,0.0,0.33374907680459925,5.943186444205207,0.1727637866058865,4.0437231257155135,0.08110552764422185,0.00025441706482623076,1.980076081043965,0.6262169866948515,0.0,0.0,0.0,2.2213216150129163,47.98518928321632,47.250762939453125,48.08868408203125,48.65553665161133,0.9999866485595703,0.0010297138942405581,0.9936640858650208,1.0104113817214966,0.9999866485595703,0.0010297138942405581,0.0,0.0,0.0,0.0,0.0,0.9999834572946703,0.999998297240283,1.0000001900904887,0.3139102942234761,0.31764821345741684,0.36844148909723434,250.4536068884881,373.9773108342228,0.6739543599414235,-114.4877136356228,250.45360626454547,323.17050466050506,388.5310238461937,426.00540125676605,196.23273141043526,145.9178281976271,551.8592933986498,0.032885549056849435,0.2968088689160564,0.35737946695713785,0.35737946695713785,0.4195685388702578,0.33938440544459686,0.20383721102084557,1.357915076103622,0.746694066999385,0.7929760575664133,0.8325443951819415,0.246694066999385,-0.007023942433586727,-0.1174556048180585,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.272521597343487,2.1781335260186876,2.162383672627774
6,1e-05,1e-05,0.05,25.33700538325954,19.232087509052175,3.7549733664538407,3.7549733664538407,3.755228126371229,0.0,0.0,0.3342161089987368,5.946242216471079,0.17276872573672114,4.027322714393203,0.08178881455112148,0.0002459995055294319,1.9703398878509935,0.6279696290557449,0.0,0.0,0.0,2.277144245199255,46.49024726249076,45.26345443725586,46.60914993286133,47.52843475341797,0.9999508261680603,0.002092416165396571,0.9888330698013306,1.0497682094573975,0.9999508261680603,0.002092416165396571,0.0,0.0,3.5492209550496696,2.760894607853245,0.2221125022027242,0.9999381078256143,0.9999946001413706,1.0000004832809035,0.31231685828518224,0.3117438885005745,0.3759392499923706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.5820248320296,18.58524532575865,3.7905833334536165,3.7905833334536165,3.7906188578219027,0.0,0.0,0.3358856101293822,5.611088591652948,0.17277657502406352,3.6493370919614225,0.08003929398349814,0.0002479551578683124,1.9583743810653687,0.6183050742020478,0.0,0.0,0.0,2.3540068381541484,44.56863496110246,42.68750762939453,44.823577880859375,46.15619659423828,0.9999059438705444,0.005402229260653257,0.9753766655921936,1.1005046367645264,0.9999059438705444,0.005402229260653257,0.0,0.0,3.0061967437331742,1.8915084439354974,0.3707968555688832,0.9998807472151678,0.9999933113922944,1.0000024325138814,0.3154205285214089,0.30748777937244726,0.37709169210614385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.639312409065866,18.785295679762555,3.7641544148728654,3.7641544148728654,3.7617546481055184,0.0,0.0,0.334551173287469,5.342041550455867,0.17227806835561185,3.350526996560999,0.07700917597960781,0.0002874181514631051,1.933172042305405,0.6327829038774645,0.0,0.0,0.0,2.5024927629006877,41.89818274008261,37.9670524597168,42.68750762939453,44.823577880859375,1.0000847578048706,0.02149159461259842,0.9578301906585693,1.7262520790100098,1.0000847578048706,0.02149159461259842,0.0,0.0,2.3048134011191292,1.2492693308237437,0.4579737647233627,1.0000633436280328,1.000181085354573,1.0000619276149854,0.3191488022739823,0.31245799080745595,0.3683932061130936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,21.555259704589844,15.999820361266265,3.744463791718354,3.744463791718354,3.737618807199839,0.0,0.0,0.3336880400374129,4.572590589523315,0.16954714462563797,2.7354650690748885,0.07766259713350115,0.00038960247577444926,1.8982157288370907,0.6353032250662107,0.0,0.0,0.0,2.7083906676318192,39.12224826297245,31.722658157348633,40.65322494506836,44.04254913330078,1.0029172897338867,0.059667330235242844,0.9065999984741211,2.2673423290252686,1.0029172897338867,0.059667330235242844,0.0,0.0,2.111976314235378,1.1753238536216117,0.44349572213496763,1.003234019150605,1.0020795094000328,1.0005532599784233,0.3165073878056294,0.32072528874551925,0.36276731619963776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.456225859152305,16.01839642911344,3.716334729581266,3.716334729581266,3.7031064613445386,0.0,0.0,0.33318805291845993,4.304951371373357,0.16582212899182294,2.5562821755538114,0.07930230218413714,0.0005674670769744931,1.8849530896625004,0.6417539119720459,0.0,0.0,0.0,2.8163332874710494,37.94326452306799,27.615007400512695,40.101200103759766,44.21493148803711,1.0076218843460083,0.08736435323953629,0.85127854347229,2.3517518043518066,1.0076218843460083,0.08736435323953629,0.0,0.0,3.150979299803038,1.6534167302621376,0.47526893294237454,1.0084612981693164,1.0053723728334583,1.0014882764300785,0.3179024385439383,0.3244857731703165,0.3576117858693406,250.42425648196712,373.6099707369409,0.6760922318832243,-112.94952034164261,250.42425640120305,323.36157280610377,388.89697086241443,426.50266942208833,197.29806300571985,146.47452187353326,550.0198894998301,0.032657080482017924,0.3547372572984252,0.38782190464933575,0.38782190464933575,0.4778429402126402,0.3229803990162048,0.2072452942474871,1.3559610969766924,0.7299217204780344,0.7683971876801361,0.8328101126942256,0.22992172047803439,-0.03160281231986395,-0.1171898873057744,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,2.2781220821888892,2.1804260719608473,2.164034062034481
11,9.999408100208873e-06,9.999408100208873e-06,0.3,19.68872428584743,14.332168888401341,3.7409962383476465,3.7409962383476465,3.7255233494011133,0.0,0.0,0.33323379787238866,3.9137120891261743,0.16285218258161802,2.4349174467292993,0.07746402184302742,0.0006384627745688163,1.8460697354497135,0.6359952382139258,0.0,0.0,0.0,2.6240360028034933,38.75207179301494,27.507347106933594,41.05216979980469,45.70764923095703,1.0112526416778564,0.09376256167888641,0.8026430010795593,2.607074022293091,1.0112526416778564,0.09376256167888641,0.0,0.0,3.014659443417111,1.345822577540939,0.5535739267399798,1.0122561905835126,1.0088408798784823,1.0026485211140401,0.313880480624534,0.32914932192982854,0.35697020388938283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999147672089674e-06,9.999147672089674e-06,0.35,18.50469514485952,13.259912297532365,3.7084599894446297,3.7084599894446297,3.6890743938652246,0.0,0.0,0.33182746171951294,3.656901114695781,0.15907656099345233,2.3295213692897074,0.07007967388710461,0.0008110303315334022,1.8001325227118827,0.6409837716334575,0.0,0.0,0.0,2.5456987909368567,39.03995132446289,25.891281127929688,41.69865036010742,47.43569564819336,1.0180586576461792,0.1154380738735199,0.7781758308410645,2.7914419174194336,1.0180586576461792,0.1154380738735199,0.0,0.0,3.3712265684797957,1.3491222938975773,0.5998126300642131,1.0195301964476302,1.0147151721490395,1.0045500284916646,0.31080426235456726,0.33999746232419403,0.34919827209936605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.998839899539952e-06,9.998839899539952e-06,0.4,17.400948472925133,12.200414644705283,3.7107365646877803,3.7107365646877803,3.6877595476202063,0.0,0.0,0.3323247698513237,3.4384811826654382,0.15495388129272977,2.303621643298381,0.07610976977928265,0.0009171740101600015,1.768486457902032,0.6620495770428632,0.0,0.0,0.0,2.4698099381214864,39.514259441478835,24.899402618408203,42.27266311645508,49.133018493652344,1.0244892835617065,0.1271909773349762,0.7691516876220703,2.890380859375,1.0244892835617065,0.1271909773349762,0.0,0.0,3.5235236657632365,1.2752758055119902,0.6380680459440733,1.026497035413175,1.0198528347788631,1.0063975823892128,0.30843115094545726,0.35289716962221507,0.33867167782139135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.998484785627906e-06,9.998484785627906e-06,0.45,17.417876759090937,12.267983668559307,3.6797491344245703,3.6797491344245703,3.6537711555893355,0.0,0.0,0.3315428358477515,3.3347430100312105,0.15177184947439143,2.314103593697419,0.0755383649186508,0.0010762820791176244,1.7418314218521118,0.6880809551960713,0.0,0.0,0.0,2.478566298613677,39.40066363360431,23.992334365844727,41.86185073852539,50.39651107788086,1.0314710140228271,0.1454436182975769,0.8008072972297668,2.905029296875,1.0314710140228271,0.1454436182975769,0.0,0.0,3.6540414964830554,1.255137791504731,0.6565069683218494,1.034175302531268,1.0249813150715184,1.008236466227351,0.31090110459843195,0.3661417300636704,0.3229571637269613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
