epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.942446914879053,19.77682879164412,3.766238444560283,3.766238444560283,3.766238444560283,0.0,0.0,0.3337110514576371,6.063536192919757,0.17326591506197647,4.156848015011968,0.08102739179456556,0.00023167249133080445,1.9468394711210921,0.6646157052065875,0.0,0.0,0.0,2.1274336866430335,49.98081032005516,49.9067497253418,50.00431823730469,50.00431823730469,1.0000004768371582,0.0009517152211628854,0.9892113208770752,1.0039770603179932,1.0000004768371582,0.0009517152211628854,0.0,0.0,0.0,0.0,0.0,1.000000625043302,1.0000000918233716,1.0,0.3327876828812264,0.3329142509280024,0.33429806860717565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.123488245783626,19.032696878587878,3.7629764531109786,3.7629764531109786,3.7629764531109786,0.0,0.0,0.33295863222431493,5.898130758388622,0.17321173202347112,3.9772786256429313,0.07788353071019456,0.00023210690297010178,1.9434967846483797,0.6556405312306172,0.0,0.0,0.0,2.135250342858804,49.79212590810415,49.71218490600586,49.80937194824219,49.9067497253418,1.0000016689300537,0.0008242067997343838,0.9917200803756714,1.00315523147583,1.0000016689300537,0.0008242067997343838,0.0,0.0,0.0,0.0,0.0,1.0000020297797951,1.0000002223092157,1.0000000483280904,0.3307632505893707,0.33126582084475337,0.3379709189002578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.867256860475283,19.754904695459313,3.771857841594799,3.771857841594799,3.771857841594799,0.0,0.0,0.33175017624287995,5.892720151591945,0.17311513746106946,4.0424500091655835,0.0799109856220516,0.00023516050399897772,1.9516085901775875,0.6540471653680544,0.0,0.0,0.0,2.1488028088131466,49.529781135352884,49.3253173828125,49.518367767333984,49.71218490600586,1.0000016689300537,0.0006480267038568854,0.9924428462982178,1.0033282041549683,1.0000016689300537,0.0006480267038568854,0.0,0.0,0.0,0.0,0.0,1.0000022939733557,1.0000002319748338,1.0000000708811991,0.32742369174957275,0.328230600904774,0.3443457129839304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.23267936706543,18.169543768908525,3.7750499441817,3.7750499441817,3.7750499441817,0.0,0.0,0.33377773938952265,5.766581451570666,0.17300377906979741,3.9008598972011255,0.08010736188373051,0.00024375998111429145,1.9682301572851233,0.6381256435368512,0.0,0.0,0.0,2.175077006623552,49.021002382845495,48.65553665161133,49.037147521972656,49.3253173828125,0.9999998211860657,0.0005470663891173899,0.9919726848602295,1.0060358047485352,0.9999998211860657,0.0005470663891173899,0.0,0.0,0.0,0.0,0.0,0.9999996423721313,0.9999998775688378,1.0000000902124353,0.3222653898032936,0.32434827008762873,0.353386341720014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,25.393175202447015,19.32209146344984,3.7873096466064453,3.7873096466064453,3.7873096466064453,0.0,0.0,0.33132303485999237,5.75108941181286,0.1728153683849283,3.9102045458716317,0.07718121340951405,0.0002457879639444621,1.9694834915367332,0.6294104231370462,0.0,0.0,0.0,2.2130856385102144,48.10672976519611,47.43569564819336,48.18269729614258,48.65553665161133,0.9999920725822449,0.0008313609287142754,0.994697093963623,1.0096831321716309,0.9999920725822449,0.0008313609287142754,0.0,0.0,0.0,0.0,0.0,0.9999901813429755,0.9999988240164679,1.0000000708811991,0.3140756713377463,0.3188497198594583,0.36707461121919993,250.44214451968014,373.9766591125486,0.6738628021266617,-114.54405243842156,250.44214422102752,323.18962021793317,388.5458630680783,426.0088876921883,196.2209974016462,145.88381481909937,551.9111132414445,0.03286748832196578,0.3031138778243725,0.35570937031180194,0.35570937031180194,0.4147174338951105,0.3358999502588139,0.2115881639731924,1.3577960940435936,0.7476069352270707,0.7937646385706112,0.8323558214635464,0.24760693522707067,-0.006235361429388853,-0.11764417853645359,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.272615673777821,2.1782810583219425,2.162415046285797
6,1e-05,1e-05,0.05,24.917475107553845,18.87498682898444,3.8113642125516325,3.8113642125516325,3.811613591941627,0.0,0.0,0.33335053437464945,5.643442643655313,0.17281020412573944,3.752995658565212,0.07803193681143425,0.0002344095807308583,1.9578930751697436,0.6186808685998659,0.0,0.0,0.0,2.2604109854311556,46.55968733091612,45.52945327758789,46.70027160644531,47.52843475341797,0.9999697208404541,0.0015927955973893404,0.9904699325561523,1.0191113948822021,0.9999697208404541,0.0015927955973893404,0.0,0.0,3.4321518588710473,2.682078148867633,0.2185432757191983,0.9999621542724403,0.9999959871575639,1.0000001240420986,0.31216822765968943,0.31211242240828435,0.37571935476483526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,25.793392851546002,19.762011321815283,3.7400660450394088,3.7400660450394088,3.740305694373878,0.0,0.0,0.33435727615614197,5.842777419734645,0.17312952513630325,3.847491093584009,0.08113225448775936,0.0002354471873479417,1.9327069327637956,0.6306611170639863,0.0,0.0,0.0,2.321495346120886,44.562987559550514,42.77096176147461,44.823577880859375,46.066139221191406,0.9999015927314758,0.004079393111169338,0.9799048900604248,1.0773534774780273,0.9999015927314758,0.004079393111169338,0.0,0.0,3.046295146684389,1.9224981520626996,0.3689061435313773,0.9998796582221985,0.9999744940448452,0.9999976947500899,0.3158556392063966,0.30811247793403834,0.37603188366503326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.25521538708661,18.42473468265018,3.768374945666339,3.768374945666339,3.7664007625064335,0.0,0.0,0.33362636533943385,5.231766217463726,0.172707489213428,3.3106201693818376,0.08033473185590796,0.0002887667144170484,1.9479360258257068,0.6387364026662465,0.0,0.0,0.0,2.5225862683476628,41.1086962931865,37.087547302246094,41.943695068359375,44.128658294677734,0.9999647736549377,0.01874862052500248,0.9696776866912842,1.5436339378356934,0.9999647736549377,0.01874862052500248,0.0,0.0,2.4297101948712325,1.3237910077378556,0.45516506020669156,0.9999320313737199,1.0000882777007851,1.000039746632447,0.32549720197110565,0.31093932003588287,0.36356347477113876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,22.6669434985599,17.076899605828363,3.71761104867265,3.71761104867265,3.7106496321188436,0.0,0.0,0.3354140592587961,4.727761494146811,0.16970703448798205,2.8662395573951103,0.08089513583360491,0.00039220198035567393,1.925513973107209,0.6434545275327321,0.0,0.0,0.0,2.7643623029863513,37.88146673666464,29.91731834411621,39.556671142578125,42.85457992553711,1.0026665925979614,0.05299542844295502,0.8152660131454468,2.035508632659912,1.0026665925979614,0.05299542844295502,0.0,0.0,2.1661089497643546,1.1906534513911686,0.45032614748177985,1.0029440216116003,1.001956965472247,1.000490259479832,0.32469541559348236,0.3186842082320033,0.356620369730769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,22.29324485160209,16.82633805919338,3.712518704904092,3.712518704904092,3.7009371100245296,0.0,0.0,0.33200738639444916,4.401804066993095,0.16634299666494937,2.6186116804947726,0.07912180300902676,0.0005733999612464293,1.9149761715450802,0.6454309241191761,0.0,0.0,0.0,2.8520007391233704,36.78620188945049,25.941898345947266,39.095821380615234,43.27513122558594,1.008321762084961,0.08221800625324249,0.7624387741088867,2.175591468811035,1.008321762084961,0.08221800625324249,0.0,0.0,2.9371546410225533,1.5631906068002857,0.46778743448929544,1.0091678677378475,1.0061594312255446,1.0016571798840084,0.32262950088526754,0.32434624514064275,0.35302424833581253,250.40445656828828,373.57806001455276,0.6761146532749303,-112.89689064025879,250.404455890201,323.35485255311147,388.92364135803797,426.511159108019,197.3541019984654,146.47835496414538,549.9222737187924,0.0325868839296479,0.35388352641204984,0.3745993789949073,0.3745993789949073,0.4719806324972357,0.3261157690764385,0.19625307172324552,1.3558166819914022,0.7295060011442996,0.7675443201810308,0.8326386820411391,0.22950600114429964,-0.03245567981896924,-0.11736131795886084,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.2771320097394043,2.1804274703775133,2.1639797543431376
