epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.632578746692555,19.00368780703158,3.791250106450674,3.791250106450674,3.791250106450674,0.0,0.0,0.33203371070526744,4.49272075859276,0.1731175506437147,3.1142374438208504,0.07432945052514205,0.00022666932263008848,1.9144325771847286,0.0,0.0,0.0,0.0,0.6940922801559036,49.97816755964949,49.9067497253418,50.00431823730469,50.00431823730469,1.000001072883606,0.0005273299175314605,0.9896172881126404,1.0037014484405518,0.25000128149986267,0.00013183247938286513,0.0,0.0,0.0,0.0,0.0,0.2500012927764171,0.25000119612023636,0.250001059190647,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.18437266994167,19.505180822836387,3.7807352349564836,3.7807352349564836,3.780735241400229,0.0,0.0,0.33355485184772593,4.648371715803404,0.17259335719250343,3.2420220375061035,0.08125419058912509,0.0002261641127768451,1.913601872083303,0.0,0.0,0.0,0.0,0.6968792161426028,49.79740843901763,49.71218490600586,49.80937194824219,49.9067497253418,1.0000030994415283,0.0004554548067972064,0.9902769327163696,1.0033748149871826,0.2500017583370209,0.00011386368714738637,0.0,0.0,0.0,0.0,0.0,0.2500019017103556,0.2500015642191913,0.2500011510140187,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.93278217315674,19.3024899508502,3.783238514049633,3.783238514049633,3.783238514049633,0.0,0.0,0.3322524766664247,4.51208056630315,0.17160868846081398,3.1350127716322205,0.0770712640841265,0.00022930712903207923,1.9155695502822463,0.0,0.0,0.0,0.0,0.7021327421471879,49.53902744602512,49.3253173828125,49.61518478393555,49.71218490600586,1.000003695487976,0.0003419856075197458,0.9933081865310669,1.0030901432037354,0.2500019967556,8.549640187993646e-05,0.0,0.0,0.0,0.0,0.0,0.2500021103266123,0.25000169309409886,0.2500012106186635,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,25.793761098707044,20.115878234038483,3.7817622068766,3.7817622068766,3.7817622133203455,0.0,0.0,0.33389934494688706,4.650795955915709,0.16997380232488787,3.2278852011706376,0.08113840242495408,0.00023407992950917497,1.9166630055453326,0.0,0.0,0.0,0.0,0.7130186589988502,49.021260441960514,48.65553665161133,49.037147521972656,49.3253173828125,0.9999959468841553,0.0002825866686180234,0.9952768087387085,1.0040628910064697,0.2500000298023224,7.064668898237869e-05,0.0,0.0,0.0,0.0,0.0,0.24999984776651538,0.25000033225562124,0.2500010245555156,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,25.139424787985313,19.533720428879196,3.7980076429006218,3.7980076429006218,3.7980076429006218,0.0,0.0,0.3318324741479513,4.433166291262652,0.1674259961456866,3.01857839726113,0.07712369784712791,0.00023901920153671322,1.921835412850251,0.0,0.0,0.0,0.0,0.7276669112411706,48.19666424313107,47.52843475341797,48.27689743041992,48.75066375732422,0.999955952167511,0.0004127048887312412,0.9960994124412537,1.0082100629806519,0.24998997151851654,0.00010317623673472553,0.0,0.0,0.0,0.0,0.0,0.24998851120471954,0.24999333072353053,0.2499998815961786,0.25,0.25,0.25,251.94752720424108,368.7877674813172,0.7226073192310298,-83.73156344235598,251.94752772451778,328.69532002053535,396.82233609121437,436.34059459686665,218.72759083339147,159.3363529471464,516.7166801120924,0.10644118040064018,0.5506111130703554,0.571057037432167,0.5710570363040314,0.723067145593479,0.4250424032120451,0.33709213263143994,0.9094436696374847,0.8181168480334073,0.9250715839396624,0.9511890174121413,0.31811684803340734,0.12507158393966233,0.001189017412141391,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8494515001446337,0.8163325755478261,0.8037907931503359
6,1e-05,1e-05,0.05,24.213527627893395,18.597764221397608,3.7775187943432784,3.7775187943432784,3.7779109929059005,0.0,0.0,0.33512141656231237,4.515552643183115,0.1628197375181559,3.070772171020508,0.0801614821964019,0.0002469100640941965,1.9403921945675,0.0,0.0,0.0,0.0,0.7592550032847637,46.47679138183594,45.08699035644531,46.60914993286133,47.714454650878906,0.9997689723968506,0.0007091707084327936,0.9937106966972351,1.013413429260254,0.2562364637851715,0.004907142836600542,0.0,0.0,1.2489891438870817,1.0495626829765938,0.15967029168070782,0.2570998265936568,0.25641609808883153,0.2430664800308846,0.2571559781963761,0.256433656892261,0.24310309903041735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,25.18276593491838,19.565867475561195,3.7938721244399614,3.7938721244399614,3.7945601038030676,0.0,0.0,0.33369643382124,4.567543635497222,0.15820336261311094,2.9599266052246094,0.07710394283404222,0.00024212935012828156,1.9254975995501957,0.0,0.0,0.0,0.0,0.7951924945857074,44.134164861730625,42.02569580078125,44.38798141479492,45.88654327392578,0.9993343353271484,0.001576126436702907,0.9759553670883179,1.0164824724197388,0.2600637972354889,0.0057396721094846725,0.0,0.0,1.116584020691949,0.8137126001151832,0.2712482132684255,0.2616796920428405,0.2594188886719781,0.23874347193821058,0.26185325432468104,0.25949480726912216,0.23882628212103973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.50220925099141,18.973501205444336,3.7516401329556026,3.7516401329556026,3.752602429003329,0.0,0.0,0.33319368716832753,4.4517643645003036,0.1537005369727676,2.8464460791768254,0.07858593701510816,0.0002464937448117731,1.922577841861828,0.0,0.0,0.0,0.0,0.8438499988736333,41.083807971026445,37.819034576416016,41.45503616333008,43.870845794677734,0.9983500838279724,0.004603715613484383,0.9412400722503662,1.0250886678695679,0.2644517421722412,0.008311941288411617,0.0,0.0,1.0080237678579382,0.6447537621936282,0.3603784129378842,0.266654195012273,0.2641941840584214,0.2331057968171867,0.2671228695560146,0.2644319131567672,0.23325241095310933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,24.435273222021156,18.965581674833555,3.775613817008766,3.775613817008766,3.7765462076341785,0.0,0.0,0.3316335049835411,4.274923704765938,0.15350380781534556,2.616574213311479,0.07691155978151269,0.00026116484455210537,1.9223264520232741,0.0,0.0,0.0,0.0,0.9081390032897124,37.59256301055083,32.602046966552734,38.19016647338867,41.78017044067383,0.9959337115287781,0.012261011637747288,0.8373843431472778,1.0845963954925537,0.2682349681854248,0.010776806622743607,0.0,0.0,0.8875260385307105,0.501352529268007,0.4351123150167059,0.2708859757797138,0.26874461528417226,0.227554253629736,0.2721142776914545,0.2695023248324523,0.22784694948711912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,23.251102963009394,17.899279362446553,3.7795971406472697,3.7795971406472697,3.7791264572659053,0.0,0.0,0.33339959383010864,3.9956816595953866,0.15824626144525167,2.2810536880750916,0.07650578465010668,0.0002926619789512778,1.921166858157596,0.0,0.0,0.0,0.0,1.019737043896237,33.40106232101853,25.74001693725586,34.30037307739258,39.711490631103516,0.9894756078720093,0.030013667419552803,0.6703757047653198,1.169027328491211,0.2703990042209625,0.013511832803487778,0.0,0.0,0.687876955882923,0.35191553992194097,0.48840335918763184,0.2733387085231575,0.2717332799692412,0.22264078903842616,0.27662700575751226,0.2741284789265813,0.22344209294061404,252.17246728415017,368.39447295057647,0.7272325073112358,-80.90463713761214,252.17246847853045,329.29519226616486,397.6256170904252,437.3604044716103,220.69266619001115,160.6799993588943,513.5395753279976,0.10707773460761189,0.6193872666610569,0.07620490409483284,0.4998275424981591,0.6823894108484184,0.43716332138581815,0.3059525134301331,0.9086822796771811,0.8134359304926044,0.9178314464860421,0.9512980087286474,0.31343593049260443,0.11783144648604205,0.0012980087286474928,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8511525025734534,0.8183313339621157,0.8053014338999004
