epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.87693165444039,18.2376198381991,3.792277684082856,3.792277684082856,3.792277684082856,0.0,0.0,0.33375935135660945,4.486717204789858,0.17313306194704933,3.14561035182025,0.08084201550966985,0.00022710577507717284,1.9184127788285952,0.0,0.0,0.0,0.0,0.6940710141852096,49.989230387919655,49.9067497253418,50.00431823730469,50.00431823730469,1.0000008344650269,0.0005217360449023545,0.9915522336959839,1.0033360719680786,0.2500011622905731,0.00013043401122558862,0.0,0.0,0.0,0.0,0.0,0.250001254919413,0.2500011703452548,0.25000105274690165,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.043775764671533,19.385685920715332,3.8118266028326913,3.8118266028326913,3.8118266028326913,0.0,0.0,0.33343977863724167,4.494487343607722,0.1726311799642202,3.1414703452909314,0.07864178545974396,0.00022730086945827948,1.914668717899838,0.0,0.0,0.0,0.0,0.696427667463148,49.855788772170605,49.71218490600586,49.9067497253418,49.9067497253418,1.0000028610229492,0.0004513745952863246,0.9929192066192627,1.0036540031433105,0.2500016987323761,0.00011284367792541161,0.0,0.0,0.0,0.0,0.0,0.25000185579866974,0.2500015336114007,0.2500011421538688,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.214990254994984,18.591677279085726,3.8022663593292236,3.8022663593292236,3.8022663593292236,0.0,0.0,0.33198448371242834,4.41710301347681,0.17173976149107958,3.0966300835480562,0.07868142546834173,0.0002300147678249994,1.9151779767629262,0.0,0.0,0.0,0.0,0.7016203935081894,49.6134108466071,49.518367767333984,49.61518478393555,49.71218490600586,1.0000035762786865,0.0003347656165715307,0.9916231036186218,1.0041699409484863,0.2500019371509552,8.369145507458597e-05,0.0,0.0,0.0,0.0,0.0,0.25000199756106817,0.2500016157691543,0.25000118484368195,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,23.402410146352405,17.81858913318531,3.760541361731452,3.760541361731452,3.760541361731452,0.0,0.0,0.3338060427356411,4.448832453908147,0.17036524455289584,3.072940958512796,0.07841937082844812,0.00023233952516740238,1.914824199032139,0.0,0.0,0.0,0.0,0.7086562337102117,49.24377864115947,49.037147521972656,49.22907257080078,49.421749114990234,0.9999993443489075,0.0002737228060141206,0.9945696592330933,1.00404953956604,0.25000086426734924,6.843070877948776e-05,0.0,0.0,0.0,0.0,0.0,0.2500007921779478,0.25000089729154434,0.250001096242183,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.951517465952282,18.370126569593275,3.807469638618263,3.807469638618263,3.807469638618263,0.0,0.0,0.3323506890116511,4.331103672852388,0.16803859778352687,2.957476967089885,0.0743554697648899,0.00023773008512295278,1.9202582836151123,0.0,0.0,0.0,0.0,0.7218940193588669,48.65649939872123,48.18269729614258,48.65553665161133,49.037147521972656,0.9999753832817078,0.000350400892784819,0.9964801669120789,1.0060288906097412,0.2499949336051941,8.760015771258622e-05,0.0,0.0,0.0,0.0,0.0,0.24999410679211487,0.24999686350693573,0.2500004977793307,0.25,0.25,0.25,250.43544327033746,371.97672594564057,0.6882879580559373,-104.5521771148011,250.43544160226708,324.6083988429181,391.11681792788653,429.289575498889,203.54022489275252,149.64846352274103,540.2134197069252,0.10632808276701904,0.5472127441642157,0.5624331382009506,0.5624331353463403,0.7183071045110101,0.42081386696010525,0.3353760711844286,0.9095041333584274,0.8181370892779014,0.9250606848080118,0.9512128917005188,0.3181370892779014,0.1250606848080118,0.0012128917005188589,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8494837352862725,0.8163375487694373,0.8037864425025143
6,1e-05,1e-05,0.05,25.143373515154863,19.498027530876367,3.774132677026697,3.774132677026697,3.7745239348024935,0.0,0.0,0.33445313411789973,4.619062423706055,0.16426253560427073,3.1359893212447294,0.08191639114473317,0.00023068334770426658,1.9111476460018673,0.0,0.0,0.0,0.0,0.7415095116641071,47.475372623752904,46.51820755004883,47.62135314941406,48.27689743041992,0.9998746514320374,0.0005465621361508965,0.9955397844314575,1.0123900175094604,0.25591641664505005,0.00474128220230341,0.0,0.0,1.2029845166850734,1.013910873516186,0.1571704710629993,0.25668703220986033,0.25629780099198624,0.24339530355221517,0.2567136174923665,0.2562988795138694,0.24342513366325483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.71631114547317,19.131999685957624,3.790516486039033,3.790516486039033,3.7912615376549796,0.0,0.0,0.3336539896758827,4.457324543514767,0.15872277561071757,2.926862059412776,0.076669783709017,0.00023637260971087458,1.9177637873469173,0.0,0.0,0.0,0.0,0.7819803663202234,45.18177537660341,43.44450378417969,45.35194778442383,46.70027160644531,0.9995068311691284,0.001246351865120232,0.9788061380386353,1.0165278911590576,0.2638446092605591,0.007953068241477013,0.0,0.0,1.1633993193909928,0.8545623147809828,0.26546087784517325,0.26572903185277374,0.26438819153888804,0.23456097172724233,0.26586165621473984,0.2644360766217515,0.23462169838918223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.37626867036562,18.822186521581703,3.7549411670581714,3.7549411670581714,3.7560056609076424,0.0,0.0,0.33409623680887995,4.492151563232009,0.1544664703510903,2.907814505937937,0.08132640000533413,0.0002412402001838829,1.9190807568060386,0.0,0.0,0.0,0.0,0.8309670654503075,42.29980932699667,39.479488372802734,42.68750762939453,44.648826599121094,0.9985932111740112,0.0040168482810258865,0.951396107673645,1.0226972103118896,0.2693536877632141,0.010841690003871918,0.0,0.0,1.05798124300467,0.6883046675372768,0.3494169465779096,0.27193600744814483,0.27044165617710836,0.22799696390693253,0.2723485215290173,0.2706501057019105,0.22811449943362055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,23.28707349622572,17.862867303796715,3.756204295802761,3.756204295802761,3.756863278311652,0.0,0.0,0.33276307502308405,4.174656088287766,0.15438158125490756,2.5778477675205953,0.0795218820708829,0.00025881382690214023,1.9176334497090932,0.0,0.0,0.0,0.0,0.8968685366011955,38.83527951627164,34.367431640625,39.556671142578125,42.355308532714844,0.9949348568916321,0.01242824550718069,0.8098230361938477,1.0668786764144897,0.272783100605011,0.012973732315003872,0.0,0.0,0.8792662556106979,0.5101298875099903,0.4198231943341468,0.2757864521967398,0.27465942904755875,0.22245403359065186,0.27733806017282847,0.2757355385535472,0.22284719307680387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,23.31452738272177,18.011720012974095,3.739807470424755,3.739807470424755,3.7382047627423263,0.0,0.0,0.3339565815152349,3.966352140581286,0.16411677647281336,2.261285108488959,0.0772795599658747,0.00030204431213614707,1.9079342017302643,0.0,0.0,0.0,0.0,1.0087155103683472,35.429307061272695,27.507347106933594,36.79893112182617,41.05216979980469,0.9843944907188416,0.03016609512269497,0.6913465857505798,1.24609375,0.2741628587245941,0.01609569787979126,0.0,0.0,0.7375420509157954,0.3942443035744332,0.465461931174086,0.27738360617611857,0.27699798103925344,0.21756613939195066,0.2822464503146507,0.28085457956468735,0.2187760045399537,250.47972553378932,371.5371824337563,0.6917094236679355,-102.28368052807483,250.47972506949176,325.0102520481348,391.7301189047263,430.06140026440545,205.21413094656808,150.5743784645731,537.5373110563859,0.10697542999834986,0.6224119566656581,-0.02570982911628343,0.5050126698019743,0.6848478391850998,0.44087635857407875,0.2904517870692238,0.9087372345493782,0.8135423267777652,0.9182674117520665,0.9513140979229888,0.31354232677776517,0.11826741175206645,0.001314097922988866,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8510016284801147,0.8183147342322947,0.8053138726032697
