epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.63194841951937,19.00306173273035,3.7912499969070024,3.7912499969070024,3.7912499969070024,0.0,0.0,0.33203229147034724,4.492720623274107,0.17311757964056892,3.1142322952682906,0.07432894136857342,0.00022672831373465424,1.914389893815324,0.0,0.0,0.0,0.0,0.6940944275340518,49.97808806960647,49.9067497253418,50.00431823730469,50.00431823730469,1.0000009536743164,0.0005272921407595277,0.9896172881126404,1.0037356615066528,0.2500012516975403,0.00013182303518988192,0.0,0.0,0.0,0.0,0.0,0.2500012935818853,0.25000119773117274,0.250001059190647,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.18347186011237,19.504291173574085,3.7807358084498226,3.7807358084498226,3.780735802006077,0.0,0.0,0.33355142619158773,4.648372798352628,0.17259353640917185,3.241987924318056,0.08125293687791438,0.00022631478094734957,1.9135327854671993,0.0,0.0,0.0,0.0,0.696896843008093,49.79780980702993,49.71218490600586,49.80937194824219,49.9067497253418,1.0000032186508179,0.00045504607260227203,0.9902769327163696,1.003370761871338,0.25000178813934326,0.00011376154725439847,0.0,0.0,0.0,0.0,0.0,0.2500018992939511,0.2500015642191913,0.250001147792146,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.925451304461504,19.29516312882707,3.783257587535961,3.783257587535961,3.783257587535961,0.0,0.0,0.33223288929140243,4.512095973298356,0.1716168756420548,3.134932772533314,0.07706435447609103,0.00023029031305938857,1.9156136512756348,0.0,0.0,0.0,0.0,0.7021795865651723,49.53992936417863,49.3253173828125,49.61518478393555,49.71218490600586,1.000003695487976,0.0003410947974771261,0.9932488203048706,1.0030632019042969,0.2500019669532776,8.527369209332392e-05,0.0,0.0,0.0,0.0,0.0,0.25000210066099426,0.2500016866503535,0.25000120659132263,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,25.77824541040369,20.10039473868705,3.78177919903317,3.78177919903317,3.7817791925894246,0.0,0.0,0.3338603997552717,4.650951443491755,0.16999796798100342,3.227663797301215,0.08112438586918083,0.00023599703618438562,1.9164203437598977,0.0,0.0,0.0,0.0,0.713178500935838,49.02632398863096,48.65553665161133,49.037147521972656,49.3253173828125,0.9999960064888,0.0002816134365275502,0.9952447414398193,1.0040168762207031,0.25,7.040335913188756e-05,0.0,0.0,0.0,0.0,0.0,0.2499998441419086,0.25000033225562124,0.25000101972270655,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,25.127922367405247,19.522264068191117,3.798080283242303,3.798080283242303,3.798080289686048,0.0,0.0,0.3317915338116723,4.433356575063757,0.16746898317659223,3.018323927312284,0.07711036734887071,0.00024091061503576065,1.9201525288659174,0.0,0.0,0.0,0.0,0.7279281277914305,48.19920318191116,47.52843475341797,48.27689743041992,48.75066375732422,0.9999554753303528,0.00041573637281544507,0.9957107305526733,1.008392572402954,0.24998991191387177,0.00010393407865194604,0.0,0.0,0.0,0.0,0.0,0.24998839642550494,0.24999325138491554,0.24999984615557902,0.25,0.25,0.25,251.95505005972726,368.780271674003,0.7227230805324845,-83.6631406218141,251.9550505252555,328.7115765023539,396.8452342545016,436.36886196951826,218.77752140590124,159.36988863094834,516.6448006007982,0.10643183279706239,0.5491324576163872,0.5644996455362729,0.564499644421817,0.7206345798590764,0.4231257267719057,0.33798768660800393,0.9094431960301609,0.8180690994566523,0.925035253500827,0.9512051066064827,0.3180690994566523,0.125035253500827,0.0012051066064827642,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8496142213161175,0.8163906114769506,0.8038257545494771
6,1e-05,1e-05,0.05,24.192498361742174,18.57710516130602,3.777617660728661,3.777617660728661,3.7780145245629386,0.0,0.0,0.3350632416235434,4.51520569260056,0.1628349963072184,3.0698287615904936,0.08014112368628785,0.00024933177652152106,1.936906798465832,0.0,0.0,0.0,0.0,0.7598286512735728,46.463703877217064,45.08699035644531,46.60914993286133,47.62135314941406,0.9997676610946655,0.0007119778892956674,0.9936028718948364,1.013838768005371,0.25596386194229126,0.004683052655309439,0.0,0.0,1.2840260235038963,1.0754075598072361,0.16247214610758012,0.25681214356744614,0.2560330146067851,0.24340094384309408,0.2568685718484827,0.2560506769128748,0.24343844603847814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,25.132260271020836,19.517381075266247,3.793946633467803,3.793946633467803,3.79463191934534,0.0,0.0,0.33362522157462865,4.564864519480112,0.15803226707754908,2.9529033126057804,0.07708082559543687,0.00024579179070487216,1.9237168125204138,0.0,0.0,0.0,0.0,0.799225264304393,43.99720764160156,41.86185073852539,44.30137252807617,45.88654327392578,0.999294102191925,0.001686149276793003,0.9757527112960815,1.0167157649993896,0.2601538896560669,0.005824672523885965,0.0,0.0,1.1486265884863365,0.8340069522728791,0.2739094143972969,0.26183668020609263,0.2592598095133498,0.23874003581098607,0.26202192902565,0.2593422628737785,0.23882646174044223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.464240357682513,18.94054874213966,3.751673292469334,3.751673292469334,3.752618100192096,0.0,0.0,0.3331263854696944,4.443631533029917,0.15357367170823588,2.8301594257354736,0.07856772870228097,0.0002502432978724608,1.920356212435542,0.0,0.0,0.0,0.0,0.8516916600433556,40.862345618170664,37.59808349609375,41.21284866333008,43.69981002807617,0.9982184767723083,0.004910167306661606,0.9464467763900757,1.0261144638061523,0.2646176517009735,0.008320286870002747,0.0,0.0,1.0260528229378365,0.6546202640275698,0.36200140051928886,0.26691285500655304,0.2640576008203867,0.2329791466126571,0.26742099668528585,0.2643189269143182,0.2331377018142391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,24.480241337338008,19.00601545540062,3.7761312239878886,3.7761312239878886,3.7770308739430196,0.0,0.0,0.3316343265610772,4.282720301602338,0.1537017258437904,2.6307394762296936,0.07693337870610727,0.0002587683997557473,1.914195502126539,0.0,0.0,0.0,0.0,0.9050455045055699,37.88914964005754,32.98634719848633,38.41459655761719,42.02569580078125,0.9960904121398926,0.01157472189515829,0.837435781955719,1.0810680389404297,0.267530232667923,0.010407875292003155,0.0,0.0,0.898391754240603,0.5060925298445934,0.4366683270903507,0.2701751831415537,0.26760555924596013,0.22842861228698008,0.2713464047457721,0.2683159233750524,0.22871497394265355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,23.36396629745896,17.989177781182367,3.7815867436898722,3.7815867436898722,3.7811318217097103,0.0,0.0,0.3333701410809079,4.048901950990832,0.157120401794846,2.3336122325948767,0.07655845250229577,0.00028574253775405923,1.9195931505512547,0.0,0.0,0.0,0.0,1.015936418159588,33.72795651410077,26.453556060791016,34.5019416809082,39.866920471191406,0.9905861020088196,0.027349017560482025,0.6885364055633545,1.1779749393463135,0.27114561200141907,0.013537001796066761,0.0,0.0,0.7181070833592802,0.3661250133772154,0.4901526222739717,0.27422158540906133,0.27224769382863434,0.22217797467837463,0.2771747321695895,0.27433498566215103,0.22283068097926476,252.20873396737235,368.35499056373044,0.7277957706915215,-80.60165725959526,252.2087338411935,329.3612863623614,397.6728074089646,437.442044297767,220.95260729108537,160.83520989824635,513.2082446554433,0.10707418270897898,0.6156657328976815,0.09708087894093727,0.49419653917642603,0.6798894862433901,0.43038622427882084,0.27569253602060706,0.9086667609548287,0.8134162082543795,0.9176866437369697,0.9512980087286474,0.31341620825437955,0.11768664373696969,0.0012980087286474928,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,0.8516923046701557,0.818493148291504,0.8053814149819888
