epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,25.18082992450611,19.14468762681291,3.7454342584352234,3.7454342584352234,3.7454342584352234,0.0,0.0,0.3319352526922484,6.016001346948984,0.17327633177911914,4.150082613970782,0.08189970375718297,0.00027730775134940003,0.0,0.6640841026563902,0.0,0.0,0.0,2.12562099662987,50.00354467855917,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.0070849317125976086,0.9140052795410156,1.019587516784668,0.329094260931015,0.009396559558808804,0.0,0.0,0.0,0.0,0.0,,0.32518948171589823,0.34578336251748576,,0.3290441447013133,,0.32524572353105285,0.34569665628510554,,0.329057626627587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.328339344746357,19.23197302947173,3.7769079917186015,3.7769079917186015,3.7769079917186015,0.0,0.0,0.3336613323237445,6.033054525787766,0.17324714523714943,4.276214135659708,0.08044194470386247,0.0002763237461221178,0.0,0.6637341057932055,0.0,0.0,0.0,2.1302525030600057,49.92775922208219,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.006647653877735138,0.9244024157524109,1.0194567441940308,0.3282564878463745,0.00941784493625164,0.0,0.0,0.0,0.0,0.0,,0.3242417759186513,0.34481261710862854,,0.3309711894473514,,0.3243038557671212,0.3447356997309504,,0.330960442890992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,25.222148122014225,19.17963437776308,3.7889044542570374,3.7889044542570374,3.7889044542570374,0.0,0.0,0.33335233620695165,5.954446476859015,0.17319568307013125,4.028746327838382,0.08032666378327318,0.00027580274114813154,0.0,0.6553934925311321,0.0,0.0,0.0,2.1374241081443994,49.77221689997493,49.71218490600586,49.71218490600586,49.9067497253418,1.0000001192092896,0.005827535875141621,0.9387381076812744,1.0174458026885986,0.32700297236442566,0.009367271326482296,0.0,0.0,0.0,0.0,0.0,,0.32287292464359385,0.3431100136524922,,0.3340418338775635,,0.3229349183069693,0.3430456092228761,,0.3340194644154729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.29963310344799,19.256213497471165,3.810975931786202,3.810975931786202,3.810975931786202,0.0,0.0,0.33226472864279877,5.833092650851688,0.17312480630101384,4.046218156814575,0.08108770575475048,0.0002715673779036749,0.0,0.6510467384312604,0.0,0.0,0.0,2.1477126044196053,49.608182133855045,49.518367767333984,49.61518478393555,49.71218490600586,0.9999999403953552,0.004842930939048529,0.9368107318878174,1.015417456626892,0.3249557912349701,0.009746517986059189,0.0,0.0,0.0,0.0,0.0,,0.32054679538752584,0.3407937755455842,,0.3386998361832387,,0.3206162976252066,0.3407425550190178,,0.3386411457448392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,26.207635544441843,20.118680696229678,3.749977814184653,3.749977814184653,3.749977814184653,0.0,0.0,0.3326823437536085,6.1190571913848055,0.17306000034551364,4.285945415496826,0.08343883573606208,0.0002639912866446114,0.0,0.6514058966894407,0.0,0.0,0.0,2.160743726266397,49.34389908249314,49.133018493652344,49.3253173828125,49.518367767333984,1.0000001192092896,0.0038542994298040867,0.9588742256164551,1.0191419124603271,0.32182803750038147,0.010767081752419472,0.0,0.0,0.0,0.0,0.0,,0.31687400389362025,0.3378783174463221,,0.34528802697722977,,0.3169550049949337,0.3378200498787132,,0.3452249419044804,250.4555931510506,373.9688366515893,0.6740515311752127,-114.45488604870471,250.4555923168619,323.1540188259617,388.5003063444179,425.96306865628696,196.30939592633928,145.9328517470249,551.8133544921875,0.03310473726057557,0.2995282331377208,0.15401292398136018,0.3701199746070854,,0.4273374623600631,0.34460624933674017,0.1998974659475127,1.3583343338225526,0.7479797968975338,0.7940282131997317,0.832280820552821,0.2479797968975338,-0.0059717868002683305,-0.11771917944717891,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.333914679157865,2.176714709826878,2.16164080454753,,
6,6e-06,6e-06,0.05,26.691851538580817,20.585833033999883,3.793035668295783,3.793035668295783,3.7932782817531274,0.0,0.0,0.3343948584956092,6.091102909397435,0.17294028481921633,4.18568737442429,0.08159350986416275,0.00024891719206336985,0.0,0.6459782397424852,0.0,0.0,0.0,2.187975709502761,48.92691235928922,48.65553665161133,48.94146728515625,49.22907257080078,1.0000001192092896,0.00391356972977519,0.9611016511917114,1.0451312065124512,0.32086730003356934,0.010113764554262161,0.0,0.0,1.677129020562043,1.2345843830624141,0.2638703594499381,,0.31636338056744756,0.33377660851220825,,0.349921357792777,,0.3164653681419991,0.33373375921636017,,0.3498008702252362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,25.466268152803988,19.460110303517933,3.7713809593303784,3.7713809593303784,3.7721090059022644,0.0,0.0,0.3334486210668409,5.892989364830223,0.17281968086152463,3.9982347166216052,0.08039963195050084,0.0002382347986378984,0.0,0.645795375914187,0.0,0.0,0.0,2.2178323204452925,48.18731916272962,47.62135314941406,48.27689743041992,48.75066375732422,0.9999999403953552,0.006726762745529413,0.9639901518821716,1.0978609323501587,0.3247760832309723,0.007654255256056786,0.0,0.0,1.6206289948643864,0.9259108901023865,0.42867189650653736,,0.32267136992634954,0.3285257091393342,,0.34883756975869873,,0.3227396961804983,0.32852887221284816,,0.34873142677384456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,25.008989617631244,19.01165893915537,3.748938090092427,3.748938090092427,3.750212604935105,0.0,0.0,0.334463175889608,5.972996718174702,0.17272149187487526,3.9827103872556946,0.07945288325081,0.000237331902246444,0.0,0.6597017307539244,0.0,0.0,0.0,2.2703054531200513,47.00999883703283,46.066139221191406,47.158565521240234,47.807735443115234,1.0000001192092896,0.013356716372072697,0.9565153121948242,1.1851664781570435,0.33600732684135437,0.011673199012875557,0.0,0.0,1.5844623945854805,0.7425631043073293,0.5313469686343707,,0.33965938880636887,0.31931329740060344,,0.3410374055037627,,0.3396162688732147,0.3193902099454725,,0.34099351957037644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,25.603889851956755,19.61964277319006,3.760323756449931,3.760323756449931,3.761734711157309,0.0,0.0,0.33352154090597824,5.924951224713712,0.1725398507472631,3.902150221773096,0.08086832421454224,0.0002437387829067538,0.0,0.6803492017694421,0.0,0.0,0.0,2.3544580227619893,45.20751118015598,43.529441833496094,45.35194778442383,46.60914993286133,0.9999998211860657,0.02520134672522545,0.9031150341033936,1.4186729192733765,0.34934210777282715,0.025461021810770035,0.0,0.0,1.4919280135953747,0.6083444324699608,0.5922427711482401,,0.35975203079146306,0.30875431202553416,,0.33155172741090927,,0.3594795127172728,0.3089504370818267,,0.33157004939543233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,24.423164290350837,18.588862032503695,3.7514240870604643,3.7514240870604643,3.751615369642103,0.0,0.0,0.3329180624033954,5.587102774027231,0.172748303896672,3.5418773599573083,0.0776692136518053,0.00025396561171431596,0.0,0.6895070301519858,0.0,0.0,0.0,2.452957765476124,42.790292379018425,40.415714263916016,43.10641860961914,44.823577880859375,0.9999999403953552,0.04997580498456955,0.8501033782958984,1.7229828834533691,0.35900869965553284,0.03990050405263901,0.0,0.0,1.1990863117011819,0.45528069138526917,0.620310325501633,,0.3744793687317822,0.3002407075585546,,0.3254474900864266,,0.37381337140057536,0.3006876948717478,,0.325498934533145,250.457241833865,373.588267924918,0.6766818490750444,-112.65357432522616,250.45724306016606,323.4997270922645,389.0157367573177,426.6065393525512,197.61811992100306,146.62005887290303,549.6935560806938,0.03184627487200326,0.30088032493060796,0.10597748407638477,0.3560532647763274,,0.43321815116058177,0.2744050367891537,0.13084693906098627,1.3562585111680487,0.731704599270134,0.7731308165884871,0.8328058269278984,0.23170459927013398,-0.026869183411512898,-0.11719417307210156,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3366353898258,2.1791418885791694,2.16347620513413,,
11,1e-05,1e-05,0.3,24.13393376324628,18.370208714459395,3.785744589728278,3.785744589728278,3.78167260015333,0.0,0.0,0.333227528913601,5.310444973610543,0.1720242057297681,3.2848814919188216,0.0796993668820407,0.00030169852638013055,0.0,0.7040801434903532,0.0,0.0,0.0,2.6608826276418327,39.26301585017024,34.30037307739258,40.101200103759766,43.19069290161133,1.0,0.13755415380001068,0.7129011154174805,2.9277122020721436,0.3674413561820984,0.078602135181427,0.0,0.0,0.9174687669083879,0.34944572239308747,0.6191197618959592,,0.3864599933495393,0.2970919149952966,,0.31747557343663396,,0.384211722257975,0.2980487048625946,,0.31773957126849406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-06,0.35,22.720415089581465,17.207543630857725,3.748596913105733,3.748596913105733,3.7373851054423564,0.0,0.0,0.33380941764728445,4.721139824068224,0.1693734329294514,2.8039306788831144,0.0798314803758183,0.00038119444916201,0.0,0.7089003421164848,0.0,0.0,0.0,2.8362106117042334,36.670958029257285,28.2147159576416,38.26483154296875,42.4381103515625,1.0000001192092896,0.22298207879066467,0.6109606623649597,3.0645642280578613,0.36938783526420593,0.11690587550401688,0.0,0.0,0.9910182550146773,0.4570329696745486,0.5388248729406304,,0.3886339237561097,0.29908317810780294,,0.3147569645095516,,0.3844033213886055,0.3004150511445226,,0.31518162666140376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
