epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,24.490792300250078,18.888524996267783,3.787303183529828,3.787303183529828,3.787303183529828,0.0,0.0,0.3324188549776335,4.578209606376854,0.17319806685318817,3.176669819934948,0.07764134767490465,0.00027665092351821224,0.0,0.8319322257428556,0.0,0.0,0.0,0.6929489116410952,50.00279472969674,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.009067041799426079,0.9015083312988281,1.0237103700637817,0.255000501871109,0.007718246895819902,0.0,0.0,0.0,0.0,0.0,,0.25704462141604034,0.2488458168667716,,0.24693116304036733,,0.25698087585938945,0.24895501136779785,,0.24704041432689977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.199121939169395,19.609273266147923,3.786376431181624,3.786376431181624,3.786376431181624,0.0,0.0,0.33120848117647944,4.563277785842483,0.17283431259361473,3.1397372129801155,0.0771517146479439,0.0002750878920778632,0.0,0.8272779664477786,0.0,0.0,0.0,0.6949265293172888,49.9236870843011,49.9067497253418,49.9067497253418,50.00431823730469,0.9999997019767761,0.008188514038920403,0.8891950845718384,1.0225950479507446,0.2536779046058655,0.0074887522496283054,0.0,0.0,0.0,0.0,0.0,,0.255543248878943,0.24749706604996244,,0.24823807985396,,0.2554792447670086,0.24760493193123792,,0.24833360999017148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.092736811251253,18.460981394793535,3.7697636758958972,3.7697636758958972,3.7697636758958972,0.0,0.0,0.3336514041230485,4.6971255637503955,0.17231593220620542,3.2812935887156307,0.08203751251504228,0.00027048315953564,0.0,0.8238243186796034,0.0,0.0,0.0,0.6979013616974289,49.73350885752085,49.61518478393555,49.71218490600586,49.80937194824219,1.0,0.00681074894964695,0.9095317125320435,1.0217396020889282,0.25176188349723816,0.00729920482262969,0.0,0.0,0.0,0.0,0.0,,0.25338312500231974,0.24549881751472885,,0.25004401682196437,,0.25330766391109777,0.2456201383390942,,0.2501345341270034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.267154538953626,19.645603875856143,3.8180037253611796,3.8180037253611796,3.8180037253611796,0.0,0.0,0.3316090904377602,4.568024203584001,0.1715159895452293,3.137924638954369,0.07722038765614098,0.000268402138907412,0.0,0.8150182785214605,0.0,0.0,0.0,0.7024386831232019,49.571932818438555,49.421749114990234,49.61518478393555,49.71218490600586,0.9999994039535522,0.00521015003323555,0.9329240918159485,1.0262326002120972,0.249005988240242,0.00728148128837347,0.0,0.0,0.0,0.0,0.0,,0.25029657177022985,0.24251878140745936,,0.2527427802214751,,0.25021573216528503,0.24264560962045514,,0.25282786263001933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.493803900641364,18.91278241131757,3.7840537896027437,3.7840537896027437,3.7840537896027437,0.0,0.0,0.33177720453288106,4.518108065063889,0.17028522410908262,3.1509832304877206,0.07930862400177363,0.00026992812274476965,0.0,0.8107545037527342,0.0,0.0,0.0,0.7095157536300453,49.239394729201855,49.037147521972656,49.22907257080078,49.421749114990234,0.9999998211860657,0.004519826266914606,0.9454730749130249,1.0460442304611206,0.24536223709583282,0.007682703901082277,0.0,0.0,0.0,0.0,0.0,,0.24622765827823329,0.23850129544734955,,0.2564283198601491,,0.2461363645018758,0.23864894863721486,,0.25649856151761236,256.3057045464987,394.71495572347555,0.5959935185772548,-180.59605381515,256.305704238858,319.31786641848515,375.91912357416805,407.63700230519487,150.6415843963623,128.99934372421382,629.3963433970575,0.10619878839682069,0.5389290377674749,0.023673093723014387,0.6418464881715391,,0.7192792359977481,0.4259915160100164,0.3420290661008002,0.9097006609616842,0.8181474694032829,0.9250876731340038,0.9511018243589364,0.31814746940328287,0.1250876731340037,0.0011018243589364651,0.0,0.0,0.4725274725274725,0.5274725274725275,0.7728937728937727,0.8772678255707353,0.7928092304494355,0.7634775242307684,,
6,6e-06,6e-06,0.05,25.400761423884212,19.843366184750117,3.7807979132678056,3.7807979132678056,3.78098455635277,0.0,0.0,0.3307590267142734,4.495597665374343,0.16836710435313149,3.0830235996761837,0.07765979158717233,0.0002343288518180064,0.0,0.795848272942208,0.0,0.0,0.0,0.7204490465086859,48.75176971023147,48.371280670166016,48.75066375732422,49.133018493652344,0.9999995231628418,0.006975232623517513,0.9539461135864258,1.1008220911026,0.24103347957134247,0.00867089256644249,0.0,0.0,1.7420311972901628,0.9413305327698991,0.4596362371499449,,0.2413467857483271,0.23398084817705928,,0.26057217169452357,,0.24125444526607925,0.23415262513869517,,0.2606380307996595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,24.914066185822357,19.347414248698467,3.828591604490538,3.828591604490538,3.8291241671587968,0.0,0.0,0.33306476232167836,4.378007656819111,0.16597571083017298,3.0083406197058187,0.0771558277711675,0.00021193615346517717,0.0,0.7810112157383481,0.0,0.0,0.0,0.7290188702377113,48.079423852868985,47.43569564819336,48.18269729614258,48.65553665161133,0.9999997019767761,0.010995372198522091,0.9497244954109192,1.1738580465316772,0.23716217279434204,0.01007837150245905,0.0,0.0,1.6978811380025502,0.4793999847528097,0.7176480885365195,,0.23711411534128962,0.22928685030421694,,0.264699745017129,,0.23702430443183795,0.2294821127040966,,0.2647506691314079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,25.446694915359085,19.902147860140413,3.775037900821583,3.775037900821583,3.7760339685388513,0.0,0.0,0.33427476399653666,4.489055768863575,0.16241809081386877,3.049566732870566,0.07761074894586124,0.0002066921179239462,0.0,0.791375598391971,0.0,0.0,0.0,0.7448417624911746,46.891303294413795,45.7970085144043,46.974708557128906,47.807735443115234,1.0000003576278687,0.019360054284334183,0.9262363910675049,1.3628709316253662,0.23890292644500732,0.011469893157482147,0.0,0.0,1.7764967067821607,0.2526437829475145,0.8577853918991281,,0.23934128880500793,0.2294906269054155,,0.26550973830996333,,0.2392103023625709,0.22970352905827598,,0.26554558083817764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,25.28341548507278,19.792430130211084,3.793996327632182,3.793996327632182,3.795956225008578,0.0,0.0,0.3339503036962973,4.304658644908184,0.1571764233144554,2.8701350076778516,0.07660139503108489,0.00021326796755798764,0.0,0.8200952265713666,0.0,0.0,0.0,0.7754399083756112,44.79768124142208,42.93836212158203,44.99901580810547,46.42744064331055,0.9999997019767761,0.03564605116844177,0.8810601830482483,1.6359771490097046,0.25379276275634766,0.017275383695960045,0.0,0.0,1.847149810275516,0.12858357340902896,0.9303881186605812,,0.2565073064855627,0.2432621475812551,,0.25205405821671356,,0.2561456174463839,0.2434142006410135,,0.2521426069575387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,28.227245975185085,22.725022728378708,3.758694352330388,3.758694352330388,3.7613466301479854,0.0,0.0,0.33302277648771134,4.510091659185049,0.15417719410883413,2.880169349747735,0.07903371127070608,0.00022929367991604817,0.0,0.879921373483297,0.0,0.0,0.0,0.8193094327643111,41.925612372321055,38.94340133666992,42.27266311645508,44.38798141479492,1.0,0.06466510891914368,0.7793657779693604,2.1034438610076904,0.2735477685928345,0.031025893986225128,0.0,0.0,1.7305975121420782,0.061156080381290334,0.9646618696997933,,0.27887131152926264,0.2639895621183756,,0.23057470651897224,,0.2780026068558564,0.2639376247251356,,0.23081476422580513,255.9996545812586,394.07226800353214,0.5973185549610992,-179.01595700442135,255.9996536151868,319.3674238002,376.2281067311971,408.08824577528736,151.68312399727958,129.17499997634297,627.5343536708666,0.10665639997045322,0.5841044235650513,0.11304449185366466,0.6219312278208581,,0.6919087028756267,0.4554200616601843,0.3314756458370423,0.9089881930872887,0.8143909020277056,0.9205245700162812,0.9513140979229888,0.3143909020277056,0.12052457001628114,0.001314097922988866,0.0,0.0,0.4725274725274725,0.5274725274725275,0.8516483516483516,0.878693156681218,0.7933884993359283,0.7639593550792108,,
