epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,24.49077188646471,18.888502520483893,3.7873035959295325,3.7873035959295325,3.7873035959295325,0.0,0.0,0.33241878892924337,4.578214626054506,0.1731981163894808,3.176672661626661,0.07764133287442697,0.00027665341543537135,0.0,0.831932586592597,0.0,0.0,0.0,0.6929483542571196,50.002819473679004,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.00906691700220108,0.9015048146247864,1.0237033367156982,0.9999998211860657,0.00906691700220108,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0000000064437453,,0.25698105467332377,0.24895501982521367,,0.24704057864240697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.199142533379632,19.609284942214554,3.7863755677197433,3.7863755677197433,3.7863755677197433,0.0,0.0,0.3312082733656909,4.563301021988328,0.1728348961553058,3.139762188937213,0.07715156936162226,0.00027510564934739187,0.0,0.8272834694063341,0.0,0.0,0.0,0.6949158246452743,49.923989373284414,49.9067497253418,49.9067497253418,50.00431823730469,0.9999997615814209,0.008192881010472775,0.8892096877098083,1.0226207971572876,0.9999997615814209,0.008192881010472775,0.0,0.0,0.0,0.0,0.0,,1.0000000064437453,1.0,,1.0000000032218728,,0.25548053351608485,0.24760764233163884,,0.24833282788057584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.092511460587787,18.46074658471185,3.7697609566353463,3.7697609566353463,3.7697609566353463,0.0,0.0,0.3336510634100115,4.697143528912519,0.1723166482674109,3.2813356244886243,0.08203725255018957,0.00027050978403437783,0.0,0.8238329919608863,0.0,0.0,0.0,0.6978843051034052,49.73381784799937,49.61518478393555,49.71218490600586,49.80937194824219,0.9999998211860657,0.006817582529038191,0.9095441699028015,1.021775245666504,0.9999998211860657,0.006817582529038191,0.0,0.0,0.0,0.0,0.0,,1.0000000257749815,1.0,,0.9999999983890636,,0.2533141712884645,0.24562549872978315,,0.2501317113637924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.26633118294381,19.644802634780472,3.8179932413874447,3.8179932413874447,3.8179932413874447,0.0,0.0,0.33160655724035726,4.568016967257938,0.17151187320013303,3.137885296666944,0.07721948694135691,0.00026857984139005075,0.0,0.8150064284737045,0.0,0.0,0.0,0.7024573619301254,49.570794285954655,49.421749114990234,49.61518478393555,49.71218490600586,1.0000001192092896,0.005207291804254055,0.9329105019569397,1.0261212587356567,1.0000001192092896,0.005207291804254055,0.0,0.0,0.0,0.0,0.0,,1.0000000064437453,1.0,,1.0000000016109363,,0.2502151723649051,0.24263581553020994,,0.2528396272981489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.493259790781384,18.912422876100283,3.7840130393569535,3.7840130393569535,3.7840130393569535,0.0,0.0,0.3317713520011386,4.518071503252597,0.17025129255410787,3.1503882988079175,0.07930698870001612,0.00027030449426682616,0.0,0.8105494251122346,0.0,0.0,0.0,0.7098139218381934,49.22885987565324,49.037147521972656,49.22907257080078,49.421749114990234,1.0,0.004531403537839651,0.948816180229187,1.0456128120422363,1.0,0.004531403537839651,0.0,0.0,0.0,0.0,0.0,,1.0000000080546818,1.0000000032218728,,1.0,,0.24602787075815974,0.23854025594286016,,0.2566212866757367,250.485872897473,371.5984231958635,0.6913547567871655,-102.50383249219958,250.48587253217963,324.9255834156158,391.72467021396574,430.07731027275486,205.01047025408064,150.49256447488946,537.8220599630605,0.10619798538047334,0.5387010735379298,0.6414458795626904,0.6414458795626904,,0.7189458382720025,0.426078406423458,0.3426050229045888,0.9096972545437698,0.8181433173531303,0.925082483071313,0.9511163565344706,0.3181433173531303,0.12508248307131298,0.0011163565344706194,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,0.8772702870460657,0.823185533612639,0.8071629237997663,,
6,6e-06,6e-06,0.05,25.24367886620599,19.686623057803594,3.7808500302804484,3.7808500302804484,3.7811866902016305,0.0,0.0,0.3303559736625568,4.495526062475668,0.1683484440719759,3.082259149164767,0.07751472747406445,0.0002540136700043002,0.0,0.7968054510451652,0.0,0.0,0.0,0.7208954418027723,48.73475719142605,48.27689743041992,48.75066375732422,49.133018493652344,0.9999998211860657,0.007131078280508518,0.9569488763809204,1.108458161354065,0.9999998211860657,0.007131078280508518,0.0,0.0,6.985330568777548,5.561226909225051,0.20387061793722938,,1.0,0.9999999983890636,,1.0000000032218728,,0.24219820547748255,0.23441427986364108,,0.25970787857029887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,24.376372311566328,18.81046420174676,3.8285065921577246,3.8285065921577246,3.829324077915501,0.0,0.0,0.3324149806757231,4.377895007262358,0.16594902446141113,3.0060940046568176,0.0768980244929726,0.00024117562311034448,0.0,0.7863278421195777,0.0,0.0,0.0,0.7303606851680858,48.02895025304846,47.43569564819336,48.08868408203125,48.56059646606445,0.9999997615814209,0.011377555318176746,0.9510039687156677,1.1832295656204224,0.9999997615814209,0.011377555318176746,0.0,0.0,6.632008861851048,4.309957697584823,0.3501278741684495,,1.0000000257749815,1.0000000064437453,,1.0000000032218728,,0.2410836626549025,0.2314639425760991,,0.2604883506491378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,24.14088130641628,18.598686604886442,3.7750764279752165,3.7750764279752165,3.7764942774901518,0.0,0.0,0.33351444231497274,4.4880294542054875,0.16246035815896215,3.0382883323205485,0.07726371509803308,0.0002380889668160848,0.0,0.8036842765034856,0.0,0.0,0.0,0.7514918124353563,46.7845012561695,45.70764923095703,46.883052825927734,47.714454650878906,0.9999997615814209,0.021764788776636124,0.9303311705589294,1.4399449825286865,0.9999997615814209,0.021764788776636124,0.0,0.0,6.393083495062751,3.497307571204933,0.4529544977934618,,1.000000009665618,1.0000000032218728,,1.0,,0.24724950097702644,0.23580969789543668,,0.2551867027540465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,23.5249439187952,18.040168813756996,3.793833094674188,3.793833094674188,3.795843369251973,0.0,0.0,0.3331322790803136,4.306795133126749,0.1570335654793559,2.840367272093489,0.07619779546921318,0.0002448534454546265,0.0,0.8220901682570174,0.0,0.0,0.0,0.7942835463059915,44.47337093868771,42.4381103515625,44.73611831665039,46.15619659423828,0.9999997615814209,0.043571535497903824,0.8814531564712524,1.8451259136199951,0.9999997615814209,0.043571535497903824,0.0,0.0,5.973216417673472,2.840016139520181,0.5245415633833089,,1.000000009665618,1.0,,0.9999999967781273,,0.25797454167056727,0.2456298716164924,,0.24533783302113815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,25.61514153351655,20.13291432406451,3.7582594897295976,3.7582594897295976,3.7602274031252474,0.0,0.0,0.33214363939053304,4.4955662714468465,0.15448836337875677,2.8073739264462447,0.07853221782558673,0.0002657011178057842,0.0,0.851065410150064,0.0,0.0,0.0,0.8574478175189044,41.25596360902529,37.89297103881836,41.69865036010742,44.04254913330078,0.9999997615814209,0.08223682641983032,0.7751173973083496,2.362666368484497,0.9999997615814209,0.08223682641983032,0.0,0.0,5.188238646533038,2.1920382912094527,0.5774985615447259,,1.000000009665618,1.0000000064437453,,1.000000004832809,,0.2662677829330032,0.2544753084311614,,0.23691467578346664,250.52744305788815,371.40831077927066,0.6929901548221369,-101.45388638842236,250.52744242651542,325.18338770768077,392.12562835947045,430.55924349587394,205.7820450919015,150.94632972303287,536.5966040569803,0.10661889392981179,0.5850619411469796,0.6151227763322286,0.6151227763322286,,0.6856333257973154,0.4639327951228118,0.33213832677337085,0.9089695758699134,0.8139705069497535,0.9194741013276699,0.9513187689794105,0.3139705069497535,0.11947410132766989,0.0013187689794105228,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,0.8778098184656311,0.8240044603308478,0.8078463997814681,,
