epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,24.071572999696475,18.477474728146113,3.783913683246922,3.783913683246922,3.783913683246922,0.0,0.0,0.33295524281424443,4.570543933559108,0.17318906735729528,3.1618174475592538,0.07736560913759309,0.0002771609170186157,0.0,0.823817939371676,0.0,0.0,0.0,0.6929710620158428,50.0012258581213,50.00431823730469,50.00431823730469,50.00431823730469,0.9999997615814209,0.009122582152485847,0.9043081402778625,1.0228317975997925,0.24969883263111115,0.002368329092860222,0.0,0.0,0.0,0.0,0.0,0.24966819745463295,0.24964185743718534,0.25033923339199377,1.0,0.25035811356596044,0.24966725868147774,0.2496417466853116,0.2503365503775107,0.0,0.2503544519076476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.157715256149704,18.569352626800537,3.785747734276024,3.785747734276024,3.785747734276024,0.0,0.0,0.33352609824489904,4.523853791726602,0.1728295857036436,3.165734771135691,0.07918472265875018,0.00027567885951390743,0.0,0.8203347196450105,0.0,0.0,0.0,0.6951369417680276,49.914172610721074,49.9067497253418,49.9067497253418,50.00431823730469,0.9999998211860657,0.008108488284051418,0.8884680271148682,1.0215568542480469,0.24863769114017487,0.0024928241036832333,0.0,0.0,0.0,0.0,0.0,0.24851432805125778,0.24831773018514788,0.25152203923947103,1.0,0.25166248872473435,0.24851353949791677,0.24832041561603546,0.2515150187788783,0.0,0.2516510261071695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.126722078065615,18.544112115292936,3.7944036883276864,3.7944036883276864,3.7944036883276864,0.0,0.0,0.3321121987458822,4.47812244698808,0.17238279532741857,3.147387926642959,0.07798114217616417,0.0002746005783272857,0.0,0.815541642743188,0.0,0.0,0.0,0.6979257432190148,49.72847129203178,49.61518478393555,49.71218490600586,49.80937194824219,1.0000001192092896,0.00684730987995863,0.8869500756263733,1.0206398963928223,0.24726323783397675,0.0027790237218141556,0.0,0.0,0.0,0.0,0.0,0.24703237172719594,0.24655076458647446,0.25303971284144633,1.0,0.2534077054745442,0.2470331083278398,0.24655855950471517,0.2530254045048276,0.0,0.25338293088449015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.17838851825611,19.549587352855784,3.795465456472861,3.795465456472861,3.795465456472861,0.0,0.0,0.333024823182338,4.625963430146913,0.1717323189651644,3.215839640514271,0.08128172702885963,0.00027191528116000464,0.0,0.8121630968274297,0.0,0.0,0.0,0.7013986352327708,49.59853466137035,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005560431629419327,0.9162468910217285,1.0209407806396484,0.2451685070991516,0.0035747531801462173,0.0,0.0,0.0,0.0,0.0,0.24475049167066007,0.24396713964036992,0.25531064255817515,1.0,0.25601074824462067,0.24475358909851797,0.24398101544058,0.25528931295549545,0.0,0.2559760889491519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.80993783796156,19.194333643526644,3.7769736405965446,3.7769736405965446,3.7769736405965446,0.0,0.0,0.3333283300335343,4.65145341770069,0.17099055768670263,3.219624980075939,0.07992172150595768,0.0002735627758492892,0.0,0.8130004776490701,0.0,0.0,0.0,0.7055175626600111,49.37602089546822,49.133018493652344,49.421749114990234,49.61518478393555,0.9999998211860657,0.00473489984869957,0.9393779039382935,1.0269949436187744,0.24323727190494537,0.004371552728116512,0.0,0.0,0.0,0.0,0.0,0.24268379082550873,0.24143670056317304,0.25734883627376043,1.0,0.25858334915058034,0.24269080524509018,0.24145722067033923,0.25732053373311015,0.0,0.25853143672685364,251.13256861089351,370.1705970417911,0.7065823889723081,-93.40593006846669,251.13257023953105,326.71306223959897,394.016501133456,432.79240955290896,211.83986009870256,154.73492461211922,527.4444172071373,0.11956886188143963,0.5133104921859734,0.5567175304122889,0.5850427764563554,0.6612172347489733,0.35075804243777087,0.28811615319439154,0.22312710654234788,0.961621233148385,0.7882600732600733,0.9166666666666666,0.9491391941391941,0.2882600732600733,0.11666666666666659,-0.0008608058608058355,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,0.8773944405736503,0.8528747085359071,0.8330039516255096,-8.000146865844727,0.00033535712282173336
6,6e-06,6e-06,0.05,24.918616191760915,19.312109715229756,3.795405484534599,3.795405484534599,3.795682919991983,0.0,0.0,0.3327435673894109,4.5703598615285514,0.169774559301299,3.1660241532970117,0.08049372493012531,0.00025459327986715615,0.0,0.8037924315478351,0.0,0.0,0.0,0.7123320698738098,49.036990913184916,48.75066375732422,49.037147521972656,49.3253173828125,1.0000001192092896,0.005146495997905731,0.940679669380188,1.0499383211135864,0.24141651391983032,0.005195288918912411,0.0,0.0,1.7974089674047522,1.4169992981730282,0.21164335781688626,0.2409039896887702,0.23837294852411425,0.25902803201933167,1.0,0.2617520875221974,0.2409188598394394,0.23840452851475896,0.2589958479275575,0.0,0.2616807608991056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,24.431710372100007,18.885294063671214,3.8016635018426017,3.8016635018426017,3.802248445717064,0.0,0.0,0.3323114312983848,4.402721643447876,0.16758356585695938,3.0185234868848645,0.07522557232830976,0.00024536431206994365,0.0,0.798813334993414,0.0,0.0,0.0,0.7230335055170832,48.48883118500581,47.99485397338867,48.56059646606445,48.845970153808594,0.9999995827674866,0.008198734372854233,0.94572514295578,1.1134486198425293,0.24302083253860474,0.004531067330390215,0.0,0.0,1.7481668478733785,1.1167680766131427,0.3611776370363755,0.24306223763001933,0.23864218632917147,0.2570126338585003,1.0,0.2613019725760898,0.24307514082741094,0.2386691674992845,0.2569992034821897,0.0,0.26125648537197627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,25.411651070053512,19.788338996268607,3.800979079426946,3.800979079426946,3.8020144926535115,0.0,0.0,0.333939632048478,4.62084792111371,0.1650822718401213,3.170688406841175,0.07985440661778322,0.0002370170090265723,0.0,0.811682225884618,0.0,0.0,0.0,0.7331442865165504,47.746110864587735,47.06654739379883,47.807735443115234,48.27689743041992,1.0000001192092896,0.013407744467258453,0.9345560669898987,1.204613208770752,0.24560800194740295,0.004761568736284971,0.0,0.0,1.6531599341212093,0.8882350019506506,0.4627047367786465,0.24618557860722412,0.2405459308946455,0.254081330589346,1.0,0.25918969350892146,0.2461922180813712,0.24057439493166433,0.2540799935121794,0.0,0.2591533975021259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,24.829579276007575,19.249643673767913,3.7880940179567077,3.7880940179567077,3.789583109520577,0.0,0.0,0.33311910564835007,4.549791909552909,0.16211371244610967,3.0827170835958944,0.08283231991368371,0.00023798950604867895,0.0,0.8223427131369307,0.0,0.0,0.0,0.7516010339195663,46.566221494932435,45.35194778442383,46.70027160644531,47.52843475341797,1.0000001192092896,0.024523835629224777,0.909945547580719,1.3339879512786865,0.25089943408966064,0.008142296224832535,0.0,0.0,1.5236580017450694,0.7189364401069848,0.5281510422394162,0.2522041757364531,0.24600447835148992,0.24820137144746007,1.0,0.2536013041799133,0.2521669188061276,0.24600699503679532,0.24822748754475568,0.0,0.2535985974041191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,24.247991896964407,18.732471801139212,3.7421826220847465,3.7421826220847465,3.743474799233514,0.0,0.0,0.33379441499710083,4.540229984231897,0.15935672014146238,3.0001071111575977,0.0810397753643023,0.00024816793754596164,0.0,0.8376028650515789,0.0,0.0,0.0,0.7857777798497999,44.8398014790303,43.022308349609375,45.08699035644531,46.336849212646484,1.0000001192092896,0.048942651599645615,0.8397195339202881,1.7984176874160767,0.2560040056705475,0.016498472541570663,0.0,0.0,1.3001173638008736,0.5621441409394548,0.5676204652047452,0.257980773577819,0.25141564776768555,0.24242375025878082,1.0,0.24823063168976758,0.25781064983960744,0.251315834151732,0.24254839041748563,0.0,0.2483251308267181,251.18577280149356,370.065441042961,0.7077214565245584,-92.73814163627205,251.18577198004658,326.9139068998405,394.3395738148733,433.1689301508426,212.34041322980607,155.04944527796073,526.6967242697011,0.11963634383848952,0.5436565235071009,0.5298826316355394,0.5615715916421892,0.6327259829771689,0.3478469139506088,0.25538168210024725,0.18829085808332738,0.9602703318176723,0.7846336996336997,0.9135531135531135,0.9493956043956044,0.28463369963369967,0.11355311355311348,-0.0006043956043955134,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,0.8776844035793137,0.8531600290929878,0.8332686763215851,-8.000536918640137,0.0003352263302076608
