epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,25.360927968411833,19.472772546716637,3.784810439960377,3.784810439960377,3.784810439960377,0.0,0.0,0.3333042384804906,5.242530597222818,0.17328016661308906,3.9869658657022424,0.08074960263596999,0.0002774457640731959,0.0,0.6609799813579869,0.0,0.0,0.0,2.0880370011200777,50.003684791358744,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.006566471885889769,0.9073916673660278,1.0191020965576172,0.26549607515335083,0.08181165903806686,0.0,0.0,0.0,0.0,0.0,1.0,0.3330561035388225,0.1665468441473471,0.1665469794660001,0.33385620648796493,0.0,0.3330558047101304,0.16654637174026385,0.16654637174026385,0.3338514566421509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.50036536036311,19.656178036251582,3.820151167946893,3.820151167946893,3.820151167946893,0.0,0.0,0.33197122328990214,5.057023170832041,0.17325695100668315,3.7912622947950623,0.07628432560611416,0.0002758187466817027,0.0,0.6576755433469206,0.0,0.0,0.0,2.0920408223126388,49.928682997420026,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.006112425588071346,0.9211652874946594,1.0182888507843018,0.264823317527771,0.08163588494062424,0.0,0.0,0.0,0.0,0.0,1.0,0.33209809177630656,0.16608986620967453,0.16609061247593648,0.33573559570956873,0.0,0.3320999822101077,0.16609149647725596,0.16609149647725596,0.33571702805725306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,25.52140756555506,19.687890671394968,3.814697400943653,3.814697400943653,3.814697400943653,0.0,0.0,0.3316565969505826,5.0354969308183,0.17322443184014913,3.7799237032194397,0.07944598814120164,0.0002751157381508902,0.0,0.6563905558070621,0.0,0.0,0.0,2.0992292584599674,49.775055137840475,49.71218490600586,49.71218490600586,49.9067497253418,1.0,0.005455771926790476,0.938589334487915,1.0174380540847778,0.26382824778556824,0.08134938031435013,0.0,0.0,0.0,0.0,0.0,1.0,0.3306570045045904,0.16545147831375534,0.16545282022373095,0.3384599129895906,0.0,0.3306624156397742,0.165455992962863,0.165455992962863,0.33842558876888174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,24.895009479007207,19.05342421660552,3.809925382201736,3.809925382201736,3.809925382201736,0.0,0.0,0.33219304519730647,5.051877853032705,0.173178647821014,3.822992257169775,0.08143634439722912,0.00027181929043443824,0.0,0.6502576889218511,0.0,0.0,0.0,2.110406675854245,49.595012252395215,49.518367767333984,49.61518478393555,49.71218490600586,0.9999999403953552,0.004347856156527996,0.9454452991485596,1.017297387123108,0.26242831349372864,0.08099330216646194,0.0,0.0,0.0,0.0,0.0,1.0,0.3286587346244503,0.16450772051875656,0.164509532822145,0.3423656950125823,0.0,0.32866857100177455,0.16451527540748184,0.16451527540748184,0.3423008797941981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.88441835867392,19.04431018313846,3.787940167091988,3.787940167091988,3.787940167091988,0.0,0.0,0.3322513667312828,5.099928875227232,0.17311173153890147,3.8775920964576103,0.08179777095446715,0.0002668278112478957,0.0,0.6457584258672353,0.0,0.0,0.0,2.1250196856421395,49.293418368777715,49.133018493652344,49.3253173828125,49.518367767333984,1.0000001192092896,0.003524970496073365,0.9582456350326538,1.0177041292190552,0.26063039898872375,0.08052749931812286,0.0,0.0,0.0,0.0,0.0,1.0,0.32607126155415095,0.1633296749881796,0.16333283161794818,0.3473115442572413,0.0,0.32609185093158,0.1633426132234367,0.1633426132234367,0.3472229234270147,250.50507224785102,375.5609880907292,0.6642464566992006,-121.39471934391902,250.5050721473961,322.29724779991597,386.768281071238,423.6345236912487,191.31385694231307,143.39566607807959,559.8844614443572,0.03647867194458176,0.17043076240191946,0.16592764891512438,0.28439582048486983,0.0,0.3385442614605313,0.32507976485125084,0.18108682400585177,1.421422516971575,0.6418864468864469,0.8052564102564103,0.8497985347985348,0.14188644688644692,0.0052564102564102155,-0.10020146520146511,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.2819479143881534,2.2194912751297373,2.173124488565948,-8.000614166259766,0.00033520045690238476
6,6e-06,6e-06,0.05,27.32796960263639,21.391374291600407,3.7829974728661613,3.7829974728661613,3.78353095699001,0.0,0.0,0.33147887200922577,5.382981951172288,0.17303121653763023,4.104563661523767,0.08011721104786203,0.00024075479194761028,0.0,0.659034695174243,0.0,0.0,0.0,2.1548362036009094,48.822965364198424,48.46584701538086,48.845970153808594,49.133018493652344,1.0,0.004189972300082445,0.966705322265625,1.0529506206512451,0.2630293369293213,0.08437329530715942,0.0,0.0,1.6685620965184391,1.02925570591076,0.38314809616113926,1.0,0.33194161025253505,0.15966468445352605,0.16181739520382238,0.3466187675256987,0.0,0.3319420468162846,0.15969475499681524,0.16183427701125275,0.34652891835650884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,24.48397053898992,18.690777404888255,3.788430233259459,3.788430233259459,3.7898845543732516,0.0,0.0,0.3352562712656485,5.004593179032609,0.17295925601108655,3.7297428008672355,0.08008630885868459,0.00023112381490677394,0.0,0.6578789143948942,0.0,0.0,0.0,2.191562646144145,48.02973463728621,47.43569564819336,48.08868408203125,48.56059646606445,1.0,0.007427233271300793,0.9694335460662842,1.0982109308242798,0.2692919671535492,0.09200485795736313,0.0,0.0,1.6042787191030141,0.7028073958448462,0.5619168991795886,1.0,0.34541003285227595,0.15393872559070587,0.16030740576821403,0.34037003404385335,0.0,0.34532614414756363,0.15401328697397904,0.16033931559807546,0.34032125166944555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,25.472856160756702,19.67429207466744,3.7429207273431726,3.7429207273431726,3.744758058238674,0.0,0.0,0.3329230651662156,5.171019844106726,0.17280516068677645,3.8097786001256995,0.08224386782259555,0.00023760543223722157,0.0,0.6916894300563915,0.0,0.0,0.0,2.2944493744824386,46.11426616359402,44.648826599121094,46.24643325805664,47.43569564819336,0.9999999403953552,0.01867177151143551,0.9290608763694763,1.2358100414276123,0.28246694803237915,0.10775892436504364,0.0,0.0,1.5129086391345874,0.5429808014147991,0.6411013941163066,1.0,0.37265370423729355,0.1428437688060709,0.1591131618699512,0.32543203073578914,0.0,0.3722488839884062,0.14303192375479518,0.1591747213859816,0.32554446845441254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,25.078245085638923,19.303078960728,3.768593085778726,3.768593085778726,3.7687852575972274,0.0,0.0,0.3345427553395967,5.038277142756694,0.17247236983196154,3.690884106868022,0.08059194623618512,0.00025683081538945034,0.0,0.7177601972141782,0.0,0.0,0.0,2.4462464113493225,43.21655500257337,40.89212417602539,43.529441833496094,45.26345443725586,0.9999999403953552,0.04597646743059158,0.8591164350509644,1.9765822887420654,0.2943878769874573,0.12158496677875519,0.0,0.0,1.274800004185857,0.41252314883309443,0.6764016728282412,1.0,0.3956340752743386,0.13495708116002986,0.16076698214621157,0.3088377528899425,0.0,0.3945322979140926,0.13535840567704793,0.1608498785141352,0.3092594195056606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,23.93431385143383,18.333888156993968,3.7694020335738725,3.7694020335738725,3.765737282263266,0.0,0.0,0.33408158937016047,4.717070863053605,0.17121930984226433,3.1330493269739925,0.08013792044004879,0.00030235620923466176,0.0,0.7344536652436128,0.0,0.0,0.0,2.6602272214116276,39.58866263724662,35.38918685913086,40.336856842041016,42.85457992553711,1.0000001192092896,0.10865937918424606,0.7531982064247131,2.8219192028045654,0.30173560976982117,0.13384772837162018,0.0,0.0,0.8993367874944532,0.2773020356088071,0.6916594100621983,1.0,0.40654686415517655,0.1339088247434513,0.16721567068551038,0.29335267962636175,0.0,0.4041647460009601,0.13453206983772484,0.16717990588497472,0.29412327344353134,250.513859465882,375.00042998554176,0.6677541828049702,-119.01937761411563,250.51385927262234,322.72156893865144,387.48071717640136,424.5195831343201,193.02872249058314,144.3185760734617,557.0701098234757,0.03523706200277766,0.15941756565331167,0.09344017503089341,0.2943217557479477,0.0,0.38791525642819,0.33388664276812147,0.17385336043832997,1.4177625223211394,0.628021978021978,0.7874725274725275,0.8501282051282051,0.128021978021978,-0.01252747252747255,-0.09987179487179487,0.0,0.0,0.521978021978022,0.47802197802197804,1.0,2.2853458929847883,2.221451814685549,2.174595364175,-7.999236583709717,0.0003356624802108854
