epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,24.788735260834564,18.78100670994939,3.755929895349451,3.755929895349451,3.755929895349451,0.0,0.0,0.3314604372591586,5.931432150505684,0.17327597254031413,4.05283674678287,0.07750506709153587,0.00027750710393553853,0.0,0.6618593898979394,0.0,0.0,0.0,2.125328038189862,50.004236685263145,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.007169764023274183,0.9209283590316772,1.019149899482727,0.33306387066841125,0.0024616934824734926,0.0,0.0,0.0,0.0,0.0,1.0,0.3330035145218308,0.3331497617670008,1.0,0.33385158793346303,0.0,0.33300319555643443,0.3331494919351629,0.0,0.33384731895214803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.77837328008703,18.775900814984297,3.7740546239388957,3.7740546239388957,3.7740546239388957,0.0,0.0,0.3324390005420994,5.826703052263002,0.17323813607563843,4.037274753725207,0.07810258321665428,0.0002760250181135898,0.0,0.6597184426075703,0.0,0.0,0.0,2.1284822902163945,49.946746929271804,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.0068534426391124725,0.9293131232261658,1.0181646347045898,0.33206355571746826,0.002724626800045371,0.0,0.0,0.0,0.0,0.0,1.0,0.3317620850898124,0.3325619818391027,1.0,0.33568721043097005,0.0,0.331764569959125,0.33256411955163284,0.0,0.33567130968377396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.181156777046823,18.204123265034443,3.810055081908767,3.810055081908767,3.810055081908767,0.0,0.0,0.33294030862885554,5.687859283911215,0.17317339898766698,3.8689464137360856,0.07869725865689484,0.0002712614423708638,0.0,0.6488175504916424,0.0,0.0,0.0,2.1358480066866488,49.76779793404244,49.71218490600586,49.71218490600586,49.9067497253418,0.9999999403953552,0.006083756219595671,0.9203689694404602,1.019215703010559,0.3299204409122467,0.003594315843656659,0.0,0.0,0.0,0.0,0.0,1.0,0.32911405289495316,0.33124052028398254,1.0,0.3396729069787103,0.0,0.3291222815578048,0.3312479885848793,0.0,0.33962973630106125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.800375964190508,19.746713664080644,3.8305469783576758,3.8305469783576758,3.8305469783576758,0.0,0.0,0.3329609914405926,5.83819723773647,0.17307613588668205,3.9967015369518384,0.07976907159428338,0.00026529945820142085,0.0,0.6484651887739027,0.0,0.0,0.0,2.1436552099279456,49.61938033232818,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005199180915951729,0.9404343366622925,1.0160753726959229,0.32777297496795654,0.004621450323611498,0.0,0.0,0.0,0.0,0.0,1.0,0.3265639132744557,0.3293817228562123,1.0,0.3440984028416711,0.0,0.32657922764082215,0.32939810366243927,0.0,0.3440226622529932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.895683804073848,18.91735734166326,3.783694054629352,3.783694054629352,3.783694054629352,0.0,0.0,0.33221240220843135,5.7558403723948715,0.17303168451463855,3.9364212912482186,0.08060062928376971,0.0002616718246261715,0.0,0.6486227737890707,0.0,0.0,0.0,2.1547766956123144,49.35693998594542,49.133018493652344,49.3253173828125,49.518367767333984,1.0000001192092896,0.004414229653775692,0.9406464695930481,1.0225136280059814,0.32490360736846924,0.006323548965156078,0.0,0.0,0.0,0.0,0.0,1.0,0.3231976660522255,0.32668831783372004,1.0,0.3501667605864035,0.0,0.3232155410019127,0.3267087847799868,0.0,0.3500756701907596,250.56496838160925,374.20745889533043,0.6733602497713942,-115.29077682914314,250.56496765471198,323.10277913369885,388.2638150753615,425.60777803560177,195.88020597185408,145.78139957161838,552.7361360632855,0.037319812683772005,0.25069620388390573,0.2741928564314215,0.2955381506992584,0.0,0.3357919151472297,0.28942683109142336,0.1681339960989984,1.3906725695263542,0.7362683668608699,0.7826756073430802,0.8314829064526768,0.23626836686086994,-0.017324392656919874,-0.1185170935473232,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333536554168869,2.275455545593094,2.232528637726228,-8.000411033630371,0.0003352685598656535
6,6e-06,6e-06,0.05,24.729624310055293,18.743975433143408,3.767438521256318,3.767438521256318,3.7679628745929614,0.0,0.0,0.3345998557838234,5.832923863385175,0.1728219518790374,3.9752945191151388,0.08003182618601902,0.00023732163685348791,0.0,0.6386578324678782,0.0,0.0,0.0,2.1873476891904264,48.81077039563978,48.46584701538086,48.845970153808594,49.133018493652344,1.0000001192092896,0.004157224204391241,0.9577851295471191,1.0389987230300903,0.3260059356689453,0.006875367369502783,0.0,0.0,1.66067995251836,0.9797352423539033,0.41003970038406806,1.0,0.3256895381051141,0.32151251386951757,1.0,0.35284479244335276,0.0,0.3257055379248954,0.3215548831063348,0.0,0.35273957816330165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,25.346300563296758,19.344634159191234,3.8126771901104903,3.8126771901104903,3.814000084593489,0.0,0.0,0.3322135886630496,5.769129682231593,0.1726919557597186,3.8966369757781156,0.07955097658811389,0.00022747211364362188,0.0,0.6530004063168088,0.0,0.0,0.0,2.225004376591863,48.00385624653584,47.43569564819336,48.08868408203125,48.56059646606445,0.9999999403953552,0.00752732390537858,0.966650664806366,1.097683310508728,0.33511486649513245,0.011467235162854195,0.0,0.0,1.6179173540424656,0.6420068402548094,0.6031893479288568,1.0,0.3394043042853072,0.31436974937851364,1.0,0.3462468675664953,0.0,0.3393649813291189,0.31444458220456095,0.0,0.3461904324389793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,26.203282356262207,20.201320905943174,3.773627132982821,3.773627132982821,3.7757355586902515,0.0,0.0,0.3348143986753515,5.916684537320523,0.17253319596922076,3.938536785744332,0.07766178532226665,0.0002268335409934406,0.0,0.6752807143572215,0.0,0.0,0.0,2.291388820957493,46.66705054205817,45.52945327758789,46.79157257080078,47.62135314941406,1.0,0.015553983859717846,0.9377685785293579,1.2197556495666504,0.34901654720306396,0.025016196072101593,0.0,0.0,1.5218788836453412,0.46075053392229853,0.6972488817121455,1.0,0.3601451258401613,0.3044396816073237,1.0,0.33544883212527715,0.0,0.35994999875893463,0.30458439363015666,0.0,0.33546560922184504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,25.66962484411291,19.746664459640915,3.7937978022807353,3.7937978022807353,3.7950735543225265,0.0,0.0,0.3344154229035249,5.662458149162498,0.17247813658134356,3.6927529670096733,0.07737100557298274,0.0002356766289685274,0.0,0.6988748875824181,0.0,0.0,0.0,2.3972700673180656,44.309688568115234,42.4381103515625,44.561710357666016,45.976253509521484,0.9999999403953552,0.037074994295835495,0.8612706065177917,1.6134631633758545,0.3645629286766052,0.04221291095018387,0.0,0.0,1.227390617937655,0.33475948104987274,0.7272592146643924,1.0,0.3831954920614088,0.29407852404826396,1.0,0.32278746447047674,0.0,0.382585416774492,0.2944375357112369,0.0,0.32297705234708013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,23.400932105811865,17.70532499777304,3.7759319576057226,3.7759319576057226,3.7719580547229663,0.0,0.0,0.33212920137353846,5.148871099626696,0.17197841083681262,3.164384294200588,0.07536750367364368,0.00028461152514619,0.0,0.7207096090187898,0.0,0.0,0.0,2.6090229653023385,40.66963525720545,36.72712707519531,41.293418884277344,43.78524398803711,0.9999999403953552,0.10904108732938766,0.7243108153343201,2.562168836593628,0.3771022856235504,0.0753161683678627,0.0,0.0,0.9012968411316743,0.23783036865092613,0.736124262510113,1.0,0.4009899521196211,0.2896555194983611,1.0,0.3101524976459709,0.0,0.3988598166285334,0.29046359899881724,0.0,0.3106765819562448,250.52946187113668,373.80061240824466,0.6757453903592838,-113.57646061823918,250.52946148322036,323.37342215812754,388.7300607951543,426.19634773469835,197.0489763532366,146.4056113782779,550.6672903973123,0.036191450055658866,0.27558417231827326,0.19269994903833182,0.32711058409904387,0.0,0.38611687006712264,0.28563279178324613,0.1528685539916094,1.3863735964700052,0.7193580301198197,0.762870543402587,0.8325638488879118,0.2193580301198197,-0.03712945659741307,-0.11743615111208816,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333694270678929,2.2758555864239787,2.232905604354628,-8.000015258789062,0.00033540124422870576
