epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,34.80239672274203,18.780703750816553,3.755929521612219,3.755929521612219,3.755929521612219,0.0,0.0,0.3314615230302553,5.9314494068558155,0.17327621941630905,4.052876936422812,0.07750530551011497,0.0002774375245428166,0.0,0.6618733277191987,0.0,0.0,0.0,2.125279188156128,50.00425926414696,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.007175803184509277,0.9209538102149963,1.019186019897461,0.3330698013305664,0.00246178125962615,0.0,0.0,0.0,0.0,0.0,1.0,0.33301041335672943,0.33315622081627716,1.0,0.33383819460868835,0.0,0.3330100678108834,0.333155926014926,0.0,0.3338340142288724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,34.791077794255436,18.775873081104177,3.774051704922238,3.774051704922238,3.774051704922238,0.0,0.0,0.33244190586579814,5.82678476539818,0.1732387671599517,4.037371989843008,0.07810348725399456,0.00027582277874210596,0.0,0.659749593283679,0.0,0.0,0.0,2.128378339715906,49.948477461531354,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.006867954507470131,0.9293417930603027,1.018208384513855,0.3320772051811218,0.0027233059518039227,0.0,0.0,0.0,0.0,0.0,1.0,0.33177781185588323,0.3325766204176722,1.0,0.33565673554265824,0.0,0.331780232287742,0.33257868966540777,0.0,0.33564108046325475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,33.511897576821816,18.201312761049014,3.8100522917670174,3.8100522917670174,3.8100522917670174,0.0,0.0,0.3329475328728959,5.68787610208666,0.17317473646756765,3.8691769612802043,0.07869887553356789,0.0002708414497130827,0.0,0.6489119094771307,0.0,0.0,0.0,2.1355369284346297,49.77096083357527,49.71218490600586,49.71218490600586,49.9067497253418,1.0000001192092896,0.00612231669947505,0.9205639362335205,1.0193119049072266,0.32997074723243713,0.0035744335036724806,0.0,0.0,0.0,0.0,0.0,1.0,0.32917982742593094,0.3312528834149644,1.0,0.33959440524513657,0.0,0.3291876952390413,0.3312601229629001,0.0,0.33955217938165405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,35.5662114942396,19.746017249854834,3.8305074975297257,3.8305074975297257,3.8305074975297257,0.0,0.0,0.33296859022733327,5.838257042137352,0.17307730824560733,3.9969127951441585,0.07977118453866727,0.00026483168177356993,0.0,0.6484878723685806,0.0,0.0,0.0,2.1433195487872974,49.6222113531989,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.005241699982434511,0.9405307173728943,1.0162018537521362,0.32779210805892944,0.004629603121429682,0.0,0.0,0.0,0.0,0.0,1.0,0.3265924526227487,0.32936784463959773,1.0,0.3440843248689497,0.0,0.32660710328334086,0.3293838227117384,0.0,0.3440090756158571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,34.757158279418945,18.919658377363874,3.7836335865226953,3.7836335865226953,3.7836335865226953,0.0,0.0,0.33222251163946614,5.755793249284899,0.173035554386474,3.936503030158378,0.08060451576838622,0.00026109230364798695,0.0,0.6483738502940616,0.0,0.0,0.0,2.154551061424049,49.36369014430691,49.133018493652344,49.3253173828125,49.61518478393555,0.9999999403953552,0.00444477004930377,0.9408078789710999,1.0225238800048828,0.324733167886734,0.006451093126088381,0.0,0.0,0.0,0.0,0.0,1.0,0.32295829218787114,0.3267321079163938,1.0,0.3503635412937886,0.0,0.32297630648355224,0.32675246692992543,0.0,0.3502712290029268,250.58964752364943,376.54818523658656,0.6588991118174204,-125.26688825167142,250.58964792021376,321.7994144599011,385.93974421601945,422.4975784998151,188.63360486711775,142.03132321853047,564.4530417400857,0.03733668571094798,0.25109117223457517,0.27437595136463055,0.2958462735366074,0.0,0.33663005946903835,0.29025064806455875,0.16987368477399684,1.390700762006613,0.7363050089773185,0.7826939284013045,0.8314645853944523,0.23630500897731854,-0.01730607159869557,-0.11853541460554762,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.333493416125958,2.275454418344812,2.232530644961766,-8.00043773651123,0.0003352596249897033
6,6e-06,6e-06,0.05,34.27978538822483,18.65911883276862,3.7672289319940515,3.7672289319940515,3.7676034231443665,0.0,0.0,0.33444413059466593,5.832428249152931,0.17283865326159709,3.9759482821902714,0.07996929487263835,0.00024385169593655077,0.0,0.6360262874010447,0.0,0.0,0.0,2.1859978791829704,48.81870682175095,48.46584701538086,48.845970153808594,49.133018493652344,1.0000001192092896,0.00411362387239933,0.9588845372200012,1.0354478359222412,0.3243662416934967,0.0070522986352443695,0.0,0.0,1.6500341280086621,1.1499306704546954,0.30308673564074384,1.0,0.3234047881654791,0.3218444730784442,1.0,0.3548030289443764,0.0,0.3234269474003766,0.32188554953884435,0.0,0.35468750064437454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,34.93582498705065,19.15365461401037,3.8122251355970227,3.8122251355970227,3.8132241094434582,0.0,0.0,0.33200566913630514,5.768788376369992,0.1727121903284176,3.9013131534731067,0.07945763400277576,0.00023438064837702423,0.0,0.6459726562371125,0.0,0.0,0.0,2.2176317137640877,48.08548870602169,47.52843475341797,48.08868408203125,48.56059646606445,1.0,0.006757719442248344,0.9651198983192444,1.0792431831359863,0.33044397830963135,0.008689404465258121,0.0,0.0,1.6098289683058455,0.8345414899490975,0.4815961779919058,1.0,0.3327262981517895,0.31619680572200465,1.0,0.3511027677639111,0.0,0.3327118335543452,0.31626417910730514,0.0,0.351023988949286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,37.19308646949562,19.897532205323916,3.772821516604037,3.772821516604037,3.774432626930443,0.0,0.0,0.33461596675821254,5.91892257252255,0.17254394212284604,3.9550317783613465,0.0775734315047393,0.0002329506348138927,0.0,0.6632982283025175,0.0,0.0,0.0,2.2680007444845662,46.96682563987938,46.066139221191406,47.06654739379883,47.807735443115234,1.0,0.01331311371177435,0.9395306706428528,1.1712430715560913,0.3410046696662903,0.018190888687968254,0.0,0.0,1.5302980010573928,0.6343656987757296,0.5854626364685828,1.0,0.34856658851778183,0.30822027132317825,1.0,0.3432390005201907,0.0,0.3484512172840737,0.3083365640124759,0.0,0.3432122138706413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,36.12597862449852,19.510937226785195,3.7936265210847595,3.7936265210847595,3.7949143100429223,0.0,0.0,0.3342992719766256,5.684956080204731,0.17243946726257736,3.7459386071643315,0.07732214476611163,0.0002397441999779108,0.0,0.680259794802279,0.0,0.0,0.0,2.3428764794323897,45.16928007796004,43.69981002807617,45.35194778442383,46.51820755004883,1.0000001192092896,0.03030349500477314,0.8741026520729065,1.4434493780136108,0.3527313470840454,0.031507283449172974,0.0,0.0,1.2694073561075572,0.4656033242070997,0.6332120481522961,1.0,0.36613997092118133,0.29944691223067205,1.0,0.3344325439350025,0.0,0.3657726983766298,0.29972522323196,0.0,0.3345020735586012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,32.74445425497519,17.639047854655498,3.7781661265605204,3.7781661265605204,3.776287581469562,0.0,0.0,0.33213496852565455,5.232092722042187,0.17203850842810967,3.295370523994033,0.07539415721957748,0.00028207284206448977,0.0,0.6978036020253156,0.0,0.0,0.0,2.4889482356406547,42.41874096844647,39.3255729675293,42.93836212158203,44.91121292114258,1.0000001192092896,0.08481907099485397,0.7531516551971436,2.264014959335327,0.3638613522052765,0.058980993926525116,0.0,0.0,1.0190159243506354,0.3398804197440276,0.6664621115115397,1.0,0.3825998386821231,0.29213463857367233,1.0,0.3257156723254436,0.0,0.38117771293665914,0.2928130554186331,0.0,0.3260092292283032,250.5341641143128,376.05697403461755,0.6614874828570757,-123.381747340108,250.53416407945218,322.0593812371816,386.40489863336376,423.1247928042651,189.9518983023507,142.683739595635,562.2033081054688,0.036274557212975095,0.27123521222533414,0.21740992108538754,0.3201190392217044,0.0,0.37446937122946106,0.28589945306696285,0.1549915737714678,1.386616527792412,0.7211351727675791,0.7665164339892272,0.832637133120809,0.2211351727675791,-0.03348356601077285,-0.11736286687919095,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.333318611422738,2.275701958727051,2.232777408518634,-8.000039100646973,0.00033539324067533016
