epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,26.004132760537637,19.917553953222328,3.7928636009628707,3.7928636009628707,3.7928636009628707,0.0,0.0,0.33329938311834595,6.007577677030821,0.17328175137171875,4.174202487275407,0.08031498962962949,0.000276983787960096,0.0,0.6636412030941731,0.0,0.0,0.0,2.1263202654348836,50.00426225404482,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.006688509602099657,0.92844158411026,1.0184396505355835,0.33310186862945557,0.002280310494825244,0.0,0.0,0.0,0.0,0.0,1.0,0.3330638634191977,0.3331041964324745,1.0,0.3338367769847045,0.0,0.33306263427476623,0.333103340219807,0.0,0.3338340271163631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.111252604304134,19.076572495537835,3.789869469565314,3.789869469565314,3.789869469565314,0.0,0.0,0.33348551150914785,5.890110479818808,0.17324874570240845,4.04223243610279,0.08270777449817271,0.00027630960716664587,0.0,0.6575671144433923,0.0,0.0,0.0,2.131146746712762,49.93626878068254,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.006145182531327009,0.9317890405654907,1.017378807067871,0.3322749137878418,0.0023535911459475756,0.0,0.0,0.0,0.0,0.0,1.0,0.3320973821588465,0.3323084244856963,1.0,0.3356041263889622,0.0,0.3320956439585299,0.33230817962337184,0.0,0.3355961715852892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.406105325028705,18.42042742548762,3.7844108053155847,3.7844108053155847,3.7844108053155847,0.0,0.0,0.3331160198997807,5.779685703483787,0.17319885017098607,3.9528749923448303,0.07630910492829375,0.00027318571291461185,0.0,0.6536354567553546,0.0,0.0,0.0,2.1378232272895605,49.80976094426335,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.005404509138315916,0.9171366691589355,1.0164170265197754,0.33087050914764404,0.002784179523587227,0.0,0.0,0.0,0.0,0.0,1.0,0.33045642037649414,0.330952907736237,1.0,0.33861310578681325,0.0,0.33045355129886317,0.3309534522327217,0.0,0.33859300049575597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,24.000412915204024,18.049765161565833,3.773235707669645,3.773235707669645,3.773235707669645,0.0,0.0,0.3312651490842974,5.72200532861658,0.17313533135362574,3.890405596913518,0.07926944945309614,0.00027077825743126104,0.0,0.6461780651195629,0.0,0.0,0.0,2.1471923750800057,49.65573254147091,49.61518478393555,49.71218490600586,49.71218490600586,1.000000238418579,0.004659367725253105,0.9307264685630798,1.015755534172058,0.32904163002967834,0.003632704494521022,0.0,0.0,0.0,0.0,0.0,1.0,0.3283297564532306,0.32913810417458816,1.0,0.34256120791306366,0.0,0.3283248946473405,0.3291380888706929,0.0,0.3425370188983711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.914925652581292,18.898020125724173,3.816153506974916,3.816153506974916,3.816153506974916,0.0,0.0,0.3324770903265154,5.746916442304044,0.17308063442642624,3.9795958770288005,0.07938270462123123,0.0002665087498875486,0.0,0.6434425614975594,0.0,0.0,0.0,2.158175023826393,49.4564556431126,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.0038548957090824842,0.9528860449790955,1.0159521102905273,0.3266180157661438,0.004965588916093111,0.0,0.0,0.0,0.0,0.0,1.0,0.3254676686750876,0.3269581738355997,1.0,0.3476163156934687,0.0,0.3254608737455832,0.32695667888667135,0.0,0.34758244575680913,250.584045619755,376.52838111020867,0.6589916029628783,-125.19395082075518,250.58404548496398,321.7923324980908,385.9464217167137,422.5118165378448,188.68124389648438,142.051859596903,564.3660371199898,0.03729765399085854,0.25909061534352795,0.28540773273650255,0.30312619696921356,0.0,0.34016467060483574,0.29333058261876344,0.1664337802476025,1.3902428663671327,0.7364882195595618,0.7826572862848559,0.831611153860247,0.23648821955956179,-0.017342713715144176,-0.11838884613975298,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3336577002818766,2.2754207276380978,2.232489062207086,-8.0003023147583,0.00033530499786138535
6,6e-06,6e-06,0.05,25.24226866541682,19.196554544809704,3.76556015659023,3.76556015659023,3.7659586120296167,0.0,0.0,0.33511730384182287,5.980563279744741,0.17299933449642077,4.132306011947426,0.08040929978361001,0.0002446784224908648,0.0,0.6496033088580982,0.0,0.0,0.0,2.178570831144178,49.12983610823348,48.94146728515625,49.133018493652344,49.3253173828125,1.0,0.0035281262826174498,0.9544730186462402,1.023129940032959,0.32827427983283997,0.006060293409973383,0.0,0.0,1.6810367461797353,1.17272813900097,0.3023780463656904,1.0,0.32868790143244975,0.32189326753487457,1.0,0.3494640765963374,0.0,0.3286836260073894,0.32189490585713776,0.0,0.34942146571906835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,25.28084842578785,19.269704638300716,3.782501188484398,3.782501188484398,3.783365204527571,0.0,0.0,0.33290083102277807,5.876330498102549,0.172903215160241,3.977385675584948,0.08215956067716754,0.00023878612980322055,0.0,0.6608577209549982,0.0,0.0,0.0,2.2154204845428467,48.491299603436445,48.08868408203125,48.56059646606445,48.94146728515625,1.0000001192092896,0.005801619961857796,0.9588919878005981,1.0689889192581177,0.33860695362091064,0.013787956908345222,0.0,0.0,1.695687155465822,0.8816127632115338,0.4800852501773264,1.0,0.3444224523531424,0.3128718218287906,1.0,0.3427242966922554,0.0,0.3444095334491214,0.3128823170790801,0.0,0.34270814705539393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,26.196374377688848,20.144250689326107,3.755041811917279,3.755041811917279,3.7563588619232178,0.0,0.0,0.3352758320602211,6.095703814480756,0.17276251879898277,4.08878959191812,0.08231380028096405,0.00023702914414398774,0.0,0.6815358899735116,0.0,0.0,0.0,2.26743314717267,47.50257224005622,46.79157257080078,47.52843475341797,48.18269729614258,0.9999999403953552,0.011504587717354298,0.9581239223480225,1.1531615257263184,0.3516824245452881,0.02630162052810192,0.0,0.0,1.637035089570123,0.6888934534949225,0.5791822314109208,1.0,0.3640674529848872,0.30282597606246536,1.0,0.333124848636421,0.0,0.3640039716217969,0.3028580731636769,0.0,0.3331379527981217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,25.009229247634476,19.063423543363005,3.836182297887029,3.836182297887029,3.8377599200686894,0.0,0.0,0.3329928509286932,5.5908414608723405,0.1725686993953344,3.6768693569544197,0.07506969097901035,0.00023881101200508105,0.0,0.6951424866109281,0.0,0.0,0.0,2.339190573305697,46.07877751943227,44.91121292114258,46.15619659423828,47.06654739379883,0.9999998211860657,0.02101719379425049,0.9219329953193665,1.2600079774856567,0.3654172718524933,0.039630595594644547,0.0,0.0,1.4868452774511802,0.5496492144223806,0.630325210862145,1.0,0.3846028922377406,0.2927784984176223,1.0,0.32269001732001434,0.0,0.3844387990397376,0.2928320918534253,0.0,0.3227291083013689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,24.66614666500607,18.782851734676875,3.8015572058187947,3.8015572058187947,3.801511087933102,0.0,0.0,0.3329940905442109,5.536982452547228,0.1727318058948259,3.5758781368668013,0.07901614562079713,0.000248925547615776,0.0,0.7170004119744172,0.0,0.0,0.0,2.4313717403927364,44.05552797059755,41.86185073852539,44.38798141479492,45.88654327392578,1.0000001192092896,0.05119786411523819,0.8357818722724915,2.1280319690704346,0.37598469853401184,0.054215915501117706,0.0,0.0,1.1543392587352443,0.40660672977163986,0.6477580341353548,1.0,0.40018564784849014,0.2861566672454009,1.0,0.313825716038008,0.0,0.3997047962369146,0.28635459332852753,0.0,0.3139406128509625,250.5502465426267,375.9884538324072,0.6620524857201846,-123.040801016839,250.55024665070104,322.13329527450514,386.5430805412145,423.29294281588307,190.25187628609794,142.82722242488418,561.8189139988111,0.036218731367703746,0.2641624135306952,0.20166976049699709,0.31620582290844756,0.0,0.37194608146721536,0.2926516769742814,0.17754100259324979,1.3867703517889614,0.7210252464182331,0.7668462130372651,0.8323439961892198,0.22102524641823307,-0.033153786962734966,-0.11765600381078012,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.335979471167365,2.2774294290568804,2.234309950700173,-8.000055313110352,0.0003353878273628652
