epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,46.7422198733768,18.78284534248146,3.755952686876864,3.755952686876864,3.755952686876864,0.0,0.0,0.3314458164008888,5.931486335960594,0.17328546337179235,4.0556556147498055,0.0,0.0002785157490949574,0.0,0.6400896069165822,0.0,0.0,0.0,2.125434295551197,50.003746238914694,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.007154508493840694,0.9207904934883118,1.0191563367843628,0.33313649892807007,0.0024335726629942656,0.0,0.0,0.0,0.0,0.0,1.0,0.3331127931942811,0.33309371648608027,1.0,0.3337980347710687,0.0,0.3331123066915048,0.33309367299079895,0.0,0.3337940267614416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,45.538800987037455,18.78131660255226,3.774107262894914,3.774107262894914,3.774107262894914,0.0,0.0,0.3323802126420511,5.82632007470002,0.1732652279976252,3.9838716274983175,0.0,0.0002803156809956842,0.0,0.6410833130011687,0.0,0.0,0.0,2.1300975954210437,49.92437177091031,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.0066654859110713005,0.9320574402809143,1.0177737474441528,0.3324018716812134,0.0025210136082023382,0.0,0.0,0.0,0.0,0.0,1.0,0.3323017254069045,0.3321399358478752,1.0,0.3355684183739327,0.0,0.3323033508416769,0.33214354676169316,0.0,0.33555310320209814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,43.54436358890018,18.21800677840774,3.8103611340393893,3.8103611340393893,3.8103611340393893,0.0,0.0,0.33275769127381816,5.687572936753969,0.173236776445363,3.919191660107793,0.0,0.00028481794131063933,0.0,0.6318705516892511,0.0,0.0,0.0,2.1398034353513977,49.72772515786661,49.61518478393555,49.71218490600586,49.80937194824219,1.0,0.005560256075114012,0.9245099425315857,1.0177193880081177,0.33109986782073975,0.0028154198080301285,0.0,0.0,0.0,0.0,0.0,1.0,0.3308348414060232,0.3306018573206824,1.0,0.33858453824713425,0.0,0.3308408348946958,0.33061148588721817,0.0,0.3385476832454269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,45.97404804745236,19.802929955559808,3.8308468187177502,3.8308468187177502,3.8308468187177502,0.0,0.0,0.33261541015393026,5.838294886253975,0.17318235458554448,3.943067524884198,0.0,0.0002903411301746461,0.0,0.6270433519337628,0.0,0.0,0.0,2.1532989192653345,49.53858545664195,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.004171425011008978,0.9458361864089966,1.0156550407409668,0.3293427526950836,0.003561309538781643,0.0,0.0,0.0,0.0,0.0,1.0,0.32888191455119364,0.32838756409851283,1.0,0.3427671290732719,0.0,0.32889672630542033,0.3284099029528128,0.0,0.3426933691308305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,45.49938114269359,18.895992588352513,3.78415601317947,3.78415601317947,3.78415601317947,0.0,0.0,0.3317002815169257,5.753107779734844,0.17312727586643115,3.9681580002243453,0.0,0.000299174410158869,0.0,0.6264854943430102,0.0,0.0,0.0,2.1745818047910124,49.181050481023014,48.94146728515625,49.22907257080078,49.421749114990234,1.0000001192092896,0.0033622346818447113,0.9549464583396912,1.0259344577789307,0.3270581364631653,0.004800872411578894,0.0,0.0,0.0,0.0,0.0,1.0,0.3262728654049538,0.32587413127357895,1.0,0.3478956778307219,0.0,0.32629761583096273,0.3259069202719508,0.0,0.34779545906427745,250.5529239989899,374.13478337213206,0.6737500083544755,-115.00395770649334,250.5529230815118,323.1377674945751,388.32150739352244,425.68296831803445,196.08636202130998,145.8822590436122,552.3742655878482,0.037440635058753946,0.2579930030649963,0.2908475925925489,0.3054196118319519,0.0,0.34662796849472305,0.3007066754606836,0.17862155465901386,1.3903041297973562,0.736103477336851,0.7824374335861639,0.8317394012678172,0.236103477336851,-0.017562566413836134,-0.11826059873218275,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.337180339045577,2.277271888085774,2.2341036819494686,-7.999022960662842,0.0003357341920491308
6,6e-06,6e-06,0.05,46.12938953090359,18.719529332341374,3.7680704722533354,3.7680704722533354,3.76852087072424,0.0,0.0,0.33399178611265645,5.834688276857944,0.17306835305046392,4.025445889782262,0.0,0.00028226941484152466,0.0,0.625208323066299,0.0,0.0,0.0,2.2163217583218136,48.57282566379856,48.08868408203125,48.65553665161133,49.037147521972656,1.0,0.005786712747067213,0.9728407263755798,1.0876917839050293,0.33137691020965576,0.008254670538008213,0.0,0.0,2.127055599882796,1.1950386150463208,0.43817236601047505,1.0,0.333244091755635,0.32005881457715424,1.0,0.3467287678976317,0.0,0.333240765172082,0.32012331002467387,0.0,0.3466359304415213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,46.942138671875,19.242061821190088,3.8126205109261178,3.8126205109261178,3.814026220424755,0.0,0.0,0.3313676940428244,5.7713596369769125,0.17294506648102323,3.77205110240627,0.0,0.0002879938566931398,0.0,0.6537582036611196,0.0,0.0,0.0,2.3128639169641443,46.983405345195045,45.70764923095703,47.06654739379883,48.08868408203125,1.0,0.01685313507914543,0.9387274980545044,1.289229393005371,0.3482482433319092,0.02389535680413246,0.0,0.0,2.1874237511609054,0.8190969244853871,0.6255426393488334,1.0,0.35856728618209427,0.30722359064463023,1.0,0.3342472556475046,0.0,0.35836931338181366,0.3073830532061087,0.0,0.33424762938473673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,49.42145486780115,19.899924046284443,3.7733271379728577,3.7733271379728577,3.774700267894848,0.0,0.0,0.3336124669861149,5.916342574196893,0.17293901540137627,3.7932987213134766,0.0,0.0003096728618697238,0.0,0.6941209177713137,0.0,0.0,0.0,2.5087387046298466,43.819952990557695,41.21284866333008,44.128658294677734,45.976253509521484,1.0,0.037679076194763184,0.8658982515335083,1.514789342880249,0.3699907660484314,0.04745803400874138,0.0,0.0,2.039286423373867,0.6151669863108042,0.6983420380482647,1.0,0.39108064851245367,0.2912775294200794,1.0,0.3178080715037681,0.0,0.3904268709388939,0.29158998341173736,0.0,0.31798314242749603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,46.64481776469463,19.76678232244543,3.789488135157405,3.789488135157405,3.786995062956939,0.0,0.0,0.3325097278968708,5.693500621898754,0.17298807687050588,3.4998686442504057,0.0,0.0003487766654280996,0.0,0.7434509009928316,0.0,0.0,0.0,2.9071476846127897,37.669570613551784,32.92198181152344,38.11565017700195,41.86185073852539,1.0,0.08357880264520645,0.7626960873603821,2.2628252506256104,0.3950042724609375,0.08070342242717743,0.0,0.0,1.5007860402803164,0.443046421618075,0.7047904166703717,1.0,0.42802814051911636,0.27518780247585195,1.0,0.2975105031116589,0.0,0.4260055326126717,0.2759369684232248,0.0,0.29805749735316717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,42.40360925004289,18.882403115968447,3.7631076542106836,3.7631076542106836,3.750546848451769,0.0,0.0,0.32952378972156626,5.306708774051151,0.17264668764294805,3.0281292167869776,0.0,0.0004351958050392568,0.0,0.7860341329832334,0.0,0.0,0.0,3.4576761787002153,30.15819132005846,22.938404083251953,30.74665641784668,36.51255798339844,1.0000001192092896,0.17026421427726746,0.6512458324432373,2.3197057247161865,0.41267266869544983,0.1262638121843338,0.0,0.0,1.1169945194914535,0.4726744181401021,0.576833717720207,1.0,0.4526174108724336,0.27117599426089106,1.0,0.2789978618557389,0.0,0.44738607551600484,0.27262316523371516,0.0,0.27999076488855723,250.5601569374839,373.30202753035246,0.67950020575205,-111.07260366586539,250.56015761780225,323.7961752324344,389.4291693267969,427.06986765199724,198.9022445678711,147.3899225634198,547.7463660862135,0.03624838935509055,0.27711043342281977,0.059477531567201446,0.33885858402293645,0.0,0.4020999252711655,0.30353369917785916,0.1714057701233629,1.3852933173597783,0.7165549082114983,0.7553039463559416,0.8324356014803415,0.21655490821149825,-0.04469605364405849,-0.1175643985196585,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.3546676602992385,2.2864805925023424,2.2419476132471483,-7.996545314788818,0.0003365669399499893
