epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,26.61933489103575,20.502509864600928,3.794783708211538,3.794783708211538,3.794783708211538,0.0,0.0,0.3339357698285902,6.1084574879826725,0.1732688993215561,4.210270469253127,0.08142927802495055,0.00028619874186964854,0.0,0.6648774340346053,0.0,0.0,0.0,2.1655031088236214,50.00267492758261,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.007017888128757477,0.8903605937957764,1.0219414234161377,0.3330274224281311,0.0024509408976882696,0.0,0.0,0.0,0.0,0.0,1.0,0.3328703706328933,0.3335848813121383,1.0,0.33354919987755854,0.0,0.33287201862077453,0.33358208714304743,0.0,0.3335458990689871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,25.279626665888607,19.255506128878206,3.7731665211754875,3.7731665211754875,3.7731665211754875,0.0,0.0,0.3327421980935174,5.923603689348376,0.17320841228639758,4.047196491344555,0.08015412988292205,0.0002834100033962042,0.0,0.6596632696486808,0.0,0.0,0.0,2.170387512928731,49.91609882664036,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.006330168340355158,0.8848916292190552,1.0213552713394165,0.33183184266090393,0.002781087765470147,0.0,0.0,0.0,0.0,0.0,1.0,0.33121812665784683,0.33375523863611994,1.0,0.3350360312977353,0.0,0.33122979869713653,0.3337520441493472,0.0,0.33501815312617533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,24.66898807319435,18.639140257964264,3.75118232417751,3.75118232417751,3.75118232417751,0.0,0.0,0.33365595824009664,6.0305445323119296,0.1731352173798793,4.079893924094535,0.07917549320169397,0.0002815562325554925,0.0,0.6561289687414427,0.0,0.0,0.0,2.1789208360620447,49.726361867543815,49.61518478393555,49.71218490600586,49.80937194824219,1.0,0.005453770514577627,0.9231820106506348,1.0254504680633545,0.32994338870048523,0.00364888459444046,0.0,0.0,0.0,0.0,0.0,1.0,0.328682947803188,0.33363739542058996,1.0,0.3377014318028012,0.0,0.3287127171013806,0.33363615258319956,0.0,0.3376511335372925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,25.48967286702749,19.442048949164313,3.7628233239457414,3.7628233239457414,3.7628233239457414,0.0,0.0,0.3326991450142216,6.043210081152014,0.17296240861351425,4.096834298726675,0.08061646670103073,0.00027878709590515574,0.0,0.6559207004469794,0.0,0.0,0.0,2.192195634584169,49.53245791873417,49.421749114990234,49.518367767333984,49.71218490600586,0.9999999403953552,0.005444723647087812,0.9357404708862305,1.0461032390594482,0.32736584544181824,0.005180480889976025,0.0,0.0,0.0,0.0,0.0,1.0,0.3252246806750426,0.3334704073699745,1.0,0.3413285145888457,0.0,0.32528157894675797,0.33347270778707555,0.0,0.3412457140716347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,24.656754699913233,18.687435459446263,3.75889887036504,3.75889887036504,3.75889887036504,0.0,0.0,0.33203132893588094,5.871081867733517,0.17282953093180786,3.9090806020272746,0.07752703754483042,0.000272757192834507,0.0,0.6457013810003126,0.0,0.0,0.0,2.2088385079358077,49.17073203421928,48.94146728515625,49.22907257080078,49.421749114990234,0.9999997615814209,0.006965223699808121,0.9479278922080994,1.058558464050293,0.3245243430137634,0.007127190008759499,0.0,0.0,0.0,0.0,0.0,1.0,0.3213488048798329,0.33361546654958985,1.0,0.345058280873943,0.0,0.3214417011351199,0.33361883099014694,0.0,0.34493946868020137,250.8830080975543,370.84088342111545,0.6998512828864294,-97.64633690131889,250.8830094134517,326.0770521185682,392.90562246530965,431.34294608199446,208.64755249023438,152.89747891684834,532.095648392387,0.03764910741335516,0.3095209106606865,0.34946713515444505,0.37549800960346663,0.0,0.4423825881029619,0.23529773216343533,0.17498051237177234,1.3845959660464986,0.7165549082114983,0.754882562016782,0.8324356014803415,0.21655490821149825,-0.04511743798321799,-0.1175643985196585,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.332577306490678,2.275579121414122,2.2327152208967522,-8.00033187866211,0.0003352950734551996
6,6e-06,6e-06,0.05,25.564920786264782,19.513274102597624,3.80233899322716,3.80233899322716,3.802666509473646,0.0,0.0,0.33281536762778824,5.936241633183247,0.1725083057944839,4.030877996135402,0.07994973251747119,0.00026149325374815916,0.0,0.6442321265065992,0.0,0.0,0.0,2.23984575915981,48.64721256977803,48.08868408203125,48.75066375732422,49.133018493652344,1.0000001192092896,0.011946906335651875,0.9518316984176636,1.1467944383621216,0.32314568758010864,0.008122901432216167,0.0,0.0,1.5939296870618254,1.187963833680024,0.2546949571722575,1.0,0.31967981924881805,0.3325910399088988,1.0,0.34774836092381867,0.0,0.3197926025132875,0.3326093643098264,0.0,0.3475980331768861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,25.284467258968867,19.337324219781,3.769173931431126,3.769173931431126,3.769805109178698,0.0,0.0,0.33359094246013743,5.732281001838478,0.17216868134769234,3.873577469104045,0.08040567698913652,0.0002882445012408032,0.0,0.6507796596836399,0.0,0.0,0.0,2.298903342839834,47.50035785984348,46.336849212646484,47.714454650878906,48.46584701538086,1.0000001192092896,0.03398009017109871,0.9130255579948425,1.5959738492965698,0.3267153799533844,0.012590517289936543,0.0,0.0,1.530000039049097,0.8996654217307632,0.4119833994972249,1.0,0.32507506818384735,0.32968828726459193,1.0,0.34523424989468343,0.0,0.3251053199574754,0.3297719657421112,0.0,0.34512271752228607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,23.467182056323903,17.73796692410031,3.724478985812213,3.724478985812213,3.7224244555911503,0.0,0.0,0.3346183469166627,5.328595631831401,0.17003259223860664,3.4005610942840576,0.08314188811424617,0.00040742812435948163,0.0,0.6592007408270965,0.0,0.0,0.0,2.464478905136521,44.7122166607831,41.53608322143555,45.52945327758789,47.250762939453125,0.9999999403953552,0.12861108779907227,0.7756350040435791,3.0224850177764893,0.3356105089187622,0.04896003007888794,0.0,0.0,1.3101892729063291,0.6567516310794933,0.4987353013334836,1.0,0.33804550766944885,0.3248353133330474,1.0,0.3373327593545656,0.0,0.3373860692655718,0.32518451519914576,0.0,0.3374294203680915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,22.832900047302246,17.34074102865683,3.7531212213877083,3.7531212213877083,3.7465895768758415,0.0,0.0,0.3315076844112293,4.675410354459608,0.16585703878789335,2.7499413458076685,0.07670279662754084,0.0006628849471264795,0.0,0.6635352791966619,0.0,0.0,0.0,2.705539742031613,41.90402891829207,35.04526901245117,43.61454391479492,46.15619659423828,0.9999998211860657,0.27477753162384033,0.6353552937507629,3.9596076011657715,0.33957743644714355,0.10664139688014984,0.0,0.0,1.2520720443210087,0.6600656275813644,0.4728213679275028,1.0,0.34260072820895426,0.3287248248989518,1.0,0.3301189372668395,0.0,0.3403699534970361,0.32898929795703374,0.0,0.3306407445185893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,22.261771434062236,16.883672018308896,3.668613201863057,3.668613201863057,3.659173765697995,0.0,0.0,0.33179581890235077,4.561909424292074,0.16163288660951564,2.7096237395260787,0.07928218883839813,0.0009495164519427596,0.0,0.6667032515680468,0.0,0.0,0.0,2.722808025978707,41.93529685767921,32.474937438964844,44.21493148803711,47.06654739379883,1.0000001192092896,0.33537793159484863,0.5600811839103699,3.9355814456939697,0.33764976263046265,0.13105271756649017,0.0,0.0,1.6075117781355575,0.8844651982590959,0.44979239947782756,1.0,0.3390576581697206,0.3332569285019024,1.0,0.3302104505332741,0.0,0.3359658750327858,0.3329719425858678,0.0,0.3310621856032191,250.88751321310525,370.71799530315,0.7008538068922349,-96.95281236250322,250.8875133015374,326.1559430190124,393.0933144074602,431.5491832980513,209.25984082903182,153.14732378582622,531.319646752399,0.03803312106723073,0.30995818985828477,0.3032543224010571,0.3396840290865297,0.0,0.40405411311925976,0.202032687274874,0.08120318884031995,1.3838899472943726,0.7163900186874794,0.7533252720677146,0.8323989593638929,0.21639001868747942,-0.04667472793228544,-0.1176010406361071,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.3267217992426277,2.2719685032472507,2.229518677834626,-7.9993391036987305,0.000335628108587116
