epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,23.87608497207229,17.92957875535295,3.8047434059349268,3.8047434059349268,3.8047434059349268,0.0,0.0,0.33239027535593185,5.600324592074832,0.17327836196164828,3.836957532006341,0.0761478635910395,0.000276331595503851,0.0,0.6533627719492525,0.0,0.0,0.0,2.1244277503039384,50.0030588717074,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.007308196276426315,0.9243306517601013,1.0195887088775635,0.33305785059928894,0.00250557460822165,0.0,0.0,0.0,0.0,0.0,1.0,0.33299804780934306,0.33313659638971893,1.0,0.33386929534577037,0.0,0.3329976909869426,0.3331366994896451,0.0,0.3338656095234123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.777544743305928,18.828668375273008,3.8062554887823157,3.8062554887823157,3.8062554887823157,0.0,0.0,0.3308876994493845,5.659577556558557,0.1732391143167341,3.7875777321892814,0.07546935230493546,0.000274815533712909,0.0,0.6529088326402612,0.0,0.0,0.0,2.128974540813549,49.92012436325486,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.006713647861033678,0.9307639002799988,1.018786907196045,0.3319738805294037,0.0026909122243523598,0.0,0.0,0.0,0.0,0.0,1.0,0.33165754418115356,0.3324752143911413,1.0,0.3358756585701092,0.0,0.33165922599869807,0.33247906533447474,0.0,0.33586170302855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,25.68997591895026,19.690808863253206,3.794586226746843,3.794586226746843,3.794586226746843,0.0,0.0,0.3309096943687748,5.8707716207246525,0.17318489986497002,3.8821181477727116,0.0771999884698842,0.0002679167554487248,0.0,0.6517860712231817,0.0,0.0,0.0,2.1334062009244352,49.7807502746582,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.006332379300147295,0.9248991012573242,1.0177807807922363,0.33029380440711975,0.003415072802454233,0.0,0.0,0.0,0.0,0.0,1.0,0.3295343413546279,0.33168745282534007,1.0,0.3387898271148269,0.0,0.329538806870177,0.33169483574661046,0.0,0.3387663614105534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,24.928817877898346,18.901354093809385,3.782327600427576,3.782327600427576,3.782327600427576,0.0,0.0,0.33260694709984034,5.891869106808224,0.1731147633211033,4.056485981554599,0.07904650432032508,0.0002640063820935383,0.0,0.6457420813070761,0.0,0.0,0.0,2.1411360083399593,49.628440753833665,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005578048527240753,0.9401823878288269,1.0206753015518188,0.32788464426994324,0.004717974923551083,0.0,0.0,0.0,0.0,0.0,1.0,0.326622649624541,0.3298695997611896,1.0,0.3435222361538861,0.0,0.32663278805243,0.32988350375278575,0.0,0.3434837057783797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,25.241779095417744,19.20580918080098,3.7429509356215194,3.7429509356215194,3.7429509356215194,0.0,0.0,0.3333874892544102,6.075856608313483,0.17304920465559573,4.104190343135112,0.08114881551748998,0.00026260584756429935,0.0,0.6479342016013893,0.0,0.0,0.0,2.1537284657761857,49.35814027528505,49.22907257080078,49.3253173828125,49.518367767333984,0.9999999403953552,0.004579103551805019,0.9437412619590759,1.0189752578735352,0.324740469455719,0.006460760720074177,0.0,0.0,0.0,0.0,0.0,1.0,0.3227403051144368,0.3279274718181507,1.0,0.34933490849830007,0.0,0.32275316521928116,0.3279441023195112,0.0,0.349302738904953,250.6993551149473,371.5510327844036,0.6934401427049597,-101.76962753966615,250.6993554741922,325.24332146733695,391.66989934426823,429.8605170121302,205.73578643798828,151.11033890598503,536.8238784126613,0.03735450865301049,0.25332314422798147,0.2784408449570495,0.29982231415740757,0.0,0.33868026196556716,0.2932105094075446,0.16961828467402382,1.3907559440067727,0.7363416510937671,0.7827305705177531,0.8314279432780037,0.23634165109376715,-0.017269429482246967,-0.11857205672199622,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.3331232493395335,2.2752573627692003,2.2323545649811463,-8.000367164611816,0.0003352832864038646
6,6e-06,6e-06,0.05,24.461059828062314,18.482882009970176,3.7892264675449683,3.7892264675449683,3.789511422853212,0.0,0.0,0.33322566506024953,5.722340435595126,0.17288180420527588,3.9485821079563452,0.07806921287162884,0.0002448939737184225,0.0,0.6359013302906139,0.0,0.0,0.0,2.1736845390216724,48.938347481392526,48.65553665161133,48.94146728515625,49.22907257080078,1.0000001192092896,0.0045670499093830585,0.9553347229957581,1.0311646461486816,0.32388249039649963,0.007071156054735184,0.0,0.0,1.6513103729969747,1.2195019915297225,0.26149437957175803,1.0,0.322327425351014,0.32404292274165797,1.0,0.35364546324755697,0.0,0.32234823139938146,0.32407509555687775,0.0,0.35357667546014526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,26.49539328910209,20.41638315046156,3.758410859752346,3.758410859752346,3.759058011544717,0.0,0.0,0.33496855883984955,6.131824667389329,0.17265451679358612,4.184041558085261,0.07990008431511957,0.00023602625407039414,0.0,0.653823509409621,0.0,0.0,0.0,2.2023722867707947,48.290401355640306,47.807735443115234,48.371280670166016,48.75066375732422,1.0,0.006549479905515909,0.9438880681991577,1.0722060203552246,0.33002936840057373,0.009077942930161953,0.0,0.0,1.6027783026566376,0.9246206621865969,0.42311381389801733,1.0,0.3319295080932411,0.31742474920040853,1.0,0.3506426094351588,0.0,0.3319211030328596,0.31748892407159546,0.0,0.3505899672572677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,24.724471298423975,18.776132970242887,3.7679048228908227,3.7679048228908227,3.7689023920007654,0.0,0.0,0.3336926005982064,5.727361182908754,0.1725311222914103,3.8952323166099756,0.07713609027701455,0.00023816497422238762,0.0,0.664233694205413,0.0,0.0,0.0,2.2399840226044527,47.43857141443201,46.79157257080078,47.52843475341797,47.99485397338867,1.0000001192092896,0.01227675098925829,0.9303603768348694,1.129590392112732,0.3424089252948761,0.019192377105355263,0.0,0.0,1.565185569428109,0.7453548441062102,0.5237913901937202,1.0,0.3505298253652212,0.30790981167071574,1.0,0.3415539643248996,0.0,0.35037722055976456,0.30808886080174835,0.0,0.3415339250822325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,24.200669417510163,18.313885869206608,3.7778564852637215,3.7778564852637215,3.7784910717525997,0.0,0.0,0.33358090471577,5.583627713693155,0.17231117108383695,3.6778663847897506,0.07750664147976283,0.00024768372531980276,0.0,0.6763313976494042,0.0,0.0,0.0,2.2970823403951286,46.24405072186444,45.17513656616211,46.336849212646484,47.158565521240234,1.0,0.02820625901222229,0.8777169585227966,1.3951541185379028,0.3535517156124115,0.03273274749517441,0.0,0.0,1.3754679834520496,0.5794296441851435,0.5787399989268139,1.0,0.36728807961618576,0.2992552325532243,1.0,0.33347123297485143,0.0,0.36676751036901734,0.2996678207371686,0.0,0.3335646688938141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,24.0483851819425,18.2120178583506,3.764296325477394,3.764296325477394,3.7624415771381274,0.0,0.0,0.3361570778730753,5.493292357470538,0.17186502065207507,3.570599352991259,0.0788000282403585,0.00028405964100808914,0.0,0.6916869991534466,0.0,0.0,0.0,2.40357028471457,44.27357235470333,41.943695068359375,44.648826599121094,46.15619659423828,1.0000001192092896,0.07570862025022507,0.7874752879142761,2.2444941997528076,0.36318278312683105,0.05887959897518158,0.0,0.0,1.1337405781488161,0.43674339716498917,0.6147766027056132,1.0,0.3816024596626694,0.29253359743066737,1.0,0.3263417941492957,0.0,0.3798482973833342,0.29347434076103,0.0,0.3266773610501676,250.70422836974427,371.366455046882,0.694734916548133,-100.87539450676887,250.7042286175426,325.38304416160884,391.91396530302114,430.16062783626006,206.34411839076452,151.47200940745745,535.7363374129585,0.03678605294133574,0.26979281087463175,0.24437528350330437,0.3180982171194939,0.0,0.3586603818332499,0.3054523520279651,0.18860547562937738,1.3870843483380861,0.7262833901286139,0.7741196731523213,0.8324722435967902,0.22628339012861387,-0.025880326847678714,-0.11752775640320978,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.332008380483795,2.2746145856249465,2.2317871212304294,-8.000068664550781,0.0003353833162691444
