epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,23.8761033754091,17.929594916266364,3.804745377721013,3.804745377721013,3.804745377721013,0.0,0.0,0.33239038812147603,5.600326666960845,0.17327836558625503,3.8369552992485665,0.07614787043751897,0.0002763280558487954,0.0,0.6533632503973471,0.0,0.0,0.0,2.124429412790247,50.003032065726615,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.007309139706194401,0.924323320388794,1.0195807218551636,0.33305808901786804,0.002505808835849166,0.0,0.0,0.0,0.0,0.0,1.0,0.3329983353614807,0.33313682917002085,1.0,0.33386878306801254,0.0,0.3329979817609529,0.3331369258262016,0.0,0.3338650956347182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.777555414148278,18.8286907092945,3.806252028491046,3.806252028491046,3.806252028491046,0.0,0.0,0.3308876777017439,5.659585024859454,0.17323885737238703,3.787533779402037,0.07546935784252914,0.000274817127344274,0.0,0.6528935964043076,0.0,0.0,0.0,2.1290577875601278,49.91944441924224,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.006705778650939465,0.9307234287261963,1.018738865852356,0.3319661021232605,0.0026923655532300472,0.0,0.0,0.0,0.0,0.0,1.0,0.33164778673971024,0.33247168966241786,1.0,0.33588895121136225,0.0,0.3316494685572547,0.33247559618305517,0.0,0.33587493525969014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,25.68993650900351,19.69082412204227,3.7945811941817,3.7945811941817,3.7945811941817,0.0,0.0,0.33090967664847504,5.870658668311867,0.17318407707923167,3.8819910706700504,0.0772000094120567,0.00026792271858760834,0.0,0.6517542665069168,0.0,0.0,0.0,2.1335525512695312,49.77463428394215,49.71218490600586,49.71218490600586,49.9067497253418,0.9999999403953552,0.006313776597380638,0.9248419404029846,1.0176491737365723,0.33028069138526917,0.003415620420128107,0.0,0.0,0.0,0.0,0.0,1.0,0.3295209552790668,0.33166454933785106,1.0,0.33882611989974976,0.0,0.32952539421416616,0.3316721102675876,0.0,0.33880249229637355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,24.928799500336517,18.901297749699772,3.782330983393901,3.782330983393901,3.782330983393901,0.0,0.0,0.3326062874214069,5.891929516921172,0.17311444636937734,4.056581516523619,0.07904635339572623,0.00026408409246721784,0.0,0.6458155786668932,0.0,0.0,0.0,2.14107244723552,49.62585655418602,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.0055686128325760365,0.940116286277771,1.0207655429840088,0.32793331146240234,0.004675146657973528,0.0,0.0,0.0,0.0,0.0,1.0,0.32668877372870575,0.3298682014684419,1.0,0.3434572574254629,0.0,0.3266984812311224,0.32988213767876495,0.0,0.3434193810901126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,25.241792446858174,19.205700590803815,3.742950168815819,3.742950168815819,3.742950168815819,0.0,0.0,0.3333868464908084,6.07606644888182,0.17305051031950358,4.104549884796143,0.08114860176637366,0.00026274225407129005,0.0,0.6481245965571016,0.0,0.0,0.0,2.1533293659622603,49.35987225094357,49.22907257080078,49.3253173828125,49.518367767333984,0.9999999403953552,0.004587183240801096,0.943949818611145,1.0192337036132812,0.3248695731163025,0.006382760591804981,0.0,0.0,0.0,0.0,0.0,1.0,0.3229139938547805,0.3279326960847184,1.0,0.34915723832877904,0.0,0.3229262039468095,0.327949382968851,0.0,0.34912441308433945,298.7073272034362,394.30209511325427,1.100423028809765,85.7092034476144,298.70732544383526,391.74528326209446,463.4700697860148,511.43766817101175,346.9763085501535,268.4290294203647,376.2729259988536,0.03734395636832427,0.25306157845954586,0.2783116468866652,0.29945515035749093,0.0,0.3384225024914605,0.29326954066734645,0.1691985626950551,1.390765825620723,0.7363599721519914,0.7827488915759774,0.8314096222197794,0.23635997215199145,-0.017251108424022665,-0.11859037778022052,0.0,0.0,0.0,0.0,1.0,2.3332045071727627,0.0,0.0,-8.000370025634766,0.00033528232597745955
6,6e-06,6e-06,0.05,24.389856261176032,18.41217329695418,3.7889211822200464,3.7889211822200464,3.7889211822200464,0.0,0.0,0.33288677963050634,5.722491470543114,0.17288820526084384,3.9494925705162256,0.0779555026139762,0.00026143167397586276,0.0,0.6323089245203379,0.0,0.0,0.0,2.1725919955485575,48.9475449226998,48.65553665161133,48.94146728515625,49.22907257080078,1.0000001192092896,0.004505093675106764,0.9556105732917786,1.0281111001968384,0.32125797867774963,0.008655808866024017,0.0,0.0,0.0,0.0,0.0,1.0,0.31860271901697723,0.3249269957477982,1.0,0.35648673611718257,0.0,0.3186311214356809,0.3249576228695947,0.0,0.3564112556947244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,26.191797746194375,20.112398302232897,3.7578429273656897,3.7578429273656897,3.7578429273656897,0.0,0.0,0.3344468281075761,6.135800890020422,0.17269295615118904,4.1907122328474715,0.07970189011177502,0.0002596494851860444,0.0,0.6374372163334409,0.0,0.0,0.0,2.196833372116089,48.37228073944917,47.99485397338867,48.371280670166016,48.75066375732422,1.0,0.0058164591901004314,0.94461590051651,1.0579371452331543,0.31693583726882935,0.011283231899142265,0.0,0.0,0.0,0.0,0.0,1.0,0.3132909906877054,0.32212864224975174,1.0,0.36457703806258535,0.0,0.3133549070036089,0.32217534812721044,0.0,0.36446974325824427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,24.33542114979512,18.382216582427155,3.7670738245989823,3.7670738245989823,3.7670738245989823,0.0,0.0,0.3330877399122393,5.741277656039676,0.17257195993049726,3.921550583195042,0.07691783347242587,0.00026512526469682724,0.0,0.6253058555963877,0.0,0.0,0.0,2.2142608810115503,47.73031265671189,47.250762939453125,47.807735443115234,48.18269729614258,1.0,0.009029894135892391,0.9320995211601257,1.0742509365081787,0.3130858838558197,0.013947633095085621,0.0,0.0,0.0,0.0,0.0,1.0,0.308382011748649,0.32053250879854767,1.0,0.3711458678181107,0.0,0.30850869658831004,0.32061789486859293,0.0,0.37087341015403336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,23.804948085063213,17.89238451622628,3.7773893910485343,3.7773893910485343,3.7773893910485343,0.0,0.0,0.3329965045323243,5.644326744852839,0.17233751029581637,3.7653762972032703,0.07728782870076797,0.00027504188128168116,0.0,0.616321367186469,0.0,0.0,0.0,2.2284574895291716,46.94448718509159,46.24643325805664,46.974708557128906,47.52843475341797,0.9999999403953552,0.01678178645670414,0.9036870002746582,1.1987571716308594,0.30935966968536377,0.016796937212347984,0.0,0.0,0.0,0.0,0.0,1.0,0.3037225225487271,0.31851075549383423,1.0,0.37789592952341644,0.0,0.3039568396838936,0.31866086818076467,0.0,0.37738228891346903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,23.591821825182116,17.670836435781943,3.766108364672274,3.766108364672274,3.766108364672274,0.0,0.0,0.33569594412236603,5.68335585980802,0.17202078369823662,3.815542987875036,0.07865504004262588,0.00030461420632294704,0.0,0.6134711455654454,0.0,0.0,0.0,2.2537629346589783,46.02389124277476,44.99901580810547,46.15619659423828,46.883052825927734,1.0,0.03608579561114311,0.8727468848228455,1.4753245115280151,0.30571961402893066,0.02043241262435913,0.0,0.0,0.0,0.0,0.0,1.0,0.29907602313402537,0.31702468604654876,1.0,0.3841054197904226,0.0,0.29949490685720703,0.31725936322598847,0.0,0.38324572991680456,298.02631615020414,393.66535519265216,1.0964364122972445,84.25944491795131,298.0263135346001,391.04236074743517,462.8157424055183,510.7144553829639,345.7854674203055,267.30952802554583,376.89917721955675,0.03690857101074226,0.2620024589429347,0.21736944763659755,0.3076692160775624,0.0,0.3447404176778535,0.30919038386616016,0.19463392171846972,1.3877154976656076,0.7294895753178704,0.777509068923821,0.8324356014803415,0.2294895753178704,-0.022490931076179055,-0.1175643985196585,0.0,0.0,0.0,0.0,1.0,2.330561107004082,0.0,0.0,-8.000596046447754,0.0003352065396029502
