epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,23.845658044557315,17.929609324481035,3.804745261733596,3.804745261733596,3.804745261733596,0.0,0.0,0.33239030032544525,5.600324186118874,0.1732783583370415,3.8369562658103735,0.07614786107395147,0.00027633134458163704,0.0,0.6533623627714209,0.0,0.0,0.0,2.124429109934214,50.0030304161278,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.007309080567210913,0.9243305921554565,1.0195807218551636,0.33305755257606506,0.0025059536565095186,0.0,0.0,0.0,0.0,0.0,1.0,0.3329976732666428,0.333136624581105,1.0,0.33386964330802094,0.0,0.3329973180551787,0.33313673251384013,0.0,0.3338659550692584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2.0000000000000003e-06,0.0,24.74734252207988,18.82865271697173,3.8062573445809855,3.8062573445809855,3.8062573445809855,0.0,0.0,0.33088777919073364,5.6595905407055005,0.1732389733598039,3.787566661834717,0.07546938905442083,0.000274806229139653,0.0,0.652899453768859,0.0,0.0,0.0,2.1290017978565112,49.91982908506651,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.006712496280670166,0.9307490587234497,1.0187588930130005,0.3319695293903351,0.0026927366852760315,0.0,0.0,0.0,0.0,0.0,1.0,0.33165240448874395,0.332471466547734,1.0,0.3358845871848029,0.0,0.33165408227894755,0.3324753408496444,0.0,0.335870576871408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-06,0.0,25.659200719884925,19.690929412841797,3.7945970586828284,3.7945970586828284,3.7945970586828284,0.0,0.0,0.3309100012521486,5.870685873804866,0.17318468802684062,3.8820720685494914,0.0772002170214782,0.0002678999302883607,0.0,0.6517869765694077,0.0,0.0,0.0,2.1334468287390633,49.7771494066393,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.006328461226075888,0.924888551235199,1.0177251100540161,0.33029603958129883,0.0034106571692973375,0.0,0.0,0.0,0.0,0.0,1.0,0.32953843635481755,0.33168190073322606,1.0,0.3387912978997102,0.0,0.32954289220474864,0.3316893529247593,0.0,0.3387677532595557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4.000000000000001e-06,0.0,24.897249840401315,18.901305507969212,3.782357860255886,3.782357860255886,3.782357860255886,0.0,0.0,0.3326063728010332,5.891973289283547,0.17311555590178515,4.056692329612938,0.07904657590630892,0.00026406754654630815,0.0,0.6458740363249907,0.0,0.0,0.0,2.140923377629873,49.63032078098606,49.518367767333984,49.61518478393555,49.71218490600586,0.9999998211860657,0.005591939203441143,0.9401456117630005,1.0208475589752197,0.3279513716697693,0.004673948511481285,0.0,0.0,0.0,0.0,0.0,1.0,0.32670076553886,0.32993257609573573,1.0,0.34338105530352203,0.0,0.3267107517332644,0.32994644706313675,0.0,0.3433428003981307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-06,0.0,25.20918423420674,19.205481129723626,3.7430277643976986,3.7430277643976986,3.7430277643976986,0.0,0.0,0.33338467011580597,6.076069690085746,0.17304981922781146,4.104522150916022,0.08114803491814716,0.00026284962754092504,0.0,0.64810216587943,0.0,0.0,0.0,2.153408346949397,49.36234943286793,49.22907257080078,49.3253173828125,49.518367767333984,0.9999999403953552,0.004594116471707821,0.9439415335655212,1.0192033052444458,0.3248424232006073,0.006400044541805983,0.0,0.0,0.0,0.0,0.0,1.0,0.32287069832956466,0.327967294164606,1.0,0.3491653695299819,0.0,0.3228830799863145,0.32798387472693985,0.0,0.349133046897682,250.594598539583,372.3620670551005,0.6867238519395276,-106.1938490815215,250.5945983711057,324.5046760442468,390.50209827218373,428.42923704835067,202.5223661150251,149.28303107919618,542.0228122213613,0.03734703681673237,0.2529921198730526,0.27822764873922595,0.29929645016430245,0.0,0.33834963440389776,0.29171664524894364,0.16841768380942274,1.3907833710960755,0.7363966142684402,0.7827488915759774,0.831446264336228,0.23639661426844016,-0.017251108424022665,-0.11855373566377192,0.0,0.0,0.5494505494505495,0.45054945054945056,1.0,2.3331491541076494,2.2752652151899024,2.2323603063494293,-4.000730991363525,0.018136784434318542
6,6e-06,6e-06,0.05,24.449771185179014,18.50272696727031,3.789352378329715,3.789352378329715,3.7896753001857446,0.0,0.0,0.33327106688473673,5.722288982288258,0.17287372294309977,3.9481252979587866,0.07808631366571865,0.00024288632856631602,0.0,0.6368170638342161,0.0,0.0,0.0,2.1743809661349736,48.92324488871807,48.65553665161133,48.94146728515625,49.22907257080078,1.0,0.004557512700557709,0.9553217887878418,1.030756950378418,0.324577271938324,0.006852859631180763,0.0,0.0,1.6556414526862067,1.1665104369859438,0.2954329362234009,1.0,0.3233430836651776,0.32365531937496084,1.0,0.3530160599463695,0.0,0.3233609449219059,0.32368710073264867,0.0,0.35295195515091354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-06,0.1,26.523122040001123,20.47652378597775,3.7585201650052458,3.7585201650052458,3.759248147139678,0.0,0.0,0.3350308424717671,6.130645313778439,0.1726403361236727,4.181523819227476,0.07992588436684094,0.00023377527572478898,0.0,0.6567425051250974,0.0,0.0,0.0,2.2050338435817407,48.25150010392473,47.807735443115234,48.27689743041992,48.65553665161133,1.0,0.006779175251722336,0.9433063268661499,1.0763678550720215,0.33235159516334534,0.010310955345630646,0.0,0.0,1.6066285500655304,0.8589087789123123,0.4653967907658061,1.0,0.33529817896920283,0.31626310219635834,1.0,0.34843873333286596,0.0,0.3352775887863056,0.3163309314766446,0.0,0.34839147409877264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8.000000000000001e-06,0.15,24.766695950482344,18.850876833941484,3.767923793277225,3.767923793277225,3.7690454302607357,0.0,0.0,0.33376090591018265,5.723820956977638,0.1725253366135262,3.888908424892941,0.07716225701812152,0.00023596903318665117,0.0,0.6692994832992554,0.0,0.0,0.0,2.2463191199947046,47.35405679651209,46.60914993286133,47.43569564819336,47.99485397338867,1.0,0.013084476813673973,0.9346253275871277,1.1473135948181152,0.3459753394126892,0.022289898246526718,0.0,0.0,1.5622212725716669,0.6771645884256106,0.5665373399307968,1.0,0.35571823812819814,0.3060494298870499,1.0,0.338229603058583,0.0,0.3555261677986867,0.3062428477648142,0.0,0.3382309900747763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-06,0.2,24.204268403955407,18.355266493719977,3.7776585011868864,3.7776585011868864,3.7781948012274666,0.0,0.0,0.3336375444322019,5.568514482395069,0.17230709541488337,3.658031350857503,0.07752157979317613,0.00024647978126587396,0.0,0.68390306910953,0.0,0.0,0.0,2.312676313761118,46.0551943392367,44.91121292114258,46.15619659423828,47.06654739379883,1.0000001192092896,0.030666533857584,0.8732169270515442,1.4324780702590942,0.3585570752620697,0.0374784953892231,0.0,0.0,1.355303658021463,0.5192468271062181,0.6168778678984462,1.0,0.3745753120731663,0.29660976980183573,1.0,0.3288556313192522,0.0,0.3739435922455143,0.2970537100289319,0.0,0.3290026969200856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,1e-05,0.25,24.11493716368804,18.314428909404857,3.7641411085386536,3.7641411085386536,3.761996520532144,0.0,0.0,0.3362163128079595,5.483541224453901,0.1719085997020876,3.557174908148276,0.0788288152701146,0.00028030989483955344,0.0,0.6999870635367729,0.0,0.0,0.0,2.417390797589276,44.10218109955659,41.69865036010742,44.47475814819336,45.976253509521484,1.0,0.07701858133077621,0.7853255271911621,2.2408764362335205,0.36828407645225525,0.0625189021229744,0.0,0.0,1.1126481326850686,0.387692480473905,0.6515587730882031,1.0,0.3889257545406754,0.2903698537800763,1.0,0.32122471928596497,0.0,0.3870492432568524,0.2913191028543421,0.0,0.32163165872161453,250.56977343297265,372.124888485632,0.688288547063677,-105.07581784174992,250.5697737273883,324.6924709282967,390.81252587100437,428.80119847967194,203.30275944301061,149.6929413255795,540.656304732613,0.03665331385025804,0.26847770583585784,0.2391134021456617,0.3163505515473395,0.0,0.3598493222311264,0.2973226745555079,0.18086642476322634,1.387054296210012,0.7246894580630977,0.7723974936792349,0.8325088857132388,0.2246894580630977,-0.027602506320765108,-0.11749111428676118,0.0,0.0,0.5494505494505495,0.45054945054945056,1.0,2.3320308134451015,2.2745518563212928,2.2317276371049357,-4.000141143798828,0.018147390335798264
