epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.78924962636587,18.781049702618574,3.755930185317993,3.755930185317993,3.755930185317993,0.0,0.0,0.33146040020762263,5.931422246469034,0.17327586380211082,4.055779863048244,0.07749557454843779,0.0002775114238878863,0.0,0.6596361479243716,0.0,0.0,0.0,2.1251404607618176,50.00424122165989,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.007194947451353073,0.9210628867149353,1.0193268060684204,0.33305805921554565,0.002472083317115903,0.0,0.0,0.0,0.0,0.0,1.0,0.3329939334779172,0.33315896424087316,1.0,0.3338519858347403,0.0,0.33299345825169535,0.3331590020978773,0.0,0.3338475412613637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.767974002941234,18.775947957425505,3.774054649713877,3.774054649713877,3.774054649713877,0.0,0.0,0.33243885233595566,5.826779391314532,0.17323755251394735,3.985488949595271,0.07810387810742533,0.00027603327573553935,0.0,0.6576053419628659,0.0,0.0,0.0,2.1275404917227254,49.94854942527977,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.0069708451628685,0.9262577295303345,1.0184615850448608,0.33203309774398804,0.0027764642145484686,0.0,0.0,0.0,0.0,0.0,1.0,0.33170892580135447,0.33262395294936925,1.0,0.3356784847942558,0.0,0.3317106100353035,0.3326276693795178,0.0,0.335661722196115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.191718668551058,18.204079731090648,3.8100447525849215,3.8100447525849215,3.8100447525849215,0.0,0.0,0.33294003638061315,5.687661441596779,0.1731715254686974,3.9226728581093453,0.07871817580952838,0.00027125283314317867,0.0,0.6468085243895247,0.0,0.0,0.0,2.1335320923779464,49.76809847032702,49.71218490600586,49.71218490600586,49.9067497253418,1.0,0.006364581640809774,0.9147692918777466,1.017690896987915,0.3298141062259674,0.003741005202755332,0.0,0.0,0.0,0.0,0.0,1.0,0.3289155452638059,0.33152307126973124,1.0,0.3395891342614148,0.0,0.32892087665764064,0.3315357855848364,0.0,0.3395433433958002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.791003665408574,19.746842745188122,3.8305685906796842,3.8305685906796842,3.8305685906796842,0.0,0.0,0.3329608118211901,5.837894961640641,0.1730722192976926,3.9498076245591447,0.07976533100008965,0.00026532115943327144,0.0,0.6468412280082703,0.0,0.0,0.0,2.139877428879609,49.6218546274546,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0056264749728143215,0.9389109015464783,1.0173659324645996,0.3276157081127167,0.004812810104340315,0.0,0.0,0.0,0.0,0.0,1.0,0.3262483332608197,0.32991333909936854,1.0,0.3438824101074322,0.0,0.32625862633859787,0.3299392719526549,0.0,0.3438021033196836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.903953603796058,18.915907808252282,3.7838343027475716,3.7838343027475716,3.7838343027475716,0.0,0.0,0.33221131643733465,5.756000840986097,0.17302811306876106,3.98460518991625,0.08057076252392821,0.0002618093559568798,0.0,0.6471405432030961,0.0,0.0,0.0,2.1480853493149215,49.36913237700591,49.22907257080078,49.3253173828125,49.518367767333984,1.0,0.0051090470515191555,0.9361972212791443,1.0221177339553833,0.3245718479156494,0.006665240507572889,0.0,0.0,0.0,0.0,0.0,1.0,0.32257568352931254,0.32758355946154205,1.0,0.34989289335302404,0.0,0.32258532176146637,0.3276189203197892,0.0,0.3497957514749991,250.55298604022016,374.2008413998866,0.6733114381029408,-115.31374139052171,250.55298482792728,323.1133465577447,388.27813920504695,425.61753581952706,195.87909643990653,145.7633371870647,552.739549719769,0.037391447153845625,0.25173022080752716,0.27490227404655204,0.2966926361366684,0.0,0.33901746327154725,0.2910182169245335,0.1833506022213178,1.3909313506022978,0.7365615037924591,0.7828038547506504,0.8314096222197794,0.2365615037924591,-0.017196145249349648,-0.11859037778022052,0.0,0.0,0.5274725274725275,0.4725274725274725,1.0,2.334083377659976,2.275986630510498,2.2330161395308736,-8.000409126281738,0.00033526920014992356
6,6e-06,6e-05,0.05,24.754385793531263,18.753773328420277,3.767602185945253,3.767602185945253,3.768043543841388,0.0,0.0,0.33461435340546275,5.833018193373809,0.17282201108094808,4.049531421145877,0.08001439514997843,0.0002366501371520949,0.0,0.6373640862671105,0.0,0.0,0.0,2.1720987461708687,48.887126304007865,48.56059646606445,48.94146728515625,49.22907257080078,1.0,0.004321060609072447,0.9508103728294373,1.0265226364135742,0.32564643025398254,0.0068562692031264305,0.0,0.0,1.682374306627222,0.9867571334581118,0.41347348828909813,1.0,0.3249424365726677,0.32286114628250534,1.0,0.352243684433602,0.0,0.3249495456347594,0.3229231278638582,0.0,0.35212733052872325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.347596503592825,19.360748136365736,3.8127583168648385,3.8127583168648385,3.813978188746684,0.0,0.0,0.33222796143712224,5.768149556340398,0.17269531335379626,3.823234980170791,0.07956323138362653,0.00022680543377252951,0.0,0.6522768623120075,0.0,0.0,0.0,2.2085392990627803,48.140188371812975,47.62135314941406,48.18269729614258,48.65553665161133,0.9999997615814209,0.006303135771304369,0.9559206366539001,1.0671558380126953,0.33526840806007385,0.011050120927393436,0.0,0.0,1.6420451177133095,0.6468818960963069,0.6060510828124223,1.0,0.33940775330002243,0.31543085220697764,1.0,0.34517907774126205,0.0,0.33936074617746714,0.31552207469940186,0.0,0.34511718395594004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.25687465152225,20.255831873094714,3.7736418633847624,3.7736418633847624,3.7757483237498515,0.0,0.0,0.3348293666904037,5.921272690231736,0.17255316956623182,3.9295456087267078,0.07765233989905666,0.00022598779233285805,0.0,0.6741449059666814,0.0,0.0,0.0,2.264410199345769,46.97188970204946,46.066139221191406,47.06654739379883,47.807735443115234,1.0000001192092896,0.013214265927672386,0.9424508213996887,1.1747100353240967,0.3491489589214325,0.024191241711378098,0.0,0.0,1.5710081506419826,0.4671834296471364,0.7026218931733582,1.0,0.3601215650906434,0.3054943841856879,1.0,0.33440615760313497,0.0,0.3599416879383293,0.3056426306028624,0.0,0.33441567984787196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.848058700561523,19.901693395666175,3.7953881830782503,3.7953881830782503,3.7972275373098014,0.0,0.0,0.33446198299124436,5.694652215854542,0.17253760349106145,3.7700948070835425,0.07741927063545666,0.00023146502074244358,0.0,0.6959651096447094,0.0,0.0,0.0,2.3500149572217786,45.062050071922506,43.529441833496094,45.26345443725586,46.42744064331055,0.9999998211860657,0.0296221524477005,0.8729913234710693,1.330834150314331,0.3639184236526489,0.03948352113366127,0.0,0.0,1.3141676187515259,0.3442338358711552,0.7380594142182706,1.0,0.3820247988443117,0.29563528218784846,1.0,0.3223568764892784,0.0,0.3815343533013318,0.29594443698187134,0.0,0.3225212097167969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.64019945505503,17.91253254864667,3.777578115463257,3.777578115463257,3.774591484585324,0.0,0.0,0.3322159068004505,5.198666843208107,0.17240835162433418,3.2665878888723014,0.07542226715265093,0.0002769999374396394,0.0,0.718725599147178,0.0,0.0,0.0,2.5338046872938,41.790852005417285,38.33964157104492,42.355308532714844,44.561710357666016,0.9999999403953552,0.09588895738124847,0.7283282279968262,2.296741485595703,0.3776187002658844,0.07118270546197891,0.0,0.0,0.9978976523554003,0.24732596286245295,0.752152976531537,1.0,0.40172366757650635,0.2895256917218904,1.0,0.30937628085548813,0.0,0.3997989852686186,0.2903115894343402,0.0,0.30988942368610484,250.53500718336838,373.8569894063023,0.6754130965315133,-113.83043653886396,250.53500599242685,323.33765660621424,388.67307253299134,426.1194015309634,196.89439991542272,146.31602835840033,550.9639749941618,0.036357674031118725,0.26705012264035005,0.19090411095641047,0.30903647844735266,0.0,0.36354756361519475,0.2786067656582176,0.15296764433547097,1.3867144465810173,0.7222344362610384,0.7695027664797919,0.8323989593638929,0.22223443626103845,-0.030497233520208167,-0.1176010406361071,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3344068759745293,2.2763966613418454,2.233391585585835,-8.000000953674316,0.0003354060463607311
