epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.78918609103641,18.78103021673254,3.7559310230048926,3.7559310230048926,3.7559310230048926,0.0,0.0,0.3314603478521914,5.931410441527495,0.17327584849821553,4.055779089798799,0.0774954878599257,0.0,0.0,0.6596354165592709,0.0,0.0,0.0,2.125141846167075,50.00423812866211,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.0071947453543543816,0.9210593104362488,1.0193347930908203,0.3330576419830322,0.002472130348905921,0.0,0.0,0.0,0.0,0.0,1.0,0.3329935106071266,0.3331587137402715,1.0,0.3338526696772189,0.0,0.3329930313535639,0.3331587435425939,0.0,0.3338482323530558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.767880053133577,18.77589645901242,3.7740549783448913,3.7740549783448913,3.7740549783448913,0.0,0.0,0.33243877823288376,5.826785487097663,0.17323752593349767,3.985480830476091,0.07810383853880135,0.0,0.0,0.6576037229718389,0.0,0.0,0.0,2.1275475733988993,49.94844446955501,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.006970434449613094,0.9262651801109314,1.01845383644104,0.3320324122905731,0.0027765482664108276,0.0,0.0,0.0,0.0,0.0,1.0,0.33170809616913666,0.3326231845327326,1.0,0.3356801013688783,0.0,0.33170978040308563,0.33262690901756287,0.0,0.33566331138481964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.191854889328415,18.204221158414274,3.8100511641115755,3.8100511641115755,3.8100511641115755,0.0,0.0,0.3329402522460834,5.687709776130882,0.17317217628698092,3.9227598100095182,0.07871832487148207,0.0,0.0,0.6468312369810568,0.0,0.0,0.0,2.1334101122778817,49.77025944477803,49.71218490600586,49.71218490600586,49.9067497253418,1.0000001192092896,0.006385430693626404,0.9149158000946045,1.0176987648010254,0.3298194408416748,0.0037459295708686113,0.0,0.0,0.0,0.0,0.0,1.0,0.32891689925580414,0.33155363637047847,1.0,0.33955718456087886,0.0,0.32892222098402074,0.3315662435583166,0.0,0.3395115257920446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.790938248505462,19.746818645580394,3.8305476356197046,3.8305476356197046,3.8305476356197046,0.0,0.0,0.3329615504355044,5.837940048527074,0.17307346857882835,3.9498647805806755,0.0797649491074923,0.0,0.0,0.6468075997120625,0.0,0.0,0.0,2.139678040066281,49.623521237759974,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005668150261044502,0.9389766454696655,1.0174616575241089,0.3275950253009796,0.004843562841415405,0.0,0.0,0.0,0.0,0.0,1.0,0.32621743227984457,0.329928387661238,1.0,0.3438988577675175,0.0,0.32622757070773356,0.3299542947395428,0.0,0.3438181329417873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.905747980684847,18.917741260013067,3.7837377561105265,3.7837377561105265,3.7837377561105265,0.0,0.0,0.3322161540791795,5.756116802627976,0.17303289191142932,3.9849587195628398,0.08057133329881204,0.0,0.0,0.6471350064148774,0.0,0.0,0.0,2.1475821765693457,49.37107869741079,49.133018493652344,49.3253173828125,49.61518478393555,0.9999999403953552,0.005143761169165373,0.9364677667617798,1.022231101989746,0.32460248470306396,0.0066450852900743484,0.0,0.0,0.0,0.0,0.0,1.0,0.3226389949386184,0.32746994253751394,1.0,0.3499444594254365,0.0,0.3226488852823103,0.32750669846663605,0.0,0.34984441383464915,250.5564451951247,374.21102102693516,0.6732609832056929,-115.34739039494441,250.5564451532075,323.10554452663354,388.2628076862565,425.5980673584879,195.83828953334265,145.75352395227713,552.7869654116423,0.0374323847812521,0.2530938439395304,0.2766722057307354,0.298527185347858,0.0,0.3397964780688848,0.29341774611127347,0.1834450873363863,1.390858912810053,0.7363599721519914,0.7827672126342018,0.8314645853944523,0.23635997215199145,-0.017232787365798252,-0.11853541460554762,0.0,0.0,0.5274725274725275,0.4725274725274725,1.0,2.3338526755898865,2.2757461005514794,2.232794774757637,-4.000826358795166,0.01813507080078125
6,6e-06,6e-05,0.05,24.754378035261823,18.753905528300518,3.7674365494702315,3.7674365494702315,3.767901774999258,0.0,0.0,0.33461951645644933,5.832596005620183,0.17282826312490412,4.050227812818579,0.08001500670168851,0.0,0.0,0.6374233896667892,0.0,0.0,0.0,2.1702381984607593,48.89137814496014,48.56059646606445,48.94146728515625,49.22907257080078,0.9999998211860657,0.004303490277379751,0.9547768235206604,1.0269649028778076,0.3257237374782562,0.006814985536038876,0.0,0.0,1.679799440744761,0.9855714665876852,0.41328027460783096,1.0,0.3250664182611414,0.32276054169680624,1.0,0.35222227670050954,0.0,0.3250725156552083,0.32282185554504395,0.0,0.35210562718881144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.34924058656435,19.362501427933978,3.812525729875307,3.812525729875307,3.81375687831157,0.0,0.0,0.3322326710095277,5.767991104641476,0.17268662557408615,3.8241711210560156,0.07956318376032082,0.0,0.0,0.6522848267812986,0.0,0.0,0.0,2.206285270484718,48.163176974734746,47.62135314941406,48.18269729614258,48.65553665161133,1.0,0.006185122299939394,0.9606019258499146,1.0691959857940674,0.33527615666389465,0.011106235906481743,0.0,0.0,1.6402865390519838,0.6462806882085027,0.6059952497189756,1.0,0.3394246447730709,0.315397397086427,1.0,0.34519596196509694,0.0,0.3393774161467681,0.3154877939739743,0.0,0.34513479149019394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.230015600049818,20.230784493523675,3.7733305209391825,3.7733305209391825,3.775383150255358,0.0,0.0,0.3348340698190638,5.916976045917821,0.17249135592499296,3.926207916156666,0.07764993295878977,0.0,0.0,0.6754459738731384,0.0,0.0,0.0,2.264589902516958,46.951425397718275,45.976253509521484,47.06654739379883,47.807735443115234,1.0,0.013326272368431091,0.9417011737823486,1.1819485425949097,0.35004884004592896,0.025237832218408585,0.0,0.0,1.563252171954593,0.46780609440159154,0.700748156443195,1.0,0.3614813153808181,0.3047626960921932,1.0,0.3337795992155333,0.0,0.3612917403917055,0.3049121434624131,0.0,0.33379611936775416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.735301430160934,19.798133669672787,3.793691680238054,3.793691680238054,3.7952738194852262,0.0,0.0,0.3344562488633233,5.674678061459516,0.1724319087492453,3.7520772315360404,0.07739263460845561,0.0,0.0,0.6991444052876653,0.0,0.0,0.0,2.354439658087653,44.94831971864443,43.359737396240234,45.17513656616211,46.336849212646484,0.9999999403953552,0.03192424029111862,0.8663761019706726,1.4153096675872803,0.36596229672431946,0.04211561754345894,0.0,0.0,1.285198740057043,0.3440037546931086,0.7323341955051713,1.0,0.38514227399954926,0.2938201338858218,1.0,0.3210658543818706,0.0,0.3845751865490063,0.2941701967973967,0.0,0.3212546150426607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.513314066706478,17.78592420268703,3.7767884473542908,3.7767884473542908,3.773857735298775,0.0,0.0,0.33224160365156225,5.195085860587455,0.17205253162899534,3.2724788285590507,0.07541194246024699,0.0,0.0,0.7211228335225904,0.0,0.0,0.0,2.5196162623328133,41.953439764074375,38.715885162353516,42.4381103515625,44.561710357666016,0.9999999403953552,0.09070803970098495,0.7398613095283508,2.281228542327881,0.3789790868759155,0.07102344930171967,0.0,0.0,0.9877879329629846,0.24773666141806422,0.7492005589955433,1.0,0.40401671222738317,0.28720268043311864,1.0,0.3093571074911066,0.0,0.40210818922197494,0.2880198150067716,0.0,0.30987199496578527,250.53325076679607,373.8765943001924,0.6752588601975461,-113.92160790831178,250.53325108501159,323.32340924797455,388.65453600020714,426.10253522101056,196.8148296901158,146.27738473581712,551.0775043653405,0.036261646512165444,0.27001095406727316,0.191161386367861,0.31684884724654777,0.0,0.36797002584372973,0.285267289006555,0.16397162184982852,1.3867821853626816,0.7223260415521601,0.7684767872192297,0.832637133120809,0.22232604155216007,-0.031523212780770304,-0.11736286687919095,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3342025535447255,2.2763280423132928,2.233338080919706,-4.000026702880859,0.018149446696043015
