epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.789240837097168,18.78103916065113,3.755928219975652,3.755928219975652,3.755928219975652,0.0,0.0,0.3314604171224543,5.931430655556756,0.17327590206184904,4.055790347021979,0.07749554857208922,0.0002775085182243807,0.0,0.6596383903477643,0.0,0.0,0.0,2.1251355377403467,50.004244623957455,50.00431823730469,50.00431823730469,50.00431823730469,0.9999998211860657,0.007194208446890116,0.9210739135742188,1.0193266868591309,0.33305907249450684,0.0024714989122003317,0.0,0.0,0.0,0.0,0.0,1.0,0.33299518759186203,0.3331598583105448,1.0,0.33384982879097397,0.0,0.33299471236564016,0.33315988730739904,0.0,0.3338454099925789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.767937118942672,18.775906562805176,3.7740524717279382,3.7740524717279382,3.7740524717279382,0.0,0.0,0.33243890469138687,5.826791331574723,0.17323773293881803,3.9855057097770072,0.07810390670154546,0.00027603226260760347,0.0,0.6576155633539766,0.0,0.0,0.0,2.127523080722706,49.94904543902423,49.9067497253418,49.9067497253418,50.00431823730469,0.9999998211860657,0.0069730947725474834,0.926250159740448,1.0184537172317505,0.33203747868537903,0.0027754574548453093,0.0,0.0,0.0,0.0,0.0,1.0,0.33171363698469625,0.33263033386823293,1.0,0.3356673757772188,0.0,0.3317153220241134,0.332634005997632,0.0,0.33565067278372274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.1918458423099,18.20416937647639,3.8100524464169063,3.8100524464169063,3.8100524464169063,0.0,0.0,0.3329402296929746,5.687687319678229,0.17317249927971815,3.9227855882129155,0.07871829959991816,0.00027126440938839033,0.0,0.6468438183939135,0.0,0.0,0.0,2.1333692718196557,49.77069648536476,49.71218490600586,49.71218490600586,49.9067497253418,1.0000001192092896,0.006391822826117277,0.9149264097213745,1.0177308320999146,0.3298235237598419,0.0037454955745488405,0.0,0.0,0.0,0.0,0.0,1.0,0.3289201589854988,0.33156565637201874,1.0,0.33954188469293956,0.0,0.3289255008504197,0.33157819831693497,0.0,0.339496304054518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.791203060665644,19.746993477280075,3.830577921222996,3.830577921222996,3.830577921222996,0.0,0.0,0.3329612185826173,5.837946814459723,0.17307373961886843,3.949942653243606,0.07976554575804118,0.0002653201054026549,0.0,0.646871483003771,0.0,0.0,0.0,2.1396248405044145,49.62476668486724,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005667062476277351,0.9391088485717773,1.0174691677093506,0.32762327790260315,0.004819244612008333,0.0,0.0,0.0,0.0,0.0,1.0,0.3262502768555203,0.32995693023140366,1.0,0.3438366852902077,0.0,0.3262606625621383,0.3299826882980965,0.0,0.3437566499452333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.90404752782873,18.91595040140925,3.783843220891179,3.783843220891179,3.783843220891179,0.0,0.0,0.3322123184397414,5.756044639123453,0.17302839578808965,3.9847719411592224,0.08057091848270313,0.00026178697196489856,0.0,0.6471301558855418,0.0,0.0,0.0,2.1478487414282723,49.372156813337995,49.22907257080078,49.3253173828125,49.61518478393555,1.0000001192092896,0.005147859454154968,0.9362996816635132,1.0222582817077637,0.32456108927726746,0.006682685576379299,0.0,0.0,0.0,0.0,0.0,1.0,0.32255835468704636,0.3275976648201814,1.0,0.3498965775644457,0.0,0.3225682844986787,0.3276331569697406,0.0,0.34979854967143087,250.50596086271517,374.47711599924315,0.6711029519653802,-116.68595462840992,250.50596160458778,322.9383729173563,387.9228764364236,425.16233958473595,194.77307782854353,145.1809336935827,554.3550627335259,0.03733292971347174,0.24768061700864544,0.27061320431755276,0.2920283460343594,0.0,0.3335774998526658,0.2905063160370018,0.18818196925205674,1.3912013086005153,0.7365248616760104,0.7828221758088747,0.8312996958704335,0.2365248616760104,-0.017177824191125346,-0.11870030412956645,0.0,0.0,0.521978021978022,0.47802197802197804,1.0,2.3344023126167257,2.2762145694795546,2.233231462947615,-8.00041675567627,0.00033526666811667383
6,6e-06,6e-05,0.05,24.7110890053414,18.710621472951527,3.7674760818481445,3.7674760818481445,3.767857448474781,0.0,0.0,0.3345450114559483,5.832497699840649,0.17282331271751508,4.050447786176527,0.079985587782151,0.00023953072416810068,0.0,0.6363823478286331,0.0,0.0,0.0,2.170048159521979,48.89648282850111,48.56059646606445,48.94146728515625,49.22907257080078,1.0000001192092896,0.00435185432434082,0.9480011463165283,1.02718186378479,0.3249903619289398,0.0068783629685640335,0.0,0.0,1.6818488771851,1.062435955614657,0.3682928531647567,1.0,0.3240039316383568,0.3231195396668202,1.0,0.35292796750326416,0.0,0.3240133878347036,0.32317978224238836,0.0,0.3528068315338444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.258077054410368,19.270458891585065,3.812581964441248,3.812581964441248,3.8135994576119088,0.0,0.0,0.33213824517018087,5.769695269094931,0.172705175103368,3.8275734798328296,0.07952166721224785,0.00022952643386717583,0.0,0.6489501949903127,0.0,0.0,0.0,2.201975983542365,48.23714611981366,47.714454650878906,48.27689743041992,48.65553665161133,1.0000001192092896,0.005799619480967522,0.9583002924919128,1.0613486766815186,0.3329343795776367,0.00941315945237875,0.0,0.0,1.6426924724836607,0.7327967189453743,0.5539051093127455,1.0,0.33600857934436285,0.31666560994612203,1.0,0.3473467577148128,0.0,0.33597533847834615,0.3167545722948538,0.0,0.34727008600492737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.116047214817357,20.112713556031924,3.7734269644763017,3.7734269644763017,3.775156021118164,0.0,0.0,0.3347426717345779,5.924270803863938,0.17254859933982025,3.9405620484738737,0.07761425806863888,0.00022836492988406807,0.0,0.669452377267786,0.0,0.0,0.0,2.2483494217331343,47.17811172072952,46.336849212646484,47.250762939453125,47.90120315551758,1.0,0.011861293576657772,0.9414201974868774,1.1605751514434814,0.34590795636177063,0.021397234871983528,0.0,0.0,1.5853287787050814,0.5476121773590913,0.6545750101083836,1.0,0.3554108730844549,0.307163870012438,1.0,0.33744217978941426,0.0,0.3552625815610628,0.3073046690708882,0.0,0.33743274534070816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.727459366257126,19.775918883246344,3.7948036967097103,3.7948036967097103,3.796412384187853,0.0,0.0,0.334395193570369,5.7030523274395915,0.1724894493818283,3.7922295750798405,0.07739121879677514,0.0002338265857778842,0.0,0.6900637037045246,0.0,0.0,0.0,2.3217872606741414,45.445162489607526,44.04254913330078,45.618465423583984,46.70027160644531,0.9999998211860657,0.02690339833498001,0.881984531879425,1.2851179838180542,0.36009377241134644,0.03602571412920952,0.0,0.0,1.3406671962222538,0.4081138009960587,0.6955890304871738,1.0,0.3765572043689522,0.2971357340748246,1.0,0.32630341197993307,0.0,0.37613397111763824,0.29743296069067876,0.0,0.32643307141355565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.661314010620117,17.90733698252085,3.778560670646461,3.778560670646461,3.7766217669925175,0.0,0.0,0.33220863100644704,5.252811979603123,0.1723313186619733,3.3410810554349744,0.07544162074053609,0.0002748324489378295,0.0,0.7107623203380687,0.0,0.0,0.0,2.4672614110482707,42.71606713372308,39.789127349853516,43.19069290161133,45.08699035644531,1.0,0.08118211477994919,0.7586252093315125,2.0622966289520264,0.3729899823665619,0.06349866837263107,0.0,0.0,1.0760231533566036,0.3021757884605511,0.7191735256644544,1.0,0.39544181243793386,0.28965002459448735,1.0,0.31534240535787633,0.0,0.3938712582394883,0.29037754600112503,0.0,0.31575119575938665,250.4991323659708,374.15771101330523,0.6730941951518562,-115.29910062433599,250.4991324058386,323.17385046553505,388.3299609827482,425.6766937544302,195.74691935947962,145.70271425468977,552.7165981790293,0.036292243145765034,0.2560737414550141,0.19308808628889582,0.2935111425289304,0.0,0.3432393649854241,0.2823015846476783,0.16608907019987698,1.3872461984000277,0.7241398263163681,0.7723608515627862,0.8323989593638929,0.22413982631636808,-0.027639148437213823,-0.1176010406361071,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.335245669543088,2.2770479108606065,2.2339902297481076,-8.000024795532227,0.0003353980428073555
