epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.019563262527054,18.104236602783203,3.8006149884816764,3.8006149884816764,3.8006149884816764,0.0,0.0,0.3323152105550508,5.62563317530864,0.1732763180861602,3.7673580646514893,0.026603327082419716,1.8224767749465223e-05,0.0,0.7864832233738255,0.0,0.0,0.0,2.1579194713283227,50.00375087841137,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.003151992103084922,0.957017719745636,1.0188078880310059,0.333080530166626,0.0011091693304479122,0.0,0.0,0.0,0.0,0.0,1.0,0.33304609237490473,0.33304669567056605,1.0,0.3339119263597437,0.0,0.3330463847598514,0.3330473150755908,0.0,0.33390630177549413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.498077727652884,20.470803673202926,3.770944795093021,3.770944795093021,3.770944795093021,0.0,0.0,0.33120369427912943,6.056010916426375,0.1732451943932353,4.047682175765166,0.026885595424352465,1.8192850974800593e-05,0.0,0.784382700920105,0.0,0.0,0.0,2.1610324318344527,49.93823530867293,49.9067497253418,49.9067497253418,50.00431823730469,0.9999998211860657,0.0030179719906300306,0.9538837671279907,1.0203299522399902,0.3324425220489502,0.0013027709210291505,0.0,0.0,0.0,0.0,0.0,1.0,0.3323176011845872,0.33234376359630274,1.0,0.33534781916721446,0.0,0.3323211259133107,0.33234797377844116,0.0,0.33533089466997096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.4449997205992,17.544320364256162,3.8048031330108643,3.8048031330108643,3.8048031330108643,0.0,0.0,0.33222726873449376,5.557990338351275,0.17319343984127045,3.7439784745912292,0.025933117404378748,1.8085218323756487e-05,0.0,0.7816131952646617,0.0,0.0,0.0,2.1664715715356775,49.80714055654165,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.002954533789306879,0.9695683717727661,1.0269348621368408,0.3311508595943451,0.001963173970580101,0.0,0.0,0.0,0.0,0.0,1.0,0.3308378015015576,0.33094702298576767,1.0,0.3382261395454407,0.0,0.33084750175476074,0.3309566692726032,0.0,0.3381958273616997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.85138988494873,19.822654698346113,3.821370556547835,3.821370556547835,3.821370556547835,0.0,0.0,0.332386403470426,5.842945788357709,0.1730932158392829,4.012992891105446,0.027795212393676914,1.792195901027692e-05,0.0,0.7754929597313339,0.0,0.0,0.0,2.175198091043008,49.63400835604281,49.518367767333984,49.61518478393555,49.71218490600586,0.9999999403953552,0.003415105864405632,0.975429356098175,1.0512268543243408,0.32918494939804077,0.0031655002385377884,0.0,0.0,0.0,0.0,0.0,1.0,0.3285574163939502,0.3289675309851363,1.0,0.3424912916647421,0.0,0.32857451084497813,0.3289812215276667,0.0,0.34244427246016423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.55574659399084,18.64303631395907,3.8015334283983386,3.8015334283983386,3.8015334283983386,0.0,0.0,0.3312367063921851,5.622515923268086,0.1729729497754896,3.76016184445974,0.02672374145304029,1.7693457610565365e-05,0.0,0.7672267121237677,0.0,0.0,0.0,2.186052973205979,49.43142844535209,49.22907257080078,49.421749114990234,49.61518478393555,0.9999998211860657,0.004769835155457258,0.9796801209449768,1.0547586679458618,0.3268935978412628,0.004660007078200579,0.0,0.0,0.0,0.0,0.0,1.0,0.32593221599991257,0.32648631608163986,1.0,0.3476188239213583,0.0,0.3259661632615167,0.32651684654725566,0.0,0.34751698535841863,250.62972479600174,373.80969504921285,0.6763369704287803,-113.44700809101482,250.62972451543186,323.48774576873024,388.69328202326244,426.1347660125746,197.00893783569336,146.64184061686197,550.4076067053753,0.03642513618705367,0.3077872927304019,0.288938228695716,0.3219850980303363,0.0,0.401163231559379,0.2163389044784189,0.005390476913210588,1.3860250934290086,0.716426660803928,0.7555054779964091,0.8324356014803415,0.21642666080392803,-0.04449452200359094,-0.1175643985196585,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.335968250101739,2.2767415655838263,2.2338322692520016,-8.000238418579102,0.0003353264182806015
6,6e-06,6e-05,0.05,24.7449231276641,18.792814022785908,3.8191574715279244,3.8191574715279244,3.8196452952720024,0.0,0.0,0.332384831196553,5.670878532770518,0.1728431099169963,3.8199631072379447,0.02662627721155012,1.572381625993404e-05,0.0,0.7598286271095276,0.0,0.0,0.0,2.1973013942306108,49.09675876514332,48.845970153808594,49.133018493652344,49.3253173828125,1.0000001192092896,0.00660081347450614,0.9822515249252319,1.082047700881958,0.32405930757522583,0.006499161012470722,0.0,0.0,0.41506149478860804,0.2633174617548247,0.3655940985589786,1.0,0.3224699005887315,0.3245513753311054,1.0,0.3529719049866135,0.0,0.32252123790818293,0.3245822771175488,0.0,0.3528964801414593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.621980667114258,18.655442959553486,3.811038120372875,3.811038120372875,3.812122061445906,0.0,0.0,0.332293796378213,5.717982994543539,0.17247882082655625,3.8790209228928023,0.028198594126749684,1.4831554196732483e-05,0.0,0.7720521382383398,0.0,0.0,0.0,2.234146730319874,48.39483683818096,47.807735443115234,48.46584701538086,48.94146728515625,0.9999999403953552,0.012443270534276962,0.9658576250076294,1.166074275970459,0.3327903151512146,0.01113082468509674,0.0,0.0,0.40118127739107284,0.18056105520274188,0.549926516070364,1.0,0.3359136533092808,0.316147389444145,1.0,0.347956998122705,0.0,0.33588747559367,0.3162256084583901,0.0,0.3478869143370035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.535945222184466,20.492593172434216,3.781584965216147,3.781584965216147,3.783449765798208,0.0,0.0,0.33247371219299937,6.005640584069329,0.1722420296958975,4.117344559849919,0.0279909301599538,1.4677832459219152e-05,0.0,0.7942159224200893,0.0,0.0,0.0,2.298786040898916,47.093132431442676,45.88654327392578,47.250762939453125,48.18269729614258,0.9999999403953552,0.024784550070762634,0.9256826043128967,1.4676769971847534,0.34942391514778137,0.028003565967082977,0.0,0.0,0.38719649975364273,0.13690171249814936,0.6464283313892188,1.0,0.3608252204753257,0.3037594097691613,1.0,0.33550401233338023,0.0,0.3604911227484007,0.30399096656490016,0.0,0.33551790424295375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.001636711326807,18.158202583725387,3.835070223421664,3.835070223421664,3.8361606211275667,0.0,0.0,0.3324467684771564,5.413504355662578,0.17266163149395505,3.437145136498116,0.02710700941246909,1.4947914998039187e-05,0.0,0.8237778270566786,0.0,0.0,0.0,2.4129371127566777,44.95646296320735,42.85457992553711,45.26345443725586,46.79157257080078,0.9999999403953552,0.04593198746442795,0.8706079125404358,1.755462884902954,0.3654767572879791,0.04762110859155655,0.0,0.0,0.3476734233869089,0.10601052440501549,0.695085913175936,1.0,0.38472690936681386,0.2924928576559634,1.0,0.32306881047583913,0.0,0.3837048524134868,0.2930062356832865,0.0,0.32328891351416306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.458073152078164,18.69297048207876,3.8001549308364457,3.8001549308364457,3.7949523088094352,0.0,0.0,0.33254707181775894,5.329499882620734,0.17383233357120204,3.295107074685999,0.02798602236686526,1.6318903608653517e-05,0.0,0.8474877605567107,0.0,0.0,0.0,2.5904346350077034,41.971389461208034,37.3784294128418,42.85457992553711,45.440608978271484,0.9999997615814209,0.11661817133426666,0.6978951692581177,2.8058559894561768,0.3766484260559082,0.0847652480006218,0.0,0.0,0.27289859749175405,0.07792594525459651,0.7144509133765294,1.0,0.4006679235277949,0.2879551415507858,1.0,0.31283778999302836,0.0,0.3972390535715464,0.2892199674168149,0.0,0.3135409862608523,250.6109636118124,373.59958631476,0.6776427504837387,-112.47945112710471,250.61096498710717,323.5940412512974,388.8919161530552,426.4105922883782,197.65837260654993,146.99402050639307,549.2469157343326,0.03694344100321618,0.34058747399625716,0.27137616443137325,0.2727232956087543,0.0,0.38763551966083976,0.1850712278086148,-0.03449748341973677,1.3858244706728888,0.7163350555128064,0.7544245355611741,0.8324356014803415,0.2163350555128064,-0.045575464438825986,-0.1175643985196585,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3347139823567735,2.2758690125339633,2.2330401762501224,-8.000164985656738,0.00033535106922499835
11,1e-05,0.0001,0.3,23.309683000719225,17.79099853618725,3.755320510348758,3.755320510348758,3.74094312255447,0.0,0.0,0.3313797027678103,4.80476138398454,0.17194000812801155,2.8173212811753556,0.026342567861885637,2.0716033317070026e-05,0.0,0.8577751775045652,0.0,0.0,0.0,2.82402102367298,39.34290282790725,29.39602279663086,41.45503616333008,45.17513656616211,1.0000001192092896,0.2360144704580307,0.5816459655761719,3.2749814987182617,0.38115254044532776,0.14441166818141937,0.0,0.0,0.2731728594045381,0.10138988011592143,0.6288435083304726,1.0,0.4057297263596509,0.2923756974774438,1.0,0.30678861930563645,0.0,0.39738438983221314,0.2945200204849243,0.0,0.30809559048833074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,22.051084647307526,16.600229546830462,3.7818072873192863,3.7818072873192863,3.763108169710314,0.0,0.0,0.33254618096995997,4.470901173514289,0.167920409827619,2.6756551459028914,0.026681880995228485,2.419103613057224e-05,0.0,0.866537140833365,0.0,0.0,0.0,2.7781033064867997,40.28873577633419,27.028043746948242,43.022308349609375,48.18269729614258,1.0000001192092896,0.25020331144332886,0.565837025642395,3.27077579498291,0.37758389115333557,0.14851616322994232,0.0,0.0,0.28438529331941864,0.10959646629320609,0.6146197821484797,1.0,0.39987127200977224,0.2975570237314379,1.0,0.3079484475625528,0.0,0.3909216917849876,0.2995000360785304,0.0,0.30957827535835475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,22.070146045169317,16.696768734906172,3.730126954413749,3.730126954413749,3.7097840953517602,0.0,0.0,0.33245742401561224,4.373696095234639,0.1643359838305293,2.642047063724415,0.0289057971959984,2.932652318417535e-05,0.0,0.8596454762123726,0.0,0.0,0.0,2.778599300900021,41.112682445629225,24.657424926757812,43.95661163330078,51.89480972290039,0.9999998211860657,0.26387232542037964,0.4836045205593109,3.1368343830108643,0.37501129508018494,0.15287062525749207,0.0,0.0,0.2991367155635679,0.11957844336693352,0.6002548762974481,1.0,0.39565408793655604,0.30120314939602,1.0,0.30907285052376826,0.0,0.38609863535777944,0.30282026448765315,0.0,0.3110811009600356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,20.893329207961624,15.589524977915996,3.7617851012461894,3.7617851012461894,3.7429339950149125,0.0,0.0,0.33245337331617203,4.043835272660127,0.16246043145656586,2.471432579530252,0.02753346521608733,3.3874613625419046e-05,0.0,0.8544186240917927,0.0,0.0,0.0,2.6959722944208093,42.85005466358082,23.62036895751953,45.52945327758789,56.33127975463867,1.0000001192092896,0.2654971778392792,0.42598918080329895,3.0671942234039307,0.3706322908401489,0.14732472598552704,0.0,0.0,0.2696648759616388,0.09914229427640503,0.6323499902504599,1.0,0.38875812694833084,0.3062299771888836,1.0,0.31086735226012563,0.0,0.3799524581110155,0.30718661079535614,0.0,0.31286092464988297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.999617345238583e-06,9.999617345238582e-05,0.5,18.971279814436627,13.759767712773504,3.758165978096627,3.758165978096627,3.7386187282768457,0.0,0.0,0.33235716175388647,3.717978438815555,0.16046896093600505,2.3576699237565735,0.02617144287639373,4.308599671128684e-05,0.0,0.8579787434758367,0.0,0.0,0.0,2.6962745705166378,44.55014388625686,22.016603469848633,47.158565521240234,61.626609802246094,0.9999999403953552,0.29492247104644775,0.3112494945526123,3.196904420852661,0.3688879609107971,0.15653739869594574,0.0,0.0,0.29312355051169525,0.11395624763256795,0.6112347594260555,1.0,0.3851915171017518,0.31224291550146566,1.0,0.30924574668343,0.0,0.3758349990522539,0.3127034910627314,0.0,0.31146151471782374,250.45787060915768,372.9018740252165,0.6806740749791667,-110.04133048424355,250.45786978631438,323.7694331021061,389.34027053298814,427.0435345491831,199.34674780709403,147.75934266674426,546.2380437436311,0.03930641954814896,0.3267623465742747,0.28956414515918577,0.24953809090775914,0.0,0.3622090018630964,0.20003838590824907,0.05365470182798538,1.3840971056190106,0.7163900186874794,0.7536733721739768,0.8330218753435198,0.21639001868747942,-0.04632662782602326,-0.11697812465648016,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3321227850494806,2.2734682019595263,2.2308002081546157,-7.9987101554870605,0.0003358391986694187
16,9.999402106450908e-06,9.999402106450908e-05,0.55,18.756151560190563,13.602440254108325,3.707764651324298,3.707764651324298,3.684379377880612,0.0,0.0,0.3324222290838087,3.630261485641067,0.1573264639119844,2.40726980325338,0.02707719480669176,4.977996876412952e-05,0.0,0.8590096283603359,0.0,0.0,0.0,2.580949763993959,47.65361600308805,21.887977600097656,49.9067497253418,68.4814224243164,0.9999999403953552,0.3139081299304962,0.25,3.692150354385376,0.3662259578704834,0.15721817314624786,5.47105810263705e-06,0.0,0.26893028939092484,0.09373864471106916,0.6514388731616321,1.0,0.38028576325725866,0.31907729844789245,1.0,0.30698093288653605,0.0,0.3713639451039804,0.3191120254026877,0.0,0.3095240238550547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
