epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.789216118889886,18.781047511745143,3.7559298180245064,3.7559298180245064,3.7559298180245064,0.0,0.0,0.3314603945693454,5.931412439088564,0.17327585977476997,4.055777311325073,0.07749548705445754,0.0002775109731718092,0.0,0.6596358160714846,0.0,0.0,0.0,2.1251413757736617,50.00424029376056,50.00431823730469,50.00431823730469,50.00431823730469,1.000000238418579,0.007194372359663248,0.9210739135742188,1.0193268060684204,0.33305788040161133,0.0024719529319554567,0.0,0.0,0.0,0.0,0.0,1.0,0.33299372647259684,0.33315887080656514,1.0,0.3338522894962414,0.0,0.3329932472190341,0.3331589086635693,0.0,0.33384784492286473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.767892218924857,18.77589596928777,3.7740535413896716,3.7740535413896716,3.7740535413896716,0.0,0.0,0.332438895831237,5.826779951920381,0.17323754647293607,3.985488227895788,0.07810386290421358,0.000276030957654773,0.0,0.6576059428421227,0.0,0.0,0.0,2.1275388356801628,49.94851602090372,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.006971333641558886,0.9262616038322449,1.0184577703475952,0.3320334851741791,0.0027763107791543007,0.0,0.0,0.0,0.0,0.0,1.0,0.3317094590212848,0.3326238224635253,1.0,0.3356780860875104,0.0,0.331711148893511,0.33262754855929194,0.0,0.3356612985198562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.191760527121055,18.20412236291009,3.8100496240564294,3.8100496240564294,3.8100496240564294,0.0,0.0,0.33294036984443665,5.687683872274451,0.17317222783694397,3.9227502797100997,0.07871832351225454,0.00027125322014546474,0.0,0.6468306618767816,0.0,0.0,0.0,2.1334156410114185,49.7698923059412,49.71218490600586,49.71218490600586,49.9067497253418,1.0000003576278687,0.006387253291904926,0.9148586392402649,1.0177029371261597,0.32982009649276733,0.0037452110555022955,0.0,0.0,0.0,0.0,0.0,1.0,0.32891849408278595,0.3315504024157653,1.0,0.339558864767487,0.0,0.32892382789302516,0.33156303135124415,0.0,0.3395131415611989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.791096352242135,19.746920766057194,3.8305783658414274,3.8305783658414274,3.8305783658414274,0.0,0.0,0.3329608939789437,5.8379519501247925,0.17307338601834066,3.949897675900846,0.0797653074401456,0.00026534654347955977,0.0,0.6468731680431882,0.0,0.0,0.0,2.1397121532543286,49.62347618309227,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.005655498709529638,0.9390134215354919,1.017441749572754,0.327627032995224,0.004813645500689745,0.0,0.0,0.0,0.0,0.0,1.0,0.3262570049311664,0.3299479524831514,1.0,0.34383892851906855,0.0,0.32626732136752157,0.3299738015677478,0.0,0.3437588754537943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.903955975094355,18.915933828096133,3.783825803447414,3.783825803447414,3.783825803447414,0.0,0.0,0.3322122725280556,5.7559847896163525,0.17302791089624972,3.9846781846639274,0.08057089834599881,0.00026179258743099664,0.0,0.647123895786904,0.0,0.0,0.0,2.1478811921300114,49.371334282127584,49.22907257080078,49.3253173828125,49.61518478393555,1.0,0.00514591857790947,0.9362595677375793,1.0222586393356323,0.3245519697666168,0.0066896649077534676,0.0,0.0,0.0,0.0,0.0,1.0,0.32254059653024414,0.3276255098549095,1.0,0.34988630542884,0.0,0.32255043210210027,0.3276609794513599,0.0,0.3497885876410716,250.58451751038268,372.356906142185,0.6867139615651301,-106.18243676489526,250.58451822494249,324.53183967499564,390.5457293118464,428.46990403452605,202.5556150163923,149.27243781274603,542.0075739984927,0.0373200776460339,0.2474103585157532,0.2698730255155445,0.2913233540890444,0.0,0.33308168093751134,0.2897242824682822,0.18716440668427137,1.3912056897562808,0.7365248616760104,0.7828221758088747,0.8312996958704335,0.2365248616760104,-0.017177824191125346,-0.11870030412956645,0.0,0.0,0.5494505494505495,0.45054945054945056,1.0,2.334401614390887,2.276222901357399,2.2332394430925557,-8.000410079956055,0.000335268909111619
6,6e-06,6e-05,0.05,24.65827194420067,18.658044634638607,3.767325891030801,3.767325891030801,3.767618520839794,0.0,0.0,0.33443508599255534,5.832236025784467,0.1728276392898044,4.051098881541072,0.07994271573182699,0.0002443668876170508,0.0,0.635029179018897,0.0,0.0,0.0,2.168762155481287,48.89798880912162,48.56059646606445,48.94146728515625,49.22907257080078,1.0000001192092896,0.004371801391243935,0.9449965357780457,1.0240082740783691,0.32409489154815674,0.007062677759677172,0.0,0.0,1.6832063488058142,1.1810919271933067,0.2983082983074197,1.0,0.32273235353263646,0.3234242450546574,1.0,0.3538986670004355,0.0,0.32274501065950134,0.32348361933553543,0.0,0.35377137242136775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.140584610603952,19.15348769523002,3.812260679296545,3.812260679296545,3.8130737382012443,0.0,0.0,0.33199570227313685,5.768945172026351,0.17270539620438138,3.8290672495558455,0.0794589083541084,0.00023453173108046522,0.0,0.644484286372726,0.0,0.0,0.0,2.198573466893789,48.250224036139414,47.807735443115234,48.27689743041992,48.65553665161133,1.0,0.005652772728353739,0.9561261534690857,1.0572540760040283,0.32983720302581787,0.007754306774586439,0.0,0.0,1.6420996060242523,0.8657459584442345,0.4727810936266382,1.0,0.33154168080639196,0.31807790817441167,1.0,0.35040752629976013,0.0,0.3315238002184275,0.3181614972449638,0.0,0.35031470173114054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.90281313818854,19.900319730913317,3.7728385731980607,3.7728385731980607,3.774207997966457,0.0,0.0,0.33460340467659205,5.921387885067914,0.172529105399106,3.944724598446408,0.07755168567638139,0.0002332126978954703,0.0,0.661816278019467,0.0,0.0,0.0,2.237680725149206,47.24902549949852,46.42744064331055,47.343135833740234,47.99485397338867,1.0000001192092896,0.01126124057918787,0.9392936825752258,1.143725872039795,0.3405882716178894,0.017014792189002037,0.0,0.0,1.5871411336434853,0.6702405004887968,0.577705796742742,1.0,0.34766672028077616,0.3099630458934887,1.0,0.3423897511250264,0.0,0.3475592265257964,0.3100880344171782,0.0,0.3423527390570254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.494443790332692,19.54470933450235,3.793588419218321,3.793588419218321,3.7948136394088334,0.0,0.0,0.3342962120030377,5.696440625835109,0.1724114925474734,3.799299310993504,0.07733077092750652,0.00023950470495037735,0.0,0.6786278663454829,0.0,0.0,0.0,2.2973369972125903,45.665244231352936,44.38798141479492,45.7970085144043,46.79157257080078,0.9999999403953552,0.02684120088815689,0.878783106803894,1.3163350820541382,0.352450966835022,0.029826771467924118,0.0,0.0,1.3461195391577643,0.5015306456668956,0.627424882354288,1.0,0.36542064595866847,0.30121296644210815,1.0,0.3333636602839908,0.0,0.36509526017549876,0.30147670571868485,0.0,0.3334280316894119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.467626752080143,17.704663431322253,3.7783897180815003,3.7783897180815003,3.7769406743951746,0.0,0.0,0.33216178578299443,5.266965466576654,0.17209885813094475,3.3768075994543127,0.07541657188856923,0.00028047607141874124,0.0,0.6961166294845375,0.0,0.0,0.0,2.4171755378310746,43.36774423960093,40.81233596801758,43.78524398803711,45.440608978271484,1.0,0.07416439056396484,0.7636935710906982,1.9862964153289795,0.3636499345302582,0.05492185801267624,0.0,0.0,1.1192747016210813,0.3782456766914677,0.6620618011435062,1.0,0.38205712872582515,0.2934996050757331,1.0,0.32476350342905197,0.0,0.380791896903837,0.2941530604620238,0.0,0.32505503860679835,250.57146294562372,372.11735414924607,0.6883467598689578,-105.01851595365085,250.57146466108918,324.7386682304438,390.89680542792735,428.8948966960621,203.35537719726562,149.701783172844,540.63018666143,0.036322944560651896,0.26015526722747273,0.21335997999292852,0.3006009977781209,0.0,0.3464977179482228,0.28964782665044275,0.1736995649121775,1.3873018261707786,0.7249642739364626,0.772855520134843,0.832637133120809,0.22496427393646257,-0.027144479865157,-0.11736286687919095,0.0,0.0,0.5494505494505495,0.45054945054945056,1.0,2.3345638601989536,2.2764532140323093,2.233451381816969,-8.000033378601074,0.0003353951615281403
