epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.789213051667083,18.78101243199529,3.7559315771669954,3.7559315771669954,3.7559315771669954,0.0,0.0,0.33146045256305384,5.931412954588194,0.17327591011653076,4.055782736958684,0.07749557686415878,0.000277507515322115,0.0,0.6596388236896412,0.0,0.0,0.0,2.1251341652225806,50.004245036357155,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.007193653844296932,0.9210813641548157,1.0193347930908203,0.33305931091308594,0.00247123627923429,0.0,0.0,0.0,0.0,0.0,1.0,0.33299545017448634,0.3331599863799843,1.0,0.33384944136078293,0.0,0.33299496930998723,0.3331600145713703,0.0,0.3338450153131743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.767943640012998,18.775913985999853,3.7740526263778276,3.7740526263778276,3.7740526263778276,0.0,0.0,0.33243891435700496,5.826788599426682,0.17323779737627185,3.985504053734444,0.07810385343996254,0.0002760293286268574,0.0,0.6576172822230572,0.0,0.0,0.0,2.1275165145461625,49.9491441056535,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.006974324118345976,0.9262828826904297,1.018477439880371,0.33203810453414917,0.0027756511699408293,0.0,0.0,0.0,0.0,0.0,1.0,0.3317141621499448,0.33263187311791087,1.0,0.33566529283652435,0.0,0.3317158383292121,0.33263553638716004,0.0,0.3356486252836279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.191857569926494,18.204182341292096,3.8100498431437724,3.8100498431437724,3.8100498431437724,0.0,0.0,0.3329399316697507,5.687686881503543,0.17317268655106827,3.922789589778797,0.07871819715443495,0.00027128190079049483,0.0,0.6468604980288325,0.0,0.0,0.0,2.1333601861386686,49.7711865193135,49.71218490600586,49.71218490600586,49.9067497253418,1.0000001192092896,0.006392176263034344,0.914929986000061,1.0177147388458252,0.32983213663101196,0.003739652456715703,0.0,0.0,0.0,0.0,0.0,1.0,0.32893089426530375,0.3315702644554344,1.0,0.3395264736703924,0.0,0.3289362208263294,0.3315827878745827,0.0,0.33948099452096064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.791162800144505,19.746943911990606,3.8305676692240946,3.8305676692240946,3.8305676692240946,0.0,0.0,0.3329605943447835,5.83798978779767,0.17307491479693232,3.94998996966594,0.07976512983441353,0.0002653445250895881,0.0,0.6469018153242163,0.0,0.0,0.0,2.139565461390727,49.62619853664089,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.005672656465321779,0.9391047358512878,1.0174928903579712,0.3276398181915283,0.004812053870409727,0.0,0.0,0.0,0.0,0.0,1.0,0.32627061331594315,0.3299671572607917,1.0,0.3438061032746289,0.0,0.3262807799352182,0.32999278564710877,0.0,0.34372642877939585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.904115161380254,18.916023808556634,3.7838303591753983,3.7838303591753983,3.7838303591753983,0.0,0.0,0.3322133510499387,5.756010010435775,0.1730296696360047,3.9848406765912032,0.080571358771743,0.00026174391402762284,0.0,0.6471213650059056,0.0,0.0,0.0,2.1477423487482845,49.37127335007126,49.133018493652344,49.3253173828125,49.61518478393555,1.0,0.0051431115716695786,0.9363874793052673,1.0223075151443481,0.3245602250099182,0.006683191284537315,0.0,0.0,0.0,0.0,0.0,1.0,0.3225626196410205,0.32756938241623546,1.0,0.34992091478528203,0.0,0.3225724141339998,0.3276050702945606,0.0,0.3498225147659714,250.58561884701908,372.35745814882836,0.6867203803061137,-106.17864430605711,250.585618896438,324.5307108937236,390.5442868782285,428.46976198695694,202.55684334891183,149.27468401886696,542.0054453974185,0.03732165457276087,0.24781267620973307,0.2701322181068481,0.29158085403569173,0.0,0.33339370721411066,0.28994654039419965,0.18512995589205505,1.3911807216050245,0.7364882195595618,0.7828221758088747,0.8313546590451064,0.23648821955956179,-0.017177824191125346,-0.11864534095489354,0.0,0.0,0.5494505494505495,0.45054945054945056,1.0,2.3344162175288568,2.2762413165726505,2.233256404871469,-8.000414848327637,0.0003352673084009439
6,6e-06,6e-05,0.05,24.65796187117293,18.657529495857858,3.767411567069389,3.767411567069389,3.767698771244771,0.0,0.0,0.3344362950002825,5.832292621200149,0.1728251991239754,4.051526668909434,0.07994318854164432,0.000244450823457383,0.0,0.6349536325480487,0.0,0.0,0.0,2.168354607917167,48.8949697339857,48.56059646606445,48.94146728515625,49.22907257080078,1.0000001192092896,0.0043611302971839905,0.9452875852584839,1.0242033004760742,0.3240675628185272,0.0070880199782550335,0.0,0.0,1.683937117860124,1.1814068169207186,0.2984258115160497,1.0,0.3227183512739233,0.323304799762932,1.0,0.3540309208470422,0.0,0.3227319177743551,0.3233655924732621,0.0,0.3539024937797237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.137988090515137,19.15090916607831,3.8123197297792175,3.8123197297792175,3.813132124978143,0.0,0.0,0.3319972310517285,5.768452792554288,0.1727076764847781,3.829016363298571,0.07946042454725988,0.00023476978664827607,0.0,0.6446236420322109,0.0,0.0,0.0,2.198268039806469,48.235894280510976,47.714454650878906,48.27689743041992,48.65553665161133,1.0,0.005660544615238905,0.9565683603286743,1.0531151294708252,0.3299650549888611,0.007827249355614185,0.0,0.0,1.6417583323813774,0.8657951097230654,0.4726415620091747,1.0,0.33176178948299306,0.3178354042607385,1.0,0.35042623732541056,0.0,0.3317418799207017,0.31791948869421677,0.0,0.3503386257468043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.909646755940205,19.906427602510195,3.772782299969647,3.772782299969647,3.7741862825445227,0.0,0.0,0.33461442670306646,5.922683580501659,0.17255020705429283,3.947350005845766,0.07755456512441507,0.00023272347863058786,0.0,0.6611183736775372,0.0,0.0,0.0,2.234504081107475,47.2895345945616,46.51820755004883,47.343135833740234,47.99485397338867,0.9999999403953552,0.010970461182296276,0.940278172492981,1.1369842290878296,0.34011581540107727,0.01650802232325077,0.0,0.0,1.582192137434676,0.6676877430967383,0.577998318093459,1.0,0.3469870034101847,0.3101711104045043,1.0,0.3428581526150575,0.0,0.34688551603136836,0.3102936196971584,0.0,0.34282086749334595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.547442255793392,19.593460108782793,3.793747876141522,3.793747876141522,3.795106604292586,0.0,0.0,0.3343128030364578,5.705156989999719,0.17245452549006487,3.8111385332571492,0.07734474197432802,0.0002376744248337943,0.0,0.677314771188272,0.0,0.0,0.0,2.286686001597224,45.80741614264411,44.561710357666016,45.976253509521484,46.883052825927734,1.0000001192092896,0.025777317583560944,0.8807634711265564,1.2645695209503174,0.35152462124824524,0.028885718435049057,0.0,0.0,1.3551826477050781,0.5012004157981357,0.6301602469254687,1.0,0.3640511704457773,0.30181040957167343,1.0,0.3341299174605189,0.0,0.36375026767318314,0.3020583810033025,0.0,0.33419135454538706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.48552794069857,17.72873170955761,3.777690739245028,3.777690739245028,3.776112562901265,0.0,0.0,0.33212799800408854,5.256699027241887,0.1721740224071451,3.3595627224123157,0.07539903171159126,0.0002836050167585396,0.0,0.6966038829571491,0.0,0.0,0.0,2.425298774564588,43.24988215678447,40.49473190307617,43.69981002807617,45.440608978271484,1.0000001192092896,0.08091854304075241,0.7500367760658264,2.108839988708496,0.36413273215293884,0.058195460587739944,0.0,0.0,1.1187909567678296,0.3769267169204918,0.6630945981102426,1.0,0.3827438314218779,0.2933029000823562,1.0,0.32436492072569356,0.0,0.38130679404413376,0.2940092827822711,0.0,0.324683927200936,250.57384197528546,372.12050759214645,0.6883610669227433,-105.0197491488614,250.57384356459255,324.74301705431117,390.8916201618656,428.89266205943113,203.3594136919294,149.70378234035286,540.6333787337593,0.03635123614879978,0.2577208960260433,0.21420970846955864,0.2973388684906222,0.0,0.34159228828620797,0.28548076476089046,0.16670516444986133,1.3872943960662336,0.7249825949946869,0.7732769044740024,0.8325272067714631,0.22498259499468687,-0.02672309552599761,-0.11747279322853688,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.334818185358257,2.2766118678417833,2.2335885281746206,-7.999991416931152,0.00033540924778208137
