epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.271491591994828,18.10424277589128,3.80061555553127,3.80061555553127,3.80061555553127,0.0,0.0,0.3323152000839646,5.625663712218001,0.17327633782013044,3.780903184736097,0.026603324263281113,1.82247696176165e-05,0.0,0.7864856123924255,0.3322546908984313,0.3323152000839646,0.0,0.0,0.0,2.158115238756747,50.003639530491185,50.00431823730469,50.00431823730469,50.00431823730469,1.0,0.0031444772612303495,0.957017719745636,1.0185946226119995,0.33308127522468567,0.0011056738439947367,0.0,0.0,0.0,0.0,0.0,1.0,0.33304692442352707,0.3330474987223342,1.0,0.3339102872320124,0.0,0.3330472151975374,0.3330481189328271,0.0,0.3339046723133809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.76003778302992,20.47082283690169,3.7709448981929468,3.7709448981929468,3.7709448981929468,0.0,0.0,0.33120371522130193,6.055921000403327,0.17324529507675687,4.115280647535582,0.02688560020681974,1.8192911788040924e-05,0.0,0.7843982255136644,0.3312750877560796,0.33120371522130193,0.0,0.0,0.0,2.1618392725248596,49.93478991534259,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.0030014379881322384,0.9571382999420166,1.0225077867507935,0.332447350025177,0.0012844071025028825,0.0,0.0,0.0,0.0,0.0,1.0,0.3323230099033665,0.3323487929395727,1.0,0.33533730458568883,0.0,0.33232657087815776,0.33235300392717926,0.0,0.3353204276110675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.70382955911997,17.54440230292243,3.8048011805560136,3.8048011805560136,3.8048011805560136,0.0,0.0,0.3322272824274527,5.557862043380737,0.17319325619452708,3.7942737244270943,0.025933128655762284,1.8085798483052468e-05,0.0,0.7816509201719954,0.33131594029632777,0.3322272824274527,0.0,0.0,0.0,2.1689232555595606,49.79638063585436,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.0030545154586434364,0.9749642610549927,1.0308773517608643,0.33116215467453003,0.0019302587024867535,0.0,0.0,0.0,0.0,0.0,1.0,0.330850904052322,0.3309586813320985,1.0,0.33820102585328593,0.0,0.33086089588500356,0.3309684291079238,0.0,0.33817067822894536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.09819456048914,19.82280597171268,3.8213721030467265,3.8213721030467265,3.8213721030467265,0.0,0.0,0.3323864485766437,5.843355475245295,0.17309152757799304,3.9984176803279565,0.027795227194154584,1.7923400436474538e-05,0.0,0.7755618546460126,0.3327702291913935,0.3323864485766437,0.0,0.0,0.0,2.1790142639263257,49.61577585581187,49.518367767333984,49.61518478393555,49.71218490600586,0.9999999403953552,0.0038905369583517313,0.9774054884910583,1.064452052116394,0.32920771837234497,0.003119846573099494,0.0,0.0,0.0,0.0,0.0,1.0,0.3285846210814811,0.3289869516282468,1.0,0.34244361197626266,0.0,0.328602736866152,0.3290010916220175,0.0,0.34239617070636236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.80210033622948,18.64321061727163,3.8015446340715564,3.8015446340715564,3.8015446340715564,0.0,0.0,0.3312369480326369,5.6228781197522135,0.1729673497580193,3.751116578643386,0.026723794286718238,1.7693280971945717e-05,0.0,0.7673046588897705,0.3301838700835769,0.3312369480326369,0.0,0.0,0.0,2.1922107516108333,49.39079356837917,49.133018493652344,49.421749114990234,49.61518478393555,1.0000001192092896,0.005693197250366211,0.9826451539993286,1.062413215637207,0.3269190788269043,0.004620467312633991,0.0,0.0,0.0,0.0,0.0,1.0,0.32596190072394704,0.3265116053658563,1.0,0.34756168964746836,0.0,0.3259983231892457,0.3265433077876632,0.0,0.3474583746613683,250.65253964099256,372.9306735292231,0.6826972553187162,-109.14446019602346,250.6525402078277,324.0913604211573,389.7526604500116,427.47686013311164,200.17255401611328,148.3070594728455,545.3466014032779,0.03642048299184173,0.3081097872704787,0.28704376298603923,0.31989655228559205,0.0,0.3995254423548754,0.215059750279316,0.004071540742785989,1.3860229614503563,0.716426660803928,0.7553589095306145,0.8324356014803415,0.21642666080392803,-0.04464109046938558,-0.1175643985196585,0.0,0.0,0.5439560439560439,0.45604395604395603,1.0,2.3359529176256157,2.276733250408382,2.2338251235720876,-8.000242233276367,0.0003353251377120614
6,6e-06,6e-05,0.05,25.005143449113177,18.809439891093486,3.819256234813381,3.819256234813381,3.8197994425490096,0.0,0.0,0.3323942583960456,5.671446162301141,0.17283778214776838,3.7872556995701148,0.026628058605097437,1.5653649923577274e-05,0.0,0.7599187461105553,0.3335598401121191,0.3325343985815306,0.0,0.0,0.0,2.2052520223566003,49.04241139179951,48.75066375732422,49.037147521972656,49.3253173828125,0.9999999403953552,0.007868759334087372,0.9794511198997498,1.0970134735107422,0.32415804266929626,0.006487023551017046,0.0,0.0,0.4120532330628988,0.25134350842720754,0.3900217538425657,1.0,0.3226229653165147,0.32445141995275345,1.0,0.3529184589514861,0.0,0.32267779675689906,0.32448559274544586,0.0,0.3528366072757824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.911752520380794,18.699197666065114,3.8113288557207263,3.8113288557207263,3.812513995814968,0.0,0.0,0.3323070382749712,5.718272795548311,0.1724772646620467,3.8548147871687606,0.02820183945870077,1.4789517376197477e-05,0.0,0.77478657219861,0.33446518231082606,0.3325294844202093,0.0,0.0,0.0,2.2523783606451913,48.21302248980548,47.43569564819336,48.27689743041992,48.845970153808594,0.9999998211860657,0.015202902257442474,0.9522554278373718,1.2093439102172852,0.33410269021987915,0.01228740718215704,0.0,0.0,0.3956727699653522,0.16527401716322512,0.5822962060854032,1.0,0.3377067599747632,0.3160635313472232,1.0,0.3462507644215146,0.0,0.33766250513695384,0.31614899152034037,0.0,0.34618850978645116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.80700188714105,20.53824976328257,3.7818802369607463,3.7818802369607463,3.783692321261844,0.0,0.0,0.3324810040963663,5.991810708432584,0.17234657261822675,3.9988944401612154,0.027992515346488438,1.472836300161214e-05,0.0,0.7987355187132552,0.3362697668977686,0.33274329111382767,0.0,0.0,0.0,2.347660528646933,46.44127655029297,44.823577880859375,46.60914993286133,47.807735443115234,0.9999998211860657,0.032760582864284515,0.9053825736045837,1.6179789304733276,0.3514403998851776,0.030761204659938812,0.0,0.0,0.3724722129267615,0.12129771830262365,0.6743442487977642,1.0,0.36347626351021434,0.30415912657170685,1.0,0.33249801236229976,0.0,0.363041154436163,0.3044172662335473,0.0,0.33254157933028966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.204397897462588,18.137643118162412,3.834210183169391,3.834210183169391,3.833781203708133,0.0,0.0,0.33243999690622894,5.3584335236936,0.17326963028392275,3.3634719494226815,0.027102148462388967,1.5183659146517843e-05,0.0,0.8285352571590526,0.3329260985593538,0.3326959126704448,0.0,0.0,0.0,2.5139902604592814,43.45151643495302,40.49473190307617,43.870845794677734,45.88654327392578,1.0,0.07225654274225235,0.819226086139679,2.4327378273010254,0.366259902715683,0.055379632860422134,0.0,0.0,0.3161536334334193,0.08922654410471788,0.7177747314312976,1.0,0.3850621806608664,0.2961640825142732,1.0,0.3193736237448615,0.0,0.3835523176837612,0.2967674434185028,0.0,0.319680238897736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.38402828010353,18.485827445983887,3.792816284540537,3.792816284540537,3.781006149343542,0.0,0.0,0.33248372174598073,5.093556526544932,0.17364544481844515,2.981997741235269,0.027952524581672373,1.8657250178433526e-05,0.0,0.8515367491825206,0.3338953699614551,0.3326538559552786,0.0,0.0,0.0,2.795056304416141,39.556241731385924,32.22222137451172,41.13242721557617,44.38798141479492,1.0000001192092896,0.20941410958766937,0.6215022206306458,3.216247797012329,0.37454620003700256,0.12132156640291214,0.0,0.0,0.2727007245695269,0.0904417952170243,0.6683478001028722,1.0,0.3950529372369921,0.301707200101904,1.0,0.3068279237360568,0.0,0.3890581010161219,0.3030838676401087,0.0,0.30785803214923757,250.6265960735279,372.78710589054145,0.6834645343455397,-108.55286929371593,250.62659450706445,324.16819839595234,389.8759518229691,427.6298272896205,200.5461758204869,148.51024550800176,544.6172953066618,0.03690932563409058,0.331522681134135,0.2734374763283001,0.25524436906696363,0.0,0.3700224680124245,0.205072252340023,-0.006038757259786512,1.3857739857639164,0.7163350555128064,0.754314609211828,0.8324356014803415,0.2163350555128064,-0.04568539078817202,-0.1175643985196585,0.0,0.0,0.5439560439560439,0.45604395604395603,1.0,2.334525126677293,2.275829832959961,2.233012264901465,-8.000129699707031,0.0003353628853801638
