epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.954636290266706,18.96712215526684,3.7601998238950163,3.7601998238950163,3.7601998238950163,0.0,0.0,0.33223561580116684,5.94783337051804,0.17327531527828527,4.003723273406157,0.028269057036251634,1.8231739149259e-05,0.0,0.7884068585730888,0.0,0.0,0.0,0.0,0.0,2.1580475729865,50.00134535093565,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.0031678329687565565,0.9547502398490906,1.0201992988586426,0.3330771028995514,0.0011208637151867151,0.0,0.0,0.0,0.0,0.0,1.0,0.333048874461973,0.33300777544846405,1.0,0.33394789615192927,0.0,0.3330488664072913,0.3330080654170062,0.0,0.3339430746194479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.540381380029626,19.467785500191354,3.762303384574684,3.762303384574684,3.762303384574684,0.0,0.0,0.3323354116968206,6.111120642842473,0.17323769951188886,4.258629225395821,0.02724331259928845,1.814623298029088e-05,0.0,0.7845379742416175,0.0,0.0,0.0,0.0,0.0,2.1624767458116687,49.91034451046505,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999403953552,0.002938715973868966,0.9569950103759766,1.0264524221420288,0.3322067856788635,0.0014110024785622954,0.0,0.0,0.0,0.0,0.0,1.0,0.33208401058171244,0.3318995382334735,1.0,0.33602467582032486,0.0,0.33208808544519786,0.3319050903255875,0.0,0.33600683067296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.5024157343684,18.525546202788483,3.7881982970882104,3.7881982970882104,3.7881982970882104,0.0,0.0,0.3323357008598946,5.800188354543738,0.17318327966574076,3.9618159886952995,0.027465814271488705,1.809283462903664e-05,0.0,0.7809849606977927,0.0,0.0,0.0,0.0,0.0,2.170361937703313,49.722323443438555,49.61518478393555,49.71218490600586,49.80937194824219,0.9999999403953552,0.0031278568785637617,0.9636355042457581,1.0342438220977783,0.33079656958580017,0.0021815290674567223,0.0,0.0,0.0,0.0,0.0,1.0,0.33050382137298584,0.3301905208342784,1.0,0.3393224018651086,0.0,0.33051585345654877,0.33020535836348663,0.0,0.3392787922073055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.16134499214791,18.21995449066162,3.807527207039498,3.807527207039498,3.807527207039498,0.0,0.0,0.3322372903694978,5.697448015213013,0.1730621445017892,3.796072785918777,0.026092421968240995,1.7931126077766403e-05,0.0,0.773713772361343,0.0,0.0,0.0,0.0,0.0,2.1816746479756124,49.520474201924095,49.421749114990234,49.518367767333984,49.61518478393555,0.9999999403953552,0.004175643436610699,0.9755157232284546,1.0526248216629028,0.3289119601249695,0.0033969166688621044,0.0,0.0,0.0,0.0,0.0,1.0,0.32840961942801605,0.3278162382744454,1.0,0.343794990230251,0.0,0.3284311568414843,0.3278371965562975,0.0,0.34373164901862274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.26010005538528,18.31884358380292,3.775591805174544,3.775591805174544,3.775591805174544,0.0,0.0,0.3325730981053533,5.745302110104947,0.17294710592643633,3.9061480728355615,0.02707095761355516,1.754935692588333e-05,0.0,0.7651099610973049,0.0,0.0,0.0,0.0,0.0,2.1956110193922713,49.20075174280115,48.94146728515625,49.22907257080078,49.421749114990234,0.9999998211860657,0.00613383436575532,0.9776539206504822,1.09638249874115,0.3261907398700714,0.005241499748080969,0.0,0.0,0.0,0.0,0.0,1.0,0.32531461039104975,0.3247573440139358,1.0,0.34995537996292114,0.0,0.3253514420341801,0.32478526637360855,0.0,0.3498632867594023,250.66015369289525,373.5412246575412,0.678488544548071,-112.06811468941825,250.6601560241044,323.6676787014027,389.04388872896357,426.58735554009706,198.06859370640345,147.2083951964859,548.7779312133789,0.03654163973918367,0.31409155417714574,0.29039212169311684,0.3211691700690013,0.0,0.40608600449247395,0.21739298981911379,0.005098852581470359,1.3860151390920026,0.7164083397457037,0.7552673042394928,0.8324172804221172,0.21640833974570373,-0.0447326957605072,-0.1175827195778828,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.336130624616539,2.276855632171526,2.2339346366269246,-8.000307083129883,0.0003353033971507102
6,6e-06,6e-05,0.05,25.799720918810046,19.772517204284668,3.810152872188671,3.810152872188671,3.8108217909529403,0.0,0.0,0.3327753366650762,5.884729230726087,0.17260158786902557,4.019697807930611,0.028729517994498886,1.5543063577874942e-05,0.0,0.7630200079969458,0.0,0.0,0.0,0.0,0.0,2.225159432436969,48.61685912673538,48.08868408203125,48.65553665161133,49.037147521972656,0.9999999403953552,0.010558261536061764,0.96625155210495,1.1344894170761108,0.3278590440750122,0.007892700843513012,0.0,0.0,0.40317398551348094,0.2413371978579341,0.40140682055523025,1.0,0.328716320765985,0.31883890564377243,1.0,0.3524648716320863,0.0,0.32873448810061895,0.31889382810206024,0.0,0.35237168782466166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.71405823166306,19.73094414375924,3.7713618858440503,3.7713618858440503,3.773031595590952,0.0,0.0,0.3325889303877547,5.9222208358146045,0.17240973864052747,3.9578481042707288,0.02701893207189199,1.4623606861081302e-05,0.0,0.7738256921639314,0.0,0.0,0.0,0.0,0.0,2.2711185957934403,47.67359615016628,46.79157257080078,47.807735443115234,48.46584701538086,1.0,0.018246470019221306,0.9486756920814514,1.2540429830551147,0.33650392293930054,0.015480924397706985,0.0,0.0,0.38483345911309524,0.15626655559282046,0.5939371905110343,1.0,0.34188608221105626,0.3112494800541852,1.0,0.3469116808594884,0.0,0.3418078994428789,0.31134393327944987,0.0,0.346848166472203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.093559677536422,19.175728411287874,3.7834524786150134,3.7834524786150134,3.7856704222189412,0.0,0.0,0.3326565284986754,5.7669727029027165,0.17232574361401634,3.7238643620465255,0.02548064699245466,1.4509781436031886e-05,0.0,0.7981616210293125,0.0,0.0,0.0,0.0,0.0,2.3631285783406852,45.82485590754329,44.04254913330078,46.066139221191406,47.343135833740234,0.9999999403953552,0.035630010068416595,0.9026016592979431,1.4663561582565308,0.35216376185417175,0.033162884414196014,0.0,0.0,0.35973262786865234,0.11193803355500505,0.6888299117646995,1.0,0.365217989360964,0.30018689181353597,1.0,0.3348113548111271,0.0,0.36475805978517273,0.3004221247660147,0.0,0.33481982028162155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.85244204546954,20.898049187015843,3.7935998246476457,3.7935998246476457,3.793802377339956,0.0,0.0,0.3315991767354914,5.878178023003243,0.17278914556309982,3.737262838595622,0.027431760788769334,1.4507298564657921e-05,0.0,0.8181718587875366,0.0,0.0,0.0,0.0,0.0,2.503217735806027,42.945815936939134,39.866920471191406,43.359737396240234,45.52945327758789,0.9999997615814209,0.06514103710651398,0.8218605518341064,2.311440944671631,0.36469584703445435,0.05294431746006012,0.0,0.0,0.29624122059023056,0.07962540919716293,0.7312142819337654,1.0,0.3836130403183602,0.29270737074516917,1.0,0.3242486151489052,0.0,0.38226715938465017,0.2932755302738499,0.0,0.3244573087305636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.554874935665644,19.83968433173927,3.764851731223029,3.764851731223029,3.754466862291903,0.0,0.0,0.33254978463456436,5.3821008978663265,0.17416792745525772,3.168747180217021,0.02820983891551559,1.743434613426625e-05,0.0,0.8473877552393321,0.0,0.0,0.0,0.0,0.0,2.8240649893477157,38.05234187358135,30.86699676513672,39.4024543762207,43.19069290161133,1.0,0.1903311163187027,0.6065258979797363,3.058673620223999,0.3773891031742096,0.11627312004566193,0.0,0.0,0.2510308204470454,0.08083743863814585,0.6779780327603303,1.0,0.4002733069497186,0.29465477450473887,1.0,0.3084818946348654,0.0,0.3944467104770042,0.2961379281572393,0.0,0.3094153549220111,250.64468421516838,373.2342107451207,0.6804687780565947,-110.67911911010742,250.64468453331418,323.86938528100876,389.3860509959933,427.0249031511585,199.06466347830636,147.72600100021953,547.1136033431343,0.03706857841250476,0.33064165493841324,0.2618126928908077,0.22933475396661063,0.0,0.37001131457834274,0.18091637656149756,0.014023012603316294,1.3858919153782039,0.7163533765710307,0.7544062145029496,0.8324356014803415,0.2163533765710307,-0.0455937854970504,-0.1175643985196585,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.332713253550477,2.274684577525317,2.2319926960127696,-8.00033950805664,0.00033529254142194986
11,1e-05,0.0001,0.3,23.387374903704668,17.889676055392705,3.7450412028544657,3.7450412028544657,3.726392256247031,0.0,0.0,0.3327263488962844,4.801177411466031,0.17053363734000437,2.760482546445486,0.02812409899323373,2.0969164816543106e-05,0.0,0.8568666512901718,0.0,0.0,0.0,0.0,0.0,2.867994108715573,37.216474584631015,25.489871978759766,39.63400650024414,44.04254913330078,1.0,0.23834046721458435,0.6097308993339539,2.8906328678131104,0.37812837958335876,0.13978350162506104,0.0,0.0,0.28289769388533925,0.109182591373856,0.6140562693377466,1.0,0.40013242251164205,0.30010315775871277,1.0,0.30485913076916255,0.0,0.39203985881161046,0.30176579227318634,0.0,0.3061943456933305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,22.57594783886059,17.1648683032474,3.7428444527290963,3.7428444527290963,3.7215141412374138,0.0,0.0,0.33264883949949936,4.495312001254107,0.16567661915276502,2.645379014917322,0.02731540904858628,2.4174516953723002e-05,0.0,0.8708517003703762,0.0,0.0,0.0,0.0,0.0,2.8606962255529456,37.69658042289115,22.62692642211914,40.89212417602539,46.336849212646484,0.9999998211860657,0.24263684451580048,0.5872727036476135,2.8215410709381104,0.3779386878013611,0.14088664948940277,0.0,0.0,0.2816049025670902,0.11339403970821484,0.5973293125420657,1.0,0.39893730830501867,0.3048940776167689,1.0,0.30151738830514857,0.0,0.3905130697263254,0.3061286412380837,0.0,0.30335828823012273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,21.11883818136679,15.822466089918807,3.710541293427751,3.710541293427751,3.6888033828219853,0.0,0.0,0.3325937084249548,4.196429246180767,0.1618072080451089,2.5355737370413705,0.027533545284657866,2.7697706320543295e-05,0.0,0.8636351324416496,0.0,0.0,0.0,0.0,0.0,2.7777835356222615,39.385356490676465,20.967397689819336,42.85457992553711,50.99056625366211,1.0,0.242231547832489,0.5227331519126892,2.8868894577026367,0.37400200963020325,0.1362352818250656,0.0,0.0,0.2622427251693365,0.1036749612036589,0.6046602965374408,1.0,0.39314147185634923,0.30731922307529963,1.0,0.3048305881989969,0.0,0.38539448461017095,0.30784137506742737,0.0,0.30676414193333806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,20.121004027289313,14.865467406607962,3.732613164025384,3.732613164025384,3.7118191719055176,0.0,0.0,0.3322772681713104,3.994578664367263,0.16142047901411313,2.4193557339745597,0.027964977044108753,3.5026678135083684e-05,0.0,0.877356553399885,0.0,0.0,0.0,0.0,0.0,2.8361864218840727,39.880295933903874,19.165752410888672,43.022308349609375,54.598148345947266,1.0,0.2541924715042114,0.4643442928791046,2.8955461978912354,0.37445467710494995,0.13981893658638,0.0,0.0,0.2776702292062141,0.11220817831722465,0.5958940984130772,1.0,0.3928157083086065,0.3120038251619081,1.0,0.3011183859528722,0.0,0.38480747229344137,0.31198445767969696,0.0,0.303208071637798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.999617345238583e-06,9.999617345238582e-05,0.5,18.07335206624624,12.88064125421885,3.735833000492405,3.735833000492405,3.714280631091144,0.0,0.0,0.33245084495157806,3.744985412906956,0.15958263382718368,2.3433277252558113,0.02578026194729515,4.092809015403602e-05,0.0,0.8826962387239611,0.0,0.0,0.0,0.0,0.0,2.710382049148147,42.66045874518317,19.053781509399414,45.26345443725586,61.14702606201172,0.9999999403953552,0.2700085937976837,0.3680475056171417,2.978177547454834,0.37179628014564514,0.14202363789081573,0.0,0.0,0.25799514232455073,0.09342559286066003,0.6378784808935153,1.0,0.38854724088230647,0.315338788000313,1.0,0.3025140005189019,0.0,0.38081243070396215,0.31467496865504496,0.0,0.3045126022519292,250.41097999405076,372.6615547684687,0.681685454588401,-109.28158194154173,250.4109810652508,323.79457768675576,389.4058050753294,427.1268543902622,199.94256264822823,148.00055046968683,545.2854219519573,0.03957040396656397,0.3282137095326716,0.29329192307296614,0.24972898610430128,0.0,0.36537797106694636,0.18354828648606955,0.06737731205045472,1.3837763533644019,0.7167747609101902,0.7537100142904254,0.8334799017991279,0.2167747609101902,-0.046289985709574655,-0.11652009820087206,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3275196843749875,2.2703561769736993,2.228028259107045,-7.998937606811523,0.0003357628593221307
16,9.999402106450908e-06,9.999402106450908e-05,0.55,19.828850024455303,14.625830199267414,3.720321835698308,3.720321835698308,3.698424616375485,0.0,0.0,0.33140840079333334,3.8074680083506816,0.15841208237248497,2.408707354519818,0.02765794309812623,4.8557420971495025e-05,0.0,0.8816242991267024,0.0,0.0,0.0,0.0,0.0,2.63398510056573,45.06838288178315,18.32384490966797,47.43569564819336,66.6342544555664,0.9999999403953552,0.2942890226840973,0.2979861795902252,3.3147683143615723,0.37060824036598206,0.14817319810390472,0.0,0.0,0.2504855696413968,0.09046280877412977,0.6388502183832816,1.0,0.38623774696040797,0.3188762342607653,1.0,0.3016244825479147,0.0,0.3784035516751779,0.3175756133891441,0.0,0.3040208365466144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.999139041236748e-06,9.999139041236749e-05,0.6,18.067060341706146,12.943256635923643,3.709132265400242,3.709132265400242,3.683257315609906,0.0,0.0,0.332320875412709,3.5108867851463526,0.1538905106686257,2.363757880958351,0.027860336861497647,5.4746898574710544e-05,0.0,0.8850952999011891,0.0,0.0,0.0,0.0,0.0,2.5740211074416703,47.912217526822474,17.247310638427734,50.49503707885742,73.46984100341797,1.0000009536743164,0.3162314295768738,0.25,3.5667192935943604,0.36971524357795715,0.15370187163352966,5.197505197505198e-05,0.0,0.24289392297332352,0.08850656973349082,0.6356163684539309,1.0,0.3846805973632916,0.32058915334778865,1.0,0.30179029219859355,0.0,0.37674568392135,0.31886344100977926,0.0,0.30439087587433894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.99882815224517e-06,9.998828152245169e-05,0.65,17.03608427820979,11.981918128761086,3.686503564989245,3.686503564989245,3.6646304066116744,0.0,0.0,0.33207631594425924,3.39234564755414,0.15555544237832766,2.2474598626832702,0.02706479744331257,6.878248087879321e-05,0.0,0.8913023616816547,0.0,0.0,0.0,0.0,0.0,2.6498128787891284,47.599019127923086,16.10769271850586,49.71218490600586,74.62682342529297,1.0000004768371582,0.3395138680934906,0.25,3.4597039222717285,0.37244194746017456,0.16575121879577637,3.28263486158223e-05,0.0,0.2756413744913565,0.12068019203237586,0.5621840434692793,1.0,0.3876551502459758,0.3240060153845194,1.0,0.2964883188943605,0.0,0.3786619023696796,0.32203475929595327,0.0,0.29930333913983526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.99846944260682e-06,9.998469442606819e-05,0.7,16.261635445259714,11.24622310174478,3.6623403317219503,3.6623403317219503,3.6394868283658415,0.0,0.0,0.332085496670491,3.3250416742788778,0.15556149829078364,2.2377056495563403,0.02759131049183575,8.012923058846059e-05,0.0,0.9023246152980907,0.0,0.0,0.0,0.0,0.0,2.6630361080169678,47.71530842136692,15.370065689086914,50.00431823730469,75.50650024414062,1.0000007152557373,0.35095280408859253,0.25,3.699662208557129,0.3743557333946228,0.17035609483718872,4.37684648210964e-05,0.0,0.2579139350233851,0.11215191717083389,0.5651575896406487,1.0,0.38966124766581767,0.32693990340103973,1.0,0.29190633748028727,0.0,0.38070643834165624,0.32473980333354024,0.0,0.2945537486591855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9.9980629159339e-06,9.9980629159339e-05,0.75,17.40519665383004,12.33962833559191,3.7068021490767196,3.7068021490767196,3.6879562171729834,0.0,0.0,0.3318474196098946,3.331526414768116,0.15287093254359993,2.256731091318904,0.026640442275517696,0.00010842945001157302,0.0,0.9313469980214093,0.0,0.0,0.0,0.0,0.0,2.8278107063190356,46.20433529003246,13.6171236038208,47.250762939453125,76.09870910644531,1.000002145767212,0.34722569584846497,0.25,3.9200217723846436,0.37828537821769714,0.17033275961875916,7.112375533428166e-05,0.0,0.26140084862709045,0.11567562133879275,0.5574780191176295,1.0,0.3939708511571626,0.3321350474615355,1.0,0.28257272372374664,0.0,0.38485403479756536,0.32989820596334096,0.0,0.28524776085003,249.67303810538826,371.96093541364337,0.6770814759598045,-110.96164166796338,249.6730390786629,322.51150780038205,387.95183677469544,425.5275261004559,198.82126399448939,146.6557467556739,546.3076686029849,0.04995218376964033,0.3568223739345149,0.32051361244734433,0.2949514700048367,0.0,0.40593542268785077,0.2662237820000371,0.14684269610646913,1.3753881255806184,0.7200359092741196,0.762302590597633,0.8423472939797003,0.22003590927411965,-0.0376974094023671,-0.10765270602029964,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3052118378026143,2.2530080587654324,2.212438772012899,-7.997265338897705,0.00033632467966526747
