epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.004770562455462,18.97733497619629,3.7608764751537427,3.7608764751537427,3.7608764751537427,0.0,0.0,0.3329372333513724,5.951261385067089,0.173277581462989,4.09789903743847,0.07983152638818766,0.0002769546880625893,0.0,0.6594533243694821,0.0,0.0,0.0,0.0,0.0,2.1251667834616996,50.00233603812553,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.007244288455694914,0.9209414720535278,1.0192214250564575,0.3330787718296051,0.0024810333270579576,0.0,0.0,0.0,0.0,0.0,,0.3330301078590187,0.33311737469724706,,0.33385753631591797,,0.33302935232987274,0.3331182091622739,,0.33385244656253504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.55721736598659,19.477968035517513,3.7628269066681734,3.7628269066681734,3.7628269066681734,0.0,0.0,0.3338767346498129,6.114570514575855,0.1732426499192779,4.18177756747684,0.07964499657218521,0.0002754228370503296,0.0,0.6605126471132845,0.0,0.0,0.0,0.0,0.0,2.1298605171409815,49.91536671406514,49.9067497253418,49.9067497253418,50.00431823730469,0.9999998211860657,0.006640514824539423,0.8924022912979126,1.0197389125823975,0.33204367756843567,0.0026508248411118984,0.0,0.0,0.0,0.0,0.0,,0.33180398312774867,0.3322053761095614,,0.33600287985157323,,0.33180487236461126,0.3322142845875508,,0.3359808438533061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.52413930119695,18.527875590968776,3.7884969453553894,3.7884969453553894,3.7884969453553894,0.0,0.0,0.3333055505881438,5.800175189971924,0.1731958526211816,3.9575663450601937,0.07927158978339788,0.0002745575109509298,0.0,0.6513711520143457,0.0,0.0,0.0,0.0,0.0,2.1373487227671855,49.726821796314134,49.61518478393555,49.71218490600586,49.80937194824219,1.0000001192092896,0.005809816066175699,0.9313680529594421,1.017199158668518,0.3303763270378113,0.003230573143810034,0.0,0.0,0.0,0.0,0.0,,0.3298094457871205,0.3308358554904525,,0.33938410958728277,,0.3298131517461828,0.330857421900775,,0.3393294231311695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.198127282632363,18.21871522954992,3.8072083834055306,3.8072083834055306,3.8072083834055306,0.0,0.0,0.3321892562750223,5.693336905659856,0.17310276949727857,3.9019989548502743,0.075328477532477,0.0002723387914483209,0.0,0.6405361536386851,0.0,0.0,0.0,0.0,0.0,2.1482696082140946,49.54564604888091,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.004679116886109114,0.9420331716537476,1.0146280527114868,0.32814204692840576,0.004284435883164406,0.0,0.0,0.0,0.0,0.0,,0.3271946810387276,0.3287021694956599,,0.3441510071625581,,0.3272019648874128,0.32873742805944905,,0.3440606102750108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.285102560713483,18.324254164824616,3.7753799928201213,3.7753799928201213,3.7753799928201213,0.0,0.0,0.3331522490527179,5.7395572533478605,0.17302834101625392,3.9124812757646716,0.07806573848466615,0.0002657463231337936,0.0,0.6421869332725937,0.0,0.0,0.0,0.0,0.0,2.158430086599814,49.25058416418127,49.037147521972656,49.22907257080078,49.421749114990234,1.000000238418579,0.004180890042334795,0.939886748790741,1.0235121250152588,0.3250247836112976,0.0061839185655117035,0.0,0.0,0.0,0.0,0.0,,0.32334804937646194,0.3267566110636737,,0.3499577158206218,,0.3233621056015427,0.32680683442064234,,0.34983106400515585,298.86817429091906,394.45016417899217,1.101478945976799,86.09590962168934,298.86817363932073,391.9498233933643,463.6520459545491,511.62195596361823,347.40067509242465,268.6961899986563,376.09553229290503,0.03729956281953469,0.25357381138332086,0.279592191329752,0.2999910244737133,0.0,0.3394496137089833,0.2945476716439791,0.17232774827689692,1.3907308600060924,0.7363599721519914,0.7827672126342018,0.8313729801033307,0.23635997215199145,-0.017232787365798252,-0.11862701989666924,0.0,0.0,0.0,0.0,1.0,2.3339437740844686,0.0,0.0,-8.0003080368042,0.0003353030770085752
6,6e-06,6e-05,0.05,25.695457742020892,19.635911142503893,3.808512339720855,3.808512339720855,3.808512339720855,0.0,0.0,0.3336162172459267,5.872499910560814,0.17283494488613024,4.096348949380823,0.08260607417370822,0.00026207218242406443,0.0,0.6366078499201182,0.0,0.0,0.0,0.0,0.0,2.1794328882887557,48.785728660789694,48.46584701538086,48.845970153808594,49.133018493652344,1.0,0.004405695479363203,0.9515011310577393,1.0284199714660645,0.32064324617385864,0.00890741590410471,0.0,0.0,0.0,0.0,0.0,,0.3180355824328758,0.32353631870166677,,0.35850135861216365,,0.3180537304362735,0.3236016623071722,,0.35834460806202245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.18211622495909,19.17472166628451,3.767994448945329,3.767994448945329,3.767994448945329,0.0,0.0,0.33332597001178843,5.908131148364093,0.17275877095557549,4.016166996311497,0.07835266437079455,0.0002600421359749964,0.0,0.6277288214580433,0.0,0.0,0.0,0.0,0.0,2.1993994583954684,48.18742267505543,47.714454650878906,48.27689743041992,48.65553665161133,1.0000001192092896,0.005559771321713924,0.9462514519691467,1.0512785911560059,0.31633803248405457,0.011553900316357613,0.0,0.0,0.0,0.0,0.0,,0.31263050759160843,0.32133640066997426,,0.36610067212903824,,0.31265739975748835,0.32140989480791865,,0.36593270382365667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,24.424026360382904,18.47478095905201,3.7778358974972286,3.7778358974972286,3.7778358974972286,0.0,0.0,0.33190838549588175,5.7563713047955485,0.1726279331220163,3.847530616296304,0.07328029711906975,0.00026003496699362387,0.0,0.6146621285258113,0.0,0.0,0.0,0.0,0.0,2.2106789640478186,47.53225903897672,46.974708557128906,47.62135314941406,48.08868408203125,1.0,0.007910407148301601,0.9422345161437988,1.0634920597076416,0.3118930459022522,0.014582764357328415,0.0,0.0,0.0,0.0,0.0,,0.3069783610266608,0.3194325147448359,,0.3736607263217101,,0.3070287333952414,0.3195197026471834,,0.3734515607357025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.097693520623285,20.070541330285973,3.787297081302952,3.787297081302952,3.787297081302952,0.0,0.0,0.3326559453397184,5.952216296582608,0.17240873180531166,3.9752377754933126,0.0798575231755102,0.0002500094415154308,0.0,0.6165683752781635,0.0,0.0,0.0,0.0,0.0,2.2110151664630786,46.773685661522116,45.976253509521484,46.883052825927734,47.43569564819336,1.000000238418579,0.012792513705790043,0.9050414562225342,1.099411129951477,0.30709779262542725,0.01813611201941967,0.0,0.0,0.0,0.0,0.0,,0.30091461700362127,0.31719421132190806,,0.38200327351286606,,0.3010155598859529,0.3173145990113954,,0.3816698451299925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.098126024813265,19.120058188567292,3.765301137357145,3.765301137357145,3.765301137357145,0.0,0.0,0.33280546520207377,5.860473155975342,0.17241939902305603,3.925580005388002,0.08184964723280959,0.00026043288793565854,0.0,0.6189363631042274,0.0,0.0,0.0,0.0,0.0,2.23442420443973,45.74584404197899,44.561710357666016,45.88654327392578,46.79157257080078,1.0,0.027790429070591927,0.8120800852775574,1.2644002437591553,0.30295220017433167,0.02165180630981922,0.0,0.0,0.0,0.0,0.0,,0.2957425439679945,0.3148946641264735,,0.38951179546278875,,0.29591147480784236,0.3150659324349584,,0.3890225919517311,298.2867441701365,393.9091987393585,1.0980149814123141,84.80278635549021,298.28674504411623,391.3006230636259,463.0929472727986,511.0172197736777,346.37571716308594,267.7255007721657,376.67321346117103,0.03654109029056875,0.2530213873918943,0.22358599075865473,0.29742429980133755,0.0,0.3378757390095644,0.3020382629594702,0.2137586527670097,1.387777277642646,0.7266681323513247,0.7748158733648456,0.8323806383056686,0.22666813235132466,-0.025184126635154458,-0.1176193616943314,0.0,0.0,0.0,0.0,1.0,2.331706703364194,0.0,0.0,-8.000829696655273,0.00033512822119519114
