epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.007450413059544,18.97800806406382,3.760729809065123,3.760729809065123,3.760729809065123,0.0,0.0,0.3329311649541597,5.953284405373238,0.1732775754219777,4.106652221164188,0.07983530413460087,0.0002832622880846061,0.0,0.6594403788850114,0.0,0.0,0.0,0.0,0.0,2.1120981332418083,50.002304695747995,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.009035410359501839,0.9004852175712585,1.023545742034912,0.3330739438533783,0.003052438609302044,0.0,0.0,0.0,0.0,0.0,,0.3330227184940029,0.33312146567009593,,0.3338596103964625,,0.33302164802680145,0.33312140606545115,,0.3338569555733655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.55897723017512,19.477949632180703,3.762617323849652,3.762617323849652,3.762617323849652,0.0,0.0,0.33387369642386566,6.116702659710033,0.17324244895496885,4.189598193039766,0.07964901303922808,0.0002813250364458843,0.0,0.660441018439628,0.0,0.0,0.0,0.0,0.0,2.1180604277430355,49.91509174656223,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.008243408054113388,0.8644974231719971,1.0228691101074219,0.3320126533508301,0.003051736392080784,0.0,0.0,0.0,0.0,0.0,,0.3317604258253768,0.3322144319882264,,0.33603224802661585,,0.33175939482611577,0.33221854954152497,,0.3360220507995502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.523009145582044,18.526199443920238,3.7881605238527865,3.7881605238527865,3.7881605238527865,0.0,0.0,0.3333020886859378,5.800523687053371,0.1731951196451445,3.961674980215124,0.07927443671065408,0.00028022738783997864,0.0,0.6511890340495754,0.0,0.0,0.0,0.0,0.0,2.130247676694715,49.725640683560755,49.61518478393555,49.71218490600586,49.80937194824219,0.9999998211860657,0.0071452707052230835,0.913594126701355,1.0214722156524658,0.3303024470806122,0.0033941378351300955,0.0,0.0,0.0,0.0,0.0,,0.32971348230903214,0.33081859108564016,,0.33948389662278666,,0.32971304977262345,0.330830524902086,,0.3394564277416951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.192706494717985,18.21380447696995,3.806672663302035,3.806672663302035,3.806672663302035,0.0,0.0,0.3321865168777672,5.692894278345881,0.1731005101590543,3.9026596739485457,0.07533058564405183,0.0002775835817226687,0.0,0.6401522062920235,0.0,0.0,0.0,0.0,0.0,2.146559373752491,49.54378251771669,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.005690543446689844,0.9294570684432983,1.0187541246414185,0.327980637550354,0.004274909384548664,0.0,0.0,0.0,0.0,0.0,,0.32698996002609665,0.3286372197640909,,0.3443948811775929,,0.3269903804804828,0.3286561152419528,,0.34435350025022354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.27779486372664,18.318167351387643,3.774691291757532,3.774691291757532,3.774691291757532,0.0,0.0,0.33313066411662745,5.7387677721075105,0.17302456659239693,3.9108480247291357,0.07806000667246613,0.0002715357302411183,0.0,0.6414966792673678,0.0,0.0,0.0,0.0,0.0,2.1596789488921293,49.2484415415171,49.037147521972656,49.22907257080078,49.421749114990234,1.0000001192092896,0.00503411004319787,0.9245168566703796,1.0290212631225586,0.3246760666370392,0.0061540622264146805,0.0,0.0,0.0,0.0,0.0,,0.32287528708174423,0.3267678924508997,,0.3503880299426414,,0.322879951547932,0.3267956037779112,,0.3503244390358796,250.5587234706669,374.3682146753772,0.6722720305667631,-116.05047743661063,250.5587232555186,322.99653522901053,388.0776033346245,425.3657492976069,195.3485837663923,145.49282975899158,553.6015770953635,0.03782329009756546,0.253739342015733,0.2834200345716795,0.2998996787679283,0.0,0.33922234480039043,0.294400858744848,0.1713948723530011,1.3928842811658217,0.7359935509875051,0.782895460041772,0.8299805796782822,0.23599355098750507,-0.017104539958228027,-0.12001942032171775,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3361249484203674,2.2764965842713365,2.2334068420824114,-8.00028133392334,0.0003353120409883559
6,6e-06,6e-05,0.05,25.829669256468076,19.771453341922246,3.808266678371945,3.808266678371945,3.808964877515226,0.0,0.0,0.3341580685731527,5.870757786003319,0.17281831800937653,4.088868096068099,0.08282497555420205,0.00024062866223913088,0.0,0.64429636581524,0.0,0.0,0.0,0.0,0.0,2.189032135783015,48.7532725978542,48.371280670166016,48.75066375732422,49.133018493652344,1.0000001192092896,0.005517587065696716,0.9404063820838928,1.0401934385299683,0.3263531029224396,0.00688177952542901,0.0,0.0,1.635090550860843,0.9697607224052017,0.4069070230424598,,0.3260798236808261,0.32193389373856623,,0.35200598674851497,,0.3260725011696687,0.3219689485189077,,0.35195855917157354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.747434641863848,19.74268402924409,3.7685195819751636,3.7685195819751636,3.770232071747651,0.0,0.0,0.3341541169462977,5.902750672520818,0.1727133530217248,3.9959899025994376,0.07866486242494068,0.0002291417756193393,0.0,0.6553571594728006,0.0,0.0,0.0,0.0,0.0,2.2256994118561617,48.0415537035143,47.52843475341797,48.08868408203125,48.56059646606445,1.0000001192092896,0.00863184779882431,0.9414684772491455,1.103187084197998,0.33586931228637695,0.012351686134934425,0.0,0.0,1.570983864165641,0.6317776377136642,0.597845877271817,,0.34038811922073364,0.31456293447597605,,0.34508158145724116,,0.3403447222065281,0.3146081655412107,,0.3450471106413248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.099665719109613,19.16117286682129,3.77858271469941,3.77858271469941,3.7810011747721077,0.0,0.0,0.3328274931456592,5.739351511001587,0.17256420327199473,3.7896110818192765,0.07358458960378492,0.0002283724001294153,0.0,0.6724140837385848,0.0,0.0,0.0,0.0,0.0,2.290604204744906,46.90713583456503,46.066139221191406,46.974708557128906,47.714454650878906,1.0000001192092896,0.016310790553689003,0.9310886859893799,1.19265878200531,0.35084235668182373,0.025765536352992058,0.0,0.0,1.4823413346264813,0.4569171079107233,0.6917598550094693,,0.3627011566548734,0.3039961231721414,,0.3333736319799681,,0.3625529142650398,0.30407984595041015,,0.3333672373681455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.87889137783566,20.88698541795885,3.786822190155854,3.786822190155854,3.7888400232469714,0.0,0.0,0.3335093211483311,5.884282711389902,0.17239268486564224,3.84680319476772,0.08020537084824331,0.00022261681442614645,0.0,0.6947159348307429,0.0,0.0,0.0,0.0,0.0,2.3466231436342806,45.54162783236117,44.21493148803711,45.70764923095703,46.70027160644531,1.0,0.027691952884197235,0.875258207321167,1.3074089288711548,0.3625820577144623,0.03788552060723305,0.0,0.0,1.2206406722197662,0.329469639707256,0.7300846619274883,,0.38000235766977875,0.2967114045813277,,0.3233987729291658,,0.37966725955138336,0.29687514820614375,,0.323457593047941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.69002084474306,19.818966736664642,3.7602818592174634,3.7602818592174634,3.759492693720637,0.0,0.0,0.33349281307813283,5.636146828934953,0.17257404770400073,3.611735743445319,0.0820671469979995,0.0002435061091878074,0.0,0.7224394260226069,0.0,0.0,0.0,0.0,0.0,2.493977269610843,43.24771592423723,40.81233596801758,43.529441833496094,45.26345443725586,0.9999998211860657,0.06896443665027618,0.7791644334793091,1.8731567859649658,0.3763710856437683,0.06001383066177368,0.0,0.0,0.99847188189223,0.2506833475183796,0.748932992441106,,0.3996425021339107,0.29161500286411596,,0.3091515093236356,,0.398396895543949,0.2921328021062387,,0.30947030315528046,250.55016964084498,373.9738030881728,0.6747269241822621,-114.33724112039084,250.55017089289305,323.2682681278742,388.55353371632907,425.9867406770611,196.55222593035018,146.14140464723573,551.5657411658245,0.036283479848288044,0.2570878574491516,0.22767801680954383,0.29107062583736737,0.0,0.3393222228773807,0.2700264764499193,0.17379601686151672,1.3877134063990462,0.7253490161591734,0.7725440621450295,0.8323623172474442,0.22534901615917335,-0.02745593785497058,-0.1176376827525557,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3371706185760077,2.278082121532042,2.2348936141192257,-8.000153541564941,0.0003353548818267882
