epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.004764891959525,18.977325413678145,3.7608763205038533,3.7608763205038533,3.7608763205038533,0.0,0.0,0.3329373445059802,5.951278106586353,0.1732776068352364,4.097903109885551,0.07983153202646487,0.00027695294891207203,0.0,0.6594555603491293,0.0,0.0,0.0,0.0,0.0,2.125159334492039,50.002400372479414,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.007245904300361872,0.9209451079368591,1.0192214250564575,0.3330799639225006,0.002481123199686408,0.0,0.0,0.0,0.0,0.0,,0.3330315351486206,0.33311792563747716,,0.33385555647514964,,0.3330307675374521,0.3331187657407812,,0.33385047074910756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.557212881139808,19.47795824102453,3.7628260947562553,3.7628260947562553,3.7628260947562553,0.0,0.0,0.3338768160020983,6.11457871101998,0.1732426881790161,4.181798213237041,0.07964501096992879,0.00027541720663902124,0.0,0.6605203683311874,0.0,0.0,0.0,0.0,0.0,2.1298353929777405,49.91560167879672,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.0066415900364518166,0.8924269080162048,1.0197550058364868,0.3320483863353729,0.0026491188909858465,0.0,0.0,0.0,0.0,0.0,,0.33181019167642334,0.33220589805293727,,0.33599612519547745,,0.33181103661253647,0.33221482747309916,,0.33597413430342804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,24.524104453421927,18.52783643877184,3.788494180988621,3.788494180988621,3.788494180988621,0.0,0.0,0.33330566013181534,5.800185106896065,0.17319572777361483,3.957592487335205,0.0792716710349998,0.0002745438596812656,0.0,0.6513743255589459,0.0,0.0,0.0,0.0,0.0,2.1373237210351066,49.72688602756809,49.61518478393555,49.71218490600586,49.80937194824219,0.9999999403953552,0.005810140166431665,0.9313865303993225,1.017243504524231,0.3303791284561157,0.003228825982660055,0.0,0.0,0.0,0.0,0.0,,0.3298140885056676,0.3308317137731088,,0.33938361986263377,,0.32981775821866216,0.33085336878493027,,0.33932887299640757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.198111559893633,18.218707935230153,3.8072114892908044,3.8072114892908044,3.8072114892908044,0.0,0.0,0.33219010040566727,5.693359980712065,0.17310159794382146,3.9019376039505005,0.07532889728207846,0.0002722675138077623,0.0,0.6404532371340571,0.0,0.0,0.0,0.0,0.0,2.148401756544371,49.54368354178764,49.421749114990234,49.518367767333984,49.61518478393555,1.0,0.004665011074393988,0.941933810710907,1.0147862434387207,0.32809585332870483,0.004311307333409786,0.0,0.0,0.0,0.0,0.0,,0.3271338005323668,0.32869327712703394,,0.3442210756443642,,0.32714148792060643,0.32872904796858093,,0.34412945686159907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.286172918371253,18.325177605087692,3.775478814099286,3.775478814099286,3.775478814099286,0.0,0.0,0.33315515598735296,5.739705453047881,0.173029713131286,3.9125829773980216,0.07806764845107053,0.00026555830137678295,0.0,0.6421003502768439,0.0,0.0,0.0,0.0,0.0,2.1585511130255624,49.25147618474187,49.037147521972656,49.22907257080078,49.421749114990234,1.0000001192092896,0.004160468000918627,0.9398092031478882,1.023091435432434,0.32497939467430115,0.0061841062270104885,0.0,0.0,0.0,0.0,0.0,,0.3232905784168759,0.3267356696966532,,0.35003673063742147,,0.32330691250594884,0.32678839322682973,,0.34990469346175324,250.5563421354189,374.1908021758029,0.6733765201826322,-115.2800457084572,250.55634336232126,323.11756120154035,388.30359870241523,425.6434448739921,195.8854500906808,145.77981114941974,552.7056626029637,0.0373057729498887,0.25200010733271555,0.27853076580841646,0.29896881566937966,0.0,0.3385807536737159,0.2965959816950259,0.18279649962500052,1.3908623179137583,0.7365065406177861,0.7827672126342018,0.8312264116375362,0.2365065406177861,-0.017232787365798252,-0.11877358836246377,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.334483175814807,2.2761193215847015,2.2331237897768124,-8.000306129455566,0.00033530371729284525
6,6e-06,6e-05,0.05,25.8487152666659,19.78746744104334,3.809538931459994,3.809538931459994,3.810030743882463,0.0,0.0,0.33417198384130326,5.8731517598435685,0.172830180139155,4.09502269770648,0.08283721615333815,0.00023626338854130054,0.0,0.6450078986786507,0.0,0.0,0.0,0.0,0.0,2.1824193516293087,48.770366050101615,48.371280670166016,48.75066375732422,49.133018493652344,0.9999998211860657,0.0044800289906561375,0.9450563788414001,1.0343180894851685,0.32664746046066284,0.006867087446153164,0.0,0.0,1.6515734711208858,0.9767432019517228,0.40859839478480536,,0.3264455771124041,0.3220952177369917,,0.3515095871848029,,0.32643711083644145,0.32216909447231806,,0.3513937946912405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.774784062359785,19.765460890692633,3.7701387856457687,3.7701387856457687,3.7715443662694983,0.0,0.0,0.3341695199141631,5.907139049993979,0.1727316504394686,4.00609287055763,0.07867937988123379,0.00022495134003661774,0.0,0.656112659621883,0.0,0.0,0.0,0.0,0.0,2.215519344484484,48.001769091631914,47.43569564819336,48.08868408203125,48.56059646606445,0.9999999403953552,0.007047929335385561,0.9585009217262268,1.0820082426071167,0.3363368511199951,0.012463768012821674,0.0,0.0,1.6007035261875875,0.640219868840398,0.6000384466165222,,0.3410346951033618,0.3144962457386223,,0.3444919835876774,,0.34096716948457667,0.3146003814967903,,0.34443245787878296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.157585453342747,19.211829262810785,3.7810054663065316,3.7810054663065316,3.7832383465122534,0.0,0.0,0.3328452174727981,5.747646821511759,0.17260824385527018,3.805138078895775,0.07360049447900541,0.00022382679988466506,0.0,0.6735311633831745,0.0,0.0,0.0,0.0,0.0,2.275310703226038,46.687079764701224,45.70764923095703,46.79157257080078,47.62135314941406,0.9999998211860657,0.014016514644026756,0.9452897310256958,1.1739472150802612,0.35185670852661133,0.026795322075486183,0.0,0.0,1.529062780174049,0.4681985313827927,0.6938003217045811,,0.3641999049766644,0.3033608963360658,,0.3324651895342646,,0.36397266549033086,0.30354076704463445,,0.3324865674650347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.91142579671499,20.914184621862464,3.7900068953230575,3.7900068953230575,3.791973571519594,0.0,0.0,0.3334498912901492,5.890146584124179,0.17246720315636815,3.851173864828574,0.08019829158847397,0.00022141918511683675,0.0,0.6973364272633115,0.0,0.0,0.0,0.0,0.0,2.350059670370978,44.70224906302787,42.93836212158203,44.91121292114258,46.24643325805664,1.0000001192092896,0.02641284093260765,0.9057833552360535,1.3470077514648438,0.3653145134449005,0.040716324001550674,0.0,0.0,1.2953388562073578,0.34772124725419123,0.7315596258169159,,0.3841481788738354,0.2944223349158828,,0.32147040882626093,,0.38363122134595307,0.29474775694512034,,0.32162101848705393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,25.81967562598151,19.94377847619959,3.7648528524347253,3.7648528524347253,3.7637981659657247,0.0,0.0,0.3334651420245299,5.63894856298292,0.17277098708861582,3.610291944967734,0.08207467872951482,0.00023877268855308962,0.0,0.722264471891764,0.0,0.0,0.0,0.0,0.0,2.49137663196873,41.798651927226295,38.94340133666992,42.190181732177734,44.21493148803711,0.9999996423721313,0.0680612176656723,0.7978443503379822,1.9510993957519531,0.3788639008998871,0.06314098834991455,0.0,0.0,1.0617748386151082,0.26618433361117905,0.7493024660874729,,0.4037965971070367,0.28760460260752085,,0.3089253596357397,,0.4022863708637856,0.2883164294668146,,0.3093972012803361,250.53521374293737,373.81909057869166,0.6756469187237564,-113.66859534546569,250.53521415469964,323.3651629599673,388.70616024407667,426.17161243524,196.99482563563757,146.38166081628134,550.7654538361923,0.03637291965798655,0.27455103823574156,0.17566816477229996,0.3218267146983198,0.0,0.3816430263808911,0.29730889182294346,0.1930119102780807,1.3864973570387054,0.7208420358359899,0.7672309552599759,0.8324722435967902,0.22084203583598994,-0.03276904474002418,-0.11752775640320978,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.333915731081596,2.2761068779688616,2.2331343571563345,-8.000166893005371,0.0003353504289407283
