epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.01738182274071,18.97737080342061,3.760853535420186,3.760853535420186,3.760853535420186,0.0,0.0,0.3329391737242003,4.735966038059544,0.17322538994454048,5.598804370777027,0.05682935585846772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430192708969116,49.985877990722656,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.003686429001390934,0.9746814370155334,1.0117660760879517,1.0,0.003686429001390934,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0000001192092896,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.371999379750843,19.40580130912162,3.7768633043443836,3.7768633043443836,3.7768633043443836,0.0,0.0,0.3331275115141997,4.5604751174514355,0.17305256869341876,5.319042721310177,0.05912351608276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.435215473175049,49.90248107910156,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.0034553336445242167,0.9717715382575989,1.0093096494674683,1.0,0.0034553336445242167,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.209673907305742,20.17999102618243,3.8159080711570947,3.8159080711570947,3.8159080711570947,0.0,0.0,0.33351887883366765,4.625788095835093,0.17283050434009448,5.386357075459248,0.05460822904432142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4435765743255615,49.71249008178711,49.71218490600586,49.71218490600586,49.71218490600586,1.0,0.003317947033792734,0.984224259853363,1.0109097957611084,1.0,0.003317947033792734,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.121314796241553,18.172557933910472,3.808774793470228,3.808774793470228,3.808774793470228,0.0,0.0,0.3329662632297825,4.444545848949535,0.1724787016172667,5.202359998548353,0.05373050393284978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452874183654785,49.59030532836914,49.518367767333984,49.61518478393555,49.61518478393555,1.0,0.002971540205180645,0.9841347336769104,1.0099319219589233,1.0,0.002971540205180645,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.29271636138091,20.21946262668919,3.7521135484850086,3.7521135484850086,3.7521135484850086,0.0,0.0,0.3339855864241317,4.777573044235642,0.17206507760125236,5.763337006440034,0.05752285751136574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460509777069092,49.32650375366211,49.22907257080078,49.3253173828125,49.421749114990234,1.0,0.003620151663199067,0.986007571220398,1.0110626220703125,1.0,0.003620151663199067,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,252.61891719273157,368.4120259729434,0.7306437693961213,-79.81531390515002,252.61891766943313,324.87468456954787,394.0091140886829,434.00998488454917,221.8306666782924,161.7459101713905,512.1436054395592,0.13801812248152545,0.3145032429674247,0.20393000507481507,0.20393000507481507,0.0,0.0,0.0,0.0,0.3411315254493511,0.1574887705117024,0.17736756234146198,0.0,0.0,1.9337539242524648,0.25470463729074466,0.6233211468154705,0.7242639984606504,-0.24529536270925534,-0.17667885318452958,-0.22573600153934958,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.6227043526513234,3.5232833545286577,3.4479334619674056,-8.000412940979004,0.00033526791958138347
6,6e-06,6e-05,0.05,26.272747967694258,20.301294275232262,3.791758769267314,3.791758769267314,3.791758769267314,0.0,0.0,0.33429094263025233,4.598095868084882,0.17153225718317805,5.240404696077914,0.055395983360909125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474764585494995,49.11165237426758,48.94146728515625,49.133018493652344,49.22907257080078,1.0,0.004233183804899454,0.9804378747940063,1.016019344329834,1.0,0.004233183804899454,0.0,0.0,2.362520694732666,1.3233603239059448,0.43985238865571447,,,,,,1.0,1.0,1.0,,,,,,,,0.5045375823974609,0.49546244740486145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.5043664880701,20.499957110430742,3.802852321315456,3.802852321315456,3.802852321315456,0.0,0.0,0.33440061517663905,4.617933531065245,0.17105875788508235,5.329289204365498,0.055611481537690036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5274853706359863,48.60808563232422,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.0072428216226398945,0.9673057198524475,1.0319656133651733,1.0,0.0072428216226398945,0.0,0.0,2.2579500675201416,0.8378784656524658,0.6289207287153653,,,,,,1.0,1.0,1.0,,,,,,,,0.5141799449920654,0.4858200252056122,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.319664207664697,20.35583661053632,3.776641845703125,3.776641845703125,3.776641845703125,0.0,0.0,0.33487469441181905,4.594273747624578,0.17001323442201358,5.280072186444257,0.05575062133170463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6016616821289062,47.70710372924805,47.06654739379883,47.807735443115234,48.27689743041992,1.0,0.012406840920448303,0.9528042078018188,1.0789415836334229,1.0,0.012406840920448303,0.0,0.0,1.9984674453735352,0.6259468197822571,0.6867865817722836,,,,,,1.0,1.0,1.0,,,,,,,,0.5269403457641602,0.4730597138404846,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.81793212890625,18.85691214896537,3.72731842865815,3.72731842865815,3.72731842865815,0.0,0.0,0.3350846058613545,4.6112258498733105,0.16817323581592455,5.492836617134713,0.05704969328802985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.835181713104248,45.72705078125,43.529441833496094,45.88654327392578,47.714454650878906,1.0,0.06386248022317886,0.8782947063446045,1.4537947177886963,1.0,0.06386248022317886,0.0,0.0,1.5952160358428955,0.5470597743988037,0.6570622648550902,,,,,,1.0,1.0,1.0,,,,,,,,0.5469018220901489,0.45309823751449585,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.747655920080238,18.005339751372468,3.780000841295397,3.780000841295397,3.780000841295397,0.0,0.0,0.33451871614198425,4.194709984031883,0.16507165496413773,4.56094030431799,0.054832561596019846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12137508392334,43.660011291503906,38.01901626586914,44.73611831665039,48.30521774291992,1.0,0.13737650215625763,0.6823734045028687,1.8863718509674072,1.0,0.13737650215625763,0.0,0.0,1.4232971668243408,0.5117904543876648,0.6404191153351544,,,,,,1.0,1.0000001192092896,1.0,,,,,,,,0.5567560195922852,0.44324401021003723,0.0,,,252.95437378935762,368.108638437339,0.7357480937199956,-76.91407096778954,252.95437358867295,325.4668292406645,394.8989047488694,435.10424096915267,223.98723983764648,163.25177625907483,508.9197002908458,0.13776011501912686,0.33474352153201625,0.181652215871991,0.181652215871991,0.0,0.0,0.0,0.0,0.31961354766031286,0.16321536475603524,0.1633951788135092,0.0,0.0,1.9313977844952532,0.2539734462189725,0.6215124110063498,0.724668077737156,-0.2460265537810275,-0.17848758899365025,-0.22533192226284393,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.6263243745971514,3.5265930668338314,3.450923884962941,-7.9997687339782715,0.00033548392821103334
