epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,26.063724002322637,18.977420291385137,3.76085394781989,3.76085394781989,3.76085394781989,0.0,0.0,0.3329390706242742,8.183588801203546,0.17325103605115735,7.38262939453125,0.056829310752250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.480588912963867,49.98503875732422,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.003964030649513006,0.9715774059295654,1.0093350410461426,1.0,0.003964030649513006,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.32698677681588,19.40595802100929,3.776870315139358,3.776870315139358,3.776870315139358,0.0,0.0,0.33312727953936605,7.69032081397804,0.1731506296106287,6.963260959934544,0.059123574076472105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4810802936553955,49.9008674621582,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.004054080229252577,0.9621891975402832,1.0073437690734863,1.0,0.004054080229252577,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,27.22910618137669,20.180152686866553,3.8158763163798564,3.8158763163798564,3.8158763163798564,0.0,0.0,0.3335190077085753,7.90654857738598,0.1730308790464659,7.2020263671875,0.05460816460686761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4831347465515137,49.71847915649414,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.0037103325594216585,0.9782596826553345,1.0084924697875977,1.0,0.0037103325594216585,0.0,0.0,0.0,0.0,0.0,,,,,,1.0000001192092896,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,25.12787525073902,18.17205975506757,3.808640763566301,3.808640763566301,3.808640763566301,0.0,0.0,0.3329681190284523,7.652450973923142,0.17283368755031275,7.030251992715372,0.05372985633643898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.482713460922241,49.58497619628906,49.518367767333984,49.61518478393555,49.61518478393555,1.0,0.0038981696125119925,0.982920229434967,1.013015627861023,1.0,0.0038981696125119925,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,27.3773193359375,20.22202445365287,3.7518966262404985,3.7518966262404985,3.7518966262404985,0.0,0.0,0.3339815397520323,8.046293516416807,0.17262683043608795,7.905627276446368,0.05752208426192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4782421588897705,49.336395263671875,49.133018493652344,49.3253173828125,49.518367767333984,1.0,0.005121270660310984,0.9791272878646851,1.015510082244873,1.0,0.005121270660310984,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,251.3297804947738,369.76143632400056,0.7105061703696572,-91.22605837308444,251.32978064979037,320.01145762990416,390.13592463483246,429.57563934831035,213.3999731881278,155.87476490819176,524.790773142939,0.11069050272516377,0.36894686535611054,0.24656654898502686,0.24656654898502686,0.0,0.0,0.0,0.0,0.354922201381906,0.14708655593909842,0.03719754573380262,0.0,0.0,1.9252156882765468,0.23009882499416387,0.6969691074624543,0.7705042409151038,-0.2699011750058361,-0.10303089253754572,-0.17949575908489612,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.8117439524158017,3.7018658066843892,3.610984836305891,-8.000393867492676,0.00033527432242408395
6,6e-06,6e-05,0.05,27.276865366342907,20.34709868559966,3.789415926546664,3.789415926546664,3.789415926546664,0.0,0.0,0.33431960440970754,7.744568695893159,0.1723294129242768,6.896726453626478,0.055405043266914984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469823122024536,49.1020393371582,48.845970153808594,49.133018493652344,49.3253173828125,1.0,0.006762102711945772,0.9640898108482361,1.0203900337219238,1.0,0.006762102711945772,0.0,0.0,2.2172019481658936,1.1866427659988403,0.4648016762837273,,,,,,1.0,1.0,1.0,,,,,,,,0.5045543909072876,0.4954455494880676,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,27.67276248416385,20.669295027449323,3.7984268600876265,3.7984268600876265,3.7984268600876265,0.0,0.0,0.3344802340945682,7.75817211254223,0.17217954429420265,7.20567527977196,0.055629169618761215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4618704319000244,48.5623893737793,48.08868408203125,48.65553665161133,48.94146728515625,1.0,0.014804651960730553,0.9034391045570374,1.038839340209961,1.0,0.014804651960730553,0.0,0.0,2.1899499893188477,0.7315897345542908,0.6659331317507204,,,,,,1.0,1.0,1.0,,,,,,,,0.5143740773200989,0.4856259226799011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,27.594838735219593,20.681487212309968,3.771133835251267,3.771133835251267,3.771133835251267,0.0,0.0,0.33501137913884343,7.6133835251266895,0.1717367172241211,7.034855198215794,0.05578414169517723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.479978322982788,48.237918853759766,47.343135833740234,48.27689743041992,49.037147521972656,1.0,0.020871760323643684,0.9029736518859863,1.0745233297348022,1.0,0.020871760323643684,0.0,0.0,2.0532422065734863,0.5336819887161255,0.7400784052619148,,,,,,1.0,1.0,1.0,,,,,,,,0.524764358997345,0.47523564100265503,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,26.32836419182855,19.32014424092061,3.7222166319151184,3.7222166319151184,3.7222166319151184,0.0,0.0,0.33527897499703074,7.63564073717272,0.17118225870905696,7.727847537478885,0.057102557775136585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.663074016571045,47.90435791015625,47.06654739379883,47.99485397338867,48.56059646606445,1.0,0.08475371450185776,0.7573049664497375,1.5113383531570435,1.0,0.08475371450185776,0.0,0.0,1.8866912126541138,0.4605454206466675,0.7558978291954874,,,,,,1.0,1.0,1.0,,,,,,,,0.5380902290344238,0.46190977096557617,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.709475955447637,18.15971415751689,3.772245252454603,3.772245252454603,3.772245252454603,0.0,0.0,0.33471517305116394,6.793096181508657,0.16890447204177444,6.036066828547297,0.054871385161941115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.012253284454346,46.28824234008789,44.73611831665039,46.70027160644531,47.43569564819336,1.0,0.20702552795410156,0.5998285412788391,2.3180136680603027,1.0,0.20702552795410156,0.0,0.0,1.6906769275665283,0.42696455121040344,0.7474594085666303,,,,,,1.0,1.0,1.0,,,,,,,,0.546718180179596,0.45328181982040405,0.0,,,251.41896346375182,369.6441113988863,0.7121265015463941,-90.29279499263554,251.41896379341443,320.1328833055739,390.39363032770353,429.8878310064425,214.05257415771484,156.31829893126968,523.8004949818487,0.11099542141112322,0.37325017443168074,0.22981067949769463,0.22981067949769463,0.0,0.0,0.0,0.0,0.3477410663992489,0.16107785390711177,0.0014882870982481995,0.0,0.0,1.9233585810260432,0.23144113298575986,0.6969691074624543,0.7704847871760953,-0.26855886701424014,-0.10303089253754572,-0.1795152128239047,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.814061627938197,3.7039235633808176,3.6129226822119493,-7.999590873718262,0.0003355436201673001
11,1e-05,0.0001,0.3,23.21760352882179,17.1283239416174,3.749524503140836,3.749524503140836,3.749524503140836,0.0,0.0,0.3336845861898886,5.83101427232897,0.1647039233027278,4.8140411376953125,0.05485969620781976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9249346256256104,45.517086029052734,42.10786056518555,46.336849212646484,47.343135833740234,1.0,0.18411940336227417,0.5565496683120728,2.192908763885498,1.0,0.18411940336227417,0.0,0.0,1.6647000312805176,0.3933551609516144,0.763708083402246,,,,,,1.0,1.0,1.0,,,,,,,,0.5466518402099609,0.4533481299877167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,20.558550860430742,14.862001161317568,3.696430927998311,3.696430927998311,3.696430927998311,0.0,0.0,0.3331430796030405,5.017950521933066,0.1605237239115947,3.9266518257759713,0.05714048566044988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815509557723999,44.79743957519531,38.715885162353516,46.42744064331055,47.43569564819336,1.0,0.24210302531719208,0.45996740460395813,2.893951416015625,1.0,0.24210302531719208,0.0,0.0,2.278412103652954,0.5704445838928223,0.749630638382655,,,,,,1.0,1.0,1.0,,,,,,,,0.5623070001602173,0.4376929998397827,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,20.156829009184968,14.635372677364865,3.690200393264358,3.690200393264358,3.690200393264358,0.0,0.0,0.3329946157094595,4.46315167401288,0.1606030850797086,3.6399754704655827,0.056143064756651186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08745813369751,44.2396240234375,39.24884033203125,45.440608978271484,47.250762939453125,1.0,0.3284643590450287,0.2986431121826172,3.31063175201416,1.0,0.3284643590450287,0.0,0.0,3.317934036254883,0.6637970805168152,0.7999366252422317,,,,,,1.0,1.0,1.0,,,,,,,,0.5924056768417358,0.40759432315826416,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,19.417599239864863,13.978959367081925,3.7089893237964526,3.7089893237964526,3.7089893237964526,0.0,0.0,0.3325630394188133,3.9969094766152873,0.15744460595620646,3.5998856828019425,0.05653395523896088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6900079250335693,44.629337310791016,39.24884033203125,45.976253509521484,47.06654739379883,1.000091791152954,0.36390188336372375,0.25,2.727137804031372,1.000091791152954,0.36390188336372375,0.001519756838905775,0.0,2.8425846099853516,0.6823785305023193,0.759944337943265,,,,,,1.0001208782196045,1.0,1.0,,,,,,,,0.6069583296775818,0.3930416703224182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.999617345238583e-06,9.999617345238582e-05,0.5,18.62921307538007,13.246314796241554,3.700579256624789,3.700579256624789,3.700579256624789,0.0,0.0,0.33220365885141734,3.707386738545186,0.15619928772385056,3.6589400832717485,0.05466661582121978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3140909671783447,44.5703010559082,41.05216979980469,45.70764923095703,47.06654739379883,1.0001957416534424,0.3573051989078522,0.25,3.042346239089966,1.0001957416534424,0.3573051989078522,0.005319148936170213,0.0,2.9751338958740234,0.5877991914749146,0.8024293319066794,,,,,,1.0002225637435913,1.000125527381897,1.0,,,,,,,,0.6156980991363525,0.3843018412590027,0.0,,,250.94336696247478,369.15104507222725,0.7100611444629809,-90.54653314443735,250.9433657563225,319.3523736945638,389.90402931087016,429.3862721819519,213.15731375558036,155.8429560106854,523.3880492500637,0.11683524724677943,0.4361672165248768,0.24331794972308785,0.24331794972308785,0.0,0.0,0.0,0.0,0.4360757803047385,0.20686061075553192,-0.07754954436402545,0.0,0.0,1.9174562986829011,0.230682437164423,0.697202552330558,0.7726636059450627,-0.269317562835577,-0.1027974476694421,-0.17733639405493729,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.814334911304516,3.70356686102165,3.6117115099351484,-7.998297691345215,0.00033597773290239275
16,9.999402106450908e-06,9.999402106450908e-05,0.55,17.522512075063343,12.28012497360642,3.6620941162109375,3.6620941162109375,3.6620941162109375,0.0,0.0,0.33206653594970703,3.4912666114600928,0.15560652758624102,3.3592300415039062,0.05720240360981709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.463085889816284,44.01718521118164,38.56494903564453,45.35194778442383,46.883052825927734,1.0000402927398682,0.3232203423976898,0.25,2.4120562076568604,1.0000402927398682,0.3232203423976898,0.001519756838905775,0.0,2.1695055961608887,0.4930116534233093,0.7727539148570383,,,,,,1.000030279159546,1.0000813007354736,1.0,,,,,,,,0.6202772855758667,0.3797227144241333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.999139041236748e-06,9.999139041236749e-05,0.6,16.95759376319679,11.767253978832349,3.663794440192145,3.663794440192145,3.663794440192145,0.0,0.0,0.3298866684372361,3.3510453507706925,0.15376458296904694,3.2461290101747253,0.053583103257256584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3394393920898438,43.777259826660156,39.24884033203125,44.823577880859375,46.51820755004883,1.00043785572052,0.3897198736667633,0.25,3.4991261959075928,1.00043785572052,0.3897198736667633,0.007598784194528876,0.0,1.9736424684524536,0.4305919408798218,0.7818288024489807,,,,,,1.000576138496399,0.9999998807907104,1.0,,,,,,,,0.6253648400306702,0.37463515996932983,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.99882815224517e-06,9.998828152245169e-05,0.65,17.904376055743242,12.670184161211994,3.676555736644848,3.676555736644848,3.676555736644848,0.0,0.0,0.3331491624986803,3.404936713141364,0.15433878511995883,3.326023617306271,0.05886640419831147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893374443054199,41.81351089477539,34.43462371826172,43.529441833496094,46.42744064331055,1.000085473060608,0.4018208682537079,0.25,2.840827703475952,1.000085473060608,0.4018208682537079,0.0026595744680851063,0.0,4.208290100097656,0.8509320616722107,0.79779624469034,,,,,,1.000112533569336,1.0,1.0,,,,,,,,0.6302667260169983,0.3697332441806793,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.99846944260682e-06,9.998469442606819e-05,0.7,16.51244457347973,11.362863901499155,3.6621543265677787,3.6621543265677787,3.6621543265677787,0.0,0.0,0.32996780807907516,3.2420740900812923,0.15498184513401342,3.1553845792203337,0.054904667106834615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9814071655273438,42.88688659667969,36.08717346191406,44.47475814819336,46.42744064331055,1.0002498626708984,0.4093976616859436,0.25,3.3912079334259033,1.0002498626708984,0.4093976616859436,0.007218844984802432,0.0,2.0453450679779053,0.39929693937301636,0.804777714223168,,,,,,1.000328779220581,1.0,1.0,,,,,,,,0.6432492733001709,0.3567506670951843,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9.9980629159339e-06,9.9980629159339e-05,0.75,16.66768336940456,11.524340655352619,3.6547859810494088,3.6547859810494088,3.6547859810494088,0.0,0.0,0.33151456472036,3.2104088035789697,0.15246454445091454,3.1870805895006336,0.056108023669268633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720388174057007,43.197166442871094,37.7452392578125,44.25815200805664,46.24643325805664,1.0001060962677002,0.40232327580451965,0.25,3.5285964012145996,1.0001060962677002,0.40232327580451965,0.004559270516717325,0.0,1.539710283279419,0.32747983932495117,0.787310740935331,,,,,,1.0001248121261597,1.0000529289245605,1.0,,,,,,,,0.6333061456680298,0.3666938543319702,0.0,,,248.7634269588596,367.64723350037366,0.6970134613282687,-94.64789134853488,248.76342731028038,315.796344696858,386.25573183008527,425.53299748112454,208.51760755266463,152.31129848864651,525.3731075784434,0.13936782520412172,0.48633528649466684,0.2829721587179698,0.2829721587179698,0.0,0.0,0.0,0.0,0.5216503632784721,0.3115422997551538,-0.01981930620678038,0.0,0.0,1.8952959204345132,0.2449614815967629,0.697844525717843,0.7841802194381761,-0.2550385184032371,-0.1021554742821571,-0.1658197805618239,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.787807034267174,3.6779045285759393,3.588033613922832,-7.9966816902160645,0.0003365210141055286
21,9.99760857632013e-06,9.99760857632013e-05,0.8,16.770172943940032,11.626164616765204,3.6660073770059123,3.6660073770059123,3.6660073770059123,0.0,0.0,0.3303284516205659,3.1955875706028296,0.14976425428648252,3.156960358490815,0.05469882166063463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076889991760254,41.851158142089844,33.76859664916992,43.78524398803711,46.24643325805664,1.000029444694519,0.3712666630744934,0.25,2.804818868637085,1.000029444694519,0.3712666630744934,0.001899696048632219,0.0,3.086858034133911,0.7523670792579651,0.7562676770559489,,,,,,1.000038743019104,1.0,1.0,,,,,,,,0.6036072969436646,0.39639270305633545,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9.997106428340707e-06,9.997106428340706e-05,0.85,15.747258366765204,10.601139377903294,3.720781893343539,3.720781893343539,3.720781893343539,0.0,0.0,0.32966482317125473,3.07437463708826,0.14885176839055242,3.02025521768106,0.05338583121428619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.931962728500366,42.582157135009766,35.52769470214844,44.30137252807617,46.066139221191406,1.0016975402832031,0.5327745676040649,0.25,4.0,1.0016975402832031,0.5327745676040649,0.022796352583586626,0.0011398176291793312,2.7681851387023926,0.6370741128921509,0.7698585604029418,,,,,,1.0022341012954712,1.0,1.0,,,,,,,,0.5850662589073181,0.4149337410926819,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
