epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.453034272065032,18.97738235061233,3.7608543602195947,3.7608543602195947,3.7608543602195947,0.0,0.0,0.3329390190743111,6.04773609058277,0.1732444376558871,6.465207898938978,0.05682935585846772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2974443435668945,49.98624038696289,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.003978891298174858,0.9713147878646851,1.0123947858810425,1.0,0.003978891298174858,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0000001192092896,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.73931224926098,19.405893686655407,3.77686577874261,3.77686577874261,3.77686577874261,0.0,0.0,0.3331275115141997,5.693901268211571,0.17312546034117002,6.021655933277027,0.05912356763272672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299835205078125,49.903255462646484,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.003901795018464327,0.9651804566383362,1.0098493099212646,1.0,0.003901795018464327,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.61553295238598,20.180103198902028,3.8158919875686235,3.8158919875686235,3.8158919875686235,0.0,0.0,0.3335185953088709,5.8511855666701855,0.1729830277932657,6.189691904428843,0.0546082354880668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3035945892333984,49.72319030761719,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.003671557642519474,0.976991593837738,1.0094382762908936,1.0,0.003671557642519474,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.531802615603887,18.172421017208613,3.8086898391311235,3.8086898391311235,3.8086898391311235,0.0,0.0,0.3329674231039511,5.6436445906355575,0.17274872032371727,6.056698360958615,0.053730107642508844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3069846630096436,49.60258865356445,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0035881823860108852,0.9839433431625366,1.0102251768112183,1.0,0.0035881823860108852,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.9999998807907104,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.743574812605573,20.222728832347972,3.752000550966005,3.752000550966005,3.752000550966005,0.0,0.0,0.3339819521517367,6.0007047910948055,0.17249778799108556,6.77851661475929,0.05752198760573928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3072609901428223,49.36450958251953,49.22907257080078,49.421749114990234,49.518367767333984,1.0000001192092896,0.0045965989120304585,0.9808695912361145,1.0141685009002686,1.0000001192092896,0.0045965989120304585,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,251.99194348513424,368.9995361594503,0.7210728684039531,-85.20066711928818,251.9919434820307,321.44217969918196,391.51084393881024,431.2761921321191,217.8459254673549,158.93378140944844,518.1555311783501,0.12624229966432635,0.36191028612100196,0.23202415023970208,0.23202415023970208,0.0,0.0,0.0,0.0,0.35271005070745753,0.1665972934949675,0.11786761014758515,0.0,0.0,1.8863248861505784,0.25096577040610407,0.6794411024197113,0.7659664430820088,-0.24903422959389593,-0.1205588975802887,-0.18403355691799117,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.514320583788903,3.4111799813888886,3.3247281931913815,-8.000391960144043,0.000335274962708354
6,6e-06,6e-05,0.05,26.66503081450591,20.31397969013936,3.7902122703758447,3.7902122703758447,3.7902122703758447,0.0,0.0,0.3342836483104809,5.752697094066723,0.17216465924237226,5.991192379513302,0.05540042310147672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3086049556732178,49.15726852416992,48.94146728515625,49.133018493652344,49.3253173828125,1.0,0.0058897715061903,0.971849799156189,1.0202360153198242,1.0,0.0058897715061903,0.0,0.0,2.3245887756347656,1.2787449359893799,0.449904882363463,,,,,,1.0,1.0,1.0,,,,,,,,0.50447678565979,0.49552327394485474,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.985450538429053,20.568728885135137,3.800098316089527,3.800098316089527,3.800098316089527,0.0,0.0,0.3344170080648886,5.7971467714051945,0.17195813720290726,6.224919499577703,0.05561963931934254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3238444328308105,48.76186752319336,48.46584701538086,48.845970153808594,49.037147521972656,1.0,0.01078761275857687,0.9359776973724365,1.0287854671478271,1.0,0.01078761275857687,0.0,0.0,2.279456615447998,0.806983232498169,0.6459756123326933,,,,,,1.0,1.0,1.0,,,,,,,,0.5140342116355896,0.4859657883644104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.819081899282093,20.4762903161951,3.773095620645059,3.773095620645059,3.773095620645059,0.0,0.0,0.33489765992035736,5.734619553024705,0.17144651670713681,6.0514802674989445,0.0557649006714692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3886759281158447,48.252952575683594,47.90120315551758,48.27689743041992,48.56059646606445,1.0,0.017913347110152245,0.9249034523963928,1.0967425107955933,1.0,0.017913347110152245,0.0,0.0,2.0778467655181885,0.5990568399429321,0.7116934463675261,,,,,,1.0,1.0,1.0,,,,,,,,0.5277755856513977,0.4722244143486023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.375951818517738,18.99546195365287,3.7233284615181588,3.7233284615181588,3.7233284615181588,0.0,0.0,0.33512502103238495,5.755480792071368,0.170461976850355,6.464608269768792,0.05706273542868125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5763981342315674,46.89649963378906,45.70764923095703,47.06654739379883,47.99485397338867,1.0,0.09156138449907303,0.8173039555549622,1.6146886348724365,1.0,0.09156138449907303,0.0,0.0,1.802788257598877,0.5086042881011963,0.7178790765041906,,,,,,1.0,1.0,1.0,,,,,,,,0.5446577072143555,0.45534226298332214,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.09516865498311,18.046050200591218,3.7742911673880912,3.7742911673880912,3.7742911673880912,0.0,0.0,0.33458235457136826,5.1698591902449325,0.16801044103261586,5.146761507601352,0.05483666626182762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9115681648254395,45.0135498046875,40.50265121459961,45.976253509521484,48.46584701538086,1.0,0.19419534504413605,0.5972798466682434,2.4152703285217285,1.0,0.19419534504413605,0.0,0.0,1.6891127824783325,0.49789416790008545,0.7052333194888528,,,,,,1.0,1.0,0.9999999403953552,,,,,,,,0.5511216521263123,0.44887831807136536,0.0,,,252.20248459197663,368.77469381855184,0.724418832052555,-83.27760444892631,252.20248293764325,321.79043700906783,392.1350590606349,432.01528778367987,219.26712145124162,159.91097194464632,516.0318905374278,0.12598433083147276,0.36350297302436946,0.19597694835542392,0.19597694835542392,0.0,0.0,0.0,0.0,0.32490759979502504,0.16928923132984078,0.054893051965565744,0.0,0.0,1.8841137249327005,0.25363725471353615,0.6794411024197113,0.765985662393573,-0.24636274528646385,-0.1205588975802887,-0.18401433760642694,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,3.518335901118897,3.4147167873906565,3.3279175054241015,-7.99965763092041,0.0003355212102178484
